"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",42.3619047619048,"Down",1051526000,-645497000,406029000,-220719000,-201177000,-18377000,-1165000,185310000,-17600000,-17580000,-20000,167710000,-16476000,151234000,-53171000,98063000,98063000,98063000,98063000,-7367834194.01118,-6100953539.23373,3417721744.71359,3417721744.71359,1055917885.2103,896350537.210162,-48784509.6442815,-1997844026.87712,915945995.495294,1381262771.46621,-465316775.970914,6218892009.7846,2807973420.40097,3252965021.554,157953567.829632,7134838005.2799,5136993978.40278,5281751545.19401,637016695.262256,2094908442.02046,-2883859613.71651,-2883859613.71651,2136967244.75506,-6798494811.094,1317753035.93612,991707477.268679,-2510370305.8876,-5480741775.15787,-3343774530.40281,5948985638.6042,2599188718.69325,-67405848.4918637,8480768508.80558,8480768508.80558,5136993978.40278,98063000,43648000,6446000,-174005000,-25848000,-27271000,-160000,-25027000,-41407000,-7.5e+07,-3671000,-4873000,713000,-119365000,-170240000,-170240000,3319000,-166921000,228958000,0,80853000,0.38613,0.17623,0.09326,0.336397148325452,0.230484252015094,0.8245,-17.806543812979,-0.951767716398755,-0.820504219352571,0.82639,0.82582,8.86132,65.8604834694069,0.68136,0.34894,0.243343090963598,0.561032971032777,0.42225,-13.7601547115187,-24.6925936804903
"2","2010_Q3",43.41390625,"Up",1278745000,-786495000,492250000,-252896000,-232985000,-18312000,-1599000,239354000,-16204000,-16787000,583000,223150000,-8148000,215002000,-75012000,139990000,139990000,139990000,139990000,-3252762097.00559,-2656350269.61687,1514475872.35679,1514475872.35679,710209442.605152,407226768.605081,6961245.17785925,-620850013.438561,893734997.747647,1374262885.7331,-480527887.985457,6042070004.8923,2807636710.20049,3131633010.777,102800283.914816,6935805002.63995,6314954989.20139,2630854772.597,369808347.631128,986133221.010228,-1329318806.85825,-1329318806.85825,1196073622.37753,-2749247405.547,1288700517.96806,1049091238.63434,-1178598652.9438,-1460546887.57894,-264473265.201404,5140513819.3021,1481281859.34662,-42367424.2459318,6579428254.40279,6579428254.40279,6314954989.20139,139990000,44189000,7550000,21931000,213660000,-62162000,-658000,-51705000,-41586000,1.19209289550781e-07,118000,-352000,-427000,-41895000,120060000,120060000,-124000,119936000,283543000,0,318324000,0.38495,0.18718,0.10947,0.158883574162726,0.109082126007547,2.27391,-7.21162690648949,-0.178158858199378,-0.321692109676286,1.17682,1.17539,10.74971,53.1494017347034,2.67598,0.34959,0.118146545481799,0.299201485516389,0.29706,-4.45334235575933,-8.70961184024513
"3","2010_Q4",46.07,"Up",1205939000,-747635000,458304000,-233959000,-214411000,-18570000,-978000,224345000,-12705000,-13926000,1221000,211640000,-14479000,197161000,-61682000,135479000,135479000,135479000,135479000,-848130365.66853,-652156756.538955,548371957.452265,548371957.452265,606458147.535051,144689589.535027,35368415.0592864,451389328.853813,874175665.915882,1381854961.91103,-507679295.995152,5941624001.63077,2807767570.06683,3062073336.92567,71783094.638272,6815799667.54665,7267188996.40046,1106971590.86567,229442115.877043,370141740.336743,-400370935.619418,-400370935.619418,684779874.125844,-316415801.849,1274305505.98935,1084399412.87811,-371203217.647934,957889704.140355,1642669578.2662,4735840939.76737,918269953.115541,-29591474.7486439,5624519418.13426,5624519418.13426,7267188996.40046,135479000,46311000,16392000,125580000,323762000,-23219000,-14000,-23233000,-41593000,-5.5e+08,4432000,-206000,1437000,-585724000,-285195000,-285195000,1048000,-284147000,270656000,0,434699000,0.38004,0.18603,0.11234,0.0617711913875754,0.0423507086691823,3.20861,-0.760582302163165,0.277937047266874,-0.0275707032254285,1.13782,1.13641,10.12805,46.7294139115678,3.65081,0.34932,0.0494755151605997,0.133107161838796,0.30701,0.663182548080222,0.0343293865849565
"4","2011_Q1",48.275,"Up",1069079000,-638972000,430107000,-254623000,-229648000,-18398000,-6577000,175484000,-13647000,-14101000,454000,161837000,5519000,167356000,-46750000,120606000,120606000,120606000,120606000,283570000,283570000,238867000,238867000,654939000,46254000,46254000,1223630000,858313000,1400140000,-541827000,5892910000,2807730000,3026515000,58665000,6751223000,7974853000,415750000,179509000,112616000,53147000,53147000,478897000,9e+08,1269636000,1101506000,35570000,2169636000,2648533000,4604907000,746063000,-24650000,5326320000,5326320000,7974853000,120606000,51604000,-44368000,74062000,201904000,-24126000,19648000,-4478000,-41638000,0,-35000.0000000009,-138000,109000.000000001,-41564000,155862000,155862000,2147000,158009000,227088000,9.1e+08,323774000,0.40232,0.16415,0.11281,0.02264,0.01512,2.68456,2.5551,0.49725,0.11411,1.01251,1.01127,8.97513,44.71551,2.71815,0.34956,0.02162,0.04314,0.34524,2.75853,3.56973
"5","2011_Q2",55.4303174603175,"Up",1047312000,-638877000,408435000,-222508000,-203261000,-18497000,-750000,185927000,-15413000,-16106000,693000,170514000,-20760000,149754000,-46873000,102881000,102881000,102881000,102881000,579848000,522773000,305418000,305418000,765927000,49435000,49435000,1700628000,847192000,1425219000,-578027000,5871284000,2806888000,3007187000,57209000,6718476000,8419104000,262838000,183600000,79238000,181398000,181398000,454236000,1.3e+09,1269760000,1104285000,165475000,2569760000,3023996000,4617652000,800571000,-23115000,5395108000,5395108000,8419104000,102881000,57310000,-1233000,-186196000,-27238000,-26656000,40000,-83653000,-47594000,4e+08,-3708000,-5033000,2213000,350911000,240020000,240020000,-817000,239203000,243237000,1.31e+09,77258000,0.38998,0.17753,0.09823,0.01907,0.01222,0.75095,3.74393,0.56051,0.1556,0.86237,0.86136,8.77874,45.22268,0.64759,0.39894,0.01887,0.00969,0.46261,3.00181,3.92709
"6","2011_Q3",54.55203125,"Down",1278913000,-784243000,494670000,-243516000,-222821000,-18501000,-2194000,251154000,-18309000,-17933000,-376000,232845000,-11118000,221727000,-72001000,149726000,149726000,149726000,149726000,535549000,487463000,415826000,415826000,822614000,80197000,48169000,1854186000,841095000,1453256000,-612161000,5858069000,2807418000,2989374000,61277000,6699164000,8553350000,308084000,194194000,113890000,168835000,168835000,476919000,1.3e+09,1272422000,1103991000,168431000,2572422000,3049341000,4622602000,902528000,-21121000,5504009000,5504009000,8553350000,149726000,57774000,7583000,-168299000,46784000,-35078000,-28999.9999999981,-26107000,-47739000,-1e+07,661000,-114000,262999.999999998,-56815000,-36138000,-36138000,828000,-35310000,308928000,1.3e+09,177552000,0.38679,0.19638,0.11707,0.0272,0.0175,1.18585,3.88784,0.55402,0.15199,1.25281,1.25145,10.70113,46.05403,1.48564,0.39945,0.02445,0.02198,0.31884,2.47453,3.04375
"7","2011_Q4",56.2190476190476,"Up",1312351000,-837937000,474414000,-233137000,-214325000,-18515000,-297000,241277000,-17183000,-17353000,170000,224094000,-28315000,195779000,-63784000,131995000,131995000,131995000,131995000,588182000,549583000,289548000,289548000,735275000,76055000,52273000,1689060000,841067000,1480352000,-639285000,5828621000,2808684000,2955305000,64632000,6669688000,8358748000,257136000,174882000,82254000,165621000,165621000,422757000,1.3e+09,1272690000,1104498000,168192000,2572690000,2995447000,4489697000,887844000,-14240000,5363301000,5363301000,8358748000,131995000,62167000,24156000,156516000,374834000,-44397000,-110000,-35007000,-47732000,0,-234313000,-242182000,2517000,-279528000,60299000,60299000,1821000,62120000,303444000,1.3e+09,479347000,0.3615,0.18385,0.10058,0.02461,0.01579,3.63155,3.99534,0.55851,0.15553,1.11547,1.1145,11.09051,45.32455,4.0509,0.40338,0.02265,0.0604,0.36162,2.3458,2.95021
"8","2012_Q1",58.1390322580645,"Up",1187124000,-766143000,420981000,-238339000,-222693000,-18287000,2641000,182642000,-16195000,-15708000,-487000,166447000,-16507000,149940000,-55042000,94898000,94898000,94898000,94898000,319845000,319845000,344410000,344410000,863579000,109165000,109165000,1636999000,867882000,1524472000,-656590000,5819704000,2812746000,2940010000,66948000,6687586000,8324585000,410053000,234916000,124901000,72623000,72623000,482676000,1304039000,1245507000,1042823000,44173000,2549546000,3032222000,4425135000,866933000,295000,5292363000,5292363000,8324585000,94898000,62349000,-54106000,-105921000,-2780000,-68169000,-1000,-48133000,-50935000,-2.98023223876953e-08,-137240000,-141771000,3206999.99999997,-184968000,-235881000,-235881000,6068000,-229813000,244991000,1304039000,125943000,0.35462,0.15385,0.07994,0.01793,0.0114,1.32714,3.39151,0.57294,0.15665,0.82149,0.82101,10.27644,45.81377,1.09024,0.44092,0.0186,0.01606,0.53673,4.01727,5.38865
"9","2012_Q2",58.0903174603175,"Down",1188883000,-757799000,431084000,-235799000,-216552000,-20235000,988000,195285000,-13877000,-15120000,1243000,181408000,-14582000,166826000,-55303000,111523000,111523000,111523000,111523000,102475000,102475000,350293000,350293000,1213821000,73183000,73183000,1739772000,925687000,1624980000,-699293000,6116564000,2903713000,3132761000,80090000,7042251000,8782023000,407819000,288082000,81362000,467415000,467415000,875234000,1318489000,1240046000,1038319000,201727000,2558535000,3433769000,4435420000,922944000,-10110000,5348254000,5348254000,8782023000,111523000,58219000,3975000,-231955000,-58238000,-67502000,-18000,-411766000,-50159000,548309565.454494,-5143000,-5385000,309234000,253932000,-216072000,-216072000,-1298000,-217370000,253504000,1318489000,9350000,0.3626,0.16426,0.0938,0.02085,0.0127,0.08384,1.98778,0.64204,0.15013,0.9759,0.9754,10.40347,46.80057,0.08182,0.43892,0.02045,0.00118,0.44976,4.79682,6.22687
"10","2012_Q3",61.0120634920635,"Up",1513905000,-1015236000,498669000,-258541000,-236602000,-20559000,-1380000,240128000,-18413000,-19124000,711000,221715000,-28514000,193201000,-65954000,127247000,127247000,127247000,127247000,496288000,496288000,462169000,462169000,1143951000,91299000,91299000,2193707000,948225000,1677760000,-729535000,6073488000,2897981000,3099067000,76440000,7021713000,9215420000,357676000,260653000,97023000,187245000,187245000,544921000,2071852000,1235298000,1031280000,204018000,3307150000,3852071000,4418068000,977704000,-32423000,5363349000,5363349000,9215420000,127247000,61498000,19865000,-108156000,100454000,-67302000,24754000,-42548000,-54666000,748560000,-38931000,-39207000,-314335000,340628000,398534000,398534000,-4721000,393813000,301626000,2071852000,192122000,0.32939,0.15861,0.08405,0.02373,0.01381,1.50984,4.02573,0.71822,0.22482,1.11725,1.11674,13.29234,47.09111,1.68686,0.47998,0.02098,0.02216,0.42961,5.22357,6.56135
