"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.3736507936508,"Up",630400000,-526700000,103700000,-71500000,-71500000,32200000,-8700000,-8e+06,-7e+05,23500000,2.5e+07,-4e+06,2.1e+07,2.1e+07,2.1e+07,2.1e+07,209500000,209500000,340600000,340600000,205400000,28100000,28100000,783600000,379100000,303800000,163800000,5.7e+07,682900000,1466500000,410800000,310100000,100700000,60500000,471300000,329500000,294600000,193400000,101200000,624100000,1095400000,371100000,371100000,1466500000,2.1e+07,2.1e+07,1.4e+07,6e+05,-32800000,2800000,-4300000,3500000,-1937103.43876012,-19800000,7e+05,-566909455.548187,-19100000,-12800000,-12800000,-4e+05,-13200000,46200000,3.9e+08,13100000,0.1645,0.05108,0.03331,0.05659,0.01432,0.62381,1.66264,2.95177,0.26594,0.22703,0.22036,6.81514,4.01189,0.14162,0.0658579711519688,7,0.01989,0.01241,13.2346271754049,3.90693,5.60559
"2","2010_Q3",8.27703125,"Down",692900000,-566100000,126800000,-70700000,-70700000,56100000,-8900000,-7700000,-1200000,47200000,5.5e+07,-6900000,48100000,48100000,48100000,48100000,241100000,241100000,360800000,360800000,226900000,28700000,28700000,857500000,363700000,309800000,163700000,57700000,673500000,1.531e+09,441500000,329800000,111700000,60200000,501700000,329600000,292200000,187600000,104600000,621800000,1123500000,407500000,407500000,1.531e+09,48100000,48100000,13800000,-19600000,-3900000,38400000,-6600000,-6600000,-2958068.95917341,-2e+05,9e+05,-298705673.328912,700000.000000004,32500000,32500000,-9e+05,31600000,69900000,389800000,66300000,0.183,0.08096,0.06942,0.11804,0.03142,1.37838,1.70919,2.75706,0.2546,0.51776,0.50156,7.45856,4.38644,0.71367,0.0578119807679792,7,0.04415,0.06085,7.77804811693662,2.12732,2.65062
"3","2010_Q4",10.40109375,"Up",680800000,-569500000,111300000,-74600000,-74600000,36700000,-7800000,-7500000,-3e+05,28900000,1e+07,-6400000,3600000,3600000,3600000,3600000,307900000,307900000,349400000,349400000,234300000,28100000,28100000,919700000,368100000,327200000,163700000,75900000,695300000,1.615e+09,445600000,310200000,135400000,19900000,465500000,4.34e+08,292400000,181700000,110700000,726400000,1191900000,423100000,423100000,1.615e+09,3600000,3600000,13700000,-17400000,41300000,41200000,-8e+06,-8e+06,-3554841.37550405,29500000,2300000,-132552836.664456,31800000,6.5e+07,6.5e+07,1800000,66800000,50400000,453900000,90100000,0.16348,0.05391,0.00529,0.00851,0.00223,25.02778,1.97573,2.81706,0.28105,0.03871,0.03754,7.32043,4.54946,0.96882,0.0513151884607875,6,0.00308,0.07705,4.05887887016197,2.89683,3.9782
"4","2011_Q1",11.1241935483871,"Up",617800000,-530800000,8.7e+07,-79400000,-79400000,7600000,-8400000,-8300000,-99999.9999999999,-8e+05,21300000,68600000,89900000,89900000,89900000,89900000,378100000,378100000,294500000,294500000,211300000,55100000,55100000,9.39e+08,374400000,358500000,164100000,64200000,732900000,1671900000,414800000,2.69e+08,145800000,2e+07,434800000,432900000,288200000,173900000,114300000,721100000,1155900000,5.16e+08,5.16e+08,1671900000,89900000,89900000,13700000,-105700000,60500000,58400000,-20600000,9400000,-3827420.68775202,-1200000,3500000,-45250945.5548187,2300000,70100000,70100000,99999.9999999998,70200000,21300000,452900000,-7400000,0.14082,0.0123,0.14552,0.17422,0.05377,-0.0823099999999961,2.15961,2.24012,0.27089,0.9574,0.93257,6.57934,5.49521,-0.07881,0.0463375942303937,4,0.07151,-0.00589000000000002,1.75786943508099,3.51174,9.84211
"5","2011_Q2",11.6714285714286,"Up",718500000,-595800000,122700000,-76800000,-76800000,45900000,-8700000,-8500000,-2e+05,37200000,171100000,-60900000,110200000,110200000,110200000,110200000,412400000,412400000,382500000,382500000,237900000,58300000,58300000,1091100000,379600000,357800000,170600000,75200000,737400000,1828500000,495300000,342200000,153100000,22489493.9616403,495300000,432900000,285100000,173300000,111800000,7.18e+08,1213300000,615200000,615200000,1828500000,110200000,110200000,14100000,-105100000,-58600000,-39400000,-7700000,105100000,-3875806.89591734,-2e+07,-12500000,-13600000,-32500000,33200000,33200000,1100000,34300000,6e+07,432900000,54600000,0.17077,0.06388,0.15338,0.17913,0.06027,0.49546,2.20291,1.9722,0.23675,1.17359,1.14315,7.65176,6.55165,0.58147,0.0428491980767979,4,0.08266,0.04095,0.555769811693662,0.34167,0.44662
"6","2011_Q3",10.8628125,"Down",768800000,-639600000,129200000,-78700000,-78700000,50500000,-6800000,-8400000,1600000,43700000,43700000,-15200000,28500000,28500000,28500000,28500000,416800000,416800000,397100000,397100000,255500000,41700000,41700000,1111100000,379400000,374200000,171700000,85900000,753600000,1864700000,526400000,365200000,161200000,22900000,549300000,4.1e+08,275800000,165400000,110400000,685800000,1235100000,629600000,629600000,1864700000,28500000,28500000,14300000,-6700000,-5600000,30500000,-12800000,-11600000,-3800000,0,-11600000,-14400000,-15400000,3500000,3500000,9e+05,4400000,64800000,432900000,61600000,0.16805,0.06569,0.03707,0.04527,0.01528,2.1614,2.02276,1.96172,0.23216,0.30612,0.29937,8.25779,6.76262,0.66165,0.04082,5,0.02414,0.04603,0.13333,0.24846,0.31881
"7","2011_Q4",9.03571428571428,"Down",735800000,-621800000,1.14e+08,-71500000,-71500000,42500000,-9200000,-8300000,-9e+05,33300000,33300000,-11700000,21600000,21600000,21600000,21600000,409800000,409800000,368100000,368100000,240200000,32900000,32900000,1.051e+09,3.65e+08,379100000,170400000,84700000,744100000,1795100000,4.88e+08,332100000,155900000,22900000,510900000,4.1e+08,265700000,156100000,109600000,675700000,1186600000,608500000,608500000,1795100000,21600000,21600000,1.4e+07,-11800000,4300000,28100000,-11600000,-7800000,-3700000,0,-22100000,-24600000,-25800000,-5500000,-5500000,-1500000,-7e+06,56500000,432900000,60900000,0.15493,0.05776,0.02936,0.0355,0.01203,2.81944,2.05715,1.95004,0.24116,0.23478,0.23052,7.99783,6.61413,0.66196,0.04022,7,0.01936,0.04659,0.1713,0.40885,0.54353
"8","2012_Q1",11.405,"Up",486300000,-422900000,63400000,-151300000,-151300000,-87900000,-8500000,-8500000,0,-96400000,-79200000,72300000,-6900000,12300000,12300000,12300000,191900000,191900000,3.21e+08,3.21e+08,243300000,8.4e+07,8.4e+07,840200000,397600000,840300000,395500000,102900000,1237900000,2078100000,439600000,294800000,144800000,3e+06,442600000,7.04e+08,343200000,222500000,120700000,1047200000,1489800000,588300000,588300000,2078100000,12300000,12300000,15100000,12800000,13100000,53300000,-2.2e+07,-508200000,-3600000,273200000,-20500000,-2.1e+07,237600000,-217300000,-217300000,-6e+05,-217900000,-72800000,7.07e+08,-1.54e+08,0.13037,-0.18075,0.02529,0.02091,0.00592,-12.52033,1.89833,2.53238,0.34021,0.13697,0.13384,5.41537,6.55122,-1.71492,0.04009,4,0.0097,-0.09399,0.29268,-7.07555,-5.86007
"9","2012_Q2",11.1101587301587,"Down",745500000,-613200000,132300000,-95300000,-95300000,3.7e+07,-13600000,-12300000,-1300000,23400000,23800000,-8500000,15300000,20200000,20200000,20200000,186300000,186300000,403600000,403600000,253600000,54500000,54500000,8.98e+08,393200000,837400000,393300000,95400000,1230600000,2128600000,465500000,3.58e+08,107500000,3e+06,468500000,703400000,3.43e+08,221800000,121200000,1046400000,1514900000,611300000,613700000,2128600000,20200000,20200000,17700000,-2900000,-55100000,-20100000,-7900000,1.1e+07,-3600000,-8e+05,4300000,-1400000,2300000,-6800000,-6800000,1200000,-5600000,54700000,706400000,2e+05,0.17746,0.04963,0.0271,0.03292,0.00949,0.0099,1.91676,2.46847,0.33186,0.22671,0.22271,8.367,6.86083,0.00224,0.0404,3,0.01431,0.00012,0.17822,9.50823,14.05676
"10","2012_Q3",12.8919047619048,"Up",756600000,-612600000,1.44e+08,-100700000,-100700000,43300000,-13300000,-12400000,-9e+05,3e+07,3e+07,-11600000,18400000,24600000,24600000,24600000,209300000,209300000,405700000,405700000,257300000,55400000,55400000,927700000,379300000,837200000,394200000,97600000,1216500000,2144200000,484700000,3.5e+08,134700000,3e+06,487700000,702800000,3.47e+08,212800000,134200000,1049800000,1537500000,604300000,606700000,2144200000,24600000,24600000,17900000,-9700000,19600000,52400000,-8800000,-8799999.99999994,-4400000,-699999.99999997,-13800000,-14500000,-18900000,24700000,24700000,-1700000,2.3e+07,61200000,705800000,83600000,0.19033,0.05723,0.03251,0.04055,0.01147,3.39837,1.90219,2.5342,0.32917,0.27609,0.27122,8.49158,6.78227,0.93827,0.04938,5,0.01748,0.05038,0.17886,8.11275,11.46651
