"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.58047619047619,"Up",520772000,-254859000,265913000,-175410000,-175410000,90503000,233000,233000,90736000,90669000,-34635000,56034000,56034000,56034000,56034000,203262000,178822000,262463000,262463000,507243000,56215000,43307000,1029183000,332103000,3779000,3779000,341092000,1370275000,162309000,65778000,74728000,162309000,17001000,17001000,17001000,179310000,2807000,1172703000,15455000,1190965000,1190965000,1370275000,56034000,10304000,2697000,9993000,79028000,-7453000,944000,-6509000,-58972000,653664.041479872,-58972000,13547000,13547000,423000,13970000,100807000,0,137982000,0.51061,0.17379,0.1076,0.04705,0.04089,2.46247,6.34089,0.15056,0,0.09502,0.09502,0.88308,2.01953,0.23398,0.1,35.9282158675111,0.09521,0.11423,1.05243,-2.01635,-2.24591
"2","2010_Q3",9.12296875,"Down",571183000,-273525000,297658000,-185783000,-185783000,111875000,289000,289000,112164000,112125000,-42958000,69167000,69167000,69167000,69167000,220856000,196392000,280823000,280823000,522214000,64593000,49833000,1088486000,344465000,3707000,3707000,353369000,1441855000,166164000,71435000,85788000,166164000,16822000,16822000,16822000,182986000,3807000,1241870000,13192000,1258869000,1258869000,1441855000,69167000,10134000,754000,-39556000,40499000,-22518000,44000,-22474000,0,0,0,18025000,18025000,-455000,17570000,122009000,0,102893000,0.52113,0.19587,0.12109,0.05494,0.04797,1.4876,6.55067,0.14536,0,0.11729,0.11716,0.96856,2.13468,0.17448,5.55111512312578e-17,21.1617151293393,0.05422,0.08066,2.22044604925031e-16,-1.81016,-1.97413
"3","2010_Q4",10.15109375,"Up",603750000,-291102000,312648000,-192140000,-192140000,120508000,191000,191000,120699000,120702000,-45708000,74994000,74994000,74994000,74994000,197206000,172565000,301721000,301721000,546063000,71813000,57103000,1116803000,343848000,3520000,3520000,352534000,1469337000,177143000,73605000,95225000,177143000,16819000,16819000,16819000,193962000,4822000,1254943000,15610000,1275375000,1275375000,1469337000,74994000,10044000,3693000,-41965000,46766000,-9408000,25000,-9383000,-61921000,0,-61921000,-24538000,-24538000,711000,-23827000,130552000,0,124887000,0.51784,0.1996,0.12421,0.0588,0.05104,1.66529,6.30453,0.15208,0,0.12717,0.12731,1.02379,2.16267,0.21177,0.105,11.9356431735022,0.10596,0.09665,0.82568,-1.51056,-1.63646
"4","2011_Q1",11.4104838709677,"Up",573766000,-275149000,298617000,-191779000,-191779000,106838000,238000,238000,107076000,107144000,-41983000,65161000,65161000,65161000,65161000,169760000,143693000,270133000,270133000,557369000,88436000,70539000,1085698000,363419000,14014000,14014000,382585000,1468283000,162185000,60474000,96412000,162185000,23586000,23586000,23586000,185771000,5837000,1258183000,18492000,1282512000,1282512000,1468283000,65161000,10273000,7181000,-8420000,74195000,-29759000,-11923000,-41682000,-61921000,0,-61921000,-29408000,-29408000,536000,-28872000,117111000,0,120915000,0.52045,0.1862,0.11357,0.05081,0.04438,1.85563,6.69419,0.14485,5.16987882845642e-26,0.11049,0.11049,0.97294,2.17477,0.20504,0.105,7,0.0973,0.09258,0.95028,-1.44956,-1.58895
"5","2011_Q2",12.3728571428571,"Up",640583000,-307203000,333380000,-204692000,-204692000,128688000,148000,148000,128836000,128811000,-49264000,79547000,79547000,79547000,79547000,151056000,124848000,325685000,325685000,576451000,79729000,61782000,1132921000,373498000,13646000,13646000,391692000,1524613000,209516000,68519000,92478000,209516000,23580000,23580000,23580000,233096000,6737000,1264015000,20765000,1291517000,1291517000,1524613000,79547000,10629000,3136000,-19028000,74284000,-20585000,683000,-19902000,-73715000,0,-73715000,-19333000,-19333000,488000,-18845000,139317000,0,148968000,0.52043,0.20089,0.12418,0.06159,0.05218,1.8727,5.40732,0.18048,0,0.13489,0.13463,1.08624,2.19004,0.25261,0.125,5.10478560883259,0.11654,0.11328,0.92668,-1.08426,-1.17382
"6","2011_Q3",12.62078125,"Up",701730000,-335497000,366233000,-215868000,-215868000,150365000,76000,76000,150441000,150182000,-56070000,94112000,94112000,94112000,94112000,115652000,89409000,357195000,357195000,608657000,90311000,72898000,1171815000,396461000,13595000,13595000,410056000,1581871000,204394000,83120000,100428000,204394000,23306000,23306000,23306000,227700000,12990000,1319795000,21386000,1354171000,1354171000,1581871000,94112000,11031000,3410000,-81560000,26993000,-34104000,4415000,-29689000,-38332000,5353000,-32979000,-35675000,-35675000,236000,-35439000,161396000,8.88178419700125e-16,101802000,0.5219,0.21428,0.13411,0.0695,0.05949,1.08171,5.73312,0.16815,0,0.15953,0.159,1.18948,2.2954,0.17256,0.06498,5,0.09615,0.0739,0.4073,-0.71657,-0.76914
"7","2011_Q4",14.7609523809524,"Up",726742000,-349361000,377381000,-222257000,-222257000,155124000,94000,94000,155218000,155319000,-58520000,96799000,96799000,96799000,96799000,137251000,111048000,361075000,361075000,618149000,100889000,84387000,1217364000,420388000,13268000,13268000,433656000,1651020000,218869000,86839000,108568000,218869000,23325000,23325000,23325000,242194000,17269000,1378227000,13330000,1408826000,1408826000,1651020000,96799000,11226000,4287000,-19408000,92904000,-34904000,219000,-34685000,-38367000,2353000,-35213000,23006000,23006000,-1367000,21639000,166350000,0,170558000,0.51928,0.21345,0.1332,0.06871,0.05863,1.76198,5.56207,0.17191,0,0.16398,0.16356,1.23115,2.38665,0.28894,0.065,5,0.09438,0.11909,0.39636,-0.82507,-0.88478
"8","2012_Q1",18.9154838709677,"Up",697804000,-340626000,357178000,-216552000,-216552000,140626000,154000,154000,140780000,140769000,-53298000,87471000,87471000,87471000,87471000,144841000,117676000,338594000,338594000,646152000,106551000,89833000,1236138000,435601000,13209000,13209000,448810000,1684948000,187818000,73779000,111962000,187818000,38154000,38154000,38154000,225972000,19809000,1424371000,14796000,1458976000,1458976000,1684948000,87471000,11820000,18375000,-43358000,74308000,-26896000,-1051000,-27947000,-41327000,1233000,-39912000,6448999.99999999,6448999.99999999,179000,6628000,152446000,0,135490000,0.51186,0.20153,0.12535,0.05995,0.05191,1.54897,6.58157,0.15488,0,0.14814,0.14766,1.18179,2.4709,0.22946,0.06999,4,0.08603,0.0905,0.47247,-0.95011,-1.02997
"9","2012_Q2",16.8720634920635,"Down",768875000,-374698000,394177000,-232970000,-232970000,161207000,96000,96000,161303000,161129000,-60935000,100194000,100194000,100194000,100194000,226072000,198878000,386882000,386882000,647886000,89135000,74297000,1349975000,450239000,13118000,13118000,463357000,1813332000,236227000,76113000,113096000,236227000,38137000,38137000,38137000,274364000,46841000,1474368000,17759000,1538968000,1538968000,1813332000,100194000,12563000,5416000,14015000,132188000,-27227000,-86000,-27313000,-50197000,18285000,-24215000,80660000,80660000,542000,81202000,173770000,0,221493000,0.51267,0.20967,0.13031,0.0651,0.05525,2.21064,5.71474,0.17828,0,0.16951,0.16872,1.3008,2.60367,0.37473,0.08492,6,0.09536,0.14044,0.501,-1.30098,-1.40237
"10","2012_Q3",16.4309523809524,"Down",804890000,-389739000,415151000,-236538000,-236538000,178613000,144000,144000,178757000,179039000,-66733000,112306000,112306000,112306000,112306000,213082000,185916000,399993000,399993000,662689000,102332000,88591000,1378096000,459652000,12999000,12999000,472651000,1850747000,210519000,81243000,119279000,210519000,39331000,39331000,39331000,249850000,50213000,1536342000,14342000,1600897000,1600897000,1850747000,112306000,13446000,-2582000,-64927000,58243000,-22428000,-2000,-22430000,-50332000,1916000,-48010000,-12197000,-12197000,-765000,-12962000,192059000,-2.27373675443232e-13,171437000,0.51579,0.22191,0.13953,0.07015,0.06068,1.52652,6.54618,0.15607,1.05879118406788e-22,0.18964,0.18899,1.35911,2.70321,0.28948,0.08499,5,0.09916,0.10452,0.44817,-1.10946,-1.19298
