"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",35.7861904761905,"Up",557100000,-317500000,-49200000,-252900000,238700000,5300000,5300000,2.44e+08,2.44e+08,-9.1e+07,1.53e+08,1.53e+08,1.53e+08,1.53e+08,1648400000,764100000,2.59e+08,2.59e+08,1907400000,518900000,191500000,774600000,665700000,108900000,1.485e+09,3392400000,225300000,77800000,64600000,82900000,225300000,385500000,570300000,51900000,518400000,2323100000,113500000,3006900000,3006900000,3392400000,1.53e+08,15500000,-123500000,68100000,113100000,-2.5e+07,-4400000,-1400000,-30800000,-7e+07,-2100000,10600000,-61500000,20800000,20800000,20800000,254200000,0,388300000,0.42847,0.27464,0.05088,0.0451,2.53791,8.46605,0.12821,0,0.59256,0.57476,2.15763,11.64562,1.50387,0.27111,0.07041,0.1226,0.45752,-6.48466,-6.90574
"2","2010_Q3",32.68140625,"Down",578300000,-324300000,-45900000,-262900000,253100000,3900000,3900000,2.57e+08,2.57e+08,-98500000,158500000,158500000,158500000,158500000,1569400000,735100000,257100000,257100000,1826500000,543900000,200200000,832400000,665700000,166700000,1576500000,3.403e+09,280800000,101300000,35500000,1.44e+08,280800000,443700000,465200000,51400000,413800000,2410800000,83300000,2959300000,2959300000,3.403e+09,158500000,15600000,2.3e+07,-1600000,195500000,-4.3e+07,-2100000,-3500000,-48600000,-69800000,-117600000,11500000,-175900000,-2.9e+07,-2.9e+07,-2.9e+07,268700000,0,322600000,0.43766,0.27408,0.05356,0.04658,2.03533,6.50463,0.14993,0,0.61387,0.59631,2.23974,11.46127,1.24942,0.27033,0.07312,0.10332,0.44038,-5.84071,-6.20071
"3","2010_Q4",39.890625,"Up",5.87e+08,-324200000,-46900000,-261400000,261900000,8900000,8900000,270800000,270800000,-101700000,169100000,169100000,169100000,169100000,1719400000,810400000,275200000,275200000,1994600000,557400000,195500000,815800000,665700000,150100000,1568700000,3563300000,335200000,80600000,42600000,2.12e+08,335200000,498900000,469600000,51300000,418300000,2477600000,117200000,3064400000,3064400000,3563300000,169100000,1.6e+07,23200000,5.1e+07,259300000,-33400000,-8e+06,-7e+05,-42100000,-69100000,-78200000,5400000,-141900000,75300000,75300000,75300000,277900000,0,397200000,0.44617,0.28807,0.05518,0.04746,2.34891,5.95048,0.16281,0,0.66184,0.64591,2.29746,11.99374,1.5546,0.27045,0.07379,0.12304,0.40863,-6.18712,-6.5651
"4","2011_Q1",45.6374193548387,"Up",644800000,-364700000,-5.4e+07,-294900000,282800000,15400000,15400000,298200000,298200000,-106600000,191600000,191600000,191600000,191600000,1745700000,813100000,307900000,307900000,2053600000,560300000,209700000,818400000,665700000,152700000,1588400000,3.642e+09,185100000,79400000,33800000,71900000,185100000,345500000,5.58e+08,51700000,506300000,2599400000,139100000,3296500000,3296500000,3.642e+09,191600000,15900000,15600000,-201800000,21300000,-16600000,-8e+05,5600000,-11800000,-7e+07,40900000,22300000,-6800000,2699999.99999997,2699999.99999997,2700000.00000003,298700000,2.46519032881566e-32,186900000,0.43859,0.29715,0.05812,0.05261,0.97547,11.09454,0.10481,-2.86985925493723e-42,0.74582,0.71868,2.50993,12.83184,0.72752,0.27248,0.07567,0.05407,0.36534,-5.84433,-6.17291
"5","2011_Q2",43.104126984127,"Down",681900000,-370900000,-53100000,-301200000,311500000,3900000,3900000,315400000,315400000,-120800000,194600000,194600000,194600000,194600000,2027400000,1064900000,321400000,321400000,2348800000,551800000,211100000,774300000,665700000,108600000,1537200000,3.886e+09,265300000,80700000,88400000,96200000,265300000,430100000,588200000,51900000,536300000,2713300000,154400000,3455900000,3455900000,3.886e+09,194600000,16700000,21400000,103300000,3.36e+08,-11700000,-4600000,-7e+05,-1.7e+07,-80700000,-4800000,18300000,-67200000,251800000,251800000,251800000,328200000,0,540600000,0.45681,0.28538,0.05631,0.05008,2.77801,8.85337,0.12445,0,0.75222,0.72477,2.63587,13.35872,2.08968,0.31194,0.07604,0.14931,0.4147,-6.17733,-6.50851
"6","2011_Q3",37.12953125,"Down",714200000,-387100000,-49500000,-319700000,326600000,5600000,5600000,332200000,332200000,-127500000,204700000,204700000,204700000,204700000,2014700000,1022700000,3.24e+08,3.24e+08,2338700000,555700000,216100000,771900000,665700000,106200000,1543700000,3882400000,302700000,94400000,29400000,178900000,302700000,469600000,511700000,51300000,460400000,2744200000,156900000,3412800000,3412800000,3882400000,204700000,1.8e+07,2.5e+07,26800000,274500000,-21300000,-25400000,-2700000,-49400000,-8e+07,-193700000,6400000,-267300000,-42200000,-42200000,-42200000,344600000,3.94430452610506e-31,477600000,0.45729,0.28661,0.05998,0.05273,2.33317,7.72613,0.1376,-4.59177480789956e-41,0.79372,0.76753,2.76929,13.23304,1.85188,0.3102,0.07953,0.13342,0.39082,-5.84649,-6.16871
"7","2011_Q4",37.7252380952381,"Up",679400000,-384200000,-48200000,-317500000,295200000,1300000,1300000,296500000,296500000,-1.11e+08,185500000,185500000,185500000,185500000,1938500000,1001400000,295800000,295800000,2234300000,555100000,216100000,834100000,665700000,168400000,1605300000,3839600000,3.97e+08,100100000,34200000,262700000,3.97e+08,5.7e+08,519100000,50500000,468600000,2655400000,95100000,3269600000,3269600000,3839600000,185500000,18600000,27400000,98500000,3.3e+08,-16500000,-46500000,-2500000,-65500000,-78600000,-2.22e+08,14800000,-285800000,-21300000,-21300000,-21300000,313800000,0,506800000,0.4345,0.27304,0.05673,0.04831,2.73208,5.62796,0.17433,0,0.73176,0.71401,2.68008,12.89783,1.99921,0.31006,0.07672,0.14721,0.42372,-6.1775,-6.56673
"8","2012_Q1",43.1072580645161,"Up",671600000,-3.78e+08,-5.5e+07,-3.04e+08,293600000,12900000,12900000,306500000,306500000,-118100000,188400000,188400000,188400000,188400000,1860800000,897900000,304500000,304500000,2165300000,567400000,206300000,831300000,665700000,165600000,1.605e+09,3770300000,176100000,82900000,3e+07,63200000,176100000,349600000,552700000,50700000,5.02e+08,2765200000,102800000,3420700000,3420700000,3770300000,188400000,19100000,20900000,-220500000,7899999.99999994,-32800000,1400000,-1700000,-33100000,-78600000,-8599999.99999997,8900000,-78300000,-103500000,-103500000,-103500000,312700000,-6.3108872417681e-30,177500000,0.43716,0.28052,0.05508,0.04997,0.94214,12.29585,0.1022,-3.67341984631965e-40,0.74673,0.72967,2.66191,13.55807,0.70353,0.31153,0.07429,0.04939,0.4172,-5.95075,-6.33787
"9","2012_Q2",42.8873015873016,"Down",728700000,-412500000,-55900000,-337500000,316200000,5100000,5100000,321300000,321300000,-123800000,197500000,197500000,197500000,197500000,2123500000,1103500000,322500000,322500000,2.446e+09,564700000,280300000,785900000,665700000,120200000,1630900000,4076900000,275400000,82800000,88700000,103900000,275400000,446800000,615100000,5.1e+07,564100000,2875900000,139100000,3630100000,3630100000,4076900000,197500000,19200000,24100000,2.5e+07,265800000,-18600000,13700000,-4400000,-9300000,-86800000,24100000,11800000,-50900000,205600000,205600000,205600000,335400000,0,465600000,0.43392,0.27103,0.05441,0.04844,2.35747,8.88163,0.12308,0,0.78032,0.7567,2.8791,14.34255,1.83959,0.34295,0.07479,0.12248,0.43949,-6.33125,-6.71569
"10","2012_Q3",44.3055555555556,"Up",736800000,-408800000,-51200000,-337700000,3.28e+08,7400000,7400000,335400000,335400000,-128600000,206800000,206800000,206800000,206800000,2107100000,972300000,324200000,324200000,2431300000,564400000,298700000,822500000,665700000,156800000,1685600000,4116900000,293600000,86200000,15700000,191700000,293600000,459100000,552600000,50800000,501800000,2.983e+09,122200000,3657800000,3657800000,4116900000,206800000,2e+07,-65900000,67800000,228700000,-1.8e+07,-144100000,-3300000,-165400000,-86300000,-114200000,6e+06,-194500000,-131200000,-131200000,-131200000,3.48e+08,0,526400000,0.44517,0.28067,0.05654,0.05023,2.54545,8.28099,0.12551,-5.87747175411144e-39,0.8161,0.79355,2.90766,14.43489,2.07735,0.34057,0.07666,0.13768,0.41731,-6.05489,-6.42409
