"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.6206349206349,"Up",482400000,-6.4e+07,418400000,-3.65e+08,-343400000,-21600000,53400000,-8600000,-8600000,44800000,-1900000,42900000,-13700000,29200000,29200000,29200000,29200000,-229492561.854636,-229492561.854636,2635899470.13676,2635899470.13676,2406406908.28212,85262720.1528277,1785002549.94103,570248176.886724,800675488.401787,291612812.156534,122466072.49599,1870265270.09386,4276672178.37598,2464979165.95151,2464979165.95151,4993141.99120603,61773661.6605544,61773661.6605544,2531763706.87802,397560730.63458,262370184.362509,262370184.362509,659930914.997089,3191694621.87511,611883535.636874,108287530.898917,503596004.737957,509216491.284709,-36122470.5072596,1084977556.41432,1084977556.50088,4276672178.37598,29200000,29200000,21600000,-41500000,1e+06,-42500000,-5800000,3.2e+07,-25300000,-12500000,3500000,-6e+06,-4300000,-4300000,12900000,2600000,-32800000,3.5e+07,11800000,1.2e+07,1100000,15100000,21200000,21200000,-324629410.93504,21200000,7.5e+07,0,76900000,0.86733,0.1107,0.06053,0.103694900488775,0.0293333731665921,2.63356,0.862291325448255,3.05206315576784,0.0827153926967006,0.29055,0.13718,4.8,10.873889721304,0.76517,0.32637,0.0753561698954633,-0.413140856426147,1.12329,12.4430110609376,22.2246249543054
"2","2010_Q3",18.01859375,"Up",459500000,-7.45058059692383e-09,459500000,-387800000,-363200000,-24600000,71700000,-8700000,-8700000,6.3e+07,9e+05,63900000,-2.2e+07,41900000,4.4e+07,4.4e+07,4.4e+07,2.3e+08,2.3e+08,1593600000,1593600000,1823600000,7.9e+07,1653200000,4.31e+08,780400000,255400000,186400000,1732200000,3555800000,1646600000,1646600000,0,43300000,43300000,1689900000,5.5e+08,350500000,350500000,900500000,2590400000,522400000,105200000,417200000,456300000,-13300000,965400000,965400000,3555800000,41900000,41900000,24600000,-24600000,2900000,-27500000,45200000,-228900000,247600000,26500000,87100000,-7e+06,-20700000,-20700000,3e+05,-28400000,-33100000,-3.5e+07,1.1e+07,11100000,1300000,-55800000,2900000.00000003,2900000.00000003,-149315685.832022,2899999.99999997,96300000,5.5e+08,156500000,1,0.15604,0.09576,0.04558,0.01237,3.55682,1.07912,2.68324,0.15468,0.42471,0.2067,4.43533,9.31853,1.51062,0.3195,0.04132,0.08387,0.75227,3.32295,4.46304
"3","2010_Q4",20.188125,"Up",463200000,0,463200000,-388100000,-365300000,-22800000,75100000,-8600000,-8600000,66500000,3900000,70400000,-24200000,46200000,46200000,46200000,46200000,296300000,296300000,1393600000,1393600000,1689900000,75800000,1.695e+09,435600000,824400000,244900000,190100000,1770800000,3460700000,1493800000,1493800000,0,38500000,38500000,1532300000,5.5e+08,3.67e+08,3.67e+08,9.17e+08,2449300000,545600000,1.06e+08,439600000,468400000,-2600000,1011400000,1011400000,3460700000,46200000,46200000,22800000,-4100000,2800000,-6900000,57900000,222900000,-165600000,6e+05,122800000,-5100000,-19200000,-19200000,-1e+05,-24400000,-33800000,0,3e+06,3300000,-1300000,-32100000,66300000,66300000,-45755882.1870081,66300000,97900000,5.5e+08,174900000,1,0.16213,0.09974,0.04568,0.01335,3.78571,1.10285,2.42169,0.15893,0.43833,0.43833,4.39469,9.59583,1.65939,0.32068,0.04149,0.0907,0.7316,2.59142,3.37816
"4","2011_Q1",21.8083870967742,"Up",459100000,0,459100000,-424300000,-400200000,-24100000,34800000,-8700000,-8700000,26100000,-3e+05,25800000,20200000,4.6e+07,54700000,54700000,54700000,249800000,249800000,1476200000,1476200000,1.726e+09,75800000,1794200000,483500000,883700000,245200000,181800000,1.87e+09,3.596e+09,1537300000,1537300000,0,4e+07,4e+07,1577300000,5.5e+08,3.62e+08,3.62e+08,9.12e+08,2489300000,616200000,108400000,507800000,488300000,2200000,1106700000,1106700000,3.596e+09,4.6e+07,4.6e+07,24100000,55300000,2300000,5.3e+07,-107600000,-28700000,-68200000,-10700000,17800000,-7e+06,-35900000,-35900000,-5e+05,-44100000,-33800000,7.45058059692383e-09,10100000,10300000,3e+05,-23400000,-49700000,-49700000,3200000,-46500000,58900000,5.5e+08,-75900000,1,0.0758,0.11915,0.04943,0.01521,-1.38757,1.09428,2.2493,0.15295,0.51313,0.51313,4.30675,10.3818,-0.71201,0.31707,0.04384,-0.0376,0.61792,5.09677,8.62644
"5","2011_Q2",21.3050793650794,"Down",447400000,6156548.91347842,484044998.131635,-413600000,-389100000,-24500000,33800000,-9500000,-9500000,24300000,-8e+05,23500000,-8300000,15200000,15200000,15200000,15200000,333200000,333200000,1416600000,1416600000,1749800000,79400000,1861900000,489900000,925500000,242500000,2.04e+08,1941300000,3691100000,1443700000,1443700000,0,41600000,41600000,1485300000,6.75e+08,383700000,383700000,1058700000,2.544e+09,673800000,110300000,563500000,466800000,6500000,1147100000,1147100000,3691100000,15200000,15200000,24500000,-39800000,8e+05,-40600000,-8300000,45100000,-53400000,0,-8400000,-8300000,-19100000,-19100000,1200000,-26200000,-34700000,1.25e+08,2.6e+07,26300000,1700000,1.18e+08,83400000,83400000,14701960.7290027,83400000,58300000,6.75e+08,5e+07,1.01069686716867,0.07555,0.03397,0.01325,0.00412,3.28947,1.17808,2.21777,0.18287,0.13907,0.13907,4.09332,10.49497,0.45746,0.31747,0.02262,0.02267,2.28289,5.86278,10.11243
"6","2011_Q3",20.30328125,"Down",546100000,9081420.12915365,526646911.065146,-460400000,-4.33e+08,-27400000,7.4e+07,-10600000,-10600000,63400000,2500000,65900000,-24200000,41700000,41700000,41700000,41700000,263200000,263200000,2152800000,2152800000,2.416e+09,87700000,2078200000,562400000,1072900000,234100000,208800000,2165900000,4581900000,2208400000,2208400000,3.5e+07,43700000,43700000,2287100000,6.75e+08,4.17e+08,4.17e+08,1.092e+09,3379100000,727800000,112200000,615600000,471300000,3700000,1202800000,1202800000,4581900000,41700000,41700000,27400000,-15500000,8e+06,-23500000,51100000,-260900000,315200000,-3200000,104700000,-1.4e+07,-195400000,-195400000,10800000,-198600000,-36900000,3.5e+07,19600000,20400000,3e+05,1.8e+07,-75900000,-75900000,5900000.00000001,-7e+07,101400000,7.1e+08,162700000,1.01541888334824,0.13551,0.07636,0.03467,0.0091,3.90168,1.05636,2.80936,0.15496,0.37534,0.37534,4.91539,10.82628,1.46445,0.33213,0.03374,0.06983,0.88489,4.40631,6.03784
"7","2011_Q4",22.9196825396825,"Up",562800000,-699999.999999999,562100000,-485100000,-455700000,-29400000,7.7e+07,-10300000,-10300000,66700000,4300000,7.1e+07,-24300000,46700000,46700000,46700000,46700000,241400000,241400000,1847300000,1847300000,2088700000,90500000,2.068e+09,5.56e+08,1092900000,214200000,204900000,2158500000,4247200000,1910900000,1910900000,0,32700000,32700000,1943600000,6.75e+08,409300000,409300000,1084300000,3027900000,7.51e+08,112900000,638100000,480400000,-12100000,1219300000,1219300000,4247200000,46700000,46700000,29400000,26400000,2600000,23800000,-13200000,3.11e+08,-3.42e+08,17800000,89300000,-1.3e+07,-27300000,-27300000,-3e+06,-43300000,-3.7e+07,-3.5e+07,8100000,8100000,2e+05,-63700000,-17700000,-17700000,-4100000,-21800000,106400000,6.75e+08,104500000,0.99876,0.13682,0.08298,0.0383,0.011,2.23769,1.07466,2.48331,0.15893,0.41474,0.41474,4.99822,10.8286,0.92806,0.3286,0.03633,0.04536,0.79229,4.07519,5.63117
"8","2012_Q1",26.1032258064516,"Up",578400000,-19600000,558800000,-501200000,-467300000,-33900000,57600000,-10400000,-10400000,47200000,2e+05,47400000,-6900000,40500000,40500000,40500000,40500000,291200000,291200000,1908200000,1908200000,2199400000,91300000,2192800000,561500000,1155300000,240200000,235800000,2284100000,4483500000,1995700000,1995700000,1e+07,67900000,67900000,2073600000,6.75e+08,491300000,491300000,1166300000,3239900000,807900000,114700000,693200000,482900000,-47200000,1243600000,1243600000,4483500000,40500000,40500000,33900000,79200000,2900000,76300000,-55200000,-43099999.9999999,24399999.9999999,-36500000,98400000,-10600000,-2.3e+07,-2.3e+07,-9500000,-43100000,-37200000,1e+07,1.9e+07,19100000,1500000,-6700000,48600000,48600000,1200000,49800000,91500000,6.85e+08,32600000,0.96611,0.09959,0.07002,0.03257,0.00903,0.80494,1.06067,2.60526,0.15278,0.35589,0.35589,5.0826,10.92794,0.28647,0.32689,0.03211,0.01347,0.91852,4.30383,6.83681
"9","2012_Q2",27.0363492063492,"Up",546800000,-17700000,529100000,-483500000,-452700000,-30800000,45600000,-10600000,-10600000,3.5e+07,-2500000,32500000,-4400000,28100000,28100000,28100000,28100000,301800000,301800000,1923200000,1923200000,2.225e+09,95700000,2.282e+09,598400000,1195600000,236500000,251500000,2377700000,4602700000,1926300000,1926300000,9.2e+07,25900000,25900000,2044200000,6.75e+08,526900000,526900000,1201900000,3246100000,922100000,118300000,803800000,470500000,-3.6e+07,1356600000,1356600000,4602700000,28100000,28100000,30800000,-68700000,1e+06,-69700000,-39800000,-2.7e+07,-16400000,3600000,-49600000,-1.3e+07,-17200000,-17200000,17900000,-12300000,-38800000,8.2e+07,26700000,26700000,-2e+05,69700000,7800000,7800000,2800000,10600000,76400000,7.67e+08,2.8e+07,0.96763,0.08339,0.05139,0.02071,0.00611,0.99644,1.08845,2.39282,0.16664,0.24141,0.24141,4.69759,11.65464,0.24055,0.33333,0.02524,0.01056,1.38078,6.08901,10.20175
"10","2012_Q3",27.7073015873016,"Up",649900000,-2.9e+07,620900000,-524200000,-487800000,-36400000,96700000,-10800000,-10800000,85900000,5200000,91100000,-19400000,71700000,71700000,71700000,71700000,282100000,282100000,2349700000,2349700000,2631800000,100900000,2400900000,644900000,1285900000,237700000,232400000,2501800000,5133600000,2356400000,2356400000,4.8e+07,37600000,37600000,2.442e+09,6.75e+08,543700000,543700000,1218700000,3660700000,1020300000,1.21e+08,899300000,500700000,-48100000,1472900000,1472900000,5133600000,71700000,71700000,36400000,-111500000,2300000,-113800000,1.16e+08,-271600000,366800000,20800000,112600000,-13600000,-59900000,-59900000,3500000,-7e+07,-39800000,-4.4e+07,21900000,21900000,2400000,-59500000,-16900000,-16900000,-2800000,-19700000,133100000,7.23e+08,254900000,0.95538,0.14879,0.11032,0.04868,0.01397,3.55509,1.07772,2.48537,0.14084,0.5995,0.5995,5.43395,12.31522,2.13127,0.33278,0.0407,0.09304,0.55509,3.31255,4.55946
