"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.5126984126984,"Up",323700000,-133900000,189800000,-107400000,-67200000,-40200000,82400000,-3.7e+07,-37100000,1e+05,45400000,-295479606.667767,45400000,-22600000,22800000,22800000,22800000,-2600000,20200000,94628060.7530333,94628060.7530333,219888304.366067,219888304.366067,-5695600.36234792,7793818.19896449,37316082.0229674,-13113412.7189063,316614582.955717,1275928633.65248,1257060835.45337,346583742.450239,589386225.505146,68856344.8588909,2532983704.13255,2849598287.08826,301539723.732633,202415000.763882,58170030.6296378,40954692.3391131,6930304.7943558,149286442.261766,46991590.0718384,7875439.53504797,94419412.6548794,457756470.788754,2662022628.96131,595899814.045116,428134860.822914,167764953.086204,3257922443.00642,3715678913.79518,129400000,2582099054.06328,-3359155097.33814,-216759270.027346,-866080626.706914,-866080626.706914,2849598287.08826,22800000,40200000,2.7e+07,-19200000,70800000,-27300000,-27300000,-27300000,1e+05,-27600000,-2600000,514500000,-1300000,510600000,553800000,553800000,553800000,122600000,0,98700000,0.58635,0.25456,0.0624,0.246213870392302,-0.0604282960340071,4.88614,0.525450288928291,-3.99447555415199,0.935208163725294,0.47597,0.46933,7.62724,-22.7497028115889,2.32564,0.06126,-0.0669603628564392,0.0136787209349347,0.12871,29.4478022595907,48.7823103866405
"2","2010_Q3",13.8140625,"Down",338600000,-1.46e+08,192600000,-108500000,-67200000,-41300000,84100000,-42600000,-42400000,-2e+05,41500000,-24700000,16800000,-7200000,9600000,9600000,9600000,-2600000,7e+06,17100000,17100000,165900000,165900000,2.2e+07,74400000,20300000,5e+05,279400000,1265800000,1057700000,3.45e+08,397200000,72400000,2323500000,2602900000,161900000,91800000,34400000,35700000,21900000,108800000,49500000,15800000,43500000,292600000,2469700000,465500000,312900000,152600000,2935200000,3227800000,129400000,2.618e+09,-3234500000,-135500000,-624900000,-624900000,2602900000,9600000,41300000,2e+07,-16300000,54600000,-30900000,-30900000,-30900000,3e+05,-555200000,-2600000,-24200000,-32300000,-59100000,-559700000,-559700000,-559700000,125400000,2491600000,85400000,0.56881,0.24838,0.02067,-0.0112,0.00269,12.2,0.95489,-5.16531,0.95724,0.17015,0.17015,8.23043,-18.33495,2.07584,0.0632,0.00412,0.03662,0.37143,19.73285,29.42331
"3","2010_Q4",12.70078125,"Down",351900000,-152800000,199100000,-116500000,-68300000,-48200000,82600000,-5.2e+07,-5.2e+07,0,30600000,0,30600000,-16100000,14500000,14500000,14500000,-2600000,11900000,34200000,34200000,170500000,170500000,25700000,66400000,11900000,2200000,296800000,1261800000,1034400000,3.43e+08,382200000,70300000,2296200000,2.593e+09,165100000,88100000,3.4e+07,4.3e+07,21600000,1.01e+08,4.9e+07,15900000,36100000,287700000,2.458e+09,458700000,307300000,151400000,2916700000,3204400000,129400000,2616700000,-3.22e+09,-135200000,-611400000,-611400000,2.593e+09,14500000,48200000,17700000,-1200000,79200000,-4.3e+07,-4.3e+07,-4.3e+07,1e+05,-44600000,-2600000,-14400000,-5e+05,-17500000,17100000,17100000,17100000,130800000,2479600000,102700000,0.56579,0.23473,0.03382,-0.01946,0.00459,8.63025,1.03163,-5.24109,0.95627,0.29573,0.29138,8.74503,-18.40954,2.55219,0.06461,0.00623,0.04414,0.21849,18.69572,29.60533
"4","2011_Q1",13.6491935483871,"Up",362800000,-171800000,1.91e+08,-1.18e+08,-68200000,-49800000,7.3e+07,-5.4e+07,-53700000,-3e+05,1.9e+07,-44600000,-25600000,7e+06,-18600000,-18600000,-18600000,-2600000,-21200000,77300000,77300000,184200000,184200000,20900000,40500000,1e+07,9e+05,322900000,1264400000,1066300000,341700000,422200000,66400000,2330700000,2653600000,205800000,110200000,46600000,4.9e+07,16500000,106400000,48100000,13500000,44800000,328700000,2507100000,485600000,333100000,152500000,2992700000,3321400000,129400000,2603500000,-3238600000,-1.6e+08,-667800000,-667800000,2653600000,-18600000,49800000,32300000,31900000,95400000,-48500000,-48500000,-48500000,4e+05,-48099999.9999999,-2600000,1.8e+07,-10100000,-4200000.00000001,43100000.0000001,43100000.0000001,43100000.0000001,122800000,2523600000,99200000,0.52646,0.20121,-0.05843,0.03175,-0.00799,-4.67925,0.98235,-4.97364,0.95101,-0.52736,-0.52736,9.02488,-19.83085,2.46766,0.06468,-0.00794,0.04237,-0.12264,19.92101,33.51096
"5","2011_Q2",14.8190476190476,"Up",360800000,-159200000,201600000,-1.13e+08,-64600000,-48400000,88600000,-54500000,-54500000,0,34100000,-2200000,31900000,-1.4e+07,17900000,17900000,17900000,-2600000,15300000,8.4e+07,8.4e+07,165600000,165600000,21400000,47700000,12400000,4200000,318700000,1274300000,1043200000,341700000,4.06e+08,64400000,2317500000,2636200000,189500000,87500000,59300000,42700000,16300000,106500000,49100000,13500000,43900000,312300000,2.507e+09,467300000,319900000,147400000,2974300000,3286600000,129400000,2601800000,-3220700000,-158800000,-650400000,-650400000,2636200000,17900000,48400000,10200000,-11500000,6.5e+07,-52400000,-52400000,-52400000,1e+05,-52300000,-2600000,-3e+06,-4e+05,-6e+06,6700000,6700000,6700000,1.37e+08,2523300000,87100000,0.55876,0.24557,0.04241,-0.02352,0.0058,5.69281,1.02049,-5.0532,0.95717,0.38675,0.38288,9.12032,-19.71183,2.20172,0.06572,0.00765,0.03722,0.16993,17.80511,27.5316
"6","2011_Q3",16.11875,"Up",367500000,-1.69e+08,198500000,-115400000,-66600000,-48800000,83100000,-53400000,-53400000,0,29700000,-5500000,24200000,-10700000,13500000,13500000,13500000,-2600000,10900000,90100000,90100000,1.8e+08,1.8e+08,18600000,5.1e+07,14500000,3200000,339700000,1296100000,1022700000,341700000,390100000,64600000,2318800000,2658500000,189400000,95600000,45800000,4.8e+07,17500000,102300000,49300000,14500000,38500000,309200000,2506900000,4.76e+08,310500000,165500000,2982900000,3292100000,129400000,2599700000,-3207200000,-153400000,-633600000,-633600000,2658500000,13500000,48800000,14700000,-24100000,52900000,-40100000,-40100000,-40100000,-3e+05,-40400000,-2600000,-2800000,-1e+06,-6400000,6100000,6100000,6100000,131900000,2524400000,78400000,0.54014,0.22612,0.02966,-0.0172,0.0041,7.19266,1.09864,-5.19586,0.94956,0.27525,0.27034,9.2803,-19.26768,1.9798,0.06566,0.0057,0.03312,0.23853,18.45565,29.29362
"7","2011_Q4",15.1912698412698,"Down",368800000,-174600000,194200000,-115600000,-66500000,-49100000,78600000,-53300000,-53300000,0,25300000,7700000,3.3e+07,-15400000,17600000,17600000,17600000,-2600000,1.5e+07,90700000,90700000,178600000,178600000,23800000,53600000,11700000,6500000,346700000,1338500000,998600000,340900000,371900000,64200000,2337100000,2683800000,203100000,98900000,58500000,45700000,17200000,103700000,48400000,1.7e+07,38300000,3.24e+08,2508800000,477100000,3.04e+08,173100000,2985900000,3309900000,129400000,2588300000,-3189600000,-152100000,-626100000,-626100000,2683800000,17600000,49100000,8200000,5700000,80600000,-64700000,-74500000,-74500000,-1e+05,-64800000,-2600000,-2800000,1e+05,-15200000,6e+05,6e+05,6e+05,127700000,2.526e+09,84100000,0.52657,0.21312,0.04067,-0.02396,0.00559,5.60667,1.07006,-5.28654,0.9412,0.38187,0.37388,9.389,-19.23371,2.14104,0.06619,0.0074,0.03538,0.17333,19.07048,30.98346
"8","2012_Q1",18.525,"Up",365300000,-174500000,190800000,-118600000,-65400000,-53200000,72200000,-54700000,-53800000,-9e+05,17500000,-6.3e+07,-45500000,15100000,-30400000,-30400000,-30400000,-2600000,-3.3e+07,73700000,73700000,179400000,179400000,23800000,44100000,11200000,2700000,3.21e+08,1400500000,993200000,290600000,423500000,62200000,2393700000,2714700000,231600000,133400000,45600000,52600000,1.3e+07,111800000,48200000,15500000,48100000,356400000,2520600000,552900000,389900000,1.63e+08,3073500000,3429900000,129400000,2586600000,-3.22e+09,-208900000,-715200000,-715200000,2714700000,-30400000,53200000,38300000,30300000,91400000,-86800000,-88500000,-88500000,-4e+05,-87200000,-2600000,-2500000,-1.6e+07,-21200000,-1.7e+07,-1.7e+07,-1.7e+07,125400000,2533600000,53800000,0.52231,0.19765,-0.09034,0.04614,-0.01216,-1.6303,0.90067,-4.79572,0.93329,-0.84615,-0.83333,9.36667,-21.65641,1.37949,0.06667,-0.01282,0.02269,-0.07879,19.61643,34.07064
"9","2012_Q2",18.1873015873016,"Down",362800000,-165800000,1.97e+08,-115100000,-6.4e+07,-51100000,81900000,-55900000,-54400000,-1500000,2.6e+07,-9e+05,25100000,-12500000,12600000,12600000,12600000,-2600000,1e+07,6900000,6900000,1.76e+08,1.76e+08,25400000,49100000,1.4e+07,4800000,257400000,1426300000,974200000,290600000,410200000,60900000,2400500000,2657900000,186700000,88900000,58500000,39300000,12900000,100400000,48900000,15700000,35800000,3e+08,2518300000,540900000,379500000,161400000,3059200000,3359200000,129400000,2586200000,-3207400000,-207500000,-701300000,-701300000,2657900000,12600000,51100000,12200000,-52300000,23600000,-84600000,-84600000,-84600000,-7694823.8249741,-84600000,-2600000,-4e+06,1100000,-5800000,-66800000,-66800000,-66800000,1.33e+08,2531200000,8600000,0.543,0.22574,0.02756,-0.01426,0.00376,0.86,0.858,-4.78996,0.95233,0.25602,0.24802,9.28827,-21.26728,0.22017,0.06656,0.00531,0.00363,0.26,18.9797,30.82173
"10","2012_Q3",22.3746031746032,"Up",368200000,-171700000,196500000,-117100000,-63400000,-53700000,79400000,-53700000,-53700000,0,25700000,-14200000,11500000,-7e+06,4500000.00000001,4500000,4500000,-2600000,1900000,4100000,4100000,194800000,194800000,24400000,55300000,14200000,8e+06,278600000,1471500000,952600000,290600000,3.99e+08,59600000,2424100000,2702700000,213600000,119700000,45800000,48100000,13500000,104300000,50500000,16300000,37500000,331400000,2538700000,528800000,368400000,160400000,3067500000,3398900000,129400000,2584100000,-3202900000,-204800000,-696200000,-696200000,2702700000,4499999.99999999,53700000,18400000,-8300000,68300000,-82800000,-82800000,-82800000,-14773969.6356403,-82800000,-2600000,1.5e+07,-7e+05,11700000,-2800000,-2800000,-2800000,133100000,2552200000,4.9e+07,0.53368,0.21564,0.00515999999999998,-0.00273,7e-04,25.78947,0.84068,-4.88207,0.94431,0.0485400000000002,0.0471,9.40726,-21.09351,1.25192,0.06643,0.00189,0.02055,1.36842,19.14425,32.09194
