"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.65359375,"Up",125700000,117700000,-29900000,95800000,-28700000,-23700000,-5e+06,67100000,-11100000,-11100000,5.6e+07,-6800000,49200000,42600000,42600000,-30800000,11800000,11800000,107767603.954316,112625723.056779,-4858119.10246329,139469910.342165,139469910.342165,-27776944.0666414,-427280.99932684,219460570.229839,18312900.6431606,17664846.8912821,595668919.662305,337143226.667294,36286812.8600029,631646667.196748,851107237.426587,34213106.508114,-5139305.86284488,39352412.3709589,118242427.819813,94543225.49792,155470982.43105,817131924.832059,237969052.250656,108991857.203172,1055100977.08272,1210571959.51376,-438511433.798315,25342439.6658839,-438627228.988506,79162506.9013281,-359464722.087178,851107237.426587,42600000,5e+06,11400000,5200000,64200000,6e+05,-2600000,-2e+06,-9700000,-2.3e+07,-27800000,-60100000,2100000,2100000,2100000,72100000,0,0.76213,0.53381,0.09387,-0.174954855058116,0.0735480055475723,1.40570451258752,-3.40414903528691,0.969830281296024,0.24812,0.24476,2.64313,-8.30464264069226,0.20396,0.10681465083218,0.82203,-5.88637109982804,-6.39217603838635
"2","2011_Q1",7.41516129032258,"Down",118100000,103900000,-33500000,84600000,-30800000,-26300000,-4500000,53800000,-1.1e+07,-10800000,42800000,-299999.999999999,42500000,35900000,35900000,-24300000,11600000,11600000,82900000,74400000,8500000,100700000,100700000,5600000,1700000,189200000,19800000,6700000,638800000,275200000,7900000,665300000,854500000,33400000,11800000,21600000,75900000,50600000,110500000,7.75e+08,287400000,173800000,1062400000,1172900000,-372800000,-20500000,-410800000,92400000,-318400000,854500000,35900000,4500000,11200000,-8500000,43100000,-3500000,-3800000,-7300000,-10300000,18800000,-29300000,-17300000,18500000,18500000,18500000,58300000,776200000,0.71634,0.45555,0.09822,-0.03643,0.01358,1.71222,-3.68373,0.90837,0.21715,0.21448,2.21077,-7.68995,0.19281,0.02939,0.887929999999999,11.89194,12.88662
"3","2011_Q2",7.10222222222222,"Down",70800000,59100000,-28100000,42700000,-27700000,-23100000,-4600000,1.5e+07,-10900000,-10900000,4100000,-3200000,9e+05,1600000,1600000,-2600000,-1e+06,-1e+06,68927465.3485615,58299758.9810737,10627706.3674878,87751696.5526118,87751696.5526118,15533981.3555471,2367426.99977561,172213143.25672,20495699.7856131,4670051.03623929,641910360.112565,257177257.777569,1296062.37999904,667076110.934417,839289254.191138,32095631.163962,16071435.287615,16024195.876347,66094190.7267291,40243924.8340267,98484672.5229835,758039358.389314,297010315.916448,187319380.932276,1055049674.30576,1153534346.82875,-355387855.400562,-36047479.888628,-407315923.670498,93070831.0328906,-314245092.637607,839289254.191138,1600000,4600000,13200000,-2300000,17100000,-2100000,-6500000,-8600000,-10800000,1800000,-24900000,-32100000,-23600000,-23600000,-23600000,19600000,0,0.60311,0.21186,-0.01412,-0.00412254831396144,0.000178164817475885,1.71090849580416,-3.65729532157103,0.902544072901325,-0.01863,-0.01863,1.31865,-7.57433495310258,0.20115,0.0126376163892734,-10.8,15.6525178666093,16.8610853461288
"4","2011_Q3",6.05484375,"Down",1.14e+08,98600000,-36200000,77800000,-27600000,-23300000,-4300000,50200000,-10400000,-10400000,39800000,-6100000,33700000,28300000,28300000,-19300000,9e+06,9e+06,64400000,56500000,7900000,89600000,89600000,1.2e+07,2200000,1.66e+08,2.1e+07,7700000,622900000,264700000,6800000,651600000,817600000,31200000,13500000,17700000,72400000,46600000,103600000,7.6e+08,283800000,172400000,1043800000,1147400000,-365100000,-34500000,-417200000,87400000,-329800000,817600000,28300000,4300000,12200000,-9700000,35100000,-3600000,6100000,2500000,-10700000,-1.8e+07,-5500000,-31900000,5699999.99999999,5699999.99999999,5699999.99999999,54500000,7.6e+08,0.68246,0.44035,0.07895,-0.02729,0.01101,1.60232,-3.47908,0.92955,0.16694,0.1617,2.11454,-7.73849,0.19847,0.02759,1.18889,12.7633,13.85657
"5","2011_Q4",5.45206349206349,"Down",1.36e+08,127200000,-34600000,101400000,-27400000,-22300000,-5100000,7.4e+07,-15300000,-13800000,58700000,-4300000,54400000,45900000,45900000,-29100000,16800000,16800000,68700000,61700000,7e+06,97100000,97100000,5300000,1800000,171100000,22200000,13700000,600900000,276400000,13900000,636800000,807900000,34300000,11100000,23200000,79500000,54500000,113800000,7.74e+08,266300000,155100000,1040300000,1154100000,-378700000,-29800000,-427500000,81300000,-346200000,807900000,45900000,5100000,8700000,-2900000,56800000,-1.8e+07,-5100000,-23100000,-11900000,13900000,-30600000,-28500000,5200000,5200000,5200000,79100000,7.74e+08,0.74559,0.54412,0.12353,-0.04853,0.02079,1.50351,-3.33362,0.95804,0.31155,0.30777,2.52204,-7.92773,0.22068,0.04135,0.70833,8.91656,9.53108
"6","2012_Q1",6.23564516129032,"Up",114600000,101300000,-33800000,80800000,-26300000,-21500000,-4800000,54500000,-1.4e+07,-13800000,40500000,-9500000,3.1e+07,24800000,24800000,-18100000,6700000,6700000,80100000,65900000,14200000,98600000,98600000,5300000,1800000,1.84e+08,24600000,18200000,593400000,274900000,13200000,636200000,820200000,41400000,14300000,27100000,70600000,46500000,1.12e+08,7.94e+08,2.61e+08,157200000,1.055e+09,1.167e+09,-375700000,-34900000,-427900000,81100000,-346800000,820200000,24800000,4800000,16900000,6300000,52800000,-5700000,-18200000,-23900000,-11900000,20100000,-32900000,-24700000,4200000,4200000,4200000,59300000,7.94e+08,0.70506,0.47557,0.05846,-0.01932,0.00817,1.64286,-3.36505,0.96806,0.12424,0.1227,2.12502,-7.93454,0.22066,0.02626,1.77612,12.03879,13.09908
"7","2012_Q2",6.18063492063492,"Down",79100000,66300000,-34500000,44600000,-27600000,-22700000,-4900000,1.7e+07,-1.4e+07,-1.4e+07,3e+06,-2600000,4e+05,7e+05,7e+05,-1600000,-9e+05,-9e+05,82700000,56800000,25900000,74600000,74600000,13600000,2600000,170900000,24900000,1800000,590900000,283500000,12500000,617600000,788500000,28100000,12400000,15700000,36500000,11500000,64600000,8.21e+08,250300000,151300000,1071300000,1135900000,-371600000,-48600000,-436700000,89300000,-347400000,788500000,7e+05,4900000,12400000,-20500000,-2500000,-3800000,5400000,1600000,-12800000,2.7e+07,-24200000,-8200000,-9100000,-9100000,-9100000,21900000,8.21e+08,0.56384,0.21492,-0.01138,0.00259,-0.00114,2.64551,-3.26972,1.04122,-0.01662,-0.01662,1.46099,-8.06594,0.23642,0.01644,-14.22222,33.71233,43.42941
"8","2012_Q3",6.62714285714286,"Up",110100000,101300000,-35900000,74200000,-28900000,-23900000,-5e+06,45300000,-16600000,-14200000,28700000,-30700000,-2e+06,-9e+05,-9e+05,-1e+06,-1900000,-1900000,74600000,48100000,26500000,91300000,91300000,20400000,2800000,186300000,25400000,800000.000000002,581700000,280600000,17900000,607900000,794200000,42200000,14100000,28100000,48100000,37900000,90300000,8.39e+08,219400000,148500000,1058400000,1148700000,-369500000,-62100000,-439500000,8.5e+07,-354500000,794200000,-9e+05,5e+06,1400000,-8100000,-2600000,-2500000,399999.999999996,-2100000,-1.2e+07,1.8e+07,-10100000,-4e+06,-8700000,-8700000,-8700000,50300000,8.39e+08,0.67393,0.41144,-0.01726,0.00536,-0.00239,2.06312,-3.24034,1.05641,-0.0349,-0.0349,2.02232,-8.07275,0.22042,0.01435,-6.31579,15.19682,16.87417
"9","2012_Q4",6.64887096774194,"Up",143700000,1.38e+08,-36900000,106800000,-28700000,-23700000,-5e+06,78100000,-14200000,-14200000,63900000,-4700000,59200000,4.9e+07,4.9e+07,-32300000,16700000,16700000,82400000,60200000,22200000,1.26e+08,1.26e+08,13500000,2900000,221900000,26100000,8e+05,579200000,283300000,1.7e+07,606100000,8.28e+08,46300000,14700000,31600000,6.8e+07,57300000,114300000,8.5e+08,211400000,143900000,1061400000,1175700000,-367800000,-57700000,-432800000,85100000,-347700000,8.28e+08,4.9e+07,5e+06,9400000,-26100000,37300000,-8300000,4300000,-4e+06,-11900000,1.1e+07,-20500000,-21200000,12100000,12100000,12100000,83100000,8.5e+08,0.74322,0.54349,0.11621,-0.04803,0.02017,1.94138,-3.38136,1.02657,0.3067,0.29592,2.63906,-7.9484,0.21854,0.04007,0.71257,9.23706,9.82843
"10","2013_Q1",6.96433333333333,"Up",115900000,103900000,-37300000,78600000,-27200000,-21700000,-5500000,51400000,-17300000,-13900000,34100000,3e+05,34400000,16500000,16500000,-1.7e+07,-5e+05,-5e+05,106600000,72400000,34200000,98500000,98500000,15600000,2400000,220700000,25700000,8e+05,563300000,280300000,18700000,589800000,810500000,45800000,15700000,30100000,45300000,45100000,91100000,8.79e+08,196800000,137500000,1075800000,1166900000,-361900000,-70500000,-439100000,82700000,-356400000,810500000,16500000,5500000,1800000,25600000,49400000,-2800000,-12100000,-14900000,-1.2e+07,2.9e+07,-39400000,-22300000,12200000,12200000,12200000,56900000,8.79e+08,0.67817,0.44349,-0.00430999999999997,0.0014,-0.000619999999999999,2.42261,-3.27413,1.08452,-0.00917999999999991,-0.00907999999999998,2.12763,-8.06077,0.22029,0.01599,-24,13.57469,15.02724
