"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.2012698412698,"Down",500200000,486500000,13700000,-163300000,336900000,-1.47e+08,-1.47e+08,189900000,9e+05,190800000,190800000,-67200000,123600000,123600000,123600000,123600000,329176000,315323000,13853000,201330000,201330000,3073363000,28564000,3040700000,3603869000,268317000,304874000,530683000,75510000,433316000,21857000,1103874000,4707743000,216626000,33301000,125102000,3043028000,3015638000,3259654000,83227000,13041000,70186000,83227000,3342881000,482295000,3614000,478681000,839366000,43201000,1364862000,1364862000,4707743000,123600000,21600000,19600000,21800000,186600000,-14200000,-161400000,247500000,-112100000,-479500000,-591600000,-157500000,-157500000,-157500000,211500000,0,286300000,0.67353,0.37965,0.2471,0.09056,0.02625,2.31634,1.1056,2.44924,0,0.34219,0.342,1.38483,3.77869,0.79264,0.31035,0.16277,0.19771,0.90696,-1.55639,-1.73342
"2","2010_Q3",17.07671875,"Down",496600000,4.83e+08,13600000,-162700000,333900000,-140900000,-140900000,1.93e+08,1200000,194200000,194200000,-68300000,125900000,125900000,125900000,125900000,287315000,225304000,62011000,221711000,221711000,3053180000,27958000,3025222000,3562206000,262024000,317430000,515472000,71478000,421559000,22435000,1094926000,4657132000,175010000,36494000,136777000,3011719000,2985520000,3186729000,78213000,7743000,70470000,78213000,3264942000,489467000,3614000,485853000,853084000,49639000,1392190000,1392190000,4657132000,125900000,21700000,15700000,-70800000,92500000,-18100000,-311300000,-41799999.9999998,-112100000,-28600000,-140700000,-9e+07,-9e+07,-9e+07,214700000,0,194100000,0.67237,0.38864,0.25352,0.09043,0.02703,1.5417,1.11783,2.34518,0,0.34837,0.34808,1.3741,3.85221,0.53708,0.31018,0.16186,0.132,0.89039,-1.33822,-1.48868
"3","2010_Q4",19.15375,"Up",507800000,493800000,1.4e+07,-164500000,343300000,-1.75e+08,-1.75e+08,168300000,1100000,169400000,169400000,-57400000,1.12e+08,1.12e+08,1.12e+08,1.12e+08,395026000,279261000,115765000,159131000,159131000,4162374000,25035000,4114118000,4716531000,264273000,294088000,513139000,68085000,421559000,23495000,1071500000,5788031000,187357000,35081000,128745000,4125066000,4101811000,4312423000,78488000,5786000,72702000,78488000,4390911000,495622000,3614000,492008000,852936000,48562000,1397120000,1397120000,5788031000,1.12e+08,21600000,3e+06,87300000,223900000,-20400000,-378700000,-1156500000,-112200000,1098800000,986600000,5.4e+07,5.4e+07,5.4e+07,189900000,0,314200000,0.67605,0.33143,0.22056,0.08016,0.01935,2.80536,1.09371,3.14283,0,0.30991,0.30948,1.40509,3.86586,0.8694,0.31046,0.15194,0.21293,1.00179,-2.08018,-2.34715
"4","2011_Q1",21.868064516129,"Up",496200000,482500000,13700000,-163100000,333100000,-159500000,-159500000,173600000,1300000,174900000,174900000,-59400000,115500000,115500000,115500000,115500000,366800000,284300000,82500000,186600000,186600000,3605700000,25500000,3569700000,4159100000,269300000,290100000,507800000,61600000,421600000,24600000,1067200000,5226300000,200500000,37300000,163200000,3541700000,3521200000,3742200000,82100000,7800000,74300000,82100000,3824300000,503300000,3600000,499700000,856300000,42400000,1.402e+09,1.402e+09,5226300000,115500000,21600000,36500000,-65700000,107900000,-20500000,448500000,549500000,-112200000,-540200000,-652400000,5e+06,5e+06,5e+06,195200000,0,168400000,0.6713,0.34986,0.23277,0.08238,0.0221,1.45801,1.11141,2.72775,0,0.31941,0.31924,1.37223,3.87721,0.46571,0.31029,0.15343,0.11347,0.97143,-1.8791,-2.1129
"5","2011_Q2",21.432380952381,"Down",518300000,506200000,12100000,-160200000,358100000,-157300000,-157300000,200800000,1400000,202200000,202200000,-70300000,131900000,131900000,131900000,131900000,450100000,272900000,177200000,208600000,208600000,3341200000,28300000,3312900000,3999900000,2.68e+08,266300000,504800000,58400000,421600000,24800000,1039100000,5.039e+09,2.38e+08,34400000,148800000,3282200000,3.255e+09,3520200000,81800000,8100000,73700000,81800000,3.602e+09,509800000,3600000,506200000,8.73e+08,54200000,1.437e+09,1.437e+09,5.039e+09,131900000,20900000,20200000,21300000,194300000,-17200000,-408600000,172500000,-1.12e+08,-266200000,-378200000,-11400000,-11400000,-11400000,221700000,0,296100000,0.69091,0.38742,0.25449,0.09179,0.02618,2.24488,1.13627,2.50661,0,0.36477,0.36436,1.43335,3.974,0.81886,0.30973,0.16059,0.19496,0.84913,-2.03022,-2.24153
"6","2011_Q3",18.9696875,"Down",5.12e+08,5e+08,1.2e+07,-1.59e+08,3.53e+08,-149100000,-149100000,203900000,1500000,205400000,205400000,-71500000,133900000,133900000,133900000,133900000,463500000,233200000,230300000,224600000,224600000,3325800000,32100000,3288600000,4013900000,279500000,226400000,502900000,54200000,421600000,27100000,1008800000,5022700000,2.17e+08,33800000,183200000,3268700000,3242900000,3485700000,87500000,9200000,78300000,87500000,3573200000,515900000,3600000,512300000,894500000,39100000,1449500000,1449500000,5022700000,133900000,20600000,22300000,-51900000,124900000,-27900000,-75100000,-43899999.9999999,-112200000,-8500000.00000006,-120700000,-39700000,-39700000,-39700000,224500000,2.11758236813575e-22,216200000,0.68945,0.39824,0.26152,0.09238,0.02666,1.61464,1.15153,2.46513,-4.93038065763132e-32,0.3702,0.36979,1.41554,4.00746,0.59773,0.3102,0.16012,0.14066,0.83794,-2.06459,-2.27317
"7","2011_Q4",19.9685714285714,"Up",531300000,519600000,11700000,-166600000,364700000,-165800000,-165800000,198900000,1500000,200400000,200400000,-69800000,130600000,130600000,130600000,130600000,469700000,2.36e+08,233700000,141600000,141600000,4253500000,2.9e+07,4212300000,4864800000,303700000,182600000,611700000,74500000,508600000,28600000,1.098e+09,5962800000,186900000,35700000,149100000,4203600000,4.188e+09,4390500000,104100000,19700000,84400000,104100000,4494600000,525900000,3600000,522300000,9.13e+08,29300000,1468200000,1468200000,5962800000,130600000,22800000,13100000,67200000,233700000,-3.7e+07,7e+06,-997900000,-112200000,879200000,7.67e+08,2800000,2800000,2800000,221700000,0,321700000,0.68643,0.37436,0.24581,0.08895,0.0219,2.46325,1.10803,3.0613,0,0.36097,0.36018,1.46849,4.05804,0.88917,0.31012,0.15442,0.2046,0.85911,-2.11863,-2.36149
"8","2012_Q1",22.1087096774194,"Up",522700000,510400000,12300000,-165700000,3.57e+08,-174200000,-174200000,182800000,1400000,184200000,184200000,-65300000,118900000,118900000,118900000,118900000,4.64e+08,1.19e+08,3.45e+08,161100000,161100000,3632800000,29400000,3596100000,4257900000,308700000,207300000,619900000,77200000,513700000,2.9e+07,1135900000,5393800000,217900000,45400000,172500000,3570400000,3552500000,3788300000,109300000,23100000,86200000,109300000,3897600000,539200000,3600000,535600000,919500000,37500000,1496200000,1496200000,5393800000,118900000,24400000,22200000,-3100000,162400000,-21200000,-153500000,459800000,-112400000,-626800000,-739200000,-1.17e+08,-1.17e+08,-1.17e+08,207200000,3.3881317890172e-21,248200000,0.68299,0.34972,0.22747,0.07947,0.02204,2.08747,1.12396,2.605,0,0.32836,0.32764,1.44352,4.13201,0.68545,0.31041,0.14407,0.15459,0.94533,-2.23938,-2.53829
"9","2012_Q2",21.7973015873016,"Down",563100000,5.52e+08,11100000,-164100000,3.99e+08,-169300000,-169300000,229700000,1500000,231200000,231200000,-82300000,148900000,148900000,148900000,148900000,485100000,113100000,3.72e+08,197900000,197900000,3150400000,33100000,3117300000,3833400000,310500000,232900000,614700000,71300000,513600000,29800000,1158100000,4991500000,242400000,38500000,146100000,3094700000,3073100000,3337100000,115100000,31700000,83400000,115100000,3452200000,543600000,3600000,5.4e+08,951500000,44200000,1539300000,1539300000,4991500000,148900000,24200000,27800000,-13700000,187200000,-2.1e+07,442400000,3.98e+08,-112400000,-478700000,-591100000,-5900000,-5900000,-5900000,253900000,0,301500000,0.70858,0.40792,0.26443,0.09673,0.02983,2.02485,1.14872,2.24271,0,0.4111,0.41042,1.55467,4.24986,0.83241,0.31033,0.15794,0.18224,0.75487,-1.91059,-2.11189
"10","2012_Q3",23.5804761904762,"Up",545700000,5.35e+08,10700000,-162700000,3.83e+08,-165100000,-165100000,217900000,1500000,219400000,219400000,-7.9e+07,140400000,140400000,140400000,140400000,411100000,96100000,3.15e+08,221500000,221500000,3107400000,33800000,3060700000,3.74e+09,3.16e+08,265200000,610800000,65700000,513600000,31500000,1.192e+09,4.932e+09,202100000,54900000,147200000,3046100000,3021500000,3248200000,125100000,37100000,8.8e+07,125100000,3373300000,5.49e+08,3600000,545400000,975800000,33900000,1558700000,1558700000,4.932e+09,140400000,24100000,27900000,-82400000,1.1e+08,-23100000,-482400000,36800000.0000001,-1.16e+08,-47800000.0000001,-163800000,-1.7e+07,-1.7e+07,-1.7e+07,2.42e+08,0,215500000,0.70185,0.3993,0.25728,0.09008,0.02847,1.5349,1.15141,2.16418,0,0.38742,0.38699,1.50579,4.30105,0.59465,0.32009,0.15227,0.12798,0.82621,-1.69876,-1.88665
"11","2012_Q4",23.6246774193548,"Up",569500000,558500000,1.1e+07,-174200000,395300000,-184900000,-184900000,210400000,1600000,2.12e+08,2.12e+08,-76600000,135400000,135400000,135400000,135400000,503300000,146500000,356800000,135800000,135800000,4233100000,3.6e+07,4188500000,4872200000,316800000,295400000,610500000,61200000,518100000,31200000,1222700000,6094900000,208500000,4.6e+07,145400000,4163900000,4144400000,4372400000,127100000,40200000,86900000,127100000,4499500000,557300000,3600000,553700000,9.95e+08,43100000,1595400000,1595400000,6094900000,135400000,24600000,-1600000,1.07e+08,265400000,-19300000,-863900000,-1.226e+09,-115900000,1126900000,1.011e+09,50400000,50400000,50400000,2.35e+08,0,399300000,0.69412,0.36945,0.23775,0.08487,0.02222,2.94904,1.11431,2.8203,0,0.37352,0.3729,1.57103,4.4011,1.10152,0.31972,0.14589,0.23181,0.85598,-2.1417,-2.39211
"12","2013_Q1",24.5068333333333,"Up",551500000,540700000,10800000,-169100000,382400000,-186500000,-186500000,195900000,1800000,197700000,197700000,-74400000,123300000,123300000,123300000,123300000,316300000,108800000,207500000,142400000,142400000,4617200000,35200000,4574800000,5075900000,324300000,473700000,605700000,55800000,517400000,32500000,1403700000,6479600000,200600000,69700000,130900000,4545100000,4528200000,4745700000,129400000,40600000,88800000,129400000,4875100000,564700000,3600000,561100000,1002100000,37700000,1604500000,1604500000,6479600000,123300000,24900000,23200000,-27400000,1.44e+08,-27500000,540800000,-453100000,-116200000,387600000,271400000,-37700000,-37700000,-37700000,220800000,-8.67361737988404e-19,240300000,0.69338,0.35521,0.22357,0.07685,0.01903,1.94891,1.06958,3.03839,0,0.34014,0.33939,1.52138,4.42621,0.6629,0.32055,0.13813,0.13859,0.94242,-1.43252,-1.6146
"13","2013_Q2",27.2209375,"Up",578200000,568100000,10100000,-163500000,414700000,-176700000,-176700000,2.38e+08,1900000,239900000,239900000,-86800000,153100000,153100000,153100000,153100000,390900000,1.49e+08,241900000,153100000,153100000,3756400000,36300000,3720100000,4300400000,326900000,480400000,603200000,51300000,517400000,34500000,1410500000,5710900000,217100000,40700000,115400000,3702600000,3680400000,3919700000,135800000,45300000,90500000,135800000,4055500000,585100000,3600000,581500000,1.033e+09,37300000,1655400000,1655400000,5710900000,153100000,24100000,29900000,10600000,217700000,-22100000,-362800000,771900000,-116400000,-8.33e+08,-949400000,40200000,40200000,40200000,262100000,0,337400000,0.71723,0.41162,0.26479,0.09249,0.02681,2.20379,1.09712,2.44986,0,0.42176,0.42084,1.59284,4.56033,0.92948,0.32066,0.15046,0.18837,0.76029,-1.49142,-1.64244
