"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q4",59.1665079365079,"Down",1.972e+09,2.36e+08,7.61e+08,9.75e+08,1.025e+09,2.1e+07,-7.1e+07,-1.362e+09,-7.34e+08,-1.24e+08,-1.24e+08,-1.24e+08,-8.19e+08,-9.43e+08,-9.43e+08,0,-9.43e+08,-9.43e+08,8.1659e+10,1.698e+09,1.3591e+10,6.414e+09,1.19917e+11,2.23279e+11,7.6297e+10,6.685e+09,3.615e+09,1.22851e+11,2.09448e+11,1.2419e+10,3.9e+07,1.308e+09,1.3766e+10,6.5e+07,1.3831e+10,2.23279e+11,7.05e+08,7.32e+08,-9.25e+08,-1.93e+08,5.98e+08,-3.855e+09,-3.257e+09,-2.745e+09,-2.745e+09,-2.745e+09,3.615e+09,-0.06288,-0.47819,-0.06818,-0.00422,15.14337,0.01619,-7.87322,-7.87322,16.46446,114.93398,-0.00435,-15.45968
"2","2018_Q1",57.7524590163934,"Down",1.88e+09,2.33e+08,7.69e+08,8.78e+08,9.63e+08,6e+06,-9.1e+07,-1.177e+09,-9.25e+08,-2.22e+08,-2.22e+08,-2.22e+08,8.9e+08,6.68e+08,6.68e+08,0,6.68e+08,6.68e+08,8.2338e+10,1.857e+09,1.3525e+10,6.286e+09,1.20186e+11,2.24192e+11,7.7384e+10,5.096e+09,3.612e+09,1.2352e+11,2.09612e+11,1.2433e+10,4.06e+08,1.676e+09,1.4515e+10,6.5e+07,1.458e+10,2.24192e+11,1.366e+09,-1.248e+09,-1.13e+08,-1.361e+09,-3999999.99999988,1.58e+08,1.54e+08,1.59e+08,1.59e+08,1.59e+08,3.612e+09,-0.11809,0.35532,0.04582,0.00298,14.37668,0.01611,5.57721,5.57721,15.69635,121.18747,0.00305,-7.90541
"3","2018_Q2",48.10296875,"Down",1.815e+09,2.29e+08,8.17e+08,7.69e+08,1.002e+09,-4e+06,-2.29e+08,-1.005e+09,-9.23e+08,-1.13e+08,-1.13e+08,-1.13e+08,4.8e+07,-6.5e+07,-6.5e+07,-2e+06,-6.7e+07,-6.7e+07,8.1049e+10,1.888e+09,1.3527e+10,6.083e+09,1.1645e+11,2.18997e+11,7.7154e+10,4.996e+09,3.609e+09,1.19565e+11,2.05324e+11,1.2433e+10,3.74e+08,8.01e+08,1.3608e+10,6.5e+07,1.3673e+10,2.18997e+11,2.91e+08,4.27e+08,-1.33e+09,-9.03e+08,-3e+06,6.46e+08,6.43e+08,3.1e+07,3.1e+07,3.1e+07,3.609e+09,-0.06226,-0.03691,-0.0049,-0.00031,15.01675,0.01648,-0.55939,-0.55939,15.15365,113.61482,-0.00031,-15.23009
"4","2018_Q3",42.1155555555556,"Down",1.702e+09,2.23e+08,8.06e+08,6.73e+08,9.62e+08,-7.5e+07,-2.14e+08,-1.082e+09,-9.37e+08,-3.17e+08,-3.17e+08,-3.17e+08,78999999.9999999,-2.38e+08,-2.38e+08,-1e+06,-2.39e+08,-2.39e+08,8.0928e+10,2.135e+09,1.3593e+10,5.968e+09,1.13588e+11,2.16212e+11,7.7164e+10,4.949e+09,3.607e+09,1.16992e+11,2.02712e+11,1.2445e+10,1.75e+08,8.15e+08,1.3435e+10,6.5e+07,1.35e+10,2.16212e+11,7.26e+08,9e+07,-1.21e+09,-1.12e+09,-2999999.99999997,6.44e+08,6.41e+08,2.47e+08,2.47e+08,2.47e+08,3.607e+09,-0.18625,-0.14042,-0.0177,-0.00111,15.0157,0.01668,-1.99544,-1.99544,14.2102,112.17042,-0.00113,-4.64353
"5","2018_Q4",39.0195238095238,"Down",1.422e+09,2.25e+08,8.53e+08,3.44e+08,9.72e+08,-4.2e+07,-5.86e+08,-1.095e+09,-6.95e+08,-3.68e+08,-3.68e+08,-3.68e+08,9.9e+07,-2.69e+08,-2.69e+08,-2e+06,-2.71e+08,-2.71e+08,8.1329e+10,2.144e+09,1.3551e+10,6.05e+09,1.13872e+11,2.16946e+11,7.8101e+10,4.619e+09,3.966e+09,1.17311e+11,2.03997e+11,1.247e+10,-9.6e+07,5.52e+08,1.2884e+10,6.5e+07,1.2949e+10,2.16946e+11,4.79e+08,-3.82e+08,-1.064e+09,-1.446e+09,3.72e+08,6.46e+08,9.76e+08,9e+06,9e+06,9e+06,3.966e+09,-0.25879,-0.19058,-0.02093,-0.00125,15.75388,0.01828,-2.26482,-2.26482,11.88405,107.67518,-0.00128,-4.95109
"6","2019_Q1",37.4590163934426,"Down",4.026e+09,2.23e+08,8.62e+08,2.941e+09,8.99e+08,-8.6e+07,2.128e+09,-1.169e+09,-1.07e+09,1.787e+09,1.787e+09,1.787e+09,-3.45e+08,1.442e+09,1.442e+09,0,1.442e+09,1.442e+09,8.3181e+10,4.145e+09,1.3697e+10,5.717e+09,9.9554e+10,2.06294e+11,7.9263e+10,6.044e+09,3.963e+09,1.02541e+11,1.91811e+11,1.2474e+10,1.346e+09,7.16e+08,1.4418e+10,6.5e+07,1.4483e+10,2.06294e+11,1.566e+09,40999999.9999999,-1.11e+09,-1.069e+09,0,5.061e+09,1.504e+09,2.001e+09,2.001e+09,2.001e+09,3.963e+09,0.44386,0.35817,0.09957,0.00699,13.24387,0.01921,12.18495,12.00591,34.01983,121.83257,0.0072,-0.10185
"7","2019_Q2",38.632380952381,"Up",6.91e+08,2.27e+08,8.11e+08,-3.47e+08,8.75e+08,-1.1e+07,-1.211e+09,-1.03e+09,-6.14e+08,-9.53e+08,-9.53e+08,-9.53e+08,2.18e+08,-7.35e+08,-7.35e+08,-2e+06,-7.37e+08,-7.37e+08,8.624e+10,3.864e+09,1.4026e+10,5.68e+09,1.0662e+11,2.1643e+11,8.1339e+10,5.014e+09,4.364e+09,1.10649e+11,2.01366e+11,1.289e+10,6.09e+08,1.67e+09,1.4999e+10,6.5e+07,1.5064e+10,2.1643e+11,3.76e+08,5.39e+08,-1.811e+09,-1.272e+09,4e+08,7.66e+08,6.15e+08,-2.81e+08,-2.81e+08,-2.81e+08,4.364e+09,-1.37916,-1.06657,-0.04892,-0.00341,13.36737,0.02016,-6.30964,-6.30964,5.91582,128.41018,-0.00349,-0.52466
"8","2019_Q3",37.239375,"Down",2.37e+09,2.32e+08,9.42e+08,1.196e+09,8.88e+08,6.3e+07,2.45e+08,-1.11e+09,-7.91e+08,468999999.999999,468999999.999999,468999999.999999,-8.5e+07,3.84e+08,3.84e+08,-2.3283064365387e-10,3.84e+08,3.77e+08,8.9937e+10,3.981e+09,1.4231e+10,5.492e+09,1.07571e+11,2.21212e+11,8.4262e+10,5.472e+09,4.365e+09,1.10772e+11,2.04871e+11,1.2894e+10,9.86e+08,2.702e+09,1.6276e+10,6.5e+07,1.6341e+10,2.21212e+11,4.33e+08,-1.45e+08,-1.515e+09,-1.66e+09,-1000000.00000012,2.081e+09,1.344e+09,1.17e+08,1.17e+08,1.17e+08,4.365e+09,0.19789,0.15907,0.02307,0.0017,12.53724,0.01973,3.28052,3.28052,20.62289,141.62789,0.00178,0.81876
"9","2019_Q4",39.35921875,"Up",3.187e+09,2.14e+08,9.28e+08,2.045e+09,8.67e+08,2.7e+07,1.151e+09,-1.591e+09,-7.92e+08,8.04e+08,8.04e+08,8.04e+08,-1.19e+08,6.85e+08,6.85e+08,-2e+06,6.83e+08,6.76e+08,9.6634e+10,4.289e+09,1.4385e+10,5.317e+09,1.05251e+11,2.25876e+11,8.7844e+10,7.04e+09,4.365e+09,1.08867e+11,2.08116e+11,1.2898e+10,1.662e+09,3.567e+09,1.7695e+10,6.5e+07,1.776e+10,2.25876e+11,5.13e+08,-9.59e+08,-1.808e+09,-2.767e+09,0,3.212e+09,2.562e+09,3.08e+08,3.08e+08,3.08e+08,4.365e+09,0.25227,0.21211,0.03806,0.00299,11.71824,0.01932,6.09772,6.00879,28.7477,159.61422,0.00312,0.09453
"10","2020_Q1",35.3745161290323,"Down",3.06e+08,2.09e+08,8.98e+08,-8.01e+08,9.5e+08,3.3e+07,-1.784e+09,-1.002e+09,-6.76e+08,-1.372e+09,-1.372e+09,-1.372e+09,3.03e+08,-1.069e+09,-1.069e+09,-1e+06,-1.07e+09,-1.077e+09,9.5782e+10,2.877e+09,1.476e+10,5.448e+09,1.08392e+11,2.27259e+11,8.8568e+10,5.746e+09,4.365e+09,1.12343e+11,2.11022e+11,1.2909e+10,5.85e+08,3.24e+09,1.6172e+10,6.5e+07,1.6237e+10,2.27259e+11,5.06e+08,-2.169e+09,5.27e+08,-1.642e+09,-999999.99999997,6.88e+08,-2.76e+08,-1.412e+09,-1.412e+09,-1.412e+09,4.365e+09,-4.48366,-3.51961,-0.06633,-0.00474,12.99637,0.01921,-10.02352,-10.17896,2.84791,150.511,-0.00483,-1.08455
