"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",45.5887301587302,"Up",397124000,-308346000,88778000,-57460000,-55274000,-4447000,2261000,31318000,-6714000,-6827000,-1e+05,213000,24604000,24604000,-8285000,16319000,16319000,16319000,16319000,17201673.5933775,17201762.1384512,49826457.8841262,49826457.8841262,149280424.30071,38358510.0005389,33165724.2363176,254667065.778753,450541740.509268,1953272344.084,578937314.971575,1337630245.54359,36704783.5688295,2403814084.59326,2658481150.37202,210524651.137356,210524651.137356,1227416.38007926,109465160.173153,1266637595.21157,394908657.192911,356002402.716957,38906254.4759538,1661546252.40448,1771011412.57763,691518093.322321,223432824.372241,-27481179.9001773,887469737.794384,887469737.794384,2658481150.37202,16319000,16319000,14117000,3655000,20021000,54112000,-10942000,-675597000,518231000,-7853000,621066000,-419000,-419000,101000,-318000,45435000,0,62799000,0.22355,0.07886,0.04109,0.033145867561824,0.0112411346053468,3.84821,2.34814292330826,1.9532378887313,0.489958925664743,0.48636,0.47146,11.83572,25.5266246590542,1.87164,0.0114889747619723,0.241815515209423,16.8183727433131,24.4172984484312
"2","2010_Q3",44.78265625,"Down",446195000,-340045000,106150000,-65277000,-55971000,-7287000,-2019000,40873000,-8616000,-11779000,2170000,993000,32257000,32257000,-10605000,21652000,21652000,21652000,21652000,3447000,3447000,107354000,107354000,295635000,31222000,23496000,437658000,357292000,1373281000,400464000,953384000,19433000,1730573000,2168231000,181357000,181357000,1046000,183045000,886205000,196529000,160776000,35753000,1082734000,1265779000,694164000,233233000,-24945000,902452000,902452000,2168231000,21652000,21652000,18380000,10184000,12434000,62650000,-12297000,-12297000,-35018000,-15626000,-50643999.9999999,-291000,-291000,-359000,-650000,59253000,887251000,69995000,0.2379,0.0916,0.04853,0.02399,0.00999,3.23273,2.39099,1.4026,0.40921,0.61204,0.59218,12.61258,25.50958,1.97855,0.0109,0.03524,14.91577,21.62317
"3","2010_Q4",49.33234375,"Up",464242000,-354005000,110237000,-62444000,-54301000,-7040000,-1103000,47793000,-10983000,-12867000,46000,1838000,36810000,36810000,-11943000,24867000,24867000,24867000,24867000,3456000,3456000,125432000,125432000,312693000,24667000,16624000,466248000,358243000,1377571000,404381000,953938000,19252000,1735814000,2202062000,188827000,188827000,981000,206613000,875522000,183024000,146795000,36229000,1058546000,1265159000,698454000,258100000,-19651000,936903000,936903000,2202062000,24867000,24867000,18145000,4488000,-13610000,33890000,-24010000,-24010000,-10749000,528000,-10221000,-341000,-341000,350000,9000,65938000,876503000,40261000,0.23746,0.10295,0.05356,0.02654,0.01129,1.61905,2.25662,1.35036,0.39804,0.69694,0.67891,13.01126,26.25848,1.12839,0.01246,0.02017,13.24042,18.26726
"4","2011_Q1",51.1020967741935,"Up",509463000,-383294000,126169000,-69600000,-61700000,-7578000,-322000,56569000,-13840000,-14218000,-542000,920000,42729000,42729000,-14648000,28081000,28081000,28081000,28081000,6323000,6323000,126644000,126644000,287395000,20441000,12861000,440803000,386191000,1564254000,463617000,1076321000,24316000,1950445000,2391248000,202384000,202384000,976000,203360000,976452000,233470000,194917000,38553000,1209922000,1413282000,703819000,286181000,-12034000,977966000,977966000,2391248000,28081000,28081000,19136000,-953000,47735000,93999000,-14361000,-194202000,100926000,1494000,102420000,2217000,2217000,650000,2867000,75705000,977428000,123727000,0.24765,0.11104,0.05512,0.02871,0.01174,4.40608,2.1676,1.44512,0.40875,0.78645,0.76135,14.26827,27.3894,3.46516,0.01283,0.05653,12.82749,17.16673
"5","2011_Q2",58.0107936507937,"Up",493513000,-372587000,120926000,-76202000,-65503000,-8049000,-2650000,44724000,-14789000,-13851000,-1430000,492000,29935000,29935000,-10127000,19808000,19808000,19808000,19808000,2375000,2375000,129472000,129472000,299153000,19779000,12071000,450779000,381219000,1565188000,461764000,1079671000,23753000,1946407000,2397186000,195899000,195899000,974000,196873000,951865000,236453000,195526000,40927000,1188318000,1385191000,709029000,305988000,-3022000,1011995000,1011995000,2397186000,19808000,19808000,19836000,7423000,-14319000,32748000,-14695000,-13294000,-24596000,404000,-24192000,-4738000,-4738000,790000,-3948000,64560000,952839000,45673000,0.24503,0.09062,0.04014,0.01957,0.00826,2.30579,2.28969,1.36877,0.39748,0.55744,0.53848,13.88847,28.47963,1.28533,0.009,0.02075,14.72218,21.25177
"6","2011_Q3",54.546875,"Down",492620000,-383180000,109440000,-75827000,-66160000,-8319000,-1348000,33613000,-12370000,-13470000,875000,225000,21243000,21243000,-6898000,14345000,14345000,14345000,14345000,2347000,2347000,117005000,117005000,320672000,18126000,10685000,458150000,392255000,1557314000,454908000,1079301000,23105000,1949569000,2407719000,205500000,205500000,1232000,206732000,940324000,236963000,195451000,41512000,1177287000,1384019000,707608000,320333000,-4241000,1023700000,1023700000,2407719000,14345000,14345000,20511000,1823000,1608999.99999999,38288000,-21271000,-19429000,-12603000,-6127000,-18730000,129000,129000,-157000,-28000,54124000,941556000,41360000,0.22216,0.06823,0.02912,0.01401,0.00596,2.88323,2.21615,1.35198,0.39106,0.40297,0.38815,13.83842,28.75723,1.16186,0.00651,0.01878,17.35291,27.94184
"7","2011_Q4",62.4273015873016,"Up",528050000,-402518000,125532000,-72880000,-62308000,-8839000,-1733000,52652000,-7537000,-12610000,5620000,-547000,45115000,45115000,-14725000,30390000,30390000,30390000,30390000,3080000,3080000,147938000,147938000,367446000,19945000,14872000,538409000,400419000,1537232000,443633000,1069856000,23743000,1937651000,2476060000,201978000,201978000,2241000,204219000,990474000,240757000,197496000,43261000,1231231000,1435450000,711747000,350723000,-21860000,1040610000,1040610000,2476060000,30390000,30390000,21333000,6401000,-78281000,-20157000,-24233000,-24233000,47938000,-579000,47359000,2969000,2969000,-2236000,733000,73985000,992715000,-13804000,0.23773,0.09971,0.05755,0.0292,0.01227,-0.45423,2.63643,1.37943,0.40093,0.84344,0.82269,14.65544,28.88096,-0.38311,0.01336,-0.00607,13.37616,18.79577
"8","2012_Q1",58.6167741935484,"Down",535802000,-418403000,117399000,-60113000,-50187000,-9195000,-731000,57286000,-13781000,-13092000,-1555000,866000,43505000,43505000,-13641000,29864000,29864000,29864000,29864000,3279000,3279000,115168000,115168000,329374000,20573000,12638000,468394000,406558000,1529577000,437860000,1068419000,23298000,1936135000,2404529000,169525000,169525000,1954000,171479000,902929000,256604000,202258000,54346000,1159533000,1331012000,715291000,380588000,-22362000,1073517000,1073517000,2404529000,29864000,29864000,21338000,13991000,39999000,105192000,-17346000,-17346000,-88956000,979000,-87977000,-130999.999999996,-130999.999999996,330000,198999.999999996,78624000,904883000,114918000,0.21911,0.10692,0.05574,0.02782,0.01242,3.84804,2.73149,1.23986,0.37632,0.82824,0.80457,14.85986,29.77278,3.18712,0.01336,0.05142,11.46729,15.73864
"9","2012_Q2",58.0044444444444,"Down",523811000,-408879000,114932000,-69621000,-60898000,-8263000,-460000,45311000,-13607000,-13212000,-856000,461000,31704000,31704000,-9630000,22074000,22074000,22074000,22074000,67324000,67324000,120410000,120410000,338725000,21818000,14217000,548277000,408217000,1526509000,432895000,1070943000,22671000,1934726000,2483003000,185756000,185756000,1960000,187716000,931301000,258131000,203924000,54207000,1189432000,1377148000,717751000,402660000,-14556000,1105855000,1105855000,2483003000,22074000,22074000,20721000,4186000,5253000,52234000,-18039000,-18039000,28493000,-353000,28140000,62335000,62335000,1710000,64045000,66032000,933261000,62876000,0.21942,0.0865,0.04214,0.01996,0.00889,2.84842,2.92078,1.24532,0.37586,0.61284,0.59508,14.54263,30.70199,1.74563,0.00961,0.02737,13.1139,19.11097
"10","2012_Q3",54.0071428571429,"Down",527421000,-420830000,106591000,-65137000,-56562000,-8624000,48999.9999999998,41454000,-13958000,-12438000,450000,-1970000,27496000,27496000,-7985000,19511000,19511000,19511000,19511000,74244000,74244000,119027000,119027000,349901000,18782000,11395000,561954000,423712000,1516902000,426758000,1067864000,22280000,1940614000,2502568000,191169000,191169000,2028000,193197000,940220000,250786000,204990000,45796000,1191006000,1384203000,719698000,422171000,-23504000,1118365000,1118365000,2502568000,19511000,19511000,22230000,6761000,-6118000,42384000,-16236000,-41236000,8974000,-1085000,7889000.00000001,9037000,9037000,-2117000,6920000.00000001,63684000,942248000,49315000,0.2021,0.0786,0.03699,0.01745,0.0078,2.52755,2.90871,1.2377,0.37651,0.54112,0.52545,14.62742,31.01658,1.3677,0.00844,0.02134,13.62986,20.93897
