"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.45328125,"Up",179600000,-135100000,44500000,-39600000,-39600000,4900000,-1700000,-2400000,7e+05,3200000,-1e+05,3100000,-9e+05,2200000,1200000,1200000,1200000,137115654.214701,137115654.214701,38620518.9830027,38620518.9830027,138188774.944304,-47465774.2330909,266459173.908916,68016364.8922773,68016364.8922773,408169647.265085,352332440.819353,4210830.98138302,476186012.157362,742645186.066278,31804012.1036516,31804012.1036516,185619339.770616,62853375.248912,43304884.7601185,280276727.12318,108552285.935786,90499380.8746545,20765162.0003621,199051666.810441,479328393.93362,308492420.58461,-15368026.4744706,-29807601.9774815,263316792.132658,263316792.132658,742645186.066278,2200000,5600000,13200000,20500000,-3300000,-3100000,-3700000,-6900000,1e+06,-9900000,7500000,7500000,-4700000,2800000,10500000,0,0.24777,0.02728,0.00668,-1.79651918802464,-0.526586527307976,0.534559784939735,1.4347299551084,0.394522386325587,0.01926,0.01923,2.88283,4.27880045648896,0.05939,-0.627254643638356,3.08333,140.887478258929,100.8017866169
"2","2011_Q1",5.98870967741935,"Up",93300000,-78400000,14900000,-7800000,-7800000,7100000,-2200000,-1700000,-5e+05,4900000,-5e+05,4400000,-76200000,-71800000,-169200000,-169200000,-169200000,62100000,62100000,100400000,100400000,119600000,17900000,3e+08,63200000,63200000,401300000,310400000,3400000,464500000,764500000,53500000,53500000,7.8e+07,83100000,70700000,214600000,184400000,144600000,80600000,3.29e+08,543600000,278300000,-15800000,-41600000,220900000,220900000,764500000,-71800000,-3400000,8.1e+07,17700000,-9e+05,-2e+06,-2900000,33700000,-3e+05,30200000,45900000,45900000,200000.000000001,46100000,3700000,262400000,0.1597,0.0761,-1.8135,-0.76596,-0.22132,1.39795,2.46084,0.34323,-2.72464,-2.73786,1.50242,3.55717,0.0467,-0.26485,-0.0171400000000004,54.13514,28.21127
"3","2011_Q2",5.66111111111111,"Down",173600000,-132100000,41500000,-44100000,-44100000,-2600000,-3600000,-3400000,-2e+05,-6200000,1600000,-4600000,-7e+05,-5300000,-5300000,-5300000,-5300000,25611448.5950998,25611448.5950998,118793160.338999,118793160.338999,117845408.351899,31488591.4110303,293738608.697028,62461211.7025742,62461211.7025742,402518450.911638,305589186.393549,2963056.33953899,464979662.614213,758718271.31124,60115329.2987828,60115329.2987828,116518553.409795,80307208.2503627,69840038.4132938,256941090.95894,127090904.688071,154541873.041782,90944945.9998793,281632777.729853,538573868.688793,273694193.138463,-16018991.1751765,-37530799.3408395,220144402.622447,220144402.622447,758718271.31124,-5300000,5800000,-17800000,-18200000,-3900000,-3900000,-3800000,-22300000,-2e+05,-26300000,-48400000,-48400000,-1100000,-49500000,3200000,0,0.23906,-0.01498,-0.03053,-0.204926103991787,-0.0575036575640081,1.28927173835342,2.50596501496387,0.320915037891471,-0.08535,-0.08535,2.79549,3.53137234783701,0.06119,-0.0694442854538813,-0.71698,18.1170297470237,6.64990446103338
"4","2011_Q3",4.7815625,"Down",152300000,-120700000,31600000,-15900000,-15900000,15700000,-3700000,-3900000,2e+05,1.2e+07,-1600000,10400000,-1800000,8600000.00000001,3900000,3900000,3900000,14300000,14300000,113100000,113100000,123500000,1.9e+07,269900000,63600000,63600000,405300000,316300000,2900000,468900000,738800000,5.8e+07,5.8e+07,199800000,68900000,57800000,326700000,34100000,143700000,78500000,177800000,504500000,2.81e+08,-16100000,-30600000,234300000,234300000,738800000,8600000.00000001,7e+05,10500000,11700000,-1800000,-1800000,99999.9999999995,-8200000.00000001,2e+05,-7999999.99999999,1900000.00000001,1900000.00000001,-4e+05,1500000,16400000,233900000,0.20749,0.10309,0.0256100000000003,0.0166500000000001,0.00527999999999998,0.82614,2.15322,0.31659,0.0626,0.0626,2.44462,3.76083,-0.00160999999999999,0.00621000000000005,-0.0256400000000001,13.39024,13.98726
"5","2011_Q4",3.75698412698413,"Down",167800000,-131200000,36600000,-2.8e+07,-2.8e+07,8600000,-5e+06,-4600000,-4e+05,3600000,-861054.020063138,3600000,-3e+05,3300000,2400000,2400000,2400000,13200000,13200000,1.02e+08,1.02e+08,121500000,20200000,256900000,63400000,63400000,396500000,310700000,2500000,459900000,716800000,52200000,52200000,194200000,69100000,58900000,315500000,33700000,140600000,76700000,174300000,489800000,2.83e+08,-16100000,-39900000,2.27e+08,2.27e+08,716800000,3300000,3100000,3500000,7300000,-3700000,-3700000,0,-6600000,7e+05,-6100000,-2500000,-2500000,1600000,-9e+05,11700000,227900000,0.21812,0.05125,0.0143,0.01057,0.00335,0.81426,2.15771,0.31794,0.03859,0.03859,2.69775,3.64952,0,0.00403,0,18.35043,24.96512
"6","2012_Q1",4.11903225806452,"Up",1.95e+08,-149300000,45700000,-34200000,-34200000,11500000,-4300000,-4500000,2e+05,7200000,-9.31322574615479e-10,7200000,-7e+05,6500000,-15200000,-15200000,-15200000,9500000,9500000,1.05e+08,1.05e+08,104300000,56100000,274900000,6e+07,6e+07,371800000,270600000,2e+06,431800000,706700000,49500000,49500000,9100000,93400000,87800000,1.52e+08,213100000,166900000,1.1e+08,3.8e+08,5.32e+08,267200000,-16100000,-76400000,174700000,174700000,706700000,6500000,3400000,9400000,3e+06,-2200000,-2200000,1.16415321826935e-10,-5400000,6e+05,-5100000,-4300000,-4300000,6e+05,-3700000,14900000,222200000,0.23436,0.05897,-0.07795,-0.08701,-0.02151,1.80855,3.04522,0.31442,-0.24437,-0.24437,3.13505,2.80868,0,-0.02696,0,14.27517,18.49565
"7","2012_Q2",4.58793650793651,"Up",196100000,-150800000,45300000,-34100000,-34100000,11200000,-4900000,-5100000,2e+05,6300000,-2500000,3800000,-7e+05,3100000,-1100000,-1100000,-1100000,13400000,13400000,1.27e+08,1.27e+08,126500000,26500000,293400000,62600000,62600000,375700000,296300000,7700000,438300000,731700000,62400000,62400000,8400000,88400000,78200000,159200000,227200000,164700000,107600000,391900000,551100000,267400000,-16300000,-70500000,180600000,180600000,731700000,3100000,3200000,4700000,2600000,-2900000,-5e+06,194335.168614511,6200000,7e+05,6e+06,3600000,3600000,3e+05,3900000,14400000,235600000,0.231,0.05711,-0.00561,-0.00609,-0.0015,1.84296,3.0515,0.32199,-0.01768,-0.01768,3.15273,2.90354,-0.0031284977583751,-0.00189,0.0275398569500864,15.43056,19.83929
"8","2012_Q3",5.37888888888889,"Up",204400000,-155200000,49200000,-33500000,-33500000,15700000,-5900000,-5400000,-5e+05,9800000,99999.9999999995,9900000,-3e+05,9600000,-16400000,-16400000,-16400000,10300000,10300000,108300000,108300000,117900000,145700000,382200000,58100000,58100000,2.8e+08,269700000,7100000,338100000,720300000,53100000,53100000,14800000,1.14e+08,111100000,181900000,221900000,147800000,1.04e+08,369700000,551600000,251500000,-16300000,-66500000,168700000,168700000,720300000,9600000,3400000,-14500000,-3100000,-1600000,-999999.999999996,195244.012603387,1100000,2e+05,1300000,-2800000,-2800000,-3e+05,-3100000,19100000,236700000,0.2407,0.07681,-0.08023,-0.09721,-0.02277,2.10115,3.26971,0.32861,-0.26367,-0.26115,3.28617,2.71222,-0.00314259082370305,-0.02965,0.0270407089785298,11.8534,14.42038
"9","2012_Q4",5.53983870967742,"Up",1.85e+08,-139400000,45600000,-33200000,-33200000,12400000,-5100000,-5200000,1e+05,7300000,-1900000,5400000,-9e+05,4500000,-14700000,-14700000,-14700000,9100000,9100000,99400000,99400000,129500000,23500000,261500000,58800000,58800000,286900000,2.71e+08,13300000,345700000,607200000,50900000,50900000,8100000,92100000,89100000,151100000,151800000,145800000,97100000,297600000,448700000,237600000,-16400000,-62700000,158500000,158500000,607200000,4500000,3e+06,1800000,-1800000,78700000,78700000,98530.8502905689,-79300000,1400000,-77900000,-1e+06,-1e+06,-2e+05,-1200000,15400000,159900000,0.24649,0.06703,-0.07946,-0.09274,-0.02421,1.73064,2.83091,0.26334,-0.2352,-0.23408,2.96,2.536,-0.00158538847717948,-0.03167,0.0130212065177082,9.79221,12.16129
"10","2013_Q1",7.11783333333333,"Up",217700000,-1.68e+08,49700000,-36100000,-36100000,13600000,-6200000,-5700000,-5e+05,7400000,-6e+05,6800000,-2e+06,4800000,4700000,4700000,4700000,29700000,29700000,96900000,96900000,119900000,20700000,267200000,59300000,59300000,286700000,272300000,13200000,3.46e+08,613200000,52500000,52500000,5e+06,92100000,81500000,149600000,152800000,163900000,119500000,316700000,466300000,243400000,-16400000,-80100000,146900000,146900000,613200000,4800000,3600000,2600000,25500000,-3300000.00000003,-2800000,-2.3283064365387e-10,-2200000.00000001,1e+05,-2099999.99999999,20600000,20600000,0,20600000,17200000,157800000,0.2283,0.06247,0.02159,0.03199,0.00765999999999999,1.7861,3.17427,0.25734,0.07544,0.0746,3.49438,2.35795,0,0.01003,0,7.44767,9.41912
