"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.2384375,"Up",11664000,-8188000,3476000,-16538000,-10377000,-6161000,-13062000,-24000,-24000,-13086000,-13398000,-13398000,-13398000,-13398000,-13398000,-43696143.7793526,-72983278.6337493,29287134.8543967,-1198542.22820876,-1198542.22820876,8686250.80281864,-1821879.46895779,1317848.62507699,-38030314.6737005,6619922.12703181,5365082.22124295,4538417.63820781,11985004.3482748,-26045310.3254258,16546507.9407546,9639716.2196132,6906791.72114143,3426285.42174374,3426285.42174374,20906136.2518237,536554.358669882,984164.953307901,522474.315207134,21428610.5670308,298567754.798013,-346063410.079011,21734.3885414448,-47473920.8924566,-47473920.8924566,-26045310.3254258,-13398000,628000,3102000,198000,-9470000,-2093000,9420000,7327000,1850000,1850000,1625000,-518000,-518000,-561000,-12434000,0,0.29801,-1.11986,-1.14866,-0.524010161874989,-0.42206771384734,-5.99122098800154,0.524728619201998,0.0141274775847989,-0.05887,-0.05887,0.05125,-0.457231188090146,-0.5134471549533,-41.0395424423308,-33.8815529645587
"2","2011_Q1",3.60483870967742,"Up",15605000,-8659000,6946000,-16842000,-9967000,-6875000,-9896000,67000,67000,-9829000,-9842000,-9842000,-9842000,-9842000,-9842000,47113000,4889000,42224000,6671000,6671000,8112000,3465000,2690000,65361000,10763000,1040000,1040000,11803000,77164000,11080000,5350000,5730000,3524000,3524000,15129000,1042000,1042000,1042000,16171000,407437000,-346378000,-66000,60993000,60993000,77164000,-9842000,684000,2508000,-6838000,-13488000,-2366000,-18053000,-20419000,33439000,33439000,33214000,-693000.000000002,-693000.000000002,-652000,-9212000,525000,0.44511,-0.63416,-0.6307,-0.16136,-0.12755,4.32025,0.26513,0.0068,-0.04324,-0.04324,0.06856,0.26798,-0.15732,5.05732,4.70776
"3","2011_Q2",3.81222222222222,"Up",14174000,-9058000,5116000,-16986000,-10718000,-6268000,-11870000,20000,20000,-11850000,-11850000,-11850000,-11850000,-11850000,-11850000,92477797.9264509,35008009.5445831,57469788.3818678,9054430.74273625,9054430.74273625,7102916.39906045,4882376.4896526,3161050.45830767,113517521.5579,12049942.6243227,-282527.407080984,-6972.54606926884,11767415.2172417,125284936.775142,9988830.68641512,4210094.59346227,5778736.09295285,3044738.19275209,3044738.19275209,13278704.5827254,1111981.88044337,1037778.34889737,1116675.22826429,14395379.8109897,464751998.400662,-353762863.306996,-99578.1295138149,110889556.964152,110889556.964152,125284936.775142,-11850000,806000,2919000,-1164000,-9289000,-1791000,8567000,6776000,1688000,1688000,1463000,-1050000,-1050000,-1084000,-11064000,0,0.36094,-0.83745,-0.83604,-0.0391324460416703,-0.0318974287175533,8.61088282933385,0.146495460266001,0.00256584080506704,-0.05207,-0.05207,0.06228,0.541392896030049,-0.0380442816822333,19.8945774807769,17.2259176548529
"4","2011_Q3",3.21765625,"Down",21417000,-9546000,11871000,-19260000,-12244000,-7016000,-7389000,22000,22000,-7367000,-7367000,-7367000,-7367000,-7367000,-7367000,105028000,33889000,71139000,8694000,8694000,6258000,4e+06,3011000,123980000,12016000,373000,373000,12389000,136369000,11368000,4965000,6403000,2333000,2333000,13776000,1018000,1018000,1018000,14794000,487271000,-365595000,-101000,121575000,121575000,136369000,-7367000,892000,4052000,-103000,-2526000,-1160000,-37939000,-39099000,71941000,71941000,71716000,30091000,30091000,30084000,-6497000,75000,0.55428,-0.34501,-0.34398,-0.0606,-0.05402,8.99971,0.12169,0.000549999999999999,-0.03237,-0.03237,0.0941,0.53416,-0.06006,16.15407,14.20395
"5","2011_Q4",2.23238095238095,"Down",18254000,-10090000,8164000,-21472000,-13241000,-8231000,-13308000,30000,30000,-13278000,-13278000,-13278000,-13278000,-13278000,-13278000,97317000,17523000,79794000,9003000,9003000,6455000,2457000,2457000,115232000,12524000,1037000,1037000,13561000,128793000,13006000,6045000,6961000,1737000,1737000,14743000,985000,985000,985000,15728000,492032000,-378873000,-94000,113065000,113065000,128793000,-13278000,998000,4347000,1192000,-6741000,-1506000,-9096000,-10602000,1033000,1033000,958000,-16385000,-16385000,-16366000,-12310000,0,0.44724,-0.72905,-0.7274,-0.11744,-0.1031,7.81605,0.13911,0,-0.0506,-0.0506,0.06957,0.43089,-0.11642,7.90552,7.31267
"6","2012_Q1",2.65790322580645,"Up",22455000,-11706000,10749000,-22982000,-14897000,-8085000,-12233000,28000,28000,-12205000,-12205000,-12205000,-12205000,-12205000,-12205000,8.2e+07,2600000,79400000,12500000,12500000,8200000,1800000,1800000,104500000,1.5e+07,1e+06,1e+06,1.6e+07,120500000,13100000,6300000,6800000,1600000,1600000,14700000,1300000,1e+06,1300000,1.6e+07,495700000,-391100000,-1e+05,104500000,104500000,120500000,-12205000,1104000,3882000,-4325000,-11544000,-3543000,68000.0000000037,-3475000,38000,38000,63000.0000000075,-14956000,-14956000,-14934000,-11129000,7.27595761418343e-12,0.47869,-0.54478,-0.54353,-0.11679,-0.10129,7.10884,0.15311,0,-0.04651,-0.04651,0.08558,0.39825,-0.11536,7.36814,6.70318
"7","2012_Q2",2.70206349206349,"Up",20100000,-10700000,9400000,-24800000,-15400000,-9400000,-15400000,0,0,-15400000,-15400000,-14100000,-14100000,-14100000,-14100000,70184000,5119000,65065000,12543000,12543000,8044000,2051000,2051000,92822000,16206000,8934000,1162000,25140000,117962000,14231000,7980000,6251000,1845000,1845000,16076000,2335000,1501000,2335000,18411000,504842000,-405188000,-103000,99551000,99551000,117962000,-14100000,1200000,3100000,-4e+05,-10200000,-2300000,1.4e+07,11700000,1100000,1100000,1100000,2600000,2600000,2600000,-14200000,0,0.46766,-0.76617,-0.70149,-0.14164,-0.11953,5.77395,0.18494,0,-0.05199,-0.05199,0.07412,0.36708,-0.13839,4.94254,4.5574
"8","2012_Q3",3.23666666666667,"Up",23400000,-12200000,11200000,-25900000,-15800000,-10100000,-14700000,1e+05,1e+05,-14600000,-14600000,-14700000,-14700000,-14700000,-14700000,61188000,5985000,55203000,12900000,12900000,7378000,2527000,2527000,83993000,17768000,8761000,1137000,26529000,110522000,15462000,7532000,7930000,1499000,1499000,16961000,2253000,1551000,2253000,19214000,511275000,-419879000,-88000,91308000,91308000,110522000,-14700000,1500000,5700000,1200000,-6300000,-2900000,9500000,6600000,5e+05,5e+05,5e+05,799999.999999998,799999.999999998,799999.999999998,-13200000,5.82076609134674e-11,0.47863,-0.62821,-0.62821,-0.16099,-0.13301,4.95213,0.21043,0,-0.05357,-0.05357,0.08528,0.33276,-0.15712,4.63545,4.16245
"9","2012_Q4",3.35370967741935,"Up",23100000,-14700000,8400000,-25700000,-15500000,-10200000,-17300000,0,0,-17300000,-17300000,-17200000,-17200000,-17200000,-17200000,53385000,4744000,48641000,12357000,12357000,7141000,2688000,2688000,75571000,18613000,8612000,1137000,27225000,102796000,19182000,10520000,8662000,1222000,1222000,20404000,2139000,1570000,2139000,22543000,517488000,-437142000,-93000,80253000,80253000,102796000,-17200000,2100000,5300000,3800000,-6e+06,-2900000,6400000,3500000,1300000,1300000,1300000,-1200000,-1200000,-1200000,-15200000,0,0.36364,-0.74892,-0.74459,-0.21432,-0.16732,3.70373,0.2809,0,-0.06223,-0.06223,0.08357,0.29035,-0.20876,3.51217,3.08584
"10","2013_Q1",3.81233333333333,"Up",33300000,-15700000,17600000,-25900000,-17300000,-8600000,-8300000,-2e+05,-2e+05,-8500000,-8500000,-8500000,-8500000,-8500000,-8500000,48700000,8100000,40600000,19500000,19500000,7400000,2e+06,2e+06,77600000,18900000,9500000,2100000,28400000,1.06e+08,17900000,8700000,9200000,1400000,1400000,19500000,2700000,2100000,9500000,2.9e+07,522700000,-445600000,-1e+05,7.7e+07,7.7e+07,1.06e+08,-8500000,1800000,4500000,-8400000,-10600000,-1400000,8e+06,6600000,7e+05,7e+05,7300000,3300000,3300000,3300000,-6500000,7e+06,0.52853,-0.24925,-0.25526,-0.11039,-0.08019,3.97949,0.37662,0.06604,-0.03066,-0.03066,0.12013,0.27778,-0.09804,6.41538,5.0241
