"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.3071875,"Up",44448000,-36309000,8139000,-5219000,-5219000,2920000,-80000,-32000,-48000,2840000,2840000,-1110000,1730000,1730000,1730000,1730000,268402379.225695,268402379.225695,37086091.0847252,37086091.0847252,3155428.08496572,1859597.82164076,308643898.395386,3002775.51032768,25940826.5034822,8661072.63840817,16871275.0376998,408433.072244168,28943602.0138099,337587500.409196,14702357.1155333,60.5732737071812,14702296.5422596,1548706.85349556,1303277.03243688,1214768.35714253,17554341.0014658,10222855.24644,3079629.72757557,2023522.9174817,1056106.81009387,13302484.9740155,30856825.9754813,304596575.345542,-153139158.179278,306730676.646263,306730674.430034,337587500.405515,1730000,1730000,325000,176000,-2820000,-589000,-331000,-330000,1565000,0,1590000,671000,671000,671000,3245000,0,1204000,0.18311,0.06569,0.03892,-0.0339137900161654,-0.0204711748311972,0.69595,20.0115818912477,-0.298372504916953,0.0965396495774879,0.07391,0.07251,1.89893,6.4885365740176,0.05144,-0.0368195077887198,-0.216649598275832,-526.553943203451,-825.548166719744
"2","2011_Q1",3.46758064516129,"Up",41557000,-35134000,6423000,-5062000,-5062000,1361000,-103000,-65000,-38000,1258000,1258000,-438000,820000,820000,820000,820000,561000,561000,24272000,24272000,2732000,813000,27565000,2960000,26147000,8546000,16959000,642000,29107000,56672000,12798000,8756000,4042000,1680000,773000,773000,15251000,4832000,2576000,2032000,544000,7408000,22659000,27241000,6879000,34013000,34013000,56672000,820000,820000,264000,157000,813000,2054000,-829000,-829000,-1745000,0,-1615000,-389999.999999999,-389999.999999999,-389999.999999999,1625000,6512000,2047000,0.15456,0.03275,0.01973,0.02411,0.01447,2.49634,1.80742,0.66619,0.11491,0.03518,0.03426,1.78313,1.45943,0.08783,0.01903,0.04749,3.66215,4.37252
"3","2011_Q2",3.29650793650794,"Down",41508000,-34301000,7207000,-5207000,-5207000,2e+06,-78000,-49000,-29000,1922000,1922000,-805000,1117000,1117000,1117000,1117000,-59820626.408565,-59820626.408565,21792219.6384249,21792219.6384249,2093440.63834476,328300.726119746,-35934966.1317953,2895491.49655744,26082057.8321726,8419225.78719728,16988241.6541001,674605.642585277,28977549.32873,-6957416.80306527,12041214.2948222,10616063.1422421,1425151.15258012,1723181.04883481,639990.989187708,620160.547619158,14404386.3328447,2087214.91785335,2540456.75747481,2158659.0275061,381797.72996871,4627671.67532816,19032058.0081729,-34763191.7818474,42843302.7264259,-25989475.5487544,-25989474.8100113,-6957416.8018384,1117000,1117000,316000,477000,73000,1983000,-536000,-536000,-2782000,97000,-1958000,-511000,-511000,-511000,2316000,0,2658000,0.17363,0.04818,0.02691,0.0378345966720551,0.0236087249437324,2.37959,-2.22012229708255,0.809102501638984,0.0926509501408374,0.04725,0.04533,1.75583,0.326798641994135,0.11244,0.0328223359295733,0.109469032758611,111.41616940115,174.400208073248
"4","2011_Q3",4.2175,"Up",44094000,-36914000,7180000,-5537000,-5537000,1643000,-80000,-47000,-33000,1563000,1563000,-649000,914000,914000,914000,914000,647000,647000,24533000,24533000,1711000,251000,26891000.0000001,2865000,25840000,8280000,16959000,601000,28705000,55596000,12237000,8890000,3347000,1667000,726000,646000,14630000,1250000,2764000,2338000,426000,4014000,18644000,28149000,8910000,36952000.0000001,36952000,55596000,914000,914000,323000,308000,38000,1583000,-174000,-174000,-812000,5.82076609134674e-11,-812000,597000,597000,596999.999999996,1966000,2917000,2479000,0.16283,0.03726,0.02073,0.02473,0.01644,2.71225,1.83807,0.50455,0.05247,0.0383,0.03683,1.84789,1.54858,0.10389,0.02144,0.05815,1.15463000000011,1.38161999999999
"5","2011_Q4",3.62952380952381,"Down",47389000,-39169000,8220000,-7750000,-7750000,470000,-49000,-49000,0,421000,421000,-231000,190000,190000,190000,190000,71473000,71473000,26332000,26332000,1722000,246000,99527000,2868000,25635000,8162000,16959000,514000,28503000,128030000,12771000,7130000,5641000,1674000,840000,746000,15285000,873000,2889000,2412000,477000,3762000,19047000,101407000,-35111000,108983000,108983000,128030000,190000,190000,305000,268000,-1022000,-259000,-182000,-173000,-370000,0,71258000,70826000,70826000,70826000,775000,2547000,-198000,0.17346,0.00992,0.00401,0.00174,0.00148,-1.04211,6.51142,0.17477,0.01989,0.00796,0.00796,1.98593,2.77378,-0.0083,0.00166,-0.00173,-88.93677,-146.65106
"6","2012_Q1",4.89096774193548,"Up",44085000,-36914000,7171000,-9560000,-9560000,-2389000,-40000,-46000,6000,-2429000,-2429000,967000,-1462000,-1462000,-1462000,-1462000,74007000,74007000,22425000,22425000,2709000,219000,99141000,2979000,25521000,8053000,16959000,509000,28500000,127641000,13588000,8565000,5023000,1675000,808000,808000,16071000,454000,2756000,2346000,410000,3210000,19281000,102621000,-36948000,108360000,108360000,127641000,-1462000,-1462000,296000,31000,4439000,3304000,138000,142000,3964000,-3774000,-911999.999999985,2534000.00000001,2534000.00000001,2534000.00000001,-2093000,2129000,1517000,0.16266,-0.05419,-0.03316,-0.01349,-0.01145,-1.03762,6.16894,0.17793,0.01668,-0.06087,-0.06627,1.83557,2.72998,0.06316,-0.0096,0.0134,34.34209,30.08707
"7","2012_Q2",5.85333333333333,"Up",44560000,-37787000,6773000,-10997000,-10997000,-4224000,9000,-12000,21000,-4215000,-4215000,1521000,-2694000,-2694000,-2694000,-2694000,204496000,204496000,24350000,24350000,6580000,1544000,235426000,4315000,25505000,7942000,16959000,604000,29820000,265246000,17405000,10383000,7022000,9000,774000,774000,18188000,35000,3689000,2711000,978000,3724000,21912000,241039000,-40392000,243334000,243334000,265246000,-2694000,-2694000,317000,1099000,-1498000,-2776000,-1286000,-1286000,-2084000,167000,134551000,130489000,130489000,130489000,-3907000,44000,-8212000,0.152,-0.09479,-0.06046,-0.01107,-0.01016,3.04826,12.94403,0.09005,0.00017,-0.09806,-0.09806,1.62201,7.29977,-0.29892,-0.00787,-0.03324,52.32966,48.40246
"8","2012_Q3",4.98984126984127,"Down",54540000,-46074000,8466000,-11834000,-11834000,-3368000,-29000,-3000,-26000,-3397000,-3397000,-1780000,-5177000,-5177000,-5177000,-5177000,190712000,190712000,30834000,30834000,3994000,719000,225540000,6694000,28497000,8902000,19084000,511000,35191000,260731000,15702000,8329000,7373000,28000,1026000,1026000,16756000,103000,5525000,3395000,2130000,5628000,22384000,241979000,-46319000,238347000,238347000,260731000,-5177000,-5177000,424000,2788000,-5396000,-7361000,-1733000,-5446000,66000.0000000037,-167000,-977000,-13784000,-13784000,-13784000,-2944000,130999.999999996,-8293000,0.15523,-0.06175,-0.09492,-0.02172,-0.01986,1.60189,13.46025,0.09391,0.000500000000000004,-0.07537,-0.07537,0.794,2.8469,-0.12073,-0.01814,-0.03399,64.73539,56.58581
"9","2012_Q4",5.02112903225806,"Up",70988000,-61064000,9924000,-19204000,-19204000,-9280000,-329000,-15000,-314000,-9609000,-9609000,6460000,-3149000,-3149000,-3149000,-3149000,296503000,296503000,42881000,42881000,6824000,1376000,346208000,8083000,33480000,10487000,22521000,472000,41563000,387771000,26944000,12286000,14658000,359000,1395000,1395000,28698000,93491000,12844000,9761000,3083000,106335000,135033000,260269000,-50218000,252738000,252738000,387771000,-3149000,-3149000,721000,-4041000,-313000,-6782000,-1417000,-4715000,118038000,-6098928.51019186,117288000,105791000,105791000,105791000,-8559000,93850000,-16749000,0.1398,-0.13073,-0.04436,-0.01246,-0.00812,5.31883,12.06384,0.53428,0.24202,-0.0939,-0.0939,2.11684,6.26046,-0.49945,-0.00667,-0.0466,23.67718,21.83761
"10","2013_Q1",5.93266666666667,"Up",108512000,-92875000,15637000,-26765000,-26765000,-11128000,-3151000,-3170000,19000.0000000001,-14279000,-14279000,4999000,-9280000,-9280000,-9280000,-9280000,252293000,252293000,61245000,61245000,7396000,1866000,320934000,13090000,79184000,22473000,55947000,764000,92274000,413208000,46747000,22108000,24639000,491000,1789000,1789000,49027000,108956000,10166000,6781000,3385000,119122000,168149000,262659000,-60287000,245059000,245059000,413208000,-9280000,-9280000,1238000,-1346000,2007000,-7381000,-2564000,-52753000,22480000,-7500000,15938000,-44196000.0000001,-44196000,-44196000,-9890000,109447000,-15446000,0.1441,-0.10255,-0.08552,-0.03787,-0.02246,1.66444,6.54607,0.68616,0.26487,-0.17909,-0.17886,2.09409,3.90336,-0.29808,-0.02833,-0.04236,14.44348,12.83663
"11","2013_Q2",5.8265625,"Down",113999000,-97739000,16260000,-27627000,-27627000,-11367000,-2955000,-3064000,109000,-14322000,-14322000,-222000,-14544000,-14544000,-14544000,-14544000,206182000,206182000,73455000,73455000,9621000,3785000,289258000,14011000,97185000,29373000,66904000,829000,111196000,400454000,43324000,20227000,23097000,791000,1477000,1477000,45592000,110839000,10625000,6855000,3770000,121464000,167056000,266285000,-75574000,233398000,233398000,400454000,-14544000,-14544000,1554000,2690000,-17725000,-28025000,-1081000,-17516000,-63956470.9264455,173000,-570000,-46111000,-46111000,-46111000,-9813000,111630000,-28397000,0.14263,-0.09971,-0.12758,-0.06231,-0.03632,1.95249,6.34449,0.71576,0.27876,-0.27896,-0.27895,2.18651,3.6558,-0.54466,-0.0388,-0.07984,9.63538,8.31811
"12","2013_Q3",7.7175,"Up",137091000,-117751000,19340000,-33355000,-33355000,-14015000,-3273000,-3106000,-167000,-17288000,-17288000,-74000,-17362000,-17362000,-17362000,-17362000,178155000,178155000,89740000,89740000,10076000,4203000,277971000,15554000,100954000,30121000,69927000,834000,116508000,394479000,52894000,23591000,29303000,850000,1548000,1548000,55292000,111964000,10391000,6553000,3838000,122355000,177647000,267824000,-93679000,216832000,216832000,394479000,-17362000,-17362000,1795000,3037000,-8518000,-21048000,-2783000,-5883000.00000001,-66863802.5908862,-353000,-1096000.00000001,-28027000,-28027000,-28027000,-12220000,112814000,-23447000,0.14107,-0.10223,-0.12665,-0.08007,-0.04401,1.35048,5.02733,0.81928,0.28598,-0.33027,-0.33026,2.60783,3.31066,-0.44602,-0.04887,-0.06895,5.34705,4.66222
"13","2013_Q4",7.70359375,"Down",193981000,-161223000,32758000,-51177000,-51177000,-18419000,-6651000,-6415000,-236000,-25070000,-25070000,19044000,-6026000,-6026000,-6026000,-6026000,67259000,67259000,123082000,123082000,12069000,5081000,202410000,39668000,458254000,154026000,302847000,1308000,497922000,700332000,78489000,36535000,41954000,723000,5106000,5106000,84318000,113176000,46091000,18197000,27894000,159267000,243585000,514537000,-100448000,456747000,456747000,700332000,-6026000,-6026000,8394000,-15144000,304000,-12472000,-2671000,-335277000,1.49011611938477e-08,-2708000,236853000,-110896000,-110896000,-110896000,-10025000,113899000,-31436000,0.16887,-0.09495,-0.03106,-0.01319,-0.0086,5.21673,2.40056,0.5333,0.16264,-0.0858,-0.08604,2.7621,5.89469,-0.44762,-0.00961,-0.05097,-4.65237,-2.53217
"14","2014_Q1",9.97688524590164,"Up",257229000,-208387000,48842000,-57341000,-57341000,-8499000,-5821000,-5615000,-206000,-14320000,-14320000,3752000,-10568000,-10568000,-10568000,-10568000,21500000,21500000,134200000,134200000,14300000,7400000,1.7e+08,56600000,553600000,185200000,363400000,5e+06,610200000,780200000,92600000,71400000,21200000,2e+06,4700000,4700000,99300000,181700000,43300000,15200000,28100000,2.25e+08,324300000,5.25e+08,-111700000,455900000,455900000,780200000,-10568000,-10568000,9057000,1317000,-4561000,-4755000,-5065000,-111624000,59200000,-1212000,70513000,-45866000,-45866000,-45866000,558000.000000002,183700000,-12820000,0.18988,-0.03304,-0.04108,-0.02318,-0.01355,1.2131,1.71198,0.71134,0.23545,-0.11906,-0.11881,2.89806,4.6553,-0.14444,-0.0134,-0.01877,290.681,-19.0846
"15","2014_Q2",9.13571428571429,"Down",282400000,-2.28e+08,54400000,-75800000,-75800000,-21400000,-10200000,-10100000,-1e+05,-31600000,-31600000,3300000,-28300000,-28300000,-28300000,-28300000,143886000,143886000,342752000,342752000,38898000,24201000,525536000,98819000,799400000,250203000,539168000,9518000,898219000,1423755000,292942000,227738000,65204000,1777000,6486000,6486000,301205000,100314000,57456000,24793000,32663000,157770000,458975000,1063295000,-140666000,964780000,964780000,1423755000,-28300000,-28300000,11300000,3500000,4800000,-8700000,-3900000,-194700000,-75800000,-11700000,325800000,122400000,122400000,122400000,-10100000,102091000,-12500000,0.19263,-0.07578,-0.10021,-0.02933,-0.01988,0.4417,1.74478,0.47573,0.07171,-0.23692,-0.23699,2.36413,7.72296,-0.10464,-0.02455,-0.01112,4.13812,1.95304
"16","2014_Q3",10.9175,"Up",5.81e+08,-486300000,94700000,-106600000,-106600000,-11900000,-3700000,-3400000,-3e+05,-15600000,-15600000,1800000,-13800000,-13800000,-13800000,-13800000,111620000,111620000,342182000,342182000,46631000,26982000,500433000,97378000,783019000,231915000,540954000,10075000,880397000,1380830000,264370000,216969000,47401000,1565000,6819000,6819000,272754000,101558000,55766000,21658000,34108000,157324000,430078000,1063762000,-155161000,950752000,950752000,1380830000,-13800000,-13800000,25200000,1400000,-30800000,-1.8e+07,-5600000,-15800000.0000001,0,2300000,1499999.99999988,-32300000,-32300000,-32300000,13300000,103123000,-24900000,0.16299,-0.02048,-0.02375,-0.01451,-0.00999,1.80435,1.83474,0.45236,0.07468,-0.0908,-0.09074,3.82274,5.97752,-0.16383,-0.01172,-0.02244,-0.638870000000012,0.71403
"17","2014_Q4",13.199375,"Up",662500000,-558400000,104100000,-117700000,-117700000,-13600000,-18100000,-17800000,-3e+05,-31700000,-31700000,20100000,-11600000,-11600000,-11600000,-11600000,680101000,680101000,475323000,475323000,58670000,20190000,1214094000,224138000,1308061000,363004000,918485000,26496000,1532199000,2746293000,334703000,241354000,93349000,2907000,7960000,7960000,345570000,602568000,145667000,83813000,61854000,748235000,1093805000,1413924000,-167592000,1652488000,1652488000,2746293000,-11600000,-11600000,27300000,-16400000,14100000,13400000,-11700000,-624400000,467400000,-4500000,1179500000,568500000,568500000,568500000,13700000,605475000,-4e+06,0.15713,-0.02053,-0.01751,-0.00702,-0.00422,0.34483,3.51331,0.66191,0.22047,-0.07365,-0.07361,4.20651,7.91352,-0.0254,-0.00453,-0.00166,-5.44715,5.48721
"18","2015_Q1",14.4898360655738,"Up",830700000,-702300000,128400000,-122400000,-122400000,6e+06,-16400000,-16700000,3e+05,-10400000,-10800000,9e+05,-9900000,-9900000,-9900000,-9900000,644100000,644100000,543800000,543800000,3.6e+07,3.6e+07,1223900000,221900000,1303600000,341500000,929300000,23600000,1525500000,2749400000,372600000,252700000,119900000,1800000,6700000,6700000,381100000,580300000,132900000,74500000,58400000,713200000,1094300000,1.832e+09,-219100000,1655100000,1655100000,2749400000,-9900000,-9900000,34500000,7500000,-40100000,-7999999.99999999,-23400000,-23399999.9999999,-5e+05,-3400000.00000001,-4600000.00000024,-36000000.0000002,-3.6e+07,-3.6e+07,40500000,582100000,-23900000,0.15457,0.00722,-0.01192,-0.00598,-0.0036,2.41414,3.21149,0.66117,0.21172,-0.05174,-0.05188,4.3417,8.42992,-0.12491,-0.00388,-0.01008,-1.53085999999999,-10.33333
"19","2015_Q2",16.2179365079365,"Up",7.03e+08,-5.92e+08,1.11e+08,-115800000,-115800000,-4800000,-23300000,-23100000,-2e+05,-28100000,-28300000,13600000,-14700000,-14700000,-14700000,-14700000,1034300000,1034300000,504700000,504700000,33400000,15300000,1572400000,219200000,1341500000,3.43e+08,967800000,30700000,1560700000,3133100000,389600000,245100000,144500000,1800000,7e+06,7e+06,398400000,979300000,7.7e+07,41500000,35500000,1056300000,1454700000,1870700000,-234500000,1636200000,1678200000,3132900000,-14700000,-14700000,33800000,-4600000,32800000,47300000,-11400000,-69600000,414700000,-1500000,412500000,390200000,390200000,390200000,2.9e+07,981100000,36800000,0.15789,-0.00683,-0.02091,-0.00876,-0.00469,-2.5034,3.94679,0.86682,0.31314,-0.0645,-0.06452,3.08447,7.17896,0.16146,-0.00512,0.01345,-1.83448,11.08333
"20","2015_Q3",13.116875,"Down",1215900000,-1025500000,190400000,-220200000,-220200000,-29800000,-38500000,-36300000,-2200000,-68300000,-88100000,9600000,-78500000,-78500000,-74100000,-74100000,1175800000,1175800000,1673200000,1673200000,1045300000,884900000,3894300000,958500000,4849900000,1230400000,3391800000,1.33e+08,5808400000,9702700000,1660200000,1.03e+09,630200000,365200000,1.04e+08,1.04e+08,2129400000,3405700000,6.76e+08,388600000,287400000,4081700000,6211100000,2554600000,-309400000,2815800000,3491600000,9702700000,-78500000,-78500000,56100000,15100000,-63200000,-70500000,-6200000,-1565600000,1330100000,-812100000,1777200000,141100000,141100000,141500000,26300000,3770900000,-52700000,0.15659,-0.02451,-0.06094,-0.02122,-0.00764,0.711199999999999,1.82883,1.77887,0.38864,-0.30401,-0.30401,4.98842,9.12923,-0.21621,-0.00923,-0.00664,98.673,-87.08389
"21","2015_Q4",9.92765625,"Down",2362100000,-2035400000,326700000,-282700000,-282700000,4.4e+07,-6.3e+07,-61500000,-1500000,-1.9e+07,-33600000,-1900000,-35500000,-35500000,-40500000,-40500000,1285300000,1285300000,1647200000,1647200000,308200000,284800000,3240700000,955700000,4840200000,1159400000,3.445e+09,129800000,5795900000,9036600000,1607300000,958400000,648900000,120300000,221200000,193100000,1948800000,3359100000,588900000,345300000,243600000,3.948e+09,5896800000,3168400000,-402600000,2808200000,3139800000,9036600000,-35500000,-35500000,1.02e+08,-19100000,15200000,62600000,-58100000,-6e+07,-2.33e+08,346200000,112500000,115100000,115100000,109500000,1.46e+08,3479400000,1.05e+08,0.13831,0.01863,-0.01715,-0.0129,-0.00448,-2.59259,1.66292,1.87808,0.38503,-0.14206,-0.14206,8.28541,9.70285,0.3683,-0.00552,0.01457,15.02808,49.86591
"22","2016_Q1",8.71868852459016,"Down",3342200000,-2885500000,456700000,-494700000,-494700000,-3.8e+07,-84300000,-95800000,11500000,-122300000,-132500000,69600000,-62900000,-62900000,-61800000,-61800000,289800000,289800000,2266400000,2266400000,4.01e+08,4.01e+08,2957200000,2852200000,6833800000,1876500000,4610600000,233100000,9.686e+09,12643200000,2355500000,1063700000,1291800000,135300000,203600000,203600000,2694400000,5272600000,1615400000,933300000,682100000,6.888e+09,9582400000,3212400000,-4.65e+08,2717100000,3060800000,12643200000,-62900000,-62900000,1.73e+08,-38600000,-20100000,51400000,-1.13e+08,-2390200000,1380200000,-36900000,1342700000,-996100000,-996100000,-995500000,1.35e+08,5407900000,-67700000,0.13665,-0.01137,-0.01849,-0.02019,-0.00489,1.09547,1.09754,3.13068,0.42773,-0.19555,-0.19519,10.57579,8.46487,-0.21422,-0.00607,-0.00671,37.91185,-134.68684
"23","2016_Q2",9.93359375,"Up",3545700000,-3051300000,494400000,-4.32e+08,-4.32e+08,62400000,-91900000,-93100000,1200000,-29500000,-3.5e+07,15700000,-19300000,-19300000,-22500000,-22500000,2.79e+08,2.79e+08,2265100000,2265100000,4.97e+08,4.97e+08,3041100000,2820300000,6730900000,1704200000,4.787e+09,236900000,9551200000,12592300000,2.35e+09,997700000,1352300000,134300000,228600000,228600000,2712900000,5379100000,1418700000,719100000,699600000,6797800000,9510700000,3219500000,-488200000,2.726e+09,3081600000,12592300000,-19300000,-19300000,162100000,-6800000,-129100000,6900000,-97200000,-97200000,76499999.9999998,0,75800000,-14500000,-14500000,-10800000,224500000,5513400000,-17500000,0.13944,0.0176,-0.00635,-0.0073,-0.00179,0.77778,1.12098,3.08629,0.43784,-0.07098,-0.071,11.18595,8.46746,-0.05521,-0.00218,-0.00175,23.31581,83.88462
"24","2016_Q3",11.30765625,"Up",3683300000,-3103500000,579800000,-409500000,-409500000,170300000,-90300000,-94700000,4400000,8e+07,83400000,-3.3e+07,50400000,50400000,46600000,46600000,377800000,377800000,2266400000,2266400000,461800000,461800000,3.106e+09,2754500000,6569800000,1637500000,4.732e+09,197700000,9324300000,12430300000,2377300000,986100000,1391200000,121100000,141800000,141800000,2640200000,5342700000,1370200000,712600000,657600000,6712900000,9353100000,3229900000,-4.43e+08,2728400000,3077200000,12430300000,50400000,50400000,161500000,36200000,12600000,260700000,-91200000,-82900000.0000002,-77400000,2200000,-7.6e+07,101800000,101800000,98800000,331800000,5463800000,286200000,0.15741,0.04624,0.01265,0.01514,0.00375,6.14163,1.17643,3.03948,0.43955,0.14652,0.13178,11.58076,8.44638,0.89985,0.00478,0.02888,15.32851,29.86494
