"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",58.8806349206349,"Up",335177000,-170570000,164607000,-74859000,-62470000,89748000,-9886000,-8883000,-1003000,79862000,77246000,-28612000,48634000,48634000,-515000,48119000,48119000,166567508.050531,225846331.837732,102956440.869611,102956440.869611,50588064.652445,16157106.6989449,5557884.53917983,320112013.572587,232407353.925419,2018781121.68065,257757079.49587,1757048474.63142,3975567.55336294,2251188475.60607,2571300489.17865,213032848.043478,43325336.1390462,169707511.904431,68304300.1816842,54633744.124104,208151615.105027,335970892.349266,1358055504.48185,170101338.509048,148275406.285463,21825932.2235852,1528156842.9909,1864127735.34017,-39440168.7099774,833790485.856101,-107435950.312192,686914366.833932,20258387.0045565,707172753.838488,2571300489.17865,48634000,12389000,16495000,3537000,81055000,-12804000,-50459000,-423000,-63686000,-2660000,-6421000,1163000,-7918000,9451000,9451000,-2332000,7119000,102137000,0,121482000,0.4911,0.26776,0.14356,0.0308580654591535,0.00570026103808026,2.52462,0.846465331022876,2.18560264229403,0.557043856767739,0.56766,0.55582,3.95411,8.30861645508504,1.43313,0.00684589215597546,0.110021256393613,17.059644439228,20.9065630227388
"2","2010_Q3",66.2265625,"Up",347734000,-176540000,171194000,-76181000,-63564000,95013000,-9730000,-8838000,-892000,85283000,83868000,-30102000,53766000,53766000,-672000,53094000,53094000,10485000,8251000,194306000,194306000,56269000,13836000,25975000,261060000,252391000,1787537000,309562000,1452051000,25924000,2039928000,2300988000,143260000,44051000,99209000,92490000,16568000,98531307.5525133,252318000,859429000,209838000,196061000,13777000,1069267000,1321585000,70264000,910831000,-31892000,949203000,30200000,979403000,2300988000,53766000,12617000,-13029000,-5104000,48250000,-12213000,-9367000,-488000,-22068000,-61544000,7495000,12267000,-41782000,-15600000,-15600000,964999.999999998,-14635000,107630000,951919000,120415000,0.49231,0.27323,0.15269,0.05421,0.02307,2.26796,1.03465,1.34938,0.4137,0.62544,0.61225,4.09624,11.18144,1.41847,0.0248,0.05624,8.74695,9.90848
"3","2010_Q4",74.35453125,"Up",362988000,-185515000,177473000,-78537000,-65033000,98936000,-8094000,-8427000,333000,90842000,87945000,-30645000,57300000,57300000,-614000,56686000,56686000,39259000,20627000,216508000,216508000,57374000,13490000,28949000,313141000,262650000,1858495000,349375000,1476156000,32964000,2121145000,2434286000,156132000,49354000,106778000,96932000,16925000,38275102.5175044,269989000,880452000,226861000,214050000,12811000,1107313000,1377302000,71514000,967517000,-14448000,1024583000,32401000,1056984000,2434286000,57300000,13504000,7376000,-2059000,76121000,-10920000,-27789000,-16261000,-54970000,3668000,-6439000,-1236000,-4007000,17144000,17144000,-4768000,12376000,112440000,977384000,130106000,0.48892,0.27256,0.15616,0.05363,0.02329,2.29521,1.15983,1.30305,0.40151,0.66454,0.65007,4.25538,12.0114,1.52526,0.02507,0.05754,8.34334,9.48214
"4","2011_Q1",83.3741935483871,"Up",393489000,-202311000,191178000,-104192000,-88817000,86986000,-11120000,-10667000,-453000,75866000,82794000,-32037000,50757000,50757000,-777000,49980000,49980000,95524000,79276000,214899000,214899000,58265000,16038000,25403000,368688000,267971000,2002364000,375174000,1595764000,31426000,2270335000,2639023000,189132000,54777000,134355000,91406000,27951000,13496000,308489000,1014222000,235962000,222647000,13315000,1250184000,1558673000,47797000,1017497000,-16869000,1048425000,31925000,1080350000,2639023000,50757000,15375000,8697000,45415000,120244000,-12383000,-94815000,2440000,-104758000,72469000,-39063000,6736000,40142000,55628000,55628000,3021000,58649000,102361000,1105628000,167430000,0.48585,0.22106,0.12702,0.04626,0.01894,3.34994,1.19514,1.44275,0.41895,0.58612,0.57213,4.61449,12.29499,1.96347,0.02064,0.06913,9.86806,11.61226
"5","2011_Q2",89.4926984126984,"Up",398126000,-205878000,192248000,-89835000,-74732000,102413000,-11451000,-11188000,-263000,90962000,90962000,-34376000,56586000,56586000,-912000,55674000,55674000,44424000,24656000,231171000,231171000,62068000,21448000,25212000,337663000,272593000,2033381000,388812000,1616504000,28065000,2305974000,2643637000,183743000,56120000,127623000,83516000,24986000,10307000,292245000,921554000,251831000,241096000,10735000,1173385000,1465630000,76003000,1073171000,-3931000,1145243000,32764000,1178007000,2643637000,56586000,15103000,9682000,-15786000,65585000,-11692000,-19154000,-1240000,-32086000,-110607000,14811000,8092000,-87704000,-54205000,-54205000,1808000,-52397000,117516000,1005070000,124414000,0.48288,0.25724,0.13984,0.04726,0.02106,2.23469,1.15541,1.24416,0.38018,0.65147,0.63608,4.65866,13.40103,1.45583,0.02286,0.0511,8.1746,9.38012
"6","2011_Q3",84.5815625,"Down",410441000,-213530000,196911000,-94963000,-79012000,101948000,-13763000,-12944000,-819000,88185000,88185000,-32295000,55890000,55890000,-348000,55542000,55542000,57262000,38199000,252462000,252462000,61923000,19853000,26718000,371647000,276770000,2317179000,446377000,1839599000,31203000,2593949000,2965596000,172567000,58346000,114221000,67879000,27889000,13718000,268335000,1165395000,280834000,269218000,11616000,1446229000,1714564000,95225000,1128713000,-287000,1223651000,27381000,1251032000,2965596000,55890000,15951000,1322000,-19054000,54109000,-11960000,-261280000,837000,-272403000,217657000,7956000,6457000,232070000,13776000,13776000,-233000,13543000,117899000,1233274000,119180000,0.47975,0.24839,0.13532,0.0444,0.01873,2.14576,1.38501,1.37052,0.41586,0.6463,0.63151,4.77598,14.23865,1.3868,0.02009,0.0431,9.97474,11.53541
"7","2011_Q4",80.2060317460317,"Down",420924000,-220419000,200505000,-95939000,-79006000,104566000,-12374000,-11797000,-577000,92192000,92192000,-32448000,59744000,59744000,-497000,59247000,59247000,23811000,23395000,283710000,283710000,77321000,22160000,39465000,384842000,290721000,2479945000,524227000,1924989000,30729000,2770666000,3155508000,211260000,70285000,140975000,95149000,23504000,9842000,329913000,1304628000,309242000,301115000,8127000,1613870000,1943783000,27573000,1187960000,-32870000,1182663000,29062000,1211725000,3155508000,59744000,16933000,11054000,7751000,95482000,-13329000,-184625000,16344000,-181610000,142745000,-73481000,-1675000,67589000,-18539000,-18539000,1512000,-17027000,121499000,1399777000,148369000,0.47634,0.24842,0.14075,0.04889,0.01878,2.50424,1.1665,1.60415,0.4436,0.69243,0.678,4.91939,13.82192,1.73401,0.02028,0.0508,11.32492,13.15883
"8","2012_Q1",84.9108064516129,"Up",446557000,-234342000,212215000,-96831000,-78772000,115384000,-14399000,-12703000,-1696000,100985000,100985000,-35862000,65123000,65123000,-835000,64288000,64288000,22927000,22511000,290854000,290854000,76815000,22466000,35035000,390596000,293912000,2492582000,546618000,1913703000,32261000,2786494000,3177090000,207156000,66635000,140521000,100526000,19232000,6377000,326914000,1284113000,338812000,313733000,25079000,1622925000,1949839000,847000,1243303000,-45984000,1198166000,29085000,1227251000,3177090000,65123000,18059000,5787000,1959000,90928000,-16320000,-1779000,999.999999998137,-18098000,-21837000,-42056000,-10190000,-74083000,-1252999.99999999,-1252999.99999999,369000,-883999.999999993,133443000,1384639000,154944000,0.47522,0.25839,0.14396,0.05238,0.02023,2.41015,1.1948,1.58879,0.43582,0.75715,0.74228,5.25934,14.11144,1.82486,0.02179,0.05251,10.20445,11.80157
"9","2012_Q2",86.3392063492063,"Up",460077000,-244182000,215895000,-99633000,-81915000,116262000,-13232000,-12674000,-558000,103030000,103030000,-37715000,65315000,65315000,-458000,64857000,64857000,30682000,30262000,315144000,315144000,81252000,23151000,39046000,427078000,301274000,2546882000,582467000,1924240000,40175000,2848156000,3275234000,218139000,71806000,146333000,91038000,24640000,10699000,333817000,1250769000,362910000,335913000,26997000,1613679000,1947496000,23648000,1305215000,-29538000,1299325000,28413000,1327738000,3275234000,65315000,17718000,12149000,4379000,99561000,-17049000,-28182000,-2000,-45233000,-62067000,9549000,5061000,-47457000,6871000,6871000,880000,7751000,133980000,1341807000,159025000,0.46926,0.2527,0.14097,0.04885,0.0198,2.45193,1.27938,1.46678,0.40968,0.76457,0.74903,5.42363,15.31712,1.87467,0.02139,0.05244,9.78598,11.27733
"10","2012_Q3",91.9679365079365,"Up",468950000,-248832000,220118000,-102391000,-84365000,117727000,-12169000,-12659000,490000,105558000,105558000,-37186000,68372000,68372000,-779000,67593000,67593000,54631000,54213000,294890000,294890000,86607000,23347000,40255000,436128000,309443000,2596083000,596128000,1962849000,37106000,2905526000,3341654000,195085000,77240000,117845000,82074000,24823000,8793000,301982000,1282462000,368034000,341511000,26523000,1650496000,1952478000,52642000,1372808000,-57736000,1367714000,21462000,1389176000,3341654000,68372000,18026000,-307000.000000004,3146000,89237000,-16770000,-83534000,0,-100304000,12392000,15956000,6304000,34652000,23585000,23585000,366000,23951000,135753000,1364536000,159315000,0.46938,0.25104,0.14414,0.04866,0.02023,2.35697,1.44422,1.40549,0.40834,0.79362,0.7784,5.50603,16.05859,1.87055,0.02165,0.05103,9.64918,11.12663
