"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",43.4598412698413,"Up",2.578e+09,-1.86e+09,7.18e+08,-4.41e+08,-3.78e+08,-3.78e+08,-6.3e+07,2.77e+08,-2.6e+07,-2.6e+07,2.51e+08,-3.2e+07,2.19e+08,-7.5e+07,1.44e+08,2e+06,2e+06,1.46e+08,1.46e+08,1.46e+08,8.8e+08,8.8e+08,1.853e+09,1.853e+09,8.21e+08,4.73e+08,2.38e+08,4.027e+09,1.049e+09,6.124e+09,4.071e+09,6.64e+08,8.43e+08,7.173e+09,1.12e+10,2.177e+09,1.207e+09,9.7e+08,2.667e+09,3.249e+09,1.775e+09,1.775e+09,1.474e+09,4.614e+09,7.281e+09,1.82e+08,4.85e+09,-1.113e+09,3.919e+09,3.919e+09,1.12e+10,1.44e+08,6.8e+07,-6.6e+07,-7.9e+07,6.7e+07,-5.2e+07,-5.2e+07,-5.2e+07,2e+06,-4.41e+08,-8.5e+07,1.51e+08,1e+07,89689590.0656968,2263136584.06068,7.6e+07,-2.98e+08,1e+07,-2.88e+08,-4.8e+07,-3.36e+08,3.45e+08,1.654e+09,2.89e+08,0.27851,0.10745,0.05663,0.03725,0.01304,1.97945,1.50994,1.85787,0.14768,0.79651,0.78962,14.06438,21.38025,1.57665,0.46372,4,0.02618,0.03276,0.58219,2.24348,2.79422
"2","2010_Q3",39.3284375,"Down",2.739e+09,-1.958e+09,7.81e+08,-4.35e+08,-3.75e+08,-3.75e+08,-6e+07,3.46e+08,-1.9e+07,-1.9e+07,3.27e+08,-21999999.9999999,3.05e+08,-7.9e+07,2.26e+08,1.2e+07,1.2e+07,2.38e+08,2.38e+08,2.38e+08,8.44e+08,8.44e+08,1.829e+09,1.829e+09,8.13e+08,6.07e+08,2.37e+08,4.093e+09,1.037e+09,5.885e+09,3.953e+09,6.16e+08,8.12e+08,6.922e+09,1.1015e+10,2.193e+09,1.208e+09,9.85e+08,2.474e+09,3.156e+09,1.754e+09,1.754e+09,1.402e+09,4.519e+09,6.993e+09,1.82e+08,5.058e+09,-1.218e+09,4.022e+09,4.022e+09,1.1015e+10,2.26e+08,7.2e+07,8000000.00000003,-1.7e+07,2.89e+08,-5.4e+07,-5.4e+07,-5.4e+07,1e+06,-6.3e+07,-4.5e+07,-1.87e+08,4e+06,34344795.0328484,4e+06,-2.24e+08,2e+06,-1e+06,1e+06,-3.7e+07,-3.6e+07,4.18e+08,1.469e+09,4.26e+08,0.28514,0.12632,0.08689,0.05917,0.02161,1.78992,1.65441,1.73869,0.13336,1.29418,1.28302,14.89396,21.87058,2.31648,0.2447,8,0.03273,0.04927,0.18908,1.49522,1.80636
"3","2010_Q4",41.68546875,"Up",2.643e+09,-1.875e+09,7.68e+08,-4.56e+08,-3.96e+08,-3.96e+08,-6e+07,3.12e+08,-1.6e+07,-1.6e+07,2.96e+08,-3.44e+08,-4.8e+07,6e+07,1.2e+07,1.33e+08,1.33e+08,1.45e+08,1.45e+08,1.45e+08,9.12e+08,9.12e+08,1.911e+09,1.911e+09,9.42e+08,4.93e+08,2.62e+08,4.258e+09,1.149e+09,7.053e+09,4.271e+09,7.83e+08,1.183e+09,8.202e+09,1.246e+10,2.343e+09,1.269e+09,1.074e+09,2.792e+09,3.975e+09,1.763e+09,1.763e+09,2.212e+09,5.339e+09,8.131e+09,1.83e+08,5.168e+09,-1.022e+09,4.329e+09,4.329e+09,1.246e+10,1.2e+07,7.4e+07,2.22e+08,-1e+07,2.98e+08,1.82e+08,-6.8e+07,-6.8e+07,-2e+06,-4.13e+08,-4.6e+07,1.72e+08,3e+06,4781598.3442828,3e+06,1.32e+08,1.7e+07,-7e+06,1e+07,5.8e+07,6.8e+07,3.86e+08,1.643e+09,4.98e+08,0.29058,0.11805,0.05486,0.0335,0.01164,3.43448,1.52507,1.87826,0.13186,0.78719,0.78294,14.34853,23.50163,2.70358,0.24973,6,0.0192,0.05007,0.31724,1.89378,2.34295
"4","2011_Q1",49.8583870967742,"Up",-6069300000,4406200000,-1663100000,932300000,808600000,972600000,123700000,-730800000,-3.1e+07,55300000,-761800000,13199999.9999999,-748600000,236200000,-512400000,787700000,787700000,275300000,275300000,275300000,2.06e+08,2.06e+08,3.15e+08,3.15e+08,2.18e+08,3.685e+09,2.28e+08,4.424e+09,2.99e+08,7.892e+09,5.04e+08,91999999.9999999,1.111e+09,8.191e+09,1.2615e+10,8.39e+08,3.97e+08,4.42e+08,2.741e+09,4.063e+09,2.62e+08,2.62e+08,1.884e+09,5.413e+09,8.154e+09,9.2e+07,5.441e+09,-1.072e+09,4.461e+09,4.461e+09,1.2615e+10,-512400000,-149800000,95200000,-161200000,-728200000,-201100000,47700000,47700000,-1400000,7.82e+08,-399999.999999993,-270700000,10500000,-6e+06,524700000,264100000,317900000,-202100000,115800000,4900000,120700000,-880600000,1.36e+09,-1479100000,0.27402,0.12041,-0.04536,0.06171,0.02182,-5.37268,1.61401,1.82784,0.10781,2.99239,2.99239,-65.97065,48.48913,-16.07717,0.00434999999999997,6,0.02789,-0.14965,0.00145000000000006,-1.31047,-1.57909
"5","2011_Q2",49.8660317460317,"Up",5.33e+08,-3.65e+08,1.68e+08,-1.02e+08,-8.6e+07,-4.5e+07,-1.6e+07,6.6e+07,-2.5e+07,-2.5e+07,4.1e+07,-7.6e+07,-3.5e+07,1.3e+07,-2.2e+07,1.43e+08,1.43e+08,1.21e+08,1.21e+08,1.21e+08,1.074e+09,1.074e+09,2.075e+09,2.075e+09,9.5e+08,6.11e+08,6.11e+08,4.71e+09,1.207e+09,6.809e+09,4.318e+09,7.56e+08,1.735e+09,8.016e+09,1.2726e+10,2.684e+09,9.81e+08,1.703e+09,2.769e+09,3.835e+09,1.715e+09,1.715e+09,2.12e+09,5.189e+09,7.958e+09,1.84e+08,5.539e+09,-9.55e+08,4.768e+09,4.768e+09,1.2726e+10,-2.2e+07,1.8e+07,3e+07,-7.1e+07,-4.5e+07,-1.5e+07,-1.5e+07,-1.5e+07,2e+06,-1.3e+07,-9.2e+07,7.4e+07,2.8e+07,-5e+06,7e+06,1.7e+07,-4.1e+07,7.8e+07,3.7e+07,5e+06,4.2e+07,8.4e+07,1.439e+09,-1.5e+07,0.3152,0.12383,0.22702,0.02538,0.00951,-0.12397,1.70098,1.66904,0.11308,1.30811,1.30811,5.76216,51.54595,-0.16216,0.99459,5,0.02121,-0.00149,0.76033,4.34524,5.5303
"6","2011_Q3",42.42203125,"Down",552500000.000001,-376400000,176100000,-109300000,-91800000.0000001,-47500000.0000001,-17500000,66800000,-18600000,-18600000,48200000,-19900000,28300000,-9100000,19199999.9999999,150800000,150800000,1.7e+08,1.7e+08,1.7e+08,1.16e+09,1.16e+09,2.2e+09,2.2e+09,9.8e+08,6.78e+08,6.78e+08,5.018e+09,1.242e+09,6.84e+09,4.34e+09,7.41e+08,1.759e+09,8.082e+09,1.31e+10,2.829e+09,1.115e+09,1.714e+09,2.96e+09,3.867e+09,1.74e+09,1.74e+09,2.127e+09,5.164e+09,8.124e+09,1.84e+08,5.676e+09,-8.84e+08,4.976e+09,4.976e+09,1.31e+10,19200000.0000001,1.8e+07,-41200000,-120200000,-124200000,-17500000,-22100000,-22100000,-2600000,-20100000,-46300000,-11099999.9999999,8e+06,-4e+05,212700000,163300000,1.9e+07,68500000,87499999.9999999,-2e+06,85499999.9999999,84800000,1.428e+09,-43799999.9999998,0.31873,0.1209,0.30769,0.03416,0.01298,-0.25765,1.69527,1.63264,0.10901,1.83784,1.83784,5.97297,53.79459,-0.473510000000001,0.50054,5,0.02106,-0.00426,0.27235,3.16038,4.01198
"7","2011_Q4",24.2855555555556,"Down",515900000,-360700000,155200000,-87400000,-71600000,-2.8e+07,-15800000,67800000,-22500000,-22500000,45300000,-79100000,-33800000,4300000,-29500000,1.38e+08,1.38e+08,108500000,108500000,108500000,2.686e+09,2.686e+09,2.198e+09,2.198e+09,1.011e+09,6.52e+08,6.52e+08,6.547e+09,1.214e+09,7.327e+09,4.471e+09,8.29e+08,2.027e+09,8.541e+09,1.5088e+10,2.871e+09,1.116e+09,1.755e+09,4.176e+09,4.799e+09,2.658e+09,2.658e+09,2.141e+09,6.667e+09,1.0843e+10,1.85e+08,5.709e+09,-1.649e+09,4.245e+09,4.245e+09,1.5088e+10,-29500000,17300000,36200000,33400000,57400000,-15100000,-16100000,-16100000,7e+05,-14400000,-46100000,-115900000,7e+06,8e+05,1.807e+09,1.652e+09,1.695e+09,-154400000,1540600000,-13900000,1526700000,85100000,3.173e+09,99100000,0.30083,0.13142,0.21031,0.02556,0.00719,0.91336,1.56777,2.5543,0.2103,1.16918,1.16918,5.55927,45.74353,1.06789,0.49677,5,0.01265,0.00811,0.42488,5.72268,7.18289
"8","2012_Q1",19.623064516129,"Down",484200000,-338500000,145700000,-94700000,-80500000,-45800000,-14200000,5.1e+07,-4900000,67400000,46100000,-321500000,-275400000,-268800000,-544200000,15200000,15200000,-5.29e+08,-5.29e+08,-5.29e+08,689800000,689800000,390500000,390500000,248100000,433300000,433300000,1761700000,321400000,1588400000,497500000,76600000,1014300000,1909800000,3671500000,8.34e+08,361100000,472900000,8.34e+08,2142700000,315400000,315400000,1827300000,2142700000,2976700000,93100000,852600000,-250900000,694800000,694800000,3671500000,-544200000,1.8e+07,325200000,-9600000,-210600000,-44300000,-49100000,-49100000,9e+05,-5.9e+07,-8600000,-1262200000,10400000,-2e+06,350400000,-9.1e+08,-1179600000,-418600000,-1598200000,1500000,-1596700000,6.9e+07,4.76837158203125e-07,283900000,0.30091,0.10533,-1.09252,-0.76137,-0.14408,-0.536670000000002,2.11235,4.28425,0,-5.66381,-5.66381,5.18415,7.43896999999999,3.03961,0.0920799999999999,5,-0.1834,0.10005,-0.0162600000000002,-9.9971,-13.52549
"9","2012_Q2",18.3349206349206,"Down",568100000,-397900000,170200000,-120900000,-104800000,-57700000,-16100000,49300000,-1600000,-1600000,47700000,-12600000,35100000,-24600000,10500000,-7300000,-7300000,3200000,3200000,3200000,7.28e+08,7.28e+08,4.74e+08,4.74e+08,2.68e+08,3.89e+08,3.89e+08,1.859e+09,3.28e+08,1.562e+09,5.15e+08,8.3e+07,9.64e+08,1.89e+09,3.749e+09,9.25e+08,4.5e+08,4.75e+08,9.25e+08,2.101e+09,2.81e+08,2.81e+08,1.82e+09,2.101e+09,3.026e+09,9.3e+07,8.39e+08,-2.09e+08,7.23e+08,7.23e+08,3.749e+09,10500000,16200000,-19400000,11100000,18400000,-1.3e+07,-1.3e+07,-1.3e+07,1400000,-11600000,-8900000,20800000,-2500000,-37500000,4399999.99999988,13800000,20600000,-1100000,19500000,18800000,38300000,65500000,0,88200000,0.2996,0.08678,0.00563,0.00443,0.00085,27.5625,2.00973,4.18534,0,0.03393,0.03344,6.02439,7.66702,0.93531,0.09438,6,0.00428,0.03123,2.78125,-11.1145,-14.76673
"10","2012_Q3",17.477619047619,"Down",557900000,-387500000,170400000,-103700000,-87100000,-41300000,-16600000,66700000,-3400000,-3399999.99999999,63300000,-9700000,53600000,-37400000,16200000.0000001,6e+05,6e+05,16799999.9999999,16800000,16800000,739100000,739100000,464500000,464500000,259700000,366300000,366300000,1829600000,320900000,1553100000,5.11e+08,80500000,961600000,1.874e+09,3703600000,921900000,426200000,495700000,921900000,2.091e+09,279500000,279500000,1811500000,2.091e+09,3012900000,92200000,850500000,-2.52e+08,690700000,690700000,3703600000,16200000.0000001,16600000,31100000,19700000,83600000,-16600000,-16600000,-16600000,-4e+05,-1.7e+07,-8300000,16799999.9999999,-38600000,-39300000,1900000,-28200000,38400000,1700000.00000006,40100000.0000002,-29100000,10999999.9999998,83300000,0,123800000,0.30543,0.11956,0.0301099999999999,0.02432,0.00453999999999999,7.36905,1.9846,4.3621,0,0.18162,0.179300000000001,6.03135,7.46703,1.33838,0.08973,6,0.00901999999999999,0.04451,0.49405,-8.87275,-11.08096
