"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",33.9934920634921,"Up",1010400000,-620700000,389700000,-267600000,-267600000,122100000,-13100000,-12900000,-2e+05,1.09e+08,80600000,-2e+07,9900000,70500000,70500000,70500000,70500000,81800000,81800000,384100000,384100000,708400000,130400000,130400000,1304700000,580600000,1974300000,323100000,1651200000,2892800000,4197500000,704800000,334600000,370200000,516200000,310500000,205700000,1.221e+09,806800000,465800000,465800000,1272600000,2493600000,1006800000,1006800000,9.92e+08,-314900000,1683900000,2e+07,1703900000,4197500000,70500000,24900000,-2500000,3e+06,95900000,-15500000,-15500000,-51300000,40700000,-53600000,11300000,-64900000,-64200000,16200000,16200000,-11700000,4500000,1.47e+08,1.323e+09,154500000,0.38569,0.12084,0.06977,0.04138,0.0168,2.19149,1.06855,1.46347,0.31519,0.27496,0.27262,3.94072,6.56747,0.60257,0.20008,6,0.03487,0.04424,0.72766,8.44354,10.16544
"22","2015_Q3",35.65859375,"Up",1024100000,-620100000,4.04e+08,-281200000,-281200000,122800000,-12400000,-1.3e+07,6e+05,110400000,91400000,-14500000,7400000,84300000,84300000,84300000,84300000,89500000,89500000,390600000,390600000,738500000,140300000,140300000,1358900000,590100000,2084400000,364600000,1719800000,3019500000,4378400000,716200000,337800000,378400000,622600000,416700000,205900000,1338800000,807900000,496400000,496400000,1304300000,2643100000,1019600000,1019600000,1020400000,-324700000,1715300000,2e+07,1735300000,4378400000,84300000,27600000,16300000,-38200000,9e+07,-27100000,-138600000,-51200000,107200000,-2100000,2900000,-5e+06,53900000,5300000,5300000,2400000,7700000,150400000,1430500000,99600000,0.39449,0.11991,0.08232,0.04858,0.01925,1.18149,1.01501,1.52314,0.32672,0.32955,0.32674,4.00352,6.70563,0.38937,0.20016,6,0.037,0.0272,0.60735,8.91622,10.9202
"23","2015_Q4",37.19734375,"Up",1059900000,-6.38e+08,421900000,-271500000,-271500000,150400000,-13400000,-13600000,2e+05,1.37e+08,125300000,-37400000,9700000,97600000,97600000,97600000,97600000,108400000,108400000,422900000,422900000,727200000,1.16e+08,1.16e+08,1374500000,589100000,2178500000,376100000,1802400000,3116200000,4490700000,719800000,336100000,383700000,684800000,481200000,203600000,1404600000,807200000,516700000,516700000,1323900000,2728500000,1033800000,1033800000,1065100000,-353600000,1745300000,16900000,1762200000,4490700000,97600000,26200000,3500000,3400000,130700000,-27100000,-126500000,-51200000,65300000,9500000,11900000,-2400000,23600000,27800000,27800000,-8900000,18900000,176600000,1.492e+09,190300000,0.39806,0.1419,0.09208,0.05539,0.02173,1.9498,0.97857,1.54835,0.33224,0.38125,0.37771,4.14023,6.81758,0.74336,0.2,6,0.03946,0.05047,0.52459,7.83465,9.19947
"24","2016_Q1",39.8437704918033,"Up",1201900000,-680200000,521700000,-307100000,-307100000,214600000,-13300000,-13800000,5e+05,201300000,198900000,-59400000,9700000,149200000,149200000,149200000,149200000,112600000,112600000,455200000,455200000,710800000,78800000,78800000,1357400000,618400000,2131400000,372100000,1759300000,3115200000,4472600000,895600000,411900000,483700000,3.43e+08,139500000,203500000,1238600000,1051400000,495700000,495700000,1547100000,2785700000,1039600000,1039600000,1036700000,-406100000,1670200000,16700000,1686900000,4472600000,149200000,27200000,29600000,67400000,273400000,-58300000,-58300000,-51200000,-95200000,-61200000,12300000,-73500000,-212900000,2199999.99999999,2199999.99999999,2e+06,4200000,241800000,1394400000,310300000,0.43406,0.17855,0.12414,0.08845,0.03336,2.07976,1.09591,1.65137,0.31176,0.58327,0.57695,4.69859,6.52932,1.21306,0.20016,6,0.05602,0.08675,0.34316,5.30108,5.97297
"25","2016_Q2",43.4459375,"Up",1030200000,-625200000,4.05e+08,-274300000,-274300000,130700000,-12800000,-13900000,1100000,117900000,116300000,-31300000,8400000,93400000,93400000,93400000,93400000,111800000,111800000,371200000,371200000,702200000,72900000,72900000,1258100000,609100000,2134100000,370100000,1.764e+09,3106900000,4.365e+09,700400000,336700000,363700000,390200000,389600000,6e+05,1090600000,1.055e+09,492500000,492500000,1547500000,2638100000,1047600000,1047600000,1086300000,-423700000,1710200000,16700000,1726900000,4.365e+09,93400000,26400000,2500000,-43700000,78600000,-22200000,-22200000,-54600000,49100000,-4e+07,7800000,-47800000,-46200000,10200000,10200000,-1.1e+07,-8e+05,157100000,1445200000,122500000,0.39313,0.12687,0.09066,0.05409,0.0214,1.31156,1.15359,1.52765,0.33109,0.36743,0.36399,4.05271,6.72777,0.4819,0.21479,7,0.04039,0.03343,0.58458,8.48759,10.20199
"26","2016_Q3",45.298125,"Up",1063300000,-630500000,432800000,-303900000,-303900000,128900000,-1.3e+07,-13700000,7e+05,115900000,1.12e+08,-25900000,7700000,93800000,93800000,93800000,93800000,131500000,131500000,399600000,399600000,739600000,81400000,81400000,1352100000,637100000,2247300000,410200000,1837100000,3255500000,4607600000,755800000,366200000,389600000,513700000,513100000,600000.000000015,1269500000,1.054e+09,510600000,510600000,1564600000,2834100000,1074400000,1074400000,1069800000,-387700000,1756500000,1.7e+07,1773500000,4607600000,93800000,26600000,13700000,-1.49011611938477e-08,134100000,-31100000,-149200000,-54700000,122900000,-35400000,17600000,-5.3e+07,3e+07,14900000,14900000,4800000,19700000,155500000,1567700000,150300000,0.40703,0.12123,0.08822,0.05289,0.02036,1.60235,1.06506,1.59803,0.34024,0.36958,0.36555,4.18952,6.9208,0.5922,0.21552,8,0.03855,0.03902,0.58316,9.23601,11.14197
"27","2016_Q4",41.9004761904762,"Down",1.091e+09,-637100000,453900000,-281800000,-281800000,172100000,-13900000,-14100000,2e+05,158200000,153900000,-34300000,8100000,127700000,127700000,127700000,127700000,134200000,134200000,445300000,445300000,760300000,80400000,80400000,1420200000,641100000,2246900000,433600000,1813300000,3258100000,4678300000,780500000,3.61e+08,419500000,559900000,559300000,6e+05,1340400000,1056700000,506600000,383900000,1563300000,2903700000,1082900000,1082900000,1074700000,-400200000,1757400000,17200000,1774600000,4678300000,127700000,29300000,2400000,-49700000,109700000,-33700000,-30400000,-54300000,45900000,-67600000,10500000,-78100000,-7.6e+07,3300000,3300000,-6e+05,2700000,201400000,1616600000,152300000,0.41604,0.15775,0.11705,0.07196,0.0273,1.19264,1.05953,1.63626,0.34555,0.50514,0.49922,4.31566,6.95174,0.60245,0.21479,7,0.04669,0.03907,0.42522,7.36048,8.6136
"28","2017_Q1",43.7059677419355,"Up",1.227e+09,-6.87e+08,5.4e+08,-3.15e+08,-3.15e+08,2.25e+08,-12100000,-14300000,2200000,212900000,2.07e+08,-61500000,11900000,157400000,157400000,157400000,157400000,118400000,118400000,465200000,465200000,756300000,81900000,81900000,1421800000,669400000,2196300000,424900000,1771400000,3214100000,4635900000,1029500000,450800000,578700000,393200000,390300000,2900000,1422700000,1.054e+09,521100000,441200000,1575100000,2997800000,1084200000,1084200000,1056800000,-514400000,1626600000,11500000,1638100000,4635900000,157400000,26400000,-2.3e+07,174900000,335700000,-65100000,-65300000,-54200000,-162200000,-62900000,9e+05,-63800000,-279300000,-8900000,-8900000,-6900000,-15800000,251400000,1447200000,422700000,0.4401,0.18337,0.12828,0.09609,0.03395,2.68551,0.99937,1.83005,0.31217,0.6246,0.61725,4.86905,6.45476,1.67738,0.21508,7,0.05867,0.11721,0.34435,5.2856,5.90578
"29","2017_Q2",45.88,"Up",1043700000,-630700000,4.13e+08,-275200000,-275200000,137800000,-14400000,-14500000,1e+05,123400000,119800000,-33300000,7e+06,93500000,93500000,93500000,93500000,125700000,125700000,404400000,404400000,767200000,87800000,87800000,1385100000,682800000,2331500000,473900000,1857600000,3.366e+09,4751100000,848800000,448400000,400400000,889600000,638900000,250700000,1738400000,803500000,477600000,354700000,1281100000,3019500000,1091100000,1091100000,1073100000,-4.45e+08,1719200000,12400000,1731600000,4751100000,93500000,28300000,2700000,-80200000,44300000,-28700000,-152700000,-58900000,245300000,-74500000,8200000,-82700000,110200000,1800000,1800000,5500000,7300000,166100000,1693100000,90500000,0.39571,0.13203,0.08959,0.054,0.01968,0.96791,0.79677,1.74376,0.35636,0.3737,0.3684,4.17146,6.8713,0.36171,0.23541,5,0.03905,0.02319,0.62995,9.43648,11.37446
"30","2017_Q3",43.9228571428571,"Down",1114300000,-669700000,444600000,-307300000,-307300000,137300000,-13700000,-14900000,1200000,123600000,118900000,-27300000,8400000,1e+08,1e+08,1e+08,1e+08,1.3e+08,1.3e+08,429700000,429700000,779800000,86400000,86400000,1425900000,703800000,2383800000,4.89e+08,1894800000,3446200000,4872100000,894600000,453100000,441500000,906800000,656200000,250600000,1801400000,804300000,4.57e+08,330600000,1261300000,3062700000,1103200000,1103200000,1074200000,-379300000,1798100000,11300000,1809400000,4872100000,1e+08,29800000,8e+06,-4900000,132900000,-37500000,-37100000,-58500000,15099999.9999995,-37300000,15800000,-53100000,-85600000.0000002,10200000,10200000,-5900000,4300000,167100000,1711100000,1.52e+08,0.39899,0.12322,0.08974,0.05527,0.02053,1.52,0.79155,1.69266,0.3512,0.40096,0.39557,4.46792,7.2097,0.60946,0.23456,6,0.03985,0.03821,0.585,9.462,11.51566
"31","2017_Q4",45.6168253968254,"Up",1185200000,-700800000,484400000,-286500000,-286500000,197900000,-20300000,-21500000,1200000,177600000,1.33e+08,-3.3e+07,8200000,108200000,108200000,108200000,108200000,166100000,166100000,556200000,556200000,835800000,84500000,84500000,1642600000,765400000,7594800000,3091500000,4503300000,8739100000,10381700000,1059500000,516900000,542600000,674700000,349200000,325500000,1734200000,4702300000,1411900000,305600000,6114200000,7848400000,1663600000,1663600000,1123900000,-265900000,2521600000,11700000,2533300000,10381700000,108200000,31500000,-5e+05,-13400000,125800000,-42200000,-4245300000,-58600000,3.67e+09,557400000,557400000,0,4142100000,22600000,22600000,13500000,36100000,229400000,5.377e+09,206800000,0.40871,0.16698,0.09129,0.04271,0.01042,1.91128,0.94718,3.09809,0.51793,0.42835,0.42332,4.692,9.98258,0.81869,0.23199,4,0.01789,0.02218,0.54159,22.71534,26.33098
"32","2018_Q1",48.3914754098361,"Up",1490900000,-822700000,668200000,-375800000,-375800000,292400000,-43800000,-44800000,1e+06,248600000,223100000,-57700000,10300000,175700000,175700000,175700000,175700000,186800000,186800000,555100000,555100000,793300000,81800000,81800000,1.617e+09,809100000,7561200000,3071100000,4490100000,8768800000,10385800000,1364100000,639900000,724200000,583200000,257600000,325600000,1947300000,4443900000,1423700000,329200000,5867600000,7814900000,1672900000,1672900000,1166500000,-279500000,2559900000,1.1e+07,2570900000,10385800000,175700000,35600000,65900000,235100000,512300000,-72900000,-73200000.000001,-61600000,-348100000,1e+05,2100000.00000012,-2e+06,-410700000.000001,28400000,28400000,-7700000,20700000,3.28e+08,5027100000,547900000,0.44819,0.19612,0.11785,0.06834,0.01692,3.11838,0.83038,3.03975,0.48404,0.6701,0.66302,5.68612,9.76316,2.08963,0.23494,4,0.0263,0.06073,0.3506,14.75701,16.55369
"33","2018_Q2",48.54265625,"Up",1237100000,-717100000,5.2e+08,-325400000,-325400000,194600000,-40300000,-41800000,1500000,154300000,143400000,271100000,8100000,422600000,422600000,422600000,422600000,179600000,179600000,5.02e+08,5.02e+08,827700000,96700000,96700000,1.606e+09,823100000,7533100000,2907100000,4.626e+09,8.757e+09,1.0363e+10,1115200000,584400000,530800000,756300000,680700000,75600000,1871500000,4378600000,1040500000,378200000,5419100000,7290600000,1692200000,1692200000,1592300000,-224300000,3060200000,12200000,3072400000,1.0363e+10,422600000,36600000,-294700000,-1.85e+08,-20500000,-3.1e+07,-35200000,-68200000,110200000,1e+05,16900000,-16800000,39200000,-16500000,-16500000,9300000,-7200000,231200000,5134900000,-255900000,0.42034,0.1573,0.34161,0.13755,0.04078,-0.60554,0.85814,2.37293,0.4955,1.61052,1.58992,4.71456,11.66235,-0.97523,0.25991,4,0.05307,-0.02767,0.16138,21.43296,25.46403
"34","2018_Q3",57.3122222222222,"Up",1327300000,-752100000,575200000,-367300000,-367300000,207900000,-42700000,-44200000,1500000,165200000,1.49e+08,-33099999.9999999,7400000,123300000,123300000,123300000,123300000,202600000,202600000,473900000,473900000,797600000,90100000,90100000,1564200000,947700000,7470300000,2893100000,4577200000,8819600000,10383800000,1147700000,624100000,523600000,6.99e+08,623500000,75500000,1846700000,4456200000,1040600000,380700000,5496800000,7343500000,1705300000,1705300000,1631600000,-308400000,3028500000,11800000,3040300000,10383800000,123300000,37500000,1.3e+07,81600000.0000001,255400000,-28900000,-2.8e+07,-68300000,-118100000,-10600000,4700000,-15300000,-200800000,26600000,26600000,-3600000,2.3e+07,245400000,5155200000,331200000,0.43336,0.15663,0.0929,0.04056,0.01187,2.68613,0.84702,2.41539,0.49647,0.46918,0.46388,5.05061,11.52397,1.26027,0.25989,5,0.02074,0.03586,0.55393,20.18174,23.82203
"35","2018_Q4",66.8812698412698,"Up",1345300000,-750400000,594900000,-3.53e+08,-3.53e+08,241900000,-4.3e+07,-44700000,1700000,198900000,1.9e+08,-24900000,8400000,173500000,173500000,173500000,173500000,7.3e+07,7.3e+07,511700000,511700000,806300000,83200000,83200000,1474200000,9.61e+08,7435100000,2881700000,4553400000,8803800000,1.0278e+10,1139800000,646300000,493500000,715300000,639800000,75500000,1855100000,4269800000,1041100000,373400000,5310900000,7.166e+09,1732100000,1732100000,1723700000,-354100000,3101700000,10300000,3.112e+09,1.0278e+10,173500000,37500000,-5800000,-51100000,154100000,-52700000,-50200000,-68400000,-168700000,12600000,20500000,-7900000,-231100000,-127200000,-127200000,-2400000,-129600000,279400000,4985100000,200500000,0.44221,0.17981,0.12897,0.05575,0.01688,1.15562,0.79467,2.3027,0.48503,0.65919,0.65128,5.11132,11.78457,0.76178,0.25988,5,0.02647,0.02194,0.39424,17.58089,20.30632
"36","2019_Q1",63.1508196721311,"Down",1393100000,-989900000,403200000,-117700000,-117700000,285500000,-23800000,-43900000,20100000,261700000,258900000,-55800000,10900000,2.14e+08,2.14e+08,2.14e+08,2.14e+08,96600000,96600000,518100000,518100000,786300000,78900000,78900000,1479900000,985100000,7401200000,2873300000,4527900000,8776500000,10256400000,1358200000,7.1e+08,648200000,643500000,5.6e+08,83500000,2001700000,4052900000,1019600000,313100000,5072500000,7074200000,1770600000,1770600000,1760200000,-359900000,3170900000,11300000,3182200000,10256400000,2.14e+08,39100000,6600000.00000001,172500000,432200000,-56500000,-45100000,-68500000,-289900000,13800000,36100000,-22300000,-358400000,28700000,28700000,-5100000,23600000,324600000,4696400000,496400000,0.28943,0.20494,0.15361,0.06725,0.02087,2.31963,0.73932,2.22305,0.4579,0.81184,0.7997,5.2849,12.02921,1.88316,0.25986,5,0.03175,0.05579,0.32009,14.17067,16.11138
"37","2019_Q2",72.4477777777778,"Up",1231500000,-764600000,466900000,-267900000,-267900000,1.99e+08,-36900000,-4.3e+07,6100000,162100000,1.6e+08,-22100000,10100000,1.48e+08,1.48e+08,1.48e+08,1.48e+08,102300000,102300000,435700000,435700000,807300000,82700000,82700000,1.428e+09,976500000,7407700000,2869200000,4538500000,8799900000,10227900000,1139900000,673800000,466100000,689200000,603400000,85800000,1829100000,4.034e+09,1022100000,317700000,5056100000,6885200000,1780500000,1780500000,1877900000,-327400000,3.331e+09,11700000,3342700000,10227900000,1.48e+08,40300000,8e+06,-92700000,103600000,-25400000,-25300000,-75300000,22800000,-23800000,6700000,-30500000,-79400000,-1100000,-1100000,6800000,5700000,239300000,4723200000,143300000,0.37913,0.16159,0.12018,0.04428,0.01447,0.96824,0.78071,2.05977,0.4618,0.55976,0.55306,4.65772,12.59834,0.54198,0.2848,3,0.02457,0.01577,0.50878,19.31007,23.2206
"38","2019_Q3",75.77984375,"Up",1301900000,-793400000,508500000,-293300000,-293300000,215200000,-36100000,-42400000,6300000,179100000,1.72e+08,-32100000,9500000,149400000,149400000,149400000,149400000,139400000,139400000,4.29e+08,4.29e+08,816500000,88200000,88200000,1473100000,9.62e+08,7371500000,2860100000,4511400000,8763600000,10236700000,1166900000,706600000,460300000,693200000,605700000,87500000,1860100000,3977500000,1016500000,310100000,4.994e+09,6854100000,1.835e+09,1.835e+09,1918600000,-382700000,3370900000,11700000,3382600000,10236700000,149400000,38700000,13400000,9100000,210600000,-28700000,-28700000,-75500000,-70800000,1.2e+07,41300000,-29300000,-141300000,40600000,40600000,-3500000,37100000,253900000,4670700000,266400000,0.39058,0.1653,0.11476,0.04417,0.01459,1.78313,0.79195,2.02628,0.45627,0.5642,0.55746,4.91654,12.72998,1.00604,0.28512,5,0.0248,0.02937,0.50535,17.84679,21.05623
"39","2019_Q4",78.3140625,"Up",1329200000,-789300000,539900000,-278700000,-278700000,261200000,-34400000,-41300000,6900000,226800000,219100000,-36800000,9600000,191900000,191900000,191900000,191900000,162900000,162900000,494600000,494600000,846900000,8.5e+07,8.5e+07,1589400000,9.1e+08,7866599999,2850300000,4496500000,8776599999,10365999999,1227500000,783100000,444400000,802900000,683600000,119300000,2030400000,3843100000,1011900000,310700000,4.855e+09,6885400000,1877200000,1877200000,2019800000,-428300000,3468700000,11900000,3480600000,1.0366e+10,191900000,3.9e+07,5700000,-56200000,180400000,-5.3e+07,-50500000,-75600000,-42200000,19500000,36600000,-17100000,-98500000,31400000,31400000,-7900000,23500000,300200000,4.646e+09,227800000,0.40618,0.19651,0.14437,0.05513,0.01851,1.18708,0.7828,1.97822,0.4482,0.72197,0.71498,5.00075,13.05004,0.85704,0.28442,4,0.02927,0.02493,0.39396,14.93371,17.16348
"40","2020_Q1",73.7054838709677,"Down",1484800000,-854800000,6.3e+08,-326900000,-326900000,303100000,-31100000,-38500000,7400000,2.72e+08,268100000,-66400000,11700000,213400000,213400000,213400000,213400000,155400000,155400000,502900000,502900000,801200000,90700000,90700000,1550200000,952600000,7859300000,2.847e+09,4505200000,8811900000,10362100000,1.456e+09,846900000,609100000,698400000,600700000,97700000,2154400000,3625800000,1125200000,427600000,4.751e+09,6905400000,1888600000,1888600000,2055800000,-500200000,3444200000,12500000,3456700000,10362100000,213400000,40800000,-11500000,209499999,452199999,-66600000,-66500000,-75800000,-316500000,-11900000,6300000,-18200000,-406600000,-20900001,-20900001,13400000,-7500001,343900000,4324200000,553199999,0.4243,0.20414,0.14372,0.06174,0.02059,2.59231,0.71955,1.99769,0.41731,0.80286,0.7939,5.58616,12.95786,2.08126,0.28518,6,0.03247,0.06211,0.3552,12.12213,13.75388
"41","2020_Q2",78.5211111111111,"Up",1.212e+09,-742100000,469900000,-274700000,-274700000,195200000,-29800000,-35300000,5500000,165400000,164400000,-30100000,10400000,144700000,144700000,144700000,144700000,170800000,170800000,409900000,409900000,835600000,108100000,108100000,1524400000,9.36e+08,8031300000,2840100000,4496900000,8967300000,10491700000,1258500000,789400000,469100000,813900000,7.25e+08,88900000,2072400000,3627900000,1216800000,517400000,4844700000,6917100000,1901500000,1901500000,2179900000,-519500000,3561900000,12700000,3574600000,10491700000,144700000,41900000,7100000,-148900000,44800000,-38500000,-38300000,-82400000,104700000,-12200000,7700000,-19900000,7100000,13600000,13600000,1800000,15400000,237100000,4441800000,79800000,0.38771,0.16106,0.11939,0.04048,0.01379,0.55149,0.73557,1.93507,0.42336,0.54398,0.53872,4.55639,13.3906,0.3,0.30977,4,0.0246,0.00864,0.56945,18.0135,21.88012
"42","2020_Q3",93.65515625,"Up",1401100000,-821600000,579500000,-319200000,-319200000,260300000,-31300000,-34400000,3100000,2.29e+08,226100000,-40400000,10200000,195900000,195900000,195900000,195900000,1.85e+08,1.85e+08,494300000,494300000,831300000,105100000,105100000,1615700000,9.27e+08,8033400000,2833900000,4484400000,8960400000,10576100000,1408900000,857200000,551700000,173400000,84500000,88900000,1582300000,4113600000,1217900000,516600000,5331500000,6913800000,1938900000,1938900000,2288700000,-577700000,3649900000,12400000,3662300000,10576100000,195900000,39600000,15500000,59700000,310700000,-48600000,-46900000,-82500000,-165900000,18100000,1.9e+07,-9e+05,-237600000,26200000,26200000,-1.2e+07,14200000,299900000,4.287e+09,351400000,0.4136,0.18578,0.13982,0.05349,0.01852,1.79377,1.02111,1.88783,0.40535,0.73647,0.72934,5.26729,13.72143,1.32105,0.31015,7,0.03037,0.03833,0.42113,13.67789,15.75874
"43","2020_Q4",90.62140625,"Down",1430300000,-8.4e+08,590300000,-317200000,-317200000,273100000,-29600000,-33500000,3900000,243500000,243400000,-46900000,9600000,206100000,206100000,206100000,206100000,2.21e+08,2.21e+08,496500000,496500000,942100000,1e+08,1e+08,1759600000,960900000,8140200000,2.843e+09,4574400000,9101100000,10860700000,1.522e+09,902800000,619200000,431500000,167800000,263700000,1953500000,3737500000,1223699999,519299999,4961199999,6914699999,1971600000,1971600000,2.391e+09,-429900000,3932700000,13300000,3.946e+09,10860699999,206100000,42400000,-1.5e+07,37700000,271200000,-58500000,-58100000,-82500000,-120400000,2200000,27400000,-25200000,-202200000,10900000,10900000,25100000,3.6e+07,315500000,4.169e+09,341600000,0.41271,0.19094,0.1441,0.05223,0.01898,1.65745,0.90074,1.75233,0.38386,0.77307,0.7639,5.36497,14.75131,1.28132,0.30945,8,0.0309,0.03658,0.40029,12.51347,14.45624
"44","2021_Q1",86.0147540983607,"Down",1557900000,-897200000,660700000,-370500000,-370500000,290200000,-27300000,-32400000,5100000,262900000,247600000,-57500000,10600000,200700000,200700000,200700000,200700000,423600000,423600000,528500000,528500000,1032599999,98900000,98900000,2083599999,1028400000,8977700000,3239400000,4986300000,10006100000,12089699999,1895900000,1032300000,863600000,1150599999,886700000,263899999,3046499999,3753800000,1349400000,622200000,5103200000,8149699999,1981300000,1981300000,2415600000,-470800000,3926100000,13900000,3.94e+09,12089699999,200700000,41100000,-10600000,183400000,414600000,-79700000,-882300000,-82700000,737400000,1200000,2500000,-1300000,653600000,185900000,185900000,16700000,202600000,331300000,4904399999,492500000,0.4241,0.18628,0.12883,0.05094,0.0166,2.45391,0.68393,2.06845,0.40567,0.75056,0.74499,5.8261,14.6825,1.84181,0.30927,4,0.0278,0.04831,0.41206,13.5249,15.44039
"45","2021_Q2",86.5414285714286,"Up",1481500000,-9.04e+08,577500000,-321300000,-321300000,256200000,-29200000,-33800000,4600000,2.27e+08,207100000,-58600000,13300000,161800000,161800000,161800000,161800000,256100000,256100000,515900000,515900000,1073400000,109300000,109300000,1954700000,1070800000,9659600000,3500900000,5.397e+09,10730400000,12685100000,1563500000,967400000,596100000,860199999,594300000,265899999,2423699999,4739200000,1357500000,6.18e+08,6096700000,8520399999,1998400000,1998400000,2573600000,-422500000,4149500000,15200000,4164700000,12685099999,161800000,48100000,7200000,-249300000,-32200000,-48600000,-755200000,-90800000,706200000,3500000,3600000,-1e+05,612700000,-174700000,-174700000,7200000,-167500000,304300000,5599399999,6.5e+07,0.38981,0.17293,0.10921,0.03885,0.01276,0.40173,0.80649,2.04586,0.44142,0.60577,0.59948,5.54661,15.53538,0.24335,0.33995,4,0.02271,0.00584,0.56119,17.55932,20.85597
"46","2021_Q3",83.62921875,"Down",1556700000,-942100000,614600000,-356600000,-356600000,2.58e+08,-31700000,-35600000,3900000,226300000,205700000,-45400000,23400000,183700000,183700000,183700000,183700000,291800000,291800000,500400000,500400000,1147800000,112600000,112600000,2052600000,1112800000,9645100000,3494500000,5428800000,10757900000,12810500000,1656200000,1040500000,615700000,7.25e+08,457200000,267800000,2381200000,4735900000,1352600000,609800000,6088500000,8469700000,2027100000,2027100000,2660500000,-362300000,4325300000,15500000,4340800000,12810500000,183700000,43800000,11500000,21899999.9999999,260900000,-64200000,1600000,-90800000,-137600000,2300000,2600000,-3e+05,-234800000,27700000,27700000,8e+06,35700000,301800000,5460900000,304900000,0.39481,0.16574,0.11801,0.04232,0.01434,1.65977,0.862,1.95118,0.42628,0.68776,0.68062,5.82815,16.19356,1.14152,0.33995,4,0.02461,0.02733,0.49428,17.12757,20.03527
"47","2021_Q4",83.32703125,"Down",1549400000,-949800000,599600000,-327300000,-327300000,272300000,-30400000,-33900000,3500000,241900000,234800000,-31500000,9100000,212400000,212400000,212400000,212400000,312600000,312600000,5.41e+08,5.41e+08,1202400000,104900000,104900000,2160900000,1113500000,9.61e+09,3478300000,5379500000,10723500000,12884400000,1625400000,1023100000,602300000,1535900000,767400000,768500000,3161300000,3.985e+09,1.335e+09,582400000,5.32e+09,8481300000,2042100000,2042100000,2.78e+09,-435600000,4386500000,16600000,4403100000,12884400000,212400000,47200000,2500000,-117900000,144200000,-77100000,-7.7e+07,-90800000,58700000,1500000,4300000,-2800000,-30900000,36300000,36300000,-15500000,20800000,319500000,5520900000,1.56e+08,0.38699,0.17575,0.13709,0.04824,0.01649,0.73446,0.68355,1.92621,0.42849,0.79491,0.78667,5.79865,16.41654,0.58383,0.33982,3,0.02693,0.01386,0.4275,16.30141,19.12707
"48","2022_Q1",96.0353225806452,"Up",1730300000,-1027400000,702900000,-398900000,-398900000,3.04e+08,-2.8e+07,-33300000,5300000,2.76e+08,248200000,-57200000,6400000,197400000,197400000,197400000,197400000,351700000,351700000,549500000,549500000,1182300000,112300000,112300000,2195800000,1140300000,9569700000,3452500000,5335800000,1.071e+10,12905800000,1914400000,1064200000,850200000,1309400000,789403500.446101,907973278.110837,3223800000,3973300000,1283200000,490900000,5256500000,8480300000,2055100000,2063230189.0073,2782400000,-426500000,4.411e+09,14500000,4425500000,12905800000,197400000,47200000,52900000,157900000,455400000,-88100000,-7.8e+07,-90900000,-229600000,-2400000,3e+06,-5400000,-3.25e+08,52400000,52400000,-13300000,39100000,351200000,5282700000,478200000,0.40623,0.17569,0.11408,0.04461,0.0153,2.42249,0.68112,1.91624,0.40933,0.73877,0.73111,6.47567,16.50823,1.78967,0.34019,4,0.02623,0.04351,0.46049,14.04043,16.22039
