"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"23","2015_Q4",38.4184375,"Down",455470000,-301609000,153861000,-107958000,-105058000,-2900000,45903000,-9669000,-9669000,-11696000,2027000,36234000,16486000,-6177000,10309000,10309000,10309000,10309000,104974000,104974000,589497000,554400000,94008000,55166000,788479000,77716000,1315106000,67252000,1199490000,48364000,1505533000,2294012000,304956000,101464000,203492000,29554000,29554000,334510000,5.2e+08,277099000,178180000,98919000,797099000,1131609000,421951000,845132000,-104680000,1162403000,1162403000,2294012000,10309000,7458000,30451000,25816000,74034000,-7141000,-7141000,-7141000,-7110000,-206282000,5269000,433000,-200580000,-133656000,-133656000,-1358000,-135014000,53361000,5.2e+08,78213000,0.33781,0.10078,0.02263,0.00887,0.00449,7.58687,2.35712,0.97351,0.22668,0.25083,0.24552,11.08226,28.283,1.90304,5,0.00526,0.03991,7.7777,9.04137
"24","2016_Q1",33.5126229508197,"Down",442204000,-299336000,142868000,-119158000,-116351000,-2807000,23710000,-5839000,-5839000,-6231000,392000,17871000,17926000,-7577000,10349000,10349000,10349000,10349000,149760000,149760000,535899000,499784000,55966000,55966000,741625000,74760000,1305751000,63935000,1198298000,43518000,1487393000,2229018000,317628000,89845000,227783000,29449000,29449000,347077000,494772000,239566000,139787000,99779000,734338000,1081415000,401117000,855481000,-108995000,1147603000,1147603000,2229018000,10349000,8823000,11953000,65492000,96617000,-6725000,-6725000,-6725000,-6582000,-20142000,-23797000,888000,-43051000,46984000,46984000,-2198000,44786000,32533000,494772000,98877000,0.32308,0.05362,0.0234,0.00902,0.00464,9.55426,2.13677,0.94233,0.22197,0.25198,0.24717,10.76682,27.94193,2.40747,6,0.0055,0.05254,10.60499,14.55133
"25","2016_Q2",39.5596875,"Up",470285000,-305636000,164649000,-106215000,-103609000,-2606000,58434000,-3672000,-3672000,-6229000,2557000,54762000,48567000,-18386000,30181000,30181000,30181000,30181000,114451000,114451000,584704000,553230000,45196000,45196000,744351000,71263000,1301335000,61193000,1198070000,42072000,1480693000,2225044000,253293000,95606000,157687000,34226000,34226000,287519000,501961000,254318000,150557000,103761000,756279000,1043798000,404937000,885662000,-109353000,1181246000,1181246000,2225044000,30181000,7971000,10751000,-82002000,-33099000,-6362000,-6362000,-6362000,-6328000,7e+06,-4274000,2455000,5181000,-34246000,-34246000,-1063000,-35309000,66405000,501961000,-3573000,0.3501,0.12425,0.06418,0.02555,0.01356,-0.11839,2.58888,0.88364,0.2256,0.7451,0.73347,11.61026,29.16225,-0.08821,5,0.01558,-0.00184,5.83555,6.63158
"26","2016_Q3",43.220625,"Up",460147000,-303194000,156953000,-110835000,-108245000,-2590000,46118000,-2178000,-2178000,-6303000,4125000,43940000,41984000,-15437000,26547000,26547000,26547000,26547000,182665000,182665000,581716000,547298000,47361000,47361000,811742000,68764000,1294863000,57568000,1189602000,47693000,1475722000,2287464000,288608000,94782000,193826000,36434000,36434000,325042000,495150000,264029000,161433000,102596000,759179000,1084221000,419196000,912209000,-128162000,1203243000,1203243000,2287464000,26547000,8078000,10149000,28958000,73732000,-5621000,-5621000,-5621000,-5615000,-7e+06,10724000,-52000,3672000,71789000,71789000,-3575000,68214000,54196000,495150000,92970000,0.34109,0.10022,0.05769,0.02206,0.01161,3.50209,2.49734,0.90108,0.21646,0.65034,0.63818,11.27259,29.4768,2.27756,7,0.01353,0.04738,5.76583,6.77577
"27","2016_Q4",43.4671428571429,"Up",438042000,-293702000,144340000,-109065000,-106220000,-2845000,35275000,-3091000,-3091000,-6304000,3213000,32184000,31983000,-10292000,21691000,21691000,21691000,21691000,225184000,225184000,580078000,547588000,58804000,58804000,864066000,66422000,1298766000,54493000,1188230000,56043000,1477552000,2341618000,326755000,97144000,229611000,38774000,38774000,365529000,470339000,274165000,170768000,103397000,744504000,1110033000,430325000,933900000,-132640000,1231585000,1231585000,2341618000,21691000,9310000,8296000,31645000,70942000,-10872000,-10872000,-10872000,-10894000,-2.5e+07,9041000,760000,-15199000,44849000,44849000,-2330000,42519000,44585000,470339000,75650000,0.32951,0.08053,0.04952,0.01761,0.00926,3.48762,2.36388,0.9013,0.20086,0.52594,0.51561,10.62126,29.8624,1.8343,6,0.01098,0.03828,5.4986,6.94982
"28","2017_Q1",41.5148387096774,"Down",441920000,-308239000,133681000,-120907000,-118642000,-2265000,12774000,-5412000,-5412000,-5983000,571000,7362000,5269000,1832000,7101000,7101000,7101000,7101000,216158000,216158000,506761000,474897000,60252000,60252000,783171000,61856000,1275817000,52120000,1180001000,43696000,1442197000,2225368000,348820000,87320000,261500000,29635000,29635000,378455000,365528000,274027000,173799000,100228000,639555000,1018010000,417236000,941001000,-150879000,1207358000,1207358000,2225368000,7101000,13341000,9887000,91584000,121913000,-6080000,-6080000,-6080000,-7295000,-1.05e+08,-15272000,1308000,-118964000,-4346000,-4346000,-4680000,-9025999.99999999,26115000,365528000,109787000,0.3025,0.02891,0.01607,0.00588,0.00319,15.46078,2.06939,0.84317,0.16426,0.17234,0.16899,10.72517,29.30196,2.66447,5,0.00384,0.05944,5.7197,11.69328
"29","2017_Q2",36.4871428571429,"Down",446344000,-309072000,137272000,-110183000,-107690000,-2493000,27089000,-5196000,-5196000,-5801000,605000,21893000,21893000,-7877000,14016000,14016000,14016000,14016000,120959000,120959000,555494000,526180000,60683000,60683000,737136000,59474000,1275664000,49895000,1183627000,42142000,1435426000,2172562000,260004000,87411000,172593000,33324000,33324000,293328000,402717000,279988000,177339000,102649000,682705000,976033000,388210000,951828000,-143509000,1196529000,1196529000,2172562000,14016000,8571000,14228000,-129902000,-93087000,-5831000,-5831000,-5831000,-5704000,3.7e+07,-37730000,3069000,2339000,-96452000,-96452000,1253000,-95199000,35660000,402717000,-92196000,0.30755,0.06069,0.0314,0.01171,0.00645,-6.57791,2.51301,0.81572,0.18537,0.34584,0.33982,11.0135,29.52424,-2.27493,2,0.00746,-0.04906,7.90123,10.4012
"30","2017_Q3",33.6580952380952,"Down",444715000,-304071000,140644000,-110541000,-108119000,-2422000,30103000,-4658000,-4658000,-6250000,1592000,25445000,-4628999.99999999,-527000.000000004,-5156000,-5156000,-5156000,-5156000,138511000,138511000,580341000,553215000,58937000,58937000,777789000,60280000,1278032000,48213000,1187664000,42155000,1447004000,2224793000,277086000,85403000,191683000,37652000,37652000,314738000,480906000,289971000,175683000,114288000,770877000,1085615000,325841000,946672000,-133335000,1139178000,1139178000,2224793000,-5156000,7727000,9023000,-707000,10887000,-7296000,-7296000,-7296000,-7351000,7.8e+07,-65283000,114000,12831000,16367000,16367000,1185000,17552000,37830000,480906000,30354000,0.31626,0.06769,-0.01159,-0.00453,-0.00232,-5.88712,2.47123,0.95298,0.21616,-0.13036,-0.12968,11.24409,28.80276,0.767460000000001,5,-0.0027,0.01589,9.05089,11.37412
"31","2017_Q4",40.8144444444444,"Up",448962000,-294851000,154111000,-107043000,-104161000,-2882000,47068000,-5657000,-5657000,-6760000,1103000,41411000,41411000,-9197000,32214000,32214000,32214000,32214000,157961000,157961000,571056000,547132000,59196000,59196000,788213000,70982000,1294936000,46788000,1204164000,43984000,1472380000,2260593000,340345000,108054000,232291000,26521000,26521000,366866000,461095000,301703000,181293000,120410000,762798000,1129664000,274144000,978886000,-122101000,1130929000,1130929000,2260593000,32214000,7470000,11277000,55272000,106233000,-6894000,-6894000,-6894000,-15821000,-2e+07,-54626000,323000,-74303000,16109000,16109000,3341000,19450000,54538000,461095000,112113000,0.34326,0.10484,0.07175,0.02848,0.01425,3.48026,2.1485,0.99888,0.20397,0.85166,0.8446,11.86945,29.89898,2.96399,7,0.01701,0.0592,5.55822,6.44034
"32","2018_Q1",45.1468852459016,"Up",467711000,-307566000,160145000,-114809000,-112043000,-2766000,45336000,-6095000,-6095000,-6547000,452000,39241000,28430000,38458000,66888000,66888000,66888000,66888000,189961000,189961000,548569000,522878000,55649000,55649000,794179000,75075000,1289882000,44150000,1204803000,40929000,1463062000,2257241000,363386000,94873000,268513000,46942000,46942000,410328000,396284000,258658000,124471000,134187000,654942000,1065270000,266412000,1045774000,-120215000,1191971000,1191971000,2257241000,66888000,7409000,-39242000,88537000,123592000,-11983000,-11983000,-11983000,-11762000,-6.5e+07,-10959000,-5842000,-81801000,30029000,30029000,1971000,3.2e+07,52745000,396284000,90841000,0.3424,0.09693,0.14301,0.05612,0.02963,1.35811,1.93547,0.8937,0.17556,1.81342,1.77785,12.68025,32.31587,2.46282,7,0.03622,0.04919,3.91171,4.55097
"33","2018_Q2",58.02375,"Up",497774000,-321117000,176657000,-114398000,-112128000,-2270000,62259000,-8044000,-8044000,-6244000,-1800000,54215000,54215000,-15270000,38945000,38945000,38945000,38945000,152044000,152044000,612959000,583588000,50775000,50775000,815778000,75586000,1293873000,42390000,1208011000,43472000,1460674000,2276452000,297021000,105966000,191055000,46446000,46446000,343467000,441473000,254078000,129274000,124804000,695551000,1039018000,262142000,1085061000,-109769000,1237434000,1237434000,2276452000,38945000,7765000,13609000,-129519000,-69200000,-7680000,-7680000,-7680000,-7653000,4.5e+07,-10005000,-1071000,33924000,-42929000,-42929000,5012000,-37917000,70024000,441473000,-51905000,0.35489,0.12507,0.07824,0.03147,0.01711,-1.33278,2.37513,0.83966,0.19393,1.06117,1.03544,13.56332,33.71755,-1.41431,5,0.02015,-0.02685,4.13328,4.64879
"34","2018_Q3",73.6220634920635,"Up",512098000,-330318000,181780000,-119949000,-117897000,-2052000,61831000,-4109000,-4109000,-6583000,2474000,57722000,57722000,-14113000,43609000,43609000,43609000,43609000,116556000,116556000,636074000,607455000,54806000,54806000,807436000,75046000,1284026000,39379000,1198732000,45915000,1449976000,2257412000,318651000,93988000,224663000,33653000,33653000,352304000,371662000,257645000,134081000,123564000,629307000,981611000,280583000,1128670000,-133452000,1275801000,1275801000,2257412000,43609000,8488000,10009000,-27491000,34615000,-8540000,-8540000,-8540000,-7878000,-7e+07,14525000,643999.999999999,-54831000,-28094000,-28094000,-7394000,-35488000,70319000,371662000,48401000,0.35497,0.12074,0.08516,0.03418,0.01932,1.10989,2.29187,0.76941,0.16464,1.17856,1.13945,13.83974,34.47924,1.30806,7,0.02289,0.02541,3.62784,4.12586
"35","2018_Q4",67.1579365079365,"Down",513012000,-336477000,176535000,-119423000,-117448000,-1975000,57112000,-5846000,-5846000,-7246000,1400000,51266000,64297000,-19964000,44333000,44333000,44333000,44333000,505867000,505867000,654715000,623397000,45931000,45931000,1206513000,82476000,1250507000,36729000,1175929000,37849000,1422325000,2628838000,402371000,116222000,286149000,38178000,38178000,737400000,263317000,276646000,153045000,123601000,539963000,1277363000,316104000,1173003000,-137632000,1351475000,1351475000,2628838000,44333000,8295000,-2472000,70701000,120857000,-11621000,-11621000,-11621000,38714000,233202000,-2499000,-275000,230428000,389999000,389999000,-688000,389311000,65407000,560168000,144451000,0.34411,0.11133,0.08642,0.0328,0.01686,3.25832,1.63617,0.94516,0.21309,1.18785,1.14384,13.74557,36.21122,3.8704,7,0.02026,0.06601,0.8302,0.95078
"36","2019_Q1",70.5688524590164,"Up",504993000,-340162000,164831000,-120028000,-118163000,-1865000,44803000,-4173000,-4173000,-7076000,2903000,40630000,31558000,-7834000,23724000,23724000,23724000,23724000,312069000,312069000,583836000,554608000,69448000,69448000,965353000,84577000,1244720000,34633000,1172316000,37771000,1413768000,2379121000,438136000,104600000,333536000,44434000,44434000,482570000,265571000,282155000,155088000,127067000,547726000,1030296000,299915000,1196727000,-147817000,1348825000,1348825000,2379121000,23724000,6988000,44041000,69647000,144400000,-4429000,-4429000,-4429000,-4439000,-308101000,-19284000,345000,-327040000,-187079000,-187079000,-6719000,-193798000,51791000,265571000,124843000,0.3264,0.08872,0.04698,0.01759,0.00997,5.26231,2.00044,0.76385,0.11163,0.63487,0.61413,13.51405,36.09572,3.34091,6,0.01251,0.06583,-0.8978,-1.03783
"37","2019_Q2",82.2119047619048,"Up",551274000,-349066000,202208000,-115046000,-113185000,-1861000,87162000,-4587000,-4587000,-4746000,159000,82575000,82575000,-19930000,62645000,62645000,62645000,62645000,179241000,179241000,685333000,656127000,56640000,56640000,921214000,84522000,1384017000,32876000,1174742000,176399000,1543687000,2464901000,341065000,128642000,212423000,50400000,50400000,391465000,268037000,403377000,163303000,240074000,671414000,1062879000,285244000,1259372000,-142594000,1402022000,1402022000,2464901000,62645000,7066000,23701000,-195498000,-102086000,-10153000,-10153000,-10153000,-10081000,-289827477.794752,-22488000,-279000,-22767000,-134934000,-134934000,2106000,-132828000,94228000,268037000,-91493000,0.3668,0.15811,0.11364,0.04468,0.02541,-1.4605,2.35325,0.7581,0.10874,1.69398,1.63911,14.90695,37.91195,-2.47405,5,0.03021,-0.04413,0.94235,1.01875
"38","2019_Q3",102.049375,"Up",606119000,-386266000,219853000,-131758000,-129906000,-1852000,88095000,-2184000,-2184000,-4793000,2609000,85911000,85911000,-21313000,64598000,64598000,64598000,64598000,189106000,189106000,773008000,743402000,57141000,57141000,1019255000,87376000,1388582000,30920000,1172557000,185105000,1552108000,2571363000,418856000,138344000,280512000,45022000,45022000,463878000,290531000,397942000,155799000,242143000,688473000,1152351000,242451000,1323970000,-147409000,1419012000,1419012000,2571363000,64598000,7238000,3604000,-27792000,47648000,-10508000,-10508000,-10508000,-10511000,2e+07,-43396000,-989000,-24385000,12752000,12752000,-2887000,9865000,95333000,290531000,78346000,0.36272,0.14534,0.10658,0.04552,0.02512,1.21282,2.19725,0.81208,0.11299,1.74783,1.69251,16.39977,38.39422,2.11981,7,0.03065,0.03718,1.0639,1.15131
"39","2019_Q4",109.283125,"Up",593106000,-380892000,212214000,-130076000,-127951000,-2125000,82138000,-1859000,-1859000,-4832000,2973000,80279000,80279000,-19857000,60422000,60422000,60422000,60422000,258470000,258470000,771831000,739463000,65849000,65849000,1096150000,92135000,1423184000,41247000,1197406000,184531000,1594119000,2690269000,512435000,158136000,354299000,34349000,34349000,546784000,273055000,409196000,159406000,249790000,682251000,1229035000,240884000,1384392000,-164042000,1461234000,1461234000,2690269000,60422000,8080000,19860000,42942000,131304000,-6365000,-6365000,-6365000,-25170000,-2e+07,-8889000,-479000,-29368000,76766000,76766000,-7402000,69364000,90218000,273055000,146652000,0.3578,0.13849,0.10187,0.04135,0.02246,2.42713,2.00472,0.84109,0.1015,1.65029,1.59278,16.19933,39.91025,4.00546,8,0.02819,0.06842,0.16166,0.17757
"40","2020_Q1",117.708225806452,"Up",602218000,-418672000,183546000,-135346000,-133032000,-2314000,48200000,-8515000,-8515000,-4835000,-3680000,39685000,39685000,-10624000,29061000,29061000,29061000,29061000,369373000,369373000,693372000,693372000,115916000,80810000,1178661000,93672000,1510809000,38432000,1202767000,269610000,1604481000,2783142000,575839000,158936000,416903000,36698000,36698000,612537000,275609000,405854000,151352000,254502000,681463000,1.294e+09,216536000,1413453000,-140847000,1489142000,1489142000,2783142000,29061000,7769000,9144000,95046000,141020000,-14789000,-14789000,-14789000,-14844000,0,-31024000,4233000,-26791000,99385000,99385000,11518000,110903000,55969000,275609000,146850000,0.30478,0.08004,0.04826,0.01952,0.01044,5.05316,1.92423,0.86896,0.09903,0.79525,0.7623,16.47971,40.7504,4.01855,7,0.01339,0.06765,-1.67528,-1.94531
"41","2020_Q2",121.029047619048,"Up",604593000,-402247000,202346000,-129290000,-126959000,-2331000,73056000,156000,156000,-4861000,5017000,73212000,73212000,-16465000,56747000,56747000,56747000,56747000,223063000,223063000,768840000,736898000,74544000,74544000,1066447000,92852000,1414081000,35682000,1191948000,186451000,1570734000,2637181000,411122000,170930000,240192000,40219000,40219000,451341000,328193000,388963000,152347000,236616000,717156000,1168497000,170433000,1470200000,-171949000,1468684000,1468684000,2637181000,56747000,7823000,17686000,-205818000,-123562000,-8228000,-8228000,-8228000,-8228000,5e+07,-49135000,-1713000,-848000,-132638000,-132638000,-13672000,-146310000,80879000,328193000,-116702000,0.33468,0.12084,0.09386,0.03864,0.02152,-2.05653,2.36284,0.79561,0.12445,1.55834,1.48591,16.60286,40.33184,-3.20478,4,0.02596,-0.05339,1.29984,1.43903
"42","2020_Q3",113.6475,"Down",607852000,-413011000,194841000,-129242000,-126928000,-2314000,65599000,-2955000,-2955000,-5157000,2202000,62644000,62644000,-14470000,48174000,48174000,48174000,48174000,304206000,304206000,747197000,714918000,75938000,75938000,1127341000,91753000,1421167000,33588000,1196162000,191417000,1577566000,2704907000,477180000,163162000,314018000,40288000,40288000,517468000,315808000,392528000,155293000,237235000,708336000,1225804000,123110000,1518374000,-162381000,1479103000,1479103000,2704907000,48174000,7884000,21978000,74940000.0000001,152976000,-5657000,-5657000,-5657000,-5657000,-1.5e+07,-50543000,-3660000,-69203000,78116000,78116000,3027000,81143000,73483000,315808000,157236000,0.32054,0.10792,0.07925,0.03257,0.01781,3.26392,2.17857,0.82875,0.11675,1.33191,1.27269,16.80588,40.89422,4.34726,4,0.02202,0.07188,0.157890000000001,0.17686
"43","2020_Q4",107.67734375,"Down",622249000,-417179000,205070000,-124897000,-122102000,-2795000,80173000,-8491000,-8491000,-5151000,-3340000,71682000,64579000,-14407000,50172000,50172000,50172000,50172000,304658000,304658000,796849000,762760000,74223000,74223000,1175730000,95544000,1457046000,43652000,1223764000,189630000,1618668000,2794398000,561640000,164493000,397147000,46621000,46621000,608261000,308454000,403186000,150572000,252614000,711640000,1319901000,47002000,1568546000,-141051000,1474497000,1474497000,2794398000,50172000,7948000,13027000,40416000,111563000,-11220000,-11220000,-11220000,-36491000,-1e+07,-76154000,791000,-85363000,-10291000,-10291000,10743000,452000,88121000,308454000,131724000,0.32956,0.12884,0.08063,0.03403,0.01795,2.62545,1.93294,0.89515,0.11038,1.40794,1.353,17.46174,41.37777,3.69648,5,0.02295,0.06025,0.04308,0.04735
"44","2021_Q1",118.444098360656,"Up",626581000,-440274000,186307000,-115369000,-112422000,-2947000,70938000,-8927000,-8927000,-4636000,-4291000,62011000,62011000,-6422000,55589000,55589000,55589000,55589000,294953000,294953000,711357000,711357000,123397000,88144000,1129707000,101642000,1546014000,41550000,1234879000,269585000,1647656000,2777363000,625999000,170066000,455933000,44172000,44172000,670171000,286131000,420880000,158342000,262538000,707011000,1377182000,345000.000000007,1506271000,-106435000,1400181000,1400181000,2777363000,55589000,9006000,8012000,113485000,186092000,-9744000,-9744000,-9744000,-9744000,-2.5e+07,-177761000,-1878000,-204639000,-28291000,-28291000,18586000,-9705000,79944000,286131000,190107000,0.29734,0.11321,0.08872,0.0397,0.02002,3.41987,1.6857,0.98357,0.10302,1.62593,1.56712,18.32698,40.95414,5.56047,5,0.02638,0.09022,-0.11035,-0.12436
"45","2021_Q2",140.722380952381,"Up",686277000,-468424000,217853000,-129347000,-126546000,-2801000,88506000,-3763000,-3763000,-4797000,1034000,84743000,84743000,-20247000,64496000,64496000,64496000,64496000,233421000,233421000,798516000,798516000,119212000,83672000,1151149000,100686000,1526365000,38172000,1233292000,254901000,1627051000,2778200000,453346000,167818000,285528000,42432000,42432000,495778000,458840000,407232000,157861000,249371000,866072000,1361850000,342000,1527685000,-111677000,1416350000,1416350000,2778200000,64496000,8161000,22591000,-261832000,-166584000,-7976000,-7976000,-7976000,-7976000,1.7e+08,-46133000,-7451000,116416000,-58144000,-58144000,-3388000,-61532000,96667000,458840000,-152894000,0.31744,0.12897,0.09398,0.04554,0.02322,-2.3706,2.3219,0.96152,0.16516,1.92623,1.83943,20.49628,42.30057,-4.56632,4,0.02826,-0.06699,2.33191,2.54693
"46","2021_Q3",138.8253125,"Down",711486000,-490722000,220764000,-136784000,-133930000,-2854000,83980000,-6206000,-6206000,-5294000,-911999.999999999,77774000,77774000,-14992000,62782000,62782000,62782000,62782000,256875000,256875000,846121000,846121000,110466000,78373000,1213462000,117477000,1607488000,37653000,1240057000,329778000,1724965000,2938427000,525618000,156736000,368882000,36944000,36944000,562562000,391581000,495074000,169009000,326065000,886655000,1449217000,4613000,1590467000,-105870000,1489210000,1489210000,2938427000,62782000,8604000,17847000,36325000,125558000,-19720000,-19720000,-19720000,-29553000,-7e+07,-1.49011611938477e-08,-6918000,-76917999.9999999,19087000,19087000,4367000,23454000,92584000,391581000,124181000,0.31029,0.11803,0.08824,0.04216,0.02137,1.97797,2.15703,0.97314,0.13326,1.87504,1.79055,21.24917,44.4766,3.70878,6,0.02642,0.05227,1.45496,1.60402
"47","2021_Q4",145.8775,"Up",702228000,-472235000,229993000,-141460000,-138600000,-2860000,88533000,102000,102000,-5073000,5175000,88635000,88635000,-19155000,69480000,69480000,69480000,69480000,342527000,342527000,809878000,809878000,116089000,83266000,1268494000,132857000,1605573000,34504000,1234023000,337046000,1738430000,3006924000,609343000,157794000,451549000,36279000,36279000,645622000,319355000,497644000,168232000,329412000,816999000,1462621000,8833000,1659947000,-124477000,1544303000,1544303000,3006924000,69480000,8866000,12708000,105892000,196946000,-24745000,-24745000,-24745000,-24745000,-7.5e+07,0,524000,-74476000,97725000,97725000,-12073000,85652000,97399000,319355000,197701000,0.32752,0.12607,0.09894,0.04499,0.02311,2.84544,1.96476,0.94711,0.10621,2.07434,1.96482,20.96516,46.10548,5.9024,8,0.02942,0.08373,-0.23791,-0.26173
"48","2022_Q1",149.077580645161,"Up",676231000,-484126000,192105000,-141076000,-138768000,-2308000,51029000,-4234000,-4234000,-5130000,896000,46795000,46795000,-8587000,38208000,38208000,38208000,38208000,494485000,494485000,754120000,754120000,121422000,91166000,1370027000,142163000,1588719000,31990000,1232791000,323938000,1730882000,3100909000,672581000,165025000,507556000,45535000,45535000,718116000,297158000,502314000,170612000,331702000,799472000,1517588000,14005000,1698156000,-128840000,1583321000,1583321000,3100909000,38208000,8638000,13214000,139503000,199563000,-16224000,-16224000,-16224000,-16819000,-2.5e+07,0,-1696000,-26696000,156048000,156048000,-4090000,151958000,59667000,297158000,191533000,0.28408,0.07546,0.0565,0.02413,0.01232,5.0129,1.90781,0.95848,0.09583,1.14071,1.08048,20.18901,47.27037,5.71826,7,0.01603,0.08038,-3.30714,-3.86696
"49","2022_Q2",164.967741935484,"Up",723620000,-493104000,230516000,-151239000,-148971000,-2268000,79277000,-2989000,-2989000,-2642000,-347000,76288000,76288000,-16967000,59321000,59321000,59321000,59321000,271143000,271143000,823932000,823932000,126316000,97015000,1221391000,141236000,1586664000,29647000,1243972000,313045000,1727900000,2949291000,469817000,173356000,296461000,40113000,40113000,509930000,328936000,488407000,165913000,322494000,817343000,1327273000,345000,1756704000,-135031000,1622018000,1622018000,2949291000,59321000,8907000,15021000,-287027000,-203778000,-12607000,-12607000,-12607000,-19305000,1.5e+07,-3098000,-7741000,4161000,-218922000,-218922000,-4420000,-223342000,88184000,328936000,-194483000,0.31856,0.10956,0.08198,0.03657,0.02011,-3.27848,2.39521,0.81829,0.11153,1.76977,1.66866,21.58835,48.391,-5.80217,4,0.02432,-0.07973,0.65537,0.729
"50","2022_Q3",173.758,"Up",754992000,-520080000,234912000,-170677000,-167940000,-2737000,64235000,546000,546000,-2448000,2994000,64781000,64781000,-13353000,51428000,51428000,51428000,51428000,255730000,255730000,905548000,905548000,130441000,100668000,1291719000,144053000,1567396000,28613000,1227837000,310946000,1711449000,3003168000,522677000,165455000,357222000,48217000,48217000,570894000,314337000,487318000,167797000,319521000,801655000,1372549000,844000.000000002,1805485000,-175710000,1630619000,1630619000,3003168000,51428000,9188000,14700000,-40269000,35047000,-13030000,-13030000,-13030000,-13030000,-1.5e+07,0,-6360000,-21360000,657000,657000,-16070000,-15413000,73423000,314337000,33477000,0.31115,0.08508,0.06812,0.03154,0.01712,0.65095,2.26262,0.84173,0.10467,1.52973,1.44274,22.4573,48.5029,0.99578,6,0.02114,0.01376,0.79821,0.91238
