"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2017_Q2",33.9111111111111,"Up",4.99e+08,-2.48e+08,2.51e+08,-1.02e+08,-7.9e+07,-2.3e+07,1.49e+08,-2.2e+07,-2.5e+07,3e+06,1.27e+08,1.27e+08,-4.4e+07,8.3e+07,8.3e+07,8.3e+07,8.3e+07,1.2e+08,1.2e+08,2.5e+08,2.5e+08,1.44e+08,2.3e+07,2.3e+07,5.37e+08,4.57e+08,3.185e+09,1.22e+09,1.941e+09,2.4e+07,3.642e+09,4.179e+09,1.58e+08,1.58e+08,1.2e+07,2.08e+08,2.8e+07,1.8e+08,3.78e+08,2.39e+09,6.74e+08,6.8e+07,3.36e+08,2.7e+08,3.064e+09,3.442e+09,1.738e+09,-9.41e+08,-6e+07,7.37e+08,7.37e+08,4.179e+09,8.3e+07,4.1e+07,2.1e+07,-3.4e+07,1.11e+08,-8e+06,-8e+06,-2.3e+07,2.42e+08,-4.08e+08,0,-1.89e+08,-8.6e+07,-8.6e+07,1e+06,-8.5e+07,1.9e+08,2.402e+09,1.92e+08,0.50301,0.2986,0.16633,0.11262,0.01986,2.31325,1.42063,4.67028,0.57478,0.52565,0.52267,3.16023,4.66751,1.21596,0.14566,0.0278,0.05035,0.27711,12.01053,15.31544
"22","2017_Q3",33.2404761904762,"Down",5.8e+08,-2.9e+08,2.9e+08,-1.13e+08,-8.8e+07,-2.5e+07,1.77e+08,-3.1e+07,-2.7e+07,-4e+06,1.46e+08,1.46e+08,-5.1e+07,9.5e+07,9.5e+07,9.5e+07,9.5e+07,8.5e+07,8.5e+07,2.74e+08,2.74e+08,1.47e+08,2.1e+07,2.1e+07,5.27e+08,4.53e+08,3.162e+09,1.197e+09,1.941e+09,2.4e+07,3.615e+09,4.142e+09,1.72e+08,1.72e+08,1.2e+07,2.13e+08,2.8e+07,1.85e+08,3.97e+08,2.348e+09,7.01e+08,6.8e+07,3.64e+08,2.69e+08,3.049e+09,3.446e+09,1.746e+09,-9.93e+08,-5.7e+07,6.96e+08,6.96e+08,4.142e+09,9.5e+07,4.3e+07,2.9e+07,-999999.999999985,1.66e+08,-1.2e+07,-1.5e+07,-2.3e+07,-4.3e+07,-1.2e+08,-1e+06,-1.87e+08,-3.6e+07,-3.6e+07,1e+06,-3.5e+07,2.2e+08,2.36e+09,2.58e+08,0.5,0.30517,0.16379,0.13649,0.02294,2.71579,1.32746,4.95115,0.56977,0.63291,0.62831,3.86409,4.63691,1.71885,0.15323,0.03141,0.06867,0.24211,10.34091,12.85311
"23","2017_Q4",37.3350793650794,"Up",5.95e+08,-2.93e+08,3.02e+08,-1.04e+08,-7.8e+07,-2.6e+07,1.98e+08,-2.8e+07,-2.6e+07,-2e+06,1.7e+08,1.7e+08,-5.9e+07,1.11e+08,1.11e+08,1.11e+08,1.11e+08,2.1e+08,2.1e+08,2.71e+08,2.71e+08,1.56e+08,2.8e+07,2.8e+07,6.65e+08,4.56e+08,3.14e+09,1.175e+09,1.941e+09,2.4e+07,3.596e+09,4.261e+09,1.84e+08,1.84e+08,1.2e+07,2.48e+08,3.3e+07,2.15e+08,4.44e+08,2.536e+09,7.26e+08,7.5e+07,3.93e+08,2.58e+08,3.262e+09,3.706e+09,1.751e+09,-1.144e+09,-5.2e+07,5.55e+08,5.55e+08,4.261e+09,1.11e+08,4.3e+07,2.9e+07,3.2e+07,2.15e+08,-2e+07,-2e+07,-2.2e+07,1.92e+08,-2.36e+08,-5e+06,-7.1e+07,1.24e+08,1.24e+08,1e+06,1.25e+08,2.41e+08,2.548e+09,3.12e+08,0.50756,0.33277,0.18655,0.2,0.02605,2.81081,1.49775,6.67748,0.59798,0.75,0.74497,4.02027,3.75,2.10811,0.14865,0.03473,0.08148,0.1982,9.70124,11.80808
"24","2018_Q1",38.1581967213115,"Up",5.88e+08,-3e+08,2.88e+08,-1.6e+08,-9.7e+07,-3.1e+07,1.28e+08,-4.4e+07,-2.5e+07,-1.9e+07,8.4e+07,8.4e+07,1.31e+08,2.15e+08,2.15e+08,2.15e+08,2.15e+08,1.99e+08,1.99e+08,2.21e+08,2.21e+08,1.54e+08,5.8e+07,2.5e+07,6.32e+08,4.48e+08,3.125e+09,1.153e+09,1.941e+09,3.1e+07,3.573e+09,4.205e+09,1.59e+08,1.59e+08,1.2e+07,2.46e+08,4.1e+07,2.05e+08,4.17e+08,2.534e+09,5.65e+08,7.5e+07,2.76e+08,2.14e+08,3.099e+09,3.516e+09,1.759e+09,-1.055e+09,-1.5e+07,6.89e+08,6.89e+08,4.205e+09,2.15e+08,4.3e+07,-1.24e+08,3.2e+07,1.66e+08,-5.1e+07,-5.1e+07,-2.1e+07,-3e+06,-1.02e+08,-1e+06,-1.27e+08,-1.2e+07,-1.2e+07,1e+06,-1.1e+07,1.71e+08,2.546e+09,2.1e+07,0.4898,0.21769,0.36565,0.31205,0.05113,0.0976699999999999,1.51559,5.10305,0.60547,1.53571,1.52482,4.2,4.92143,0.15,0.15,0.06211,0.00553000000000002,0.09767,13.72515,18.33594
"25","2018_Q2",37.99875,"Down",6.63e+08,-3.21e+08,3.42e+08,-1.2e+08,-9.2e+07,-2.8e+07,2.22e+08,-3.1e+07,-3e+07,-999999.999999996,1.91e+08,1.91e+08,-4e+07,1.51e+08,1.51e+08,1.51e+08,1.51e+08,1.95e+08,1.95e+08,3.12e+08,3.12e+08,1.72e+08,3.7e+07,2.7e+07,7.16e+08,4.4e+08,3.104e+09,1.131e+09,1.941e+09,3.2e+07,3.544e+09,4.26e+09,2.03e+08,2.03e+08,1.2e+07,2.21e+08,4e+07,1.81e+08,4.36e+08,2.532e+09,5.86e+08,7.2e+07,2.89e+08,2.25e+08,3.118e+09,3.554e+09,1.763e+09,-1.046e+09,-1.1e+07,7.06e+08,7.06e+08,4.26e+09,1.51e+08,4.2e+07,1.9e+07,-5.9e+07,1.53e+08,-1e+07,-1e+07,-2.1e+07,-3e+06,-1.22e+08,-3e+06,-1.49e+08,-6e+06,-6e+06,2e+06,-4e+06,2.64e+08,2.544e+09,2.35e+08,0.51584,0.33484,0.22775,0.21388,0.03545,1.55629,1.6422,5.03399,0.59718,1.08633,1.07857,4.76978,5.07914,1.69065,0.15108,0.04484,0.06126,0.13907,8.89773,10.58108
"26","2018_Q3",43.4596825396825,"Up",7.11e+08,-3.37e+08,3.74e+08,-1.26e+08,-9.3e+07,-3.3e+07,2.48e+08,-2.6e+07,-3e+07,4e+06,2.22e+08,2.22e+08,-4.8e+07,1.74e+08,1.74e+08,1.74e+08,1.74e+08,9.6e+07,9.6e+07,3.28e+08,3.28e+08,1.7e+08,3.9e+07,2.4e+07,6.33e+08,4.42e+08,3.096e+09,1.109e+09,1.941e+09,4.6e+07,3.538e+09,4.171e+09,2.1e+08,2.1e+08,1.86264514923096e-09,2.32e+08,3.8e+07,1.94e+08,4.42e+08,2.52e+09,6.07e+08,8.7e+07,3.01e+08,2.19e+08,3.127e+09,3.569e+09,1.765e+09,-1.136e+09,-2.7e+07,6.02e+08,6.02e+08,4.171e+09,1.74e+08,4.1e+07,1.9e+07,-2.1e+07,2.13e+08,-1.9e+07,-1.9e+07,-2e+07,-2.5e+07,-2.43e+08,-2e+06,-2.9e+08,-9.6e+07,-9.6e+07,-3e+06,-9.9e+07,2.89e+08,2.52e+09,2.97e+08,0.52602,0.3488,0.24473,0.28904,0.04172,1.7069,1.43213,5.92857,0.60417,1.28889,1.29851,5.26667,4.45926,2.2,0.14815,0.05202,0.07965,0.11494,8.38754,9.77419
"27","2018_Q4",43.0952380952381,"Down",6.92e+08,-3.24e+08,3.68e+08,-1.22e+08,-8.9e+07,-3.3e+07,2.46e+08,-2.8e+07,-3e+07,2e+06,2.18e+08,2.18e+08,-5.1e+07,1.67e+08,1.67e+08,1.67e+08,1.67e+08,2.21e+08,2.21e+08,3.35e+08,3.35e+08,1.66e+08,4.2e+07,2.4e+07,7.64e+08,4.48e+08,3.073e+09,1.087e+09,1.941e+09,4.5e+07,3.521e+09,4.285e+09,1.98e+08,1.98e+08,0,2.5e+08,3.5e+07,2.15e+08,4.48e+08,2.522e+09,6.31e+08,8.9e+07,3.22e+08,2.2e+08,3.153e+09,3.601e+09,1.785e+09,-1.075e+09,-2.6e+07,6.84e+08,6.84e+08,4.285e+09,1.67e+08,4.1e+07,2.9e+07,2e+06,2.39e+08,-2.3e+07,-2.3e+07,-2e+07,0,-7e+07,0,-9e+07,1.26e+08,1.26e+08,-1e+06,1.25e+08,2.87e+08,2.522e+09,3.17e+08,0.53179,0.35549,0.24133,0.24415,0.03897,1.8982,1.70536,5.26462,0.58856,1.28462,1.27481,5.32308,5.26154,2.43846,0.15385,0.04874,0.08262,0.11976,8.01742,9.35366
"28","2019_Q1",44.2362295081967,"Up",6.47e+08,-3.09e+08,3.38e+08,-1.31e+08,-9.4e+07,-3.7e+07,2.07e+08,-3.3e+07,-3.1e+07,-2e+06,1.74e+08,1.74e+08,-2.7e+07,1.47e+08,1.47e+08,1.47e+08,1.47e+08,2.31e+08,2.31e+08,2.79e+08,2.79e+08,1.7e+08,4.5e+07,2.9e+07,7.25e+08,4.66e+08,3.046e+09,1.066e+09,1.941e+09,3.9e+07,3.512e+09,4.237e+09,1.69e+08,1.69e+08,4.65661287307739e-10,2.57e+08,3.4e+07,2.23e+08,4.26e+08,2.523e+09,6.29e+08,8.8e+07,3.29e+08,2.12e+08,3.152e+09,3.578e+09,1.789e+09,-1.1e+09,-3e+07,6.59e+08,6.59e+08,4.237e+09,1.47e+08,4e+07,1.5e+07,3e+07,2.32e+08,-4.8e+07,-5.1e+07,-1.9e+07,0,-1.52e+08,-2.3283064365387e-10,-1.71e+08,10000000.0000001,10000000.0000001,0,1e+07,2.47e+08,2.523e+09,2.56e+08,0.52241,0.31994,0.2272,0.22307,0.03469,1.7415,1.70188,5.42944,0.59547,1.14844,1.12214,5.05469,5.14844,2,0.14844,0.04356,0.06717,0.12925,9.27935,11.07246
"29","2019_Q2",42.3755555555556,"Down",6.75e+08,-3.16e+08,3.59e+08,-1.15e+08,-8.4e+07,-3.1e+07,2.44e+08,-3.3e+07,-3.6e+07,3e+06,2.11e+08,2.11e+08,-4.4e+07,1.67e+08,1.67e+08,1.67e+08,1.67e+08,3.24e+08,3.24e+08,3.32e+08,3.32e+08,1.89e+08,3.6e+07,3.6e+07,8.81e+08,4.73e+08,3.038e+09,1.044e+09,1.941e+09,5.3e+07,3.511e+09,4.392e+09,2.09e+08,2.09e+08,5e+06,2.51e+08,3.4e+07,2.17e+08,4.65e+08,2.514e+09,6.67e+08,9.7e+07,3.39e+08,2.31e+08,3.181e+09,3.646e+09,1.789e+09,-1.01e+09,-3.3e+07,7.46e+08,7.46e+08,4.392e+09,1.67e+08,4e+07,2.1e+07,-3.4e+07,1.94e+08,-1.9e+07,-1.9e+07,-1.9e+07,-1e+07,-5e+07,-4e+06,-8.3e+07,9.2e+07,9.2e+07,1e+06,9.3e+07,2.84e+08,2.519e+09,2.75e+08,0.53185,0.36148,0.24741,0.22386,0.03802,1.64671,1.89462,4.8874,0.57354,1.3254,1.31496,5.35714,5.92063,2.18254,0.15079,0.0473,0.06994,0.11377,7.72887,8.9959
"30","2019_Q3",42.5403125,"Up",7.37e+08,-3.48e+08,3.89e+08,-1.3e+08,-9.3e+07,-3.7e+07,2.59e+08,-3e+07,-3.3e+07,3e+06,2.29e+08,2.29e+08,-4.8e+07,1.81e+08,1.81e+08,1.81e+08,1.81e+08,1.53e+08,1.53e+08,3.22e+08,3.22e+08,1.88e+08,4.2e+07,4.2e+07,7.05e+08,4.9e+08,3.16e+09,1.079e+09,2.019e+09,6.2e+07,3.65e+09,4.355e+09,2.08e+08,2.08e+08,6e+06,2.54e+08,3.4e+07,2.2e+08,4.68e+08,2.514e+09,7.05e+08,9.9e+07,3.55e+08,2.51e+08,3.219e+09,3.687e+09,1.797e+09,-1.082e+09,-4.7e+07,6.68e+08,6.68e+08,4.355e+09,1.81e+08,4e+07,2.9e+07,-1.1e+07,2.39e+08,-1.58e+08,-1.58e+08,-1.8e+07,-2e+06,-2.31e+08,0,-2.51e+08,-1.7e+08,-1.7e+08,-1e+06,-1.71e+08,2.99e+08,2.52e+09,1.78e+08,0.52782,0.35142,0.24559,0.27096,0.04156,0.98343,1.50641,5.51946,0.57865,1.48361,1.47154,6.04098,5.47541,1.45902,0.14754,0.05112,0.04572,0.09945,7.91639,9.139
"31","2019_Q4",43.75453125,"Up",6.69e+08,-3.21e+08,3.48e+08,-1.24e+08,-8.5e+07,-3.9e+07,2.24e+08,-3e+07,-3.2e+07,2e+06,1.94e+08,1.94e+08,-4.5e+07,1.49e+08,1.49e+08,1.49e+08,1.49e+08,1.52e+08,1.52e+08,3.29e+08,3.29e+08,2.09e+08,5.8e+07,5.8e+07,7.48e+08,5.61e+08,3.162e+09,1.061e+09,2.04e+09,6.1e+07,3.723e+09,4.471e+09,1.85e+08,1.85e+08,6e+06,2.86e+08,3.5e+07,2.51e+08,4.77e+08,2.513e+09,7.38e+08,1.03e+08,3.8e+08,2.55e+08,3.251e+09,3.728e+09,1.8e+09,-9.97e+08,-6e+07,7.43e+08,7.43e+08,4.471e+09,1.49e+08,4.2e+07,3e+07,-9e+06,2.12e+08,-1.46e+08,-1.46e+08,-1.8e+07,1.1e+07,-4.6e+07,-1.2e+07,-6.5e+07,1e+06,1e+06,-2e+06,-1e+06,2.66e+08,2.519e+09,1.56e+08,0.52018,0.33483,0.22272,0.20054,0.03333,1.04698,1.56813,5.0175,0.56341,1.2314,1.22131,5.52893,6.1405,1.28926,0.14876,0.04175,0.039,0.12081,8.8985,10.56696
"32","2020_Q1",39.3653225806452,"Down",6.17e+08,-3.19e+08,2.98e+08,-1.41e+08,-9.4e+07,-4.7e+07,1.57e+08,-3.1e+07,-3.3e+07,2e+06,1.26e+08,1.34e+08,-2.7e+07,1.07e+08,1.07e+08,1.07e+08,1.07e+08,1.92e+08,1.92e+08,2.53e+08,2.53e+08,1.99e+08,4.2e+07,4.2e+07,6.86e+08,6.16e+08,3.148e+09,1.042e+09,2.041e+09,6.5e+07,3.764e+09,4.45e+09,1.5e+08,1.5e+08,6e+06,2.61e+08,3.5e+07,2.26e+08,4.17e+08,2.512e+09,7.4e+08,1.04e+08,3.87e+08,2.49e+08,3.252e+09,3.669e+09,1.803e+09,-9.7e+08,-5.2e+07,7.81e+08,7.81e+08,4.45e+09,1.07e+08,4.5e+07,1.1e+07,3.9e+07,2.02e+08,1.51e+08,-8.2e+07,-1.8e+07,-2e+06,-6.1e+07,0,-8.1e+07,3.9e+07,3.9e+07,1e+06,4e+07,2.02e+08,2.518e+09,4.19e+08,0.48298,0.25446,0.17342,0.137,0.02404,3.91589,1.64508,4.69782,0.56584,0.89916,0.89167,5.18487,6.56303,3.52101,0.15126,0.03095,0.10374,0.16822,11.51485,14.81529
"33","2020_Q2",34.0230158730159,"Down",6.37e+08,-3.11e+08,3.26e+08,-1.11e+08,-7.5e+07,-3.6e+07,2.15e+08,-3.4e+07,-3.3e+07,-1e+06,1.81e+08,1.81e+08,-4.2e+07,1.39e+08,1.39e+08,1.39e+08,1.39e+08,1.14e+08,1.14e+08,3.03e+08,3.03e+08,2.07e+08,4.2e+07,4.2e+07,6.66e+08,6.27e+08,3.131e+09,1.026e+09,2.041e+09,6.4e+07,3.758e+09,4.424e+09,1.91e+08,1.91e+08,6e+06,2.29e+08,3.4e+07,1.95e+08,4.26e+08,2.512e+09,7.93e+08,1.06e+08,4.15e+08,2.72e+08,3.305e+09,3.731e+09,1.805e+09,-1.031e+09,-8.1e+07,6.93e+08,6.93e+08,4.424e+09,1.39e+08,3.8e+07,4.2e+07,-7.1e+07,1.48e+08,-2.1e+07,-2.1e+07,-2e+07,-2e+06,-1.79e+08,-2e+06,-2.03e+08,-7.6e+07,-7.6e+07,-2e+06,-7.8e+07,2.53e+08,2.518e+09,2.03e+08,0.51177,0.33752,0.21821,0.20058,0.03142,1.46043,1.56338,5.38384,0.56917,1.19828,1.19828,5.49138,5.97414,1.75,0.17241,0.03971,0.0507,0.14388,9.50198,11.1814
"34","2020_Q3",34.55140625,"Up",3.77e+08,-2.12e+08,1.65e+08,-1.07e+08,-6.9e+07,-3.8e+07,5.8e+07,-2.8e+07,-3.3e+07,5e+06,3e+07,3e+07,-7e+06,2.3e+07,2.3e+07,2.3e+07,2.3e+07,4.34e+08,4.34e+08,2.12e+08,2.12e+08,2.01e+08,4e+07,4e+07,8.87e+08,6.34e+08,3.112e+09,9.86e+08,2.062e+09,6.4e+07,3.746e+09,4.633e+09,1.38e+08,1.38e+08,6e+06,2.12e+08,3.4e+07,1.78e+08,3.56e+08,2.786e+09,7.96e+08,1.11e+08,4.21e+08,2.64e+08,3.582e+09,3.938e+09,1.807e+09,-1.027e+09,-8.5e+07,6.95e+08,6.95e+08,4.633e+09,2.3e+07,3.7e+07,1.1e+07,2.1e+07,9.2e+07,-2.8e+07,-2.4e+07,-1.9e+07,2.74e+08,-2.98023223876953e-08,-3e+06,2.52e+08,3.2e+08,3.2e+08,0,3.2e+08,9.5e+07,2.792e+09,9.5e+07,0.43767,0.15385,0.06101,0.03309,0.00496,4.13043,2.49157,5.66619,0.60263,0.20536,0.20175,3.36607,6.20536,0.84821,0.16964,0.00981,0.02218,0.82609,24.82105,40.65517
"35","2020_Q4",38.551875,"Up",5.32e+08,-2.78e+08,2.54e+08,-1.26e+08,-9.3e+07,-3.3e+07,1.28e+08,-3e+07,-3.4e+07,4e+06,9.8e+07,9.8e+07,-2.1e+07,7.7e+07,7.7e+07,7.7e+07,7.7e+07,2.51e+08,2.51e+08,2.45e+08,2.45e+08,1.77e+08,3.7e+07,3.7e+07,7.1e+08,6.36e+08,3.1e+09,9.75e+08,2.063e+09,6.2e+07,3.736e+09,4.446e+09,1.33e+08,1.33e+08,6e+06,2.43e+08,3.3e+07,2.1e+08,3.82e+08,2.51e+09,8.08e+08,1.07e+08,4.24e+08,2.77e+08,3.318e+09,3.7e+09,1.813e+09,-9.85e+08,-8.2e+07,7.46e+08,7.46e+08,4.446e+09,7.7e+07,3.6e+07,1e+07,3.9e+07,1.62e+08,-3.5e+07,-3.5e+07,-1.9e+07,-2.77e+08,-1.6e+07,0,-3.12e+08,-1.85e+08,-1.85e+08,2e+06,-1.83e+08,1.64e+08,2.516e+09,1.89e+08,0.47744,0.2406,0.14474,0.10322,0.01732,2.45455,1.85864,4.95979,0.5659,0.67544,0.6875,4.66667,6.54386,1.65789,0.16667,0.02359,0.04644,0.24675,13.81098,17.69531
"36","2021_Q1",40.0640983606557,"Up",5.35e+08,-2.82e+08,2.53e+08,-1.2e+08,-8e+07,-4e+07,1.33e+08,-4.9e+07,-3.7e+07,-1.2e+07,8.4e+07,8.4e+07,-2.4e+07,6e+07,6e+07,6e+07,6e+07,3.1e+08,3.1e+08,2.28e+08,2.28e+08,1.81e+08,3.7e+07,3.7e+07,7.56e+08,6.38e+08,3.083e+09,9.63e+08,2.064e+09,5.6e+07,3.721e+09,4.477e+09,1.57e+08,1.57e+08,6e+06,2.1e+08,3.4e+07,1.76e+08,3.73e+08,2.507e+09,8.41e+08,1.09e+08,4.42e+08,2.9e+08,3.348e+09,3.721e+09,1.819e+09,-9.74e+08,-8.9e+07,7.56e+08,7.56e+08,4.477e+09,6e+07,3.7e+07,4.9e+07,1.3e+07,1.59e+08,-3.1e+07,-3.1e+07,-2e+07,-1.4e+07,-2.8e+07,-1e+07,-72000000.0000001,5.6e+07,5.6e+07,3e+06,5.9e+07,1.7e+08,2.513e+09,1.76e+08,0.4729,0.2486,0.11215,0.07937,0.0134,2.93333,2.02681,4.92196,0.56131,0.52632,0.52632,4.69298,6.63158,1.54386,0.17544,0.01946,0.04282,0.33333,12.95882,16.56391
"37","2021_Q2",41.1509523809524,"Up",5.88e+08,-2.97e+08,2.91e+08,-1.11e+08,-7.3e+07,-3.8e+07,1.8e+08,-2.6e+07,-2.9e+07,3e+06,1.54e+08,1.54e+08,-3.4e+07,1.2e+08,1.2e+08,1.2e+08,1.2e+08,2.95e+08,2.95e+08,2.92e+08,2.92e+08,1.93e+08,4e+07,4e+07,8.2e+08,6.44e+08,3.07e+09,9.51e+08,2.064e+09,5.5e+07,3.714e+09,4.534e+09,1.67e+08,1.67e+08,6e+06,2.45e+08,3.5e+07,2.1e+08,4.18e+08,2.506e+09,8.46e+08,1.07e+08,4.59e+08,2.8e+08,3.352e+09,3.77e+09,1.821e+09,-9.71e+08,-8.6e+07,7.64e+08,7.64e+08,4.534e+09,1.2e+08,3.7e+07,1.7e+07,-4.3e+07,1.31e+08,-2.4e+07,-2.4e+07,-2.1e+07,-2e+06,-9.5e+07,-3e+06,-1.21e+08,-1.4e+07,-1.4e+07,-1e+06,-1.5e+07,2.17e+08,2.512e+09,1.84e+08,0.4949,0.30612,0.20408,0.15707,0.02647,1.53333,1.96172,4.93455,0.55404,1.08108,1.07143,5.2973,6.88288,1.65766,0.18919,0.03421,0.04464,0.175,10.21659,12.31667
"38","2021_Q3",37.0775,"Down",6.03e+08,-3.15e+08,2.88e+08,-1.21e+08,-8e+07,-4.1e+07,1.67e+08,-2.7e+07,-3e+07,3e+06,1.4e+08,1.4e+08,-3e+07,1.1e+08,1.1e+08,1.1e+08,1.1e+08,2.38e+08,2.38e+08,2.99e+08,2.99e+08,2.06e+08,5.5e+07,5.5e+07,7.98e+08,6.65e+08,3.059e+09,9.4e+08,2.064e+09,5.5e+07,3.724e+09,4.522e+09,1.67e+08,1.67e+08,6e+06,2.56e+08,3.9e+07,2.17e+08,4.29e+08,2.505e+09,8.56e+08,1.03e+08,4.73e+08,2.8e+08,3.361e+09,3.79e+09,1.827e+09,-1.012e+09,-8.3e+07,7.32e+08,7.32e+08,4.522e+09,1.1e+08,3.7e+07,2.2e+07,-2.9e+07,1.4e+08,-4.5e+07,-4.5e+07,-2.1e+07,-1e+06,-1.28e+08,-3e+06,-1.53e+08,-5.8e+07,-5.8e+07,1e+06,-5.7e+07,2.04e+08,2.511e+09,1.6e+08,0.47761,0.27695,0.18242,0.15027,0.02433,1.45455,1.86014,5.1776,0.55529,0.99099,0.98214,5.43243,6.59459,1.44144,0.18919,0.03196,0.03903,0.19091,11.14216,13.61078
"39","2021_Q4",34.5025,"Down",5.67e+08,-3.06e+08,2.61e+08,-1.15e+08,-7.3e+07,-4.2e+07,1.46e+08,-2.2e+07,-2.8e+07,6e+06,1.24e+08,1.24e+08,-3e+07,9.4e+07,9.4e+07,9.4e+07,9.4e+07,2.61e+08,2.61e+08,2.57e+08,2.57e+08,2.17e+08,7.5e+07,7.5e+07,8.1e+08,6.81e+08,3.046e+09,9.28e+08,2.064e+09,5.4e+07,3.727e+09,4.537e+09,1.72e+08,1.72e+08,6e+06,2.7e+08,3.7e+07,2.33e+08,4.48e+08,2.504e+09,8.78e+08,1.01e+08,5.06e+08,2.71e+08,3.382e+09,3.83e+09,1.83e+09,-1.038e+09,-8.5e+07,7.07e+08,7.07e+08,4.537e+09,9.4e+07,3.8e+07,3.2e+07,3.2e+07,1.96e+08,-4.3e+07,-5e+07,-2e+07,-2e+06,-1e+08,0,-1.22e+08,2.4e+07,2.4e+07,-1e+06,2.3e+07,1.84e+08,2.51e+09,2.03e+08,0.46032,0.2575,0.16578,0.13296,0.02072,2.15957,1.80804,5.41726,0.55323,0.88679,0.88679,5.34906,6.66981,1.91509,0.18868,0.02784,0.04957,0.21277,12.22283,15.40411
"40","2022_Q1",38.6077419354839,"Up",6.44e+08,-3.39e+08,3.05e+08,-1.29e+08,-7.9e+07,-5e+07,1.76e+08,-2.2e+07,-2.9e+07,7e+06,1.54e+08,1.54e+08,-3.6e+07,1.18e+08,1.18e+08,1.18e+08,1.18e+08,1.27e+08,1.27e+08,3.01e+08,3.01e+08,2.04e+08,3.9e+07,3.9e+07,6.71e+08,7.06e+08,3.034e+09,9.17e+08,2.064e+09,5.3e+07,3.786e+09,4.457e+09,1.79e+08,1.79e+08,6e+06,2.74e+08,3.7e+07,2.37e+08,4.59e+08,2.504e+09,8.6e+08,9.9e+07,5.14e+08,2.47e+08,3.364e+09,3.823e+09,1.833e+09,-1.126e+09,-7.3e+07,6.34e+08,6.34e+08,4.457e+09,1.18e+08,3.8e+07,4e+06,7999999.99999999,1.68e+08,-6.3e+07,-9.3e+07,-1.9e+07,-2e+06,-1.87e+08,0,-2.08e+08,-1.33e+08,-1.33e+08,-1e+06,-1.34e+08,2.14e+08,2.51e+09,1.95e+08,0.4736,0.27329,0.18323,0.18612,0.02648,1.65254,1.46187,6.02997,0.56316,1.11321,1.11321,6.07547,5.98113,1.83962,0.17925,0.03422,0.0487,0.16102,11.13551,13.53977
"41","2022_Q2",37.7283870967742,"Down",6.77e+08,-3.57e+08,3.2e+08,-1.18e+08,-7.5e+07,-4.3e+07,2.02e+08,-3.9e+07,-2.9e+07,-1e+07,1.63e+08,1.63e+08,-3.4e+07,1.29e+08,1.29e+08,1.29e+08,1.29e+08,1.45e+08,1.45e+08,3.43e+08,3.43e+08,2.1e+08,4.7e+07,4.7e+07,7.45e+08,7.08e+08,3.043e+09,9.13e+08,2.077e+09,5.3e+07,3.782e+09,4.527e+09,2.28e+08,2.28e+08,6e+06,2.55e+08,3.5e+07,2.2e+08,4.89e+08,2.503e+09,8.56e+08,9.7e+07,5.25e+08,2.34e+08,3.359e+09,3.848e+09,1.833e+09,-1.098e+09,-5.6e+07,6.79e+08,6.79e+08,4.527e+09,1.29e+08,3.8e+07,1.9e+07,-2.3e+07,1.63e+08,-2e+07,-3.8e+07,-2e+07,-2e+06,-8.1e+07,-3e+06,-1.06e+08,1.9e+07,1.9e+07,-1e+06,1.8e+07,2.4e+08,2.509e+09,2.31e+08,0.47267,0.29838,0.19055,0.18999,0.0285,1.7907,1.52352,5.66716,0.55423,1.26814,1.2572,6.65525,6.67492,2.27085,0.19661,0.03684,0.05712,0.15504,9.85,11.70297
