"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_investments","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.74,"Up",890200000,-781200000,-492400000,-74400000,-214400000,1.09e+08,-39900000,-39900000,-40700000,69100000,13700000,82800000,-34700000,48100000,48100000,48100000,-4700000,43400000,381827942.887265,381827942.887265,-48133867.769281,-48133867.769281,201641247.581314,466069504.353951,737337917.257335,1001404827.05325,6461789386.04841,285405895.895742,285405895.895742,761509012.783011,761509012.783011,7508704294.72717,8510109121.78042,501424071.359394,449274235.333032,978111658.710869,694781580.866652,496889095.753054,2174317310.93691,1890087424.13984,1774584344.26817,315569933.243298,919847315.283406,539167095.741471,3664671768.40802,5838989079.34493,237597673.146696,1505620436.39378,941053530.99139,-15563466.4813844,2668708174.05048,2671120042.43548,8510109121.78042,48100000,74900000,38500000,27700000,189200000,-229300000,-2900000,-232200000,-48300000,60300000,-4100000,7900000,-35100000,-35100000,-35100000,183900000,0,1.7e+07,0.12244,0.04875,-0.196420394006866,-0.0670290032857958,0.39171,-1.28861800912866,2.15692044567377,0.333982028741903,0.19661,0.19647,4.03287,11.0147202156709,0.07702,0.21881,-0.0661091931445673,0.0232994864580882,1.1129,60.8567174917396,124.976820523647
"2","2010_Q3",11.4753125,"Up",741600000,-640900000,-365500000,-65100000,-210300000,100700000,-40100000,-40100000,-39600000,60600000,15100000,75700000,-2.3e+07,52700000,52500000,52500000,-4700000,47800000,171100000,171100000,114900000,114900000,2.17e+08,651100000,452200000,1154100000,6424100000,2.86e+08,2.86e+08,1179400000,1179400000,7889500000,9043600000,338100000,289900000,201400000,354600000,195300000,894100000,2503600000,2620900000,360600000,1243300000,1.017e+09,5124500000,6018600000,243800000,1504400000,1285700000,-1.1e+07,3022900000,3.025e+09,9043600000,52500000,65500000,149400000,22600000,2.9e+08,-166700000,3300000,-163400000,-48300000,-51100000,3700000,-95700000,30900000,30900000,30900000,166200000,2.705e+09,45100000,0.13579,0.06446,0.0158,0.00529,0.94351,1.2908,1.98962,0.29911,0.21647,0.21631,3.35839,12.58536,0.20424,0.21873,0.01151,0.0054,1.01046,15.24609,25.16286
"3","2010_Q4",12.109375,"Up",951700000,-705100000,-421700000,-75400000,-2.08e+08,246600000,-41300000,-41300000,-41900000,205300000,14300000,219600000,-64100000,155500000,153700000,153700000,-4600000,149100000,1.37e+08,1.37e+08,139300000,139300000,240100000,651200000,477900000,1167600000,6556900000,287200000,287200000,1214100000,1214100000,8058200000,9225800000,341900000,295100000,1400000,348600000,219500000,691900000,2703800000,2696500000,338800000,1384800000,972900000,5400300000,6092200000,243800000,1505900000,1391100000,-9200000,3131600000,3133600000,9225800000,153700000,75500000,124700000,-137500000,216400000,-2.14e+08,3100000,-210900000,-48300000,-6300000,1.5e+07,-39600000,-34100000,-34100000,-34100000,322100000,2705200000,34700000,0.25912,0.15667,0.04758,0.01616,0.23273,1.68753,1.94415,0.29322,0.67486,0.6744,4.30762,13.07087,0.15706,0.21862,0.02313,0.00407,0.32394,7.9733,10.41444
"4","2011_Q1",12.8264516129032,"Up",678600000,-574900000,-402800000,-72400000,-99700000,103700000,-36900000,-36900000,-40600000,66800000,1.3e+07,79800000,-25900000,53900000,5.2e+07,5.2e+07,-4700000,47300000,159300000,159300000,120500000,120500000,2.33e+08,579900000,579900000,1092700000,6730600000,289200000,289200000,1170400000,1170400000,8190200000,9282900000,3.83e+08,336300000,48700000,4.35e+08,334400000,866700000,2703400000,2573400000,303800000,1434300000,835300000,5276800000,6143500000,243800000,1507900000,1394700000,-9e+06,3137400000,3139400000,9282900000,5.2e+07,76400000,3.7e+07,123900000,289300000,-256900000,-3100000,-2.6e+08,-48400000,46700000,-5300000,-7e+06,22300000,22300000,22300000,180100000,2752100000,7.3e+07,0.15281,0.0697,0.01507,0.0051,1.54334,1.26076,1.9569,0.29647,0.21398,0.21384,3.06995,13.09049,0.33025,0.21896,0.01131,0.00862,1.02326,14.39645,25.00289
"5","2011_Q2",13.4560317460317,"Up",877200000,-749900000,-481800000,-77800000,-190300000,127300000,-39700000,-39700000,-40500000,87600000,1.3e+07,100600000,-22400000,78200000,79700000,79700000,-6200000,73500000,126100000,126100000,140200000,140200000,170200000,540500000,540500000,9.77e+08,6823400000,292200000,292200000,1307900000,1307900000,8423500000,9400500000,346900000,300200000,33700000,398300000,327500000,778900000,2703600000,2750400000,299200000,1472700000,978500000,5.454e+09,6232900000,245100000,1508600000,1421100000,-9200000,3165600000,3167600000,9400500000,79700000,78800000,19400000,83400000,261300000,-237100000,3800000,-233300000,-51800000,-1.5e+07,5600000,-61200000,-33200000,-33200000,-33200000,206100000,2737300000,74800000,0.14512,0.08379,0.0232,0.00782,1.01769,1.25433,1.9677,0.29119,0.33237,0.33218,3.96675,13.20669,0.33825,0.23424,0.01448,0.00864,0.70476,12.66958,20.51218
"6","2011_Q3",13.46953125,"Up",712500000,-641900000,-362800000,-81500000,-197600000,70600000,-39600000,-39600000,-40400000,3.1e+07,12300000,43300000,11200000,54500000,55300000,55300000,-4200000,51100000,77100000,77100000,127800000,127800000,185300000,487600000,458900000,877800000,6866400000,296100000,296100000,1260900000,1260900000,8423400000,9301200000,352400000,305800000,1400000,406300000,330200000,760100000,2703500000,2703300000,241800000,1477900000,983600000,5406800000,6166900000,205100000,1510800000,1425100000,-8700000,3132300000,3134300000,9301200000,55300000,82200000,51500000,16500000,205500000,-121600000,13800000,-107800000,-51300000,-32400000,-6.3e+07,-146700000,-4.9e+07,-4.9e+07,-4.9e+07,152800000,2704900000,36500000,0.09909,0.07172,0.0163,0.00549,0.71429,1.15485,1.96755,0.29081,0.23096,0.23085,3.22037,13.2304,0.16497,0.23187,0.01199,0.00427,1.00391,17.19764,37.22096
"7","2011_Q4",14.2560317460317,"Up",870900000,-661500000,-404200000,-80700000,-176600000,209400000,-38200000,-38200000,-38800000,171200000,12900000,184100000,-43300000,140800000,125900000,125900000,-3900000,1.22e+08,45700000,45700000,198500000,198500000,205100000,497800000,427700000,947100000,6937900000,299200000,299200000,1297100000,1297100000,8534200000,9481300000,361200000,314600000,23500000,389700000,310600000,774400000,2703600000,2794800000,235900000,1561200000,997700000,5498400000,6272800000,205100000,1510200000,1500200000,-8800000,3206700000,3208500000,9481300000,125900000,81300000,60200000,-121500000,145900000,-167600000,2300000,-165300000,-50900000,22500000,16400000,-1.2e+07,-31400000,-31400000,-31400000,290700000,2727100000,44900000,0.24044,0.14008,0.03802,0.01287,0.36803,1.22301,1.95506,0.28763,0.5513,0.55106,3.93549,13.56386,0.2029,0.23001,0.0198,0.00514,0.41721,9.22394,12.80516
"8","2012_Q1",14.9985483870968,"Up",760800000,-654800000,-391900000,-8.1e+07,-181900000,1.06e+08,-36500000,-36500000,-38600000,69500000,13100000,82600000,-14700000,67900000,6.1e+07,6.1e+07,-4e+06,5.7e+07,11400000,11400000,88100000,88100000,218100000,5.53e+08,331300000,870600000,7033300000,300700000,300700000,1483300000,1483300000,8817300000,9687900000,314400000,267800000,104200000,436600000,333800000,855200000,2703100000,2909700000,312700000,1592200000,1004800000,5612800000,6.468e+09,205100000,1511900000,1510200000,-9100000,3218100000,3219900000,9687900000,6.1e+07,81500000,16100000,-68600000,9e+07,-147100000,1400000,-145700000,-50900000,80700000,-8399999.99999999,21400000,-34300000,-34300000,-34300000,187500000,2807300000,-13500000,0.13933,0.07492,0.0177,0.00588,-0.23684,1.01801,2.00876,0.28977,0.25685,0.25723,3.42826,13.57696,-0.06083,0.22936,0.01207,-0.00151,0.89298,14.91147,26.37642
"9","2012_Q2",15.5871428571429,"Up",765700000,-670100000,-407600000,-8.3e+07,-179500000,95600000,-37800000,-37800000,-38900000,57800000,13200000,7.1e+07,-27700000,43300000,38900000,38900000,-4e+06,34900000,30900000,30900000,92200000,92200000,200100000,457400000,324300000,780600000,7081300000,303700000,303700000,1462600000,1462600000,8847600000,9628200000,310500000,263900000,58400000,404400000,302800000,773300000,2728200000,2922300000,309600000,1637700000,9.75e+08,5650500000,6423800000,205100000,1511100000,1495200000,-8800000,3202600000,3204400000,9628200000,38900000,83600000,48300000,44200000,2.15e+08,-135600000,5e+05,-135100000,-53900000,-20800000,14300000,-60400000,19500000,19500000,19500000,179200000,2786600000,115500000,0.12485,0.04558,0.01089,0.00362,3.30946,1.00944,2.00468,0.28942,0.15761,0.15757,3.45795,13.53689,0.5216,0.24342,0.00996,0.01296,1.54441,15.37779,28.82531
"10","2012_Q3",16.1631746031746,"Up",690300000,-581500000,-337600000,-80800000,-163100000,108800000,-3.8e+07,-3.8e+07,-38600000,70800000,15400000,86200000,-16800000,69400000,69800000,69800000,-3900000,65900000,30800000,30800000,81700000,81700000,205800000,602100000,357900000,920400000,7.248e+09,308400000,308400000,1457400000,1457400000,9013800000,9934200000,384200000,337600000,164200000,408900000,314200000,957300000,2752800000,3002800000,309900000,1736100000,956800000,5755600000,6712900000,205100000,1512200000,1511300000,-9100000,3219500000,3221300000,9934200000,69800000,80700000,-2200000,-24100000,124200000,-186800000,1e+05,-186700000,-53700000,130800000,-14700000,62400000,-100000.000000007,-100000.000000007,-100000.000000007,189500000,2.917e+09,-4600000.00000006,0.15761,0.09547,0.02046,0.00663,-0.0698000000000003,0.96145,2.08391,0.29363,0.2975,0.29747,3.11631,13.60829,-0.0207700000000001,0.24242,0.01308,-5e-04,0.81487,15.23061,26.52757
"11","2012_Q4",15.7627419354839,"Down",887600000,-673900000,-418200000,-83600000,-172100000,213700000,-37600000,-37600000,-38300000,176100000,16200000,192300000,-39300000,1.53e+08,154700000,154700000,-4e+06,150700000,41100000,41100000,93900000,93900000,209200000,684400000,434100000,1028600000,7384600000,314100000,314100000,1523600000,1523600000,9222300000,10250900000,464600000,4.18e+08,71800000,409100000,333900000,945500000,2828100000,3154500000,310800000,1836700000,1.007e+09,5982600000,6928100000,205100000,1513200000,1612100000,-9300000,3321100000,3322800000,10250900000,154700000,83600000,-17300000,40100000,261100000,-196600000,7e+05,-195900000,-53900000,-17400000,16400000,-54900000,10300000,10300000,10300000,297300000,2899900000,180100000,0.24076,0.16978,0.04535,0.0147,1.19509,1.08789,2.08502,0.28289,0.68025,0.68018,4.00657,14.06543,0.81296,0.2433,0.02182,0.01921,0.35766,9.61588,13.37763
