"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",37.6719047619048,"Up",693200000,-193900000,499300000,-84600000,-6.3e+07,-21600000,414700000,-21800000,-31400000,11100000,-1500000,392900000,398900000,-158700000,240200000,240200000,240200000,240200000,490500000,444200000,46300000,316900000,316900000,4675600000,4675600000,5.483e+09,734700000,734700000,28984700000,2.0573e+10,7978600000,433100000,29719400000,35202400000,36300000,36300000,4827700000,4827700000,5163900000,2823800000,7957700000,7787400000,170300000,10781500000,15945400000,-2.31242021294271e-16,16919300000,16918600000,2404200000,-133800000,19189700000,1.9257e+10,35202400000,240200000,6.3e+07,3700000,9300000,-7200000,1600000,48800000,-48300000,-10400000,107500000,355700000,-26300000,-26300000,-26300000,4e+05,5500000,-5100000,-19800000,-75900000,-605100000,-152300000,183600000,183600000,183600000,477700000,3123700000,658900000,0.72028,0.59824,0.34651,0.01247,0.00682,2.74313,1.06179,0.82803,0.08874,0.72531,0.72319,2.09318,57.94516,1.98961,0.22919,106.312368610851,0.01042,0.02172,0.31599,5.51225,6.34965
"2","2010_Q3",31.96765625,"Down",813900000,-193300000,620600000,-105500000,-65100000,-40400000,515100000,-3.5e+07,-37900000,4400000,-1500000,480100000,480100000,-208900000,271200000,271200000,270700000,270700000,408600000,363600000,4.5e+07,330800000,330800000,3862600000,3862600000,4.602e+09,729500000,729500000,28927400000,2.054e+10,7962800000,424600000,29656900000,34258900000,37600000,37600000,3996700000,3996700000,4334300000,2524400000,7948800000,7775900000,172900000,10473200000,14807500000,0,1.6921e+10,16920300000,2599300000,-136800000,19383500000,19451400000,34258900000,271200000,65100000,21600000,9600000,-10600000,22600000,-64500000,-16700000,2200000,-5e+07,293400000,-27500000,-27500000,-27500000,-99300000,-99300000,0,-87800000,-75600000,1400000.00000012,-286200000,-80600000.0000001,-80600000.0000001,-80600000.0000001,580200000,2824400000,697100000,0.7625,0.63288,0.3326,0.01392,0.0079,2.57518,1.06176,0.76126,0.08244,0.82558,0.82305,2.48223,59.11586,2.12602,0.23057,51.1665965924539,0.01146,0.02306,0.27928,4.16374,4.68996
"3","2010_Q4",35.60796875,"Up",733400000,-196300000,537100000,-94200000,-65500000,-28700000,442900000,-27200000,-35900000,12600000,-3900000,415700000,415700000,-171400000,244300000,244300000,244300000,244300000,612500000,568200000,44300000,333400000,333400000,3103300000,3103300000,4049200000,740600000,740600000,28896700000,20508500000,7.961e+09,427200000,29637300000,33686500000,43800000,43800000,3201900000,3201900000,3666200000,2104400000,7947300000,7769900000,177400000,10051700000,13717900000,0,17258800000,17258100000,2766800000,-124800000,19900800000,19968600000,33686500000,244300000,65500000,3400000,9e+06,-13500000,7900000,7e+05,1100000,6200000,-6600000,313900000,-43900000,-43900000,-43900000,3e+05,5400000,-5100000,-6.1e+07,-76800000,-301200000,-48300000,204600000,204600000,204600000,508400000,2524900000,636600000,0.73234,0.6039,0.33311,0.01223,0.00725,2.60581,1.10447,0.68697,0.07495,0.73404,0.73196,2.20363,59.79538,1.91277,0.23076,19.3124737221702,0.01055,0.02091,0.31437,3.76161,4.3179
"4","2011_Q1",36.8087096774194,"Up",763200000,-214700000,548500000,-90100000,-64400000,-25700000,458400000,-20400000,-35100000,14200000,5e+05,4.38e+08,427200000,-230800000,196400000,196400000,196200000,196200000,905400000,855200000,50200000,297500000,297500000,4184600000,4184600000,5387500000,786800000,786800000,28871800000,20493800000,7983600000,394400000,29658600000,35046100000,51800000,51800000,4308900000,4308900000,4781200000,2104800000,8031900000,7840400000,191500000,10136700000,14917900000,0,17278400000,17277700000,2885800000,-104100000,20060100000,20128200000,35046100000,196400000,64400000,78900000,1.3e+07,53600000,12300000,56900000,35200000,8100000,13600000,396600000,-62300000,-62300000,-62300000,147500000,147500000,0,5.7e+07,-7.7e+07,4299999.99999994,-166600000,2.87e+08,2.87e+08,2.87e+08,522800000,2525300000,748200000,0.71868,0.60063,0.25708,0.00975,0.0056,3.81346,1.12681,0.74114,0.07206,0.58725,0.5855,2.28437,60.04274,2.23947,0.23047,5,0.0089,0.02438,0.39246,3.09851,3.53381
"5","2011_Q2",35.4188888888889,"Down",831600000,-217800000,613800000,-89700000,-64200000,-25500000,524100000,-12400000,-30100000,18800000,-1100000,511700000,511600000,-54500000,457100000,457100000,456600000,456600000,719300000,664700000,54600000,3.94e+08,3.94e+08,3474300000,3474300000,4587600000,7.97e+08,7.97e+08,29324400000,20460700000,7985400000,878300000,30121400000,3.4709e+10,58400000,58400000,3685700000,3685700000,3744100000,2105300000,8003500000,7811100000,192400000,10108800000,13852900000,0,17293800000,17293100000,3248800000,244900000,20787500000,20856100000,3.4709e+10,457100000,64200000,-137200000,1.2e+07,-152100000,2900000,-2.2e+07,-96400000,6300000,68100000,362100000,-41400000,-41400000,-41400000,4e+05,5500000,-5100000,-41600000,-93600000,-420600000,-5.11e+08,-190500000,-190500000,-190500000,588300000,2105300000,579400000,0.7381,0.63023,0.54906,0.02189,0.01316,1.26894,1.22529,0.66421,0.06066,1.3659,1.36172,2.4877,62.18496,1.73325,0.28,2.47917542594326,0.01777,0.01871,0.20499,2.35594,2.64453
"6","2011_Q3",32.90265625,"Down",838300000,-2.1e+08,628300000,-93800000,-64700000,-29100000,534500000,-25200000,-28700000,4600000,-1100000,509300000,509300000,-213700000,295600000,295600000,293700000,293700000,748600000,693600000,5.5e+07,385800000,385800000,4420700000,4420700000,5555100000,812800000,812800000,29221300000,20419600000,7985400000,816300000,30034100000,35589200000,39700000,39700000,4.483e+09,4.483e+09,4522700000,2105800000,7987600000,7786500000,201100000,10093400000,14616100000,0,17245600000,17244900000,3448600000,208300000,20902500000,20973100000,35589200000,295600000,64700000,15100000,12700000,399999.99999997,2e+06,-161400000,8399999.99999996,-18700000,-151100000,2.14e+08,-4.7e+07,-4.7e+07,-4.7e+07,18300000,18300000,0,-28600000,-93900000,1400000,-156500000,28900000.0000001,28900000.0000001,28900000.0000001,599200000,2105800000,604500000,0.74949,0.6376,0.35035,0.014,0.00825,2.05822,1.22827,0.6969,0.05917,0.87989,0.88109,2.51145,62.62152,1.81101,0.28131,6,0.01248,0.01946,0.31971,2.26502,2.5392
"7","2011_Q4",31.1901587301587,"Down",874200000,-214300000,659900000,-87800000,-65400000,-22400000,572100000,-26200000,-2.9e+07,3700000,-9e+05,545900000,545900000,-230900000,3.15e+08,3.15e+08,316100000,316100000,875900000,829300000,46600000,369500000,369500000,7845900000,7845900000,9091300000,813800000,813800000,28982500000,20386300000,7984400000,611800000,29796300000,38887600000,40700000,40700000,7881600000,7881600000,7922300000,2106300000,7925200000,7735200000,1.9e+08,10031500000,17953800000,-1.57772181044202e-30,17100800000,17100100000,3671600000,91900000,20864300000,20933800000,38887600000,3.15e+08,65400000,36400000,12800000,20900000,2700000,6900000,15500000,1100000,-9700000,423700000,-4.1e+07,-4.1e+07,-4.1e+07,2e+05,2e+05,0,-40800000,-93100000,3e+05,-247200000,135700000,135700000,135700000,637500000,2106300000,834300000,0.75486,0.65443,0.36159,0.0151,0.00813,2.63935,1.14756,0.85765,0.05416,0.95128,0.94829,2.63084,62.78962,2.51077,0.28018,9,0.01321,0.02694,0.29453,1.93004,2.15067
"8","2012_Q1",33.5103225806452,"Up",736500000,-216500000,5.2e+08,-129600000,-66200000,-63400000,390400000,-20700000,-29100000,9600000,-1200000,369700000,369700000,3.77e+08,746700000,746700000,745900000,745900000,1089900000,1042300000,47600000,289400000,289400000,9566500000,9566500000,10945800000,821900000,821900000,2.8991e+10,20353300000,7.984e+09,653700000,29812900000,40758700000,31100000,31100000,9584100000,9584100000,9615200000,2106800000,7414400000,7226800000,187600000,9521200000,19136400000,0,17115800000,17112500000,4324600000,111600000,2.1552e+10,21622300000,40758700000,746700000,66200000,-4.91e+08,13800000,-527900000,23100000,24600000,59300000,-9700000,-2.5e+07,346500000,-42800000,-42800000,-42800000,200000.000000004,5300000,-5100000,-42600000,-92200000,699999.999999985,-90900000,2.13e+08,2.13e+08,2.13e+08,456600000,2106800000,61400000,0.70604,0.53007,1.01276,0.0345,0.0183,0.0823200000000006,1.13839,0.88503,0.05169,2.25632,2.23819,2.22788,65.19391,0.18573,0.2789,6,0.02691,0.00197,0.12361,2.22711,2.60476
"9","2012_Q2",34.0298412698413,"Up",774600000,-231400000,543200000,-9.2e+07,-67700000,-24300000,451200000,-17800000,-29100000,12100000,-8e+05,433400000,433400000,-167100000,266300000,266300000,266600000,266600000,1107100000,1061700000,45400000,3.6e+08,3.6e+08,7887500000,7887500000,9354600000,816500000,816500000,2.9118e+10,20320800000,7984700000,812500000,29934500000,39289100000,2.9e+07,2.9e+07,8080900000,8080900000,8109900000,2107200000,7452900000,7256500000,196400000,9560100000,1.767e+10,1.26217744835362e-29,17140700000,1.714e+10,4243600000,164800000,21549100000,21619100000,39289100000,266300000,67700000,-4400000,14300000,-19200000,5e+05,6.6e+07,-70300000,-2100000,138400000,395600000,-26700000,-26700000,-26700000,9100000,9100000,0,-40400000,-346500000,2800000,-335800000,19400000,19400000,19400000,518900000,2107200000,725300000,0.70127,0.58249,0.34418,0.01233,0.00679,2.72056,1.15348,0.81733,0.05363,0.80589,0.80337,2.3415,65.13963,2.19247,1.04742,5,0.01966,0.02326,1.2997,1.92735,2.21653
"10","2012_Q3",34.5369841269841,"Up",795900000,-236200000,559700000,-90500000,-64900000,-25600000,469200000,41500000,-28900000,6100000,-899999.999999999,510700000,510700000,-257300000,253400000,253400000,244900000,244900000,1335900000,1293200000,42700000,336900000,336900000,6568100000,6568100000,8240900000,703700000,703700000,29001300000,19929200000,7520600000,1551500000,2.9705e+10,37945900000,38700000,38700000,6620800000,6620800000,6659500000,2107700000,7480300000,7262200000,218100000,9.588e+09,16247500000,0,17165400000,17162100000,4340300000,114300000,2.162e+10,21698400000,37945900000,253400000,64900000,22300000.0000001,20700000,64199999.9999999,-62600000,-78400000,-3300000,10600000,-85700000,262200000,-36900000,-36900000,-36900000,2e+05,2e+05,0,112200000,-147700000,1200000,-142900000,231500000,231500000,231500000,534100000,2107700000,676100000,0.70323,0.58952,0.3077,0.01129,0.00645,2.76072,1.23747,0.74879,0.05554,0.7397,0.73728,2.40397,65.30183,2.04212,0.44612,6,0.01255,0.02161,0.6031,1.44505,1.64493
