"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",29.352380952381,"Up",3007829000,-1539117000,1468712000,-1047167000,-866331000,-180836000,421545000,-28491000,-28491000,393054000,393054000,-100307000,292747000,300233000,300233000,300233000,806368000,806368000,1981411000,1981411000,1187893000,565405000,565405000,4541077000,1179094000,14160475000,10351840000,2954643000,853992000,15339569000,19880646000,2794255000,1161791000,1632464000,63551000,2857806000,2822298000,2347364000,2347364000,5169662000,8027468000,2128972000,3607000,2125365000,9492413000,231793000,11853178000,57871188.7198443,11853178000,19880646000,292747000,92993000,16482000,16482000,-6724000,38346000,-73878000,90454000,-61646000,393879000,-36954000,-37285000,-37285000,-1263242000,-1263242000,-12377714.9745643,-1301314000,-12962000,-10441000,-7522000,-2919000,-2919000,30313000,30313000,6910000,-900525000,-900525000,-15027000,-915552000,514538000,2885849000,571167000,0.4883,0.14015,0.09982,0.02533,0.0151,1.90241,1.58901,0.67724,0.14516,0.46263,0.44144,4.63479,18.26466,0.88012,0.01997,23.987508858498,0.01833,0.03343,0.04317,4.04145,4.933
"2","2010_Q3",27.91484375,"Down",3217428000,-1611875000,1605553000,-1087787000,-896588000,-191199000,517766000,-27905000,-27905000,489861000,489861000,-127739000,362122000,372476000,372476000,372476000,1232936000,1232936000,2025978000,2025978000,1238693000,547324000,547324000,5044931000,1163335000,13870691000,10230541000,2903081000,737069000,15034026000,20078957000,2921937000,1223890000,1698047000,69964000,2991901000,2754966000,2274080000,2274080000,5029046000,8020947000,2264324000,7256000,2257068000,9851839000,-58153000.0000001,12058010000,57501594.3599221,12058010000,20078957000,362122000,97733000,24400000,24400000,36397000,-102010000,-83535000,83811000,138131000,537923000,-51538000,-51834000,-51834000,-135284000,-135284000,-5054647.98643431,-188923000,-13050000,31984000,29065000,2919000.00000001,2919000,62537000,62537000,81471000,430471000,430471000,-3902999.99999999,426568000,615499000,2824930000,728097000,0.49902,0.16093,0.11577,0.03089,0.01855,1.95475,1.6862,0.6652,0.14069,0.57086,0.54588,4.93109,18.48033,1.1159,0.02,18.3250059056653,0.02247,0.04244,0.03504,2.58651,3.07474
"3","2010_Q4",31.94546875,"Up",3092836000,-1480901000,1611935000,-1069372000,-872935000,-196437000,542563000,-18921000,-29471000,523642000,814679000,-180875000,633804000,646435000,646435000,646435000,1635041000,1635041000,2032661000,2032661000,1244895000,548026000,548026000,5460623000,1153431000,14883781000,10476778000,3070990000,837513000,16037212000,21497835000,3039944000,1178865000,1861079000,39483000,3079427000,2822259000,2424216000,2424216000,5246475000,8325902000,2314817000,7269000,2307548000,10485199000,371917000,13171933000,59108198.119974,13171933000,21497835000,633804000,95875000,-276515000,25072000,107764000,-16340000,-43496000,11116000,156484000,579267000,-50978000,-51062000,-51062000,-169542000,-169542000,-686992.994912867,-222349000,-13075000,-30674000,-30674000,0,0,24350000,24350000,25827000,382745000,382745000,19360000,402105000,638438000,2861742000,876099000,0.52118,0.17543,0.20901,0.04908,0.03007,1.35528,1.77326,0.63209,0.13312,0.98762,0.94587,4.72521,20.12398,1.3385,0.01998,13.5950035433992,0.03573,0.04746,0.02023,1.92141,2.26094
"4","2011_Q1",35.8946774193548,"Up",3231907000,-1513607000,1718300000,-1173374000,-967846000,-205528000,544926000,-12883000,-25133000,532043000,532006000,-102479000,429527000,473856000,473856000,473856000,1632980000,1632980000,2097974000,2097974000,1165623000,1168878000,1168878000,6065455000,1129781000,15021894000,10393738000,3307737000,809136000,16151675000,22217130000,3279941000,1124821000,2155120000,40761000,3320702000,2783907000,2339755000,2339755000,5123662000,8444364000,2419696000,7295000,2412401000,10945928000,345386000,13711010000,61756000,13772766000,22217130000,429527000,101699000,9933000.00000006,22146000,463000,-170896000,39209000,31819000,100331000,573331000,-51630000,-50919000,-50919000,-561632000,-561632000,1600000,-632814000,-13113000,-269000,9131000,-9399999.99999997,-9400000,61200000,61200000,59092000.0000001,-391000,-391000,-1630000,-2021000,646625000,2824668000,697937000,0.53167,0.16861,0.14662,0.03441,0.02133,1.47289,1.82656,0.61312,0.12714,0.72145,0.68944,4.92057,20.875,1.06261,0.01996,9.7975017716996,0.02571,0.03686,0.02767,1.84294,2.18688
"5","2011_Q2",38.6326984126984,"Up",3292198000,-1543348000,1748850000,-1178472000,-963242000,-215230000,570378000,-13849000,-28324000,556529000,556529000,-139754000,416775000,429358000,429358000,429358000,1593559000,1593559000,2210224000,2210224000,1284932000,1043177000,1043177000,6131892000,1177703000,15725286000,10934931000,3539466000,727658000,16902989000,23034881000,3264933000,1239137000,2025796000,58922000,3323855000,2668039000,2319298000,2319298000,4987337000,8311192000,2690299000,7370000,2682929000,11362018000,606862000,14659179000,64510000,14723689000,23034881000,416775000,104123000,8301000,22776000,-94920000,53755000,-39484000,35499000,-144690000,436483000,-43896000,-46306000,-46306000,-517420000,-517420000,2681080.99830429,-564955000,-13268000,15250000,17271000,-2021000,-2021000,50480000,50480000,52462000,-76010000,-76010000,36589000,-39421000,674501000,2726961000,675439000,0.53121,0.17325,0.13042,0.02916,0.01864,1.57314,1.84481,0.56448,0.11838,0.64897,0.62377,4.97612,22.1572,1.02092,0.02005,6.93250059056653,0.02239,0.03416,0.0309,1.68036,1.98711
"6","2011_Q3",33.88328125,"Down",3635871000,-1718319000,1917552000,-1322055000,-1088385000,-233670000,595497000,-14672000,-29132000,580825000,580825000,-141275000,439550000,648764000,648764000,648764000,551583000,551583000,3099418000,3099418000,2065049000,838750000,838750000,6554800000,2226119000,22732457000,14741004000,6210769000,1247548000,24958576000,31513376000,4233364000,1515113000,2718251000,47932000,4281296000,6524931000,4151630000,4151630000,10676561000,14957857000,3754580000,7585000,3746995000,11997077000,737839000,16489496000,66023000,16555519000,31513376000,439550000,119487000,21079000,23190000,213267000,-74424000,11816000,8254000,267621000,662649000,-61205000,-58795000,-58795000,-5538859000,-5538859000,3431000,-4917404000,-13705000,2230640000,444876000,1785764000,5.96046447753906e-08,999842000,999842000,3216777000,-1037978000,-1037978000,-3999000.00000001,-1041977000,714984000,6572863000,1008321000,0.5274,0.16378,0.17843,0.03919,0.02059,1.55422,1.53103,0.9035,0.20857,0.97236,0.93401,5.44939,24.71421,1.51126,0.02054,5,0.02428,0.03696,0.02112,8.42156,10.11135
"7","2011_Q4",33.984126984127,"Up",4445787000,-2262706000,2183081000,-1555917000,-1268411000,-287506000,627164000,-25979000,-41970000,601185000,568298000,-52890000,515408000,523428000,523428000,523428000,484368000,484368000,3007192000,3007192000,1970896000,852082000,852082000,6314538000,2151052000,22152834000,14433079000,6037607000,1150969000,24303886000,30618424000,4041411000,1467349000,2574062000,82284000,4123695000,5813406000,4119172000,4119172000,9932578000,14056273000,3808332000,7596000,3800736000,12503349000,185110000,16496791000,65360000,16562151000,30618424000,515408000,207692000,18177000,25650000,-53096000,21220000,41260000,-16270000,-99306000,699942000,-109721000,-109721000,-109721000,-30808000,-30808000,6854000,-121387000,-17156000,-638628000,953924000,-1592552000,-1592552000,9950000,9950000,-645834000,-67279000,-67279000,65000,-67214000,834856000,5895690000,724929000,0.49104,0.14107,0.11774,0.0316,0.0171,1.38496,1.53128,0.8487,0.19255,0.76162,0.7368,6.46887,24.00375,1.05481,0.02496,4,0.02034,0.02728,0.03278,6.48174,8.62824
"8","2012_Q1",38.3346774193548,"Up",4716644000,-2389527000,2327117000,-1569756000,-1287662000,-282094000,757361000,-15200000,-37074000,742161000,742148000,-178581000,563567000,570750000,570750000,570750000,5.37e+08,5.37e+08,3049900000,3049900000,1781400000,904100000,904100000,6272400000,2.101e+09,21576100000,14474300000,5840200000,739700000,23677100000,29949500000,4073600000,1422400000,2651200000,98400000,4.172e+09,5206800000,3598900000,3598900000,8805700000,12977700000,3884800000,7600000,3877200000,13056900000,-36900000,16904800000,6.7e+07,16971800000,29949500000,563567000,203698000,29643000,23984000,19349000,-135851000,148408000,9117000,-2325000,827226000,-119678000,-119678000,-119678000,-123713000,-123713000,13115000,-243554000,-17171000,-569862000,-562071000,-7791000,-7827000,52228000,52227999.9999998,-534805000,48867000,48867000,3745000,52612000,961059000,5305200000,1039311000,0.49338,0.16057,0.12101,0.03363,0.01906,1.82096,1.50345,0.76466,0.17714,0.82869,0.80221,6.84827,24.54471,1.50901,0.02493,4,0.02272,0.04017,0.03008,4.9614,6.29581
"9","2012_Q2",38.5012698412698,"Up",4316200000,-2080700000,2235500000,-1.515e+09,-1244900000,-270100000,720500000,-24300000,-38700000,696200000,696200000,-176200000,5.2e+08,612900000,612900000,612900000,1043283000,1043283000,2996457000,2996457000,1889079000,614404000,614404000,6543223000,2104811000,21772925000,14573310000,5861848000,787902000,23877736000,30420959000,3849458000,1465982000,2383476000,63108000,3912566000,4862716000,3754475000,3754475000,8617191000,12529757000,4023400000,7668000,4015732000,13652469000,147436000,17823305000,67897000,17891202000,30420959000,5.2e+08,202300000,14400000,23700000,-85300000,97700000,-76100000,23500000,-130400000,645300000,-117800000,-117800000,-117800000,-55700000,-55700000,2700000,166700000,-17300000,-364300000,-362900000,-1400000,-1400000,7.1e+07,7.1e+07,-310600000,501400000,501400000,4900000,506300000,922800000,4925824000,895900000,0.51793,0.16693,0.142,0.03426,0.02015,1.46174,1.67236,0.70033,0.16192,0.88633,0.8584,6.24179,25.77484,1.29559,0.02502,5,0.02372,0.03372,0.02823,4.20735,5.38868
"10","2012_Q3",38.7503174603175,"Up",4553500000,-2.198e+09,2355500000,-1562200000,-1278600000,-283600000,793300000,-19200000,-37200000,774100000,774100000,-173900000,600200000,600200000,600200000,600200000,1118240000,1118240000,3094250000,3094250000,1855811000,542194000,542194000,6610495000,2065451000,22494637000,14927272000,6176882000,837943000,24560088000,31170583000,3974294000,1511061000,2463233000,55407000,4029701000,4847620000,3925538000,3925538000,8773158000,12802859000,4141663000,7696000,4133967000,14235198000,-74945000.0000001,18301916000,65808000,18367724000,31170583000,600200000,207500000,10600000,26700000,226200000,-104400000,49500000,47900000,233200000,1008800000,-110700000,-110700000,-110700000,-889400000,-889400000,11400000,-988700000,-17400000,52100000,52900000.0000001,-8e+05,-800000.00000006,33300000,33300000,67999999.9999999,88100000.0000001,88100000.0000001,-13200000,74900000,1000800000,4903027000,1290200000,0.51729,0.17422,0.13181,0.03268,0.01926,2.14962,1.64044,0.69703,0.1573,0.86285,0.83956,6.54615,26.31098,1.8548,0.02501,6,0.02271,0.04744,0.02899,3.78176,4.77094
