"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",20.0875,"Up",2779300000,-2327700000,451600000,-2.98e+08,-2.98e+08,153600000,-70100000,-70300000,2e+05,83500000,73200000,-26500000,46700000,46700000,46700000,46700000,179300000,179300000,1390500000,1390500000,378500000,285400000,108200000,165100000,2233700000,132700000,3654100000,2207400000,1403700000,4.3e+07,3786800000,6020500000,1199800000,7.71e+08,376200000,13500000,231900000,1.35e+08,1445200000,3710900000,655400000,598300000,57100000,4366300000,5811500000,2212400000,-1998100000,-5300000,2.09e+08,2.09e+08,6020500000,46700000,52300000,5300000,-105200000,-9e+05,-11200000,-11200000,43700000,0,1500000,45200000,33100000,33100000,-9e+05,32200000,205900000,3724400000,1.16e+08,0.16249,0.05527,0.0168,0.22344,0.00776,2.48394,1.5456,27.80622,0.61862,0.32163,0.3179,19.14118,1.43939,0.7989,0.01018,0.02528,17.21758,23.08008
"2","2013_Q4",20.42265625,"Up",2864300000,-2405900000,458400000,-365500000,-365500000,92900000,-56400000,-56200000,-2e+05,36500000,-4800000,2600000,-2200000,-2200000,-2200000,-2200000,350200000,350200000,1310600000,1310600000,353800000,271100000,63100000,197100000,2285700000,129600000,3623500000,2222900000,1365500000,35100000,3753100000,6038800000,1069800000,672600000,318800000,170400000,256300000,173800000,1496500000,3239700000,642800000,599400000,43400000,3882500000,5.379e+09,2687500000,-2024400000,-3300000,659800000,659800000,6038800000,-2200000,5.2e+07,85700000,28200000,163700000,-10500000,-10500000,-348500000,424700000,-59300000,16900000,170100000,170100000,8e+05,170900000,144900000,3410100000,1.6e+08,0.16004,0.03243,-0.000770000000000003,-0.00332999999999997,-0.000360000000000002,-72.72727,1.52736,8.15247,0.5647,-0.0131900000000002,-0.01295,17.17206,3.95564,0.95923,-0.00047,0.03395,21.11732,32.93757
"3","2014_Q1",22.5406557377049,"Up",2713300000,-2.265e+09,448300000,-306300000,-306300000,1.42e+08,-50900000,-51500000,6e+05,91100000,82600000,-22600000,6e+07,6e+07,6e+07,6e+07,188100000,188100000,1.451e+09,1.451e+09,3.82e+08,192400000,46100000,146300000,2213500000,131100000,3.58e+09,2220300000,1.328e+09,31700000,3711100000,5924600000,1069700000,662800000,368800000,45400000,287500000,192700000,1402600000,3205800000,604500000,563500000,4.1e+07,3810300000,5212900000,2689800000,-1971800000,-6300000,711700000,711700000,5924600000,6e+07,51900000,-13300000,-103100000,-4500000,-16600000,-16600000,-165400000,-1e+05,31900000,-140900000,-1.62e+08,-1.62e+08,-1e+05,-162100000,193900000,3251200000,96800000,0.16522,0.05233,0.02211,0.08431,0.01013,1.61333,1.57814,7.32457,0.54876,0.35461,0.34904,16.03605,4.20626,0.5721,0.01473,0.02119,15.79732,21.57113
"4","2014_Q2",26.7995238095238,"Up",2652300000,-2227100000,425200000,-289400000,-289400000,135800000,-49600000,-50100000,5e+05,86200000,80800000,-29900000,50900000,50900000,50900000,50900000,306700000,306700000,1.335e+09,1.335e+09,388400000,217800000,53300000,164500000,2247900000,129900000,3534700000,2219100000,1286600000,2.9e+07,3664600000,5912500000,1138600000,683700000,341300000,15400000,264500000,170900000,1418500000,3.157e+09,582200000,540800000,41400000,3739200000,5157700000,2693200000,-1928200000,-10200000,754800000,754800000,5912500000,50900000,5.2e+07,-11800000,155200000,246300000,-9300000,-30200000,-83400000,1e+05,-6399999.99999999,-9.7e+07,119100000,119100000,-5e+05,118600000,187800000,3172400000,363600000,0.16031,0.0512,0.01919,0.06744,0.00861,7.14341999999999,1.5847,6.8332,0.53656,0.30012,0.29541,15.63856,4.45047,2.14387,0.01291,0.08063,15.25932,21.10236
"5","2014_Q3",28.9159375,"Up",3.106e+09,-2609100000,496900000,-308700000,-308700000,188200000,-48400000,-48500000,1e+05,139800000,137200000,-50600000,86600000,86600000,86600000,86600000,227600000,227600000,1526100000,1526100000,449600000,2.12e+08,52400000,159600000,2415300000,129800000,3500200000,2220100000,1.247e+09,33100000,3.63e+09,6045300000,1266400000,809900000,408900000,15400000,247600000,169700000,1529400000,3110600000,560500000,517900000,42600000,3671100000,5200500000,2700200000,-1848900000,-6500000,844800000,844800000,6045300000,86600000,5.2e+07,-13500000,-195500000,-70400000,-11700000,-11700000,-48100000,2700000,5.5e+07,2300000,-79800000,-79800000,7e+05,-79100000,240200000,3.126e+09,83600000,0.15998,0.06059,0.02788,0.10251,0.01433,0.96536,1.57925,6.15589,0.5171,0.50881,0.50145,18.24912,4.96357,0.49119,0.02072,0.01845,12.06661,15.40064
"6","2014_Q4",29.6275,"Up",3266100000,-2758800000,507300000,-322600000,-322600000,184700000,-49300000,-50100000,8e+05,135400000,89600000,-3.4e+07,55600000,55600000,55600000,55600000,357800000,357800000,1473200000,1473200000,423500000,261700000,86300000,175400000,2516200000,131700000,3459500000,2218600000,1.207e+09,33900000,3591200000,6107400000,1231900000,777900000,403600000,15400000,280300000,1.78e+08,1527600000,3146300000,539500000,495400000,44100000,3685800000,5213400000,2706300000,-1800600000,-11700000,8.94e+08,8.94e+08,6107400000,55600000,51900000,28600000,38500000,174600000,-13400000,-14100000,-4e+06,2e+06,-19700000,-2.9e+07,131500000,131500000,-1300000,130200000,236600000,3161700000,295700000,0.15532,0.05655,0.01702,0.06219,0.0091,5.31835,1.64716,5.83154,0.51768,0.32534,0.32139,19.11118,5.23113,1.73025,0.01369,0.06435,11.8508,15.18083
"7","2015_Q1",33.4244262295082,"Up",3050100000,-2558200000,491900000,-327600000,-327600000,164300000,-47300000,-48600000,1300000,1.17e+08,80100000,-28300000,51800000,51800000,51800000,51800000,344500000,344500000,1561100000,1561100000,337500000,210300000,54700000,155600000,2453400000,137200000,3398600000,2217600000,1168800000,12200000,3622500000,6075900000,1194300000,7.04e+08,462200000,15400000,258300000,1.77e+08,1.468e+09,3150600000,520800000,4.75e+08,45800000,3671400000,5139400000,2713600000,-1760500000,-16600000,936500000,936500000,6075900000,51800000,5.2e+07,20700000,-4e+07,84500000,-20600000,-2.2e+07,-3900000,2300000,-61800000,-75100000,-12600000,-12600000,-7e+05,-13300000,216300000,3.166e+09,1.84e+08,0.16127,0.05387,0.01698,0.05531,0.00853,3.55212,1.67125,5.48788,0.52108,0.30169,0.29908,17.76412,5.45428,1.07164,0.01373,0.0398,13.04438,17.17285
"8","2015_Q2",34.3119047619048,"Up",2755200000,-2298700000,456500000,-304900000,-304900000,151600000,-40300000,-44800000,4500000,111300000,8.7e+07,-32300000,54700000,54700000,54700000,54700000,447400000,447400000,1448900000,1448900000,3.57e+08,232600000,58500000,174100000,2485900000,135100000,3380900000,2215200000,1128800000,36900000,3602700000,6088600000,1151800000,695100000,392100000,15400000,258400000,176100000,1425600000,3190800000,496700000,4.5e+08,46700000,3687500000,5113100000,2720600000,-1717500000,-27600000,975500000,975500000,6088600000,54700000,52500000,5200000,65400000,177800000,-1e+07,-10500000,-4200000,2200000,-4.9e+07,-62700000,104600000,104600000,-1700000,102900000,204100000,3206200000,291800000,0.16569,0.05502,0.01985,0.05607,0.00898,5.33455,1.74376,5.24152,0.52659,0.31784,0.31527,16.0093,5.66822,1.69553,0.01419,0.06237,13.5169,18.19789
"9","2015_Q3",34.87765625,"Up",3.314e+09,-2779500000,534500000,-328600000,-328600000,205900000,-33800000,-37800000,4e+06,172100000,172100000,-63900000,108200000,108200000,108200000,108200000,335700000,335700000,1712500000,1712500000,436200000,2.3e+08,41300000,188700000,2714400000,134200000,3307200000,2215600000,1089400000,2200000,3536800000,6251200000,1375400000,853900000,481500000,15400000,234800000,178300000,1625600000,3154200000,475600000,428200000,47400000,3629800000,5255400000,2731200000,-1712500000,-22900000,995800000,995800000,6251200000,108200000,52600000,-16300000,-223200000,-78700000,-12900000,-12900000,-3800000,-88700000,83600000,-20400000,-1.12e+08,-1.12e+08,3e+05,-111700000,258500000,3169600000,86300000,0.16129,0.06213,0.03265,0.10866,0.01731,0.7976,1.66978,5.27757,0.50704,0.63275,0.62725,19.38012,5.82339,0.50468,0.02579,0.0186,10.96286,13.76348
"10","2015_Q4",40.1771875,"Up",3501100000,-2933900000,567200000,-362600000,-362600000,204600000,-56500000,-38500000,-1.8e+07,148100000,246200000,-95300000,150900000,150900000,150900000,150900000,97500000,97500000,1.86e+09,1.86e+09,411400000,3.66e+08,135400000,230600000,2734900000,154400000,3852200000,2517400000,1325400000,9400000,4006600000,6741500000,1504500000,1012700000,472600000,27500000,339900000,213500000,1871900000,3240300000,553600000,495900000,57700000,3793900000,5665800000,2795600000,-1674600000,-45300000,1075700000,1075700000,6741500000,150900000,59900000,-55700000,40700000,195800000,-2.1e+07,-284800000,-18400000,-98600000,-18400000,-146800000,-235800000,-235800000,-2400000,-238200000,264500000,3267800000,379500000,0.16201,0.05844,0.0431,0.14028,0.02238,2.51491,1.46103,5.26708,0.48473,0.88974,0.88246,20.64328,6.34257,2.23762,0.03314,0.07749,11.98601,15.49511
