"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.1119047619048,"Up",425800000,-52300000,-52300000,373500000,-355400000,-233900000,-183900000,-5e+07,-121500000,18100000,23108376.9163913,23108376.9163913,18100000,-19400000,-12700000,-32100000,-32100000,-32100000,-32100000,958900000,880500000,78400000,228600000,228600000,114700000,67700000,1302200000,120700000,120700000,8.39e+08,1.05e+08,520700000,88300000,1.25e+08,967300000,2269500000,226600000,6.5e+07,19100000,142500000,455200000,453100000,681800000,259200000,80900000,120500000,57800000,259200000,9.41e+08,1128800000,209400000,-9700000,1328500000,1328500000,2269500000,-32100000,2.7e+07,61600000,2.3e+07,38600000,-29300000,-29300000,27200000,-13600000,-13600000,-14900000,11700000,-26600000,-1e+07,-38500000,25400000,25400000,-533884391.357484,-24600000,-35900000,-35900000,-1200000,-37100000,45100000,0,14900000,0.87717,0.04251,-0.07539,-0.02416,-0.01414,-0.46417,1.90994,0.70832,0,-0.14135,-0.14135,1.87494,5.84985,0.06561,-0.02022,0.00938,-21.26164,-52.9779
"2","2010_Q3",28.81921875,"Down",414900000,-50100000,-50100000,364800000,-335800000,-225900000,-176400000,-49500000,-109900000,2.9e+07,10700000,10700000,39700000,13300000,-2900000,10400000,10400000,10400000,10400000,936400000,668500000,267900000,223900000,223900000,1.07e+08,58700000,1267300000,118300000,118300000,833200000,96700000,525500000,92700000,118300000,1043800000,2311100000,237300000,56700000,17900000,162700000,424400000,424400000,661700000,264300000,77500000,122500000,64300000,264300000,9.26e+08,1166600000,219900000,-1400000,1385100000,1385100000,2311100000,10400000,28500000,44400000,21400000,2.3e+07,-3.6e+07,-3.6e+07,47300000,-10700000,-10700000,-267600000,4e+06,-271600000,-1.86264514923096e-09,-278300000,18700000,18700000,-184761463.785828,16600000,-214400000,-214400000,2400000,-2.12e+08,57500000,0,13700000,0.87925,0.0699,0.02507,0.00751000000000001,0.0045,1.31731,1.91522,0.66854,0,0.04543,0.04477,1.81258,6.05111,0.05985,0.00631,0.00831,-16.28522,-32.28966
"3","2010_Q4",35.805625,"Up",416900000,-4.5e+07,-4.5e+07,371900000,-340700000,-231400000,-180300000,-51100000,-109300000,31200000,5800000,5800000,3.7e+07,32100000,-2500000,29600000,29600000,29600000,29600000,961600000,698500000,263100000,215700000,215700000,109800000,6e+07,1287100000,111900000,111900000,824400000,88900000,530500000,92700000,112300000,1028300000,2315400000,226100000,6e+07,9800000,156300000,401200000,401200000,627300000,256400000,68300000,123200000,64900000,256400000,883700000,1194200000,233800000,3700000,1431700000,1431700000,2315400000,29600000,28900000,35200000,30300000,4900000,-4.7e+07,-4.7e+07,46700000,-5900000,-5900000,7200000,118900000,-111700000,0,-2300000,-1.6e+07,23400000,-39400000,-1.6e+07,28400000,28400000,1600000,3e+07,60100000,0,9700000,0.89206,0.07484,0.071,0.02067,0.01278,0.3277,2.05181,0.61724,0,0.12892,0.12709,1.81577,6.23563,0.04225,0.01753,0.00575,-16,-30.82051
"4","2011_Q1",41.4788709677419,"Up",456100000,-44400000,-44400000,411700000,-355200000,-238400000,-191300000,-47100000,-116800000,56500000,2600000,2600000,59100000,58700000,-8600000,50100000,50100000,50100000,50100000,1000600000,838700000,161900000,277400000,277400000,101600000,57400000,1379600000,101600000,101600000,840400000,8.8e+07,542900000,101900000,107600000,1067600000,2447200000,259400000,67800000,8400000,183200000,444600000,444600000,7.04e+08,269700000,71900000,127200000,70600000,269700000,973700000,1204300000,272700000,-3500000,1473500000,1473500000,2447200000,50100000,27100000,8100000,18900000,2700000,40300000,83300000,125600000,-1500000,-1500000,61500000,220500000,-1.59e+08,-1400000,36100000,-21300000,2500000,-23800000,-21300000,140400000,140400000,-2e+05,140200000,83600000,-1.4210854715202e-14,1.31e+08,0.90265,0.12388,0.10984,0.034,0.02047,2.61477,1.95966,0.66081,-3.30872245021211e-24,0.21859,0.2122,1.98997,6.42888,0.57155,0.02874,0.07515,-11.9689,-17.70973
"5","2011_Q2",41.7880952380952,"Up",474600000,-51300000,-51300000,423300000,-365400000,-238200000,-186500000,-51700000,-127200000,57900000,-3400000,-3400000,54500000,47400000,-10500000,36900000,36900000,36900000,36900000,1059800000,938100000,121700000,218100000,218100000,116100000,72300000,1.394e+09,95500000,95500000,832700000,80100000,540300000,112400000,99900000,1107700000,2501700000,240400000,90400000,15300000,134700000,470600000,470600000,7.11e+08,276600000,73100000,131100000,72400000,276600000,987600000,1237600000,277600000,-1100000,1514100000,1514100000,2501700000,36900000,26700000,31400000,24300000,7100000,44100000,44100000,139100000,-5800000,-5800000,-10700000,123800000,-134500000,95591.2018305883,-16500000,-22600000,36200000,-58800000,-22600000,1e+08,1e+08,-6e+05,99400000,84600000,0,133400000,0.89191,0.122,0.07775,0.02437,0.01475,3.61518,1.96062,0.65227,0,0.16114,0.15729,2.07249,6.61179,0.58253,0.02061,0.0745,-12.52719,-18.30397
"6","2011_Q3",31.0153125,"Down",472800000,-48400000,-48400000,424400000,-342700000,-223400000,-177500000,-45900000,-119300000,81700000,1e+05,1e+05,81800000,79900000,-2e+07,59900000,59900000,59900000,59900000,1086600000,8.5e+08,236600000,2.31e+08,2.31e+08,99800000,56200000,1417400000,88500000,88500000,8.35e+08,73600000,545700000,113100000,102600000,1107600000,2.525e+09,268900000,7.9e+07,2.3e+07,166900000,454200000,454200000,723100000,276100000,71900000,135100000,69100000,276100000,999200000,1225100000,303600000,-2900000,1525800000,1525800000,2.525e+09,59900000,26300000,22900000,2.1e+07,1900000,2400000,2399999.99999999,111500000,-5300000,-5300000,-119400000,64800000,-184200000,-5e+05,-133700000,-66500000,3900000.00000001,-70400000,-66500000,-88700000,-88700000,6e+05,-88100000,1.08e+08,0,125100000,0.89763,0.1728,0.12669,0.03926,0.02372,2.08848,1.96017,0.65487,0,0.26272,0.25555,2.07368,6.69211,0.54868,0.03324,0.06943,-10.06111,-13.29988
"7","2011_Q4",32.1115873015873,"Up",476700000,-48500000,-48500000,428200000,-3.59e+08,-236200000,-185100000,-51100000,-122800000,69200000,2500000,2500000,71700000,71700000,-18100000,53600000,53600000,53600000,53600000,1136800000,904300000,232500000,240100000,240100000,93900000,49200000,1470800000,84800000,84800000,825700000,65300000,549700000,107700000,1.03e+08,1110300000,2581100000,304700000,86100000,28300000,190300000,4.3e+08,4.3e+08,734700000,290300000,77100000,139200000,7.4e+07,290300000,1.025e+09,1242100000,3.18e+08,-4e+06,1556100000,1556100000,2581100000,53600000,26600000,1.7e+07,1.7e+07,0,17100000,17100000,114300000,-7e+06,-7e+06,-8500000,98600000,-107100000,-3500000,-1.9e+07,-38600000,36300000,-74900000,-38600000,56700000,56700000,-2400000,54300000,95800000,0,1.24e+08,0.89826,0.14516,0.11244,0.03445,0.02077,2.31343,2.00191,0.6587,0,0.23644,0.23183,2.10278,6.86414,0.54698,0.02903,0.06716,-11.86639,-16.42775
"8","2012_Q1",37.146935483871,"Up",527700000,-48400000,-48400000,479300000,-405900000,-2.79e+08,-226900000,-52100000,-126900000,73400000,1400000,1400000,74800000,7.3e+07,-11400000,61600000,61600000,61600000,61600000,1274300000,1075100000,199200000,318400000,318400000,121600000,64800000,1714300000,84500000,84500000,796200000,57200000,554100000,90700000,94200000,1073300000,2787600000,373600000,76800000,28600000,268200000,496200000,496200000,869800000,308500000,91700000,139100000,77700000,308500000,1178300000,1267200000,342700000,-6e+05,1609300000,1609300000,2787600000,61600000,25800000,16100000,18400000,-2e+05,72400000,27400000,175900000,-10200000,-10200000,42100000,123500000,-81400000,1.86264514923096e-09,26900000,-31700000,44500000,-76200000,-31700000,171100000,171100000,-3e+05,170800000,99200000,0,172800000,0.90828,0.13909,0.11673,0.03828,0.0221,2.80519,1.97091,0.73218,0,0.27172,0.26036,2.32775,7.09881,0.76224,0.03212,0.0901,-12.84577,-17.36104
"9","2012_Q2",36.0542857142857,"Down",528300000,-54600000,-54600000,473700000,-395100000,-258500000,-201900000,-56600000,-136600000,78600000,5900000,5900000,84500000,84500000,-15200000,69300000,69300000,69300000,69300000,1349800000,1091400000,258400000,2.71e+08,2.71e+08,111600000,72500000,1732400000,99800000,99800000,894100000,62800000,605700000,102700000,122900000,1169800000,2902200000,300600000,101700000,24200000,174700000,518900000,518900000,819500000,331500000,103500000,1.44e+08,8.4e+07,331500000,1.151e+09,1363500000,382900000,4800000,1751200000,1751200000,2902200000,69300000,24500000,25900000,25900000,0,8700000,8700000,128400000,-23200000,-23200000,-38600000,131100000,-169700000,-14500000,-152700000,42700000,111300000,-68600000,42700000,18400000,18400000,-2100000,16300000,103100000,0,103800000,0.89665,0.14878,0.13118,0.03957,0.02388,1.49784,2.11397,0.65726,0,0.30368,0.29228,2.31507,7.67397,0.45486,0.03327,0.04984,-13.09214,-17.17303
"10","2012_Q3",33.0674603174603,"Down",546300000,-57400000,-57400000,488900000,-395200000,-2.56e+08,-2.01e+08,-5.5e+07,-139200000,93700000,-8e+05,-8e+05,92900000,94200000,-2.3e+07,71200000,71200000,71200000,71200000,1373300000,1131500000,241800000,2.97e+08,2.97e+08,108500000,73200000,1778800000,105200000,105200000,910500000,69400000,607400000,118800000,114900000,1194900000,2973700000,301800000,89800000,15300000,196700000,525300000,525300000,827100000,357500000,117100000,157400000,8.3e+07,357500000,1184600000,1356500000,418300000,14300000,1789100000,1789100000,2973700000,71200000,29700000,12500000,27300000,-14800000,18800000,18800000,132200000,-16600000,-16600000,13100000,151200000,-138100000,-6e+05,-22100000,-82500000,18300000,-100800000,-6.9e+07,41100000,41100000,-1e+06,40100000,123400000,-5.82076609134674e-11,148600000,0.89493,0.17152,0.13033,0.0398,0.02394,2.08708,2.15065,0.66212,-6.7762635780344e-21,0.31037,0.3008,2.38143,7.79904,0.64778,0.03317,0.06923,-11.12885,-14.65635
