"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"1","2010_Q2",36.5661904761905,"Up",1454100000,-1.076e+09,378100000,-298300000,-269200000,-29100000,79800000,-1.4e+07,-15100000,1100000,65800000,65800000,-20800000,4.5e+07,4.5e+07,-3e+05,44700000,44700000,-742340767.197628,-742340767.197628,189285111.996069,189285111.996069,351115572.624822,117322114.599641,47103434.3301246,-84617967.9770958,1088294000.94706,1674834412.47516,-586540411.528107,2019082234.84118,879589314.404581,1159791888.82736,-45816649.9622951,3107376235.78824,3022758267.81114,-241045445.177546,-270651127.165064,52117014.9700623,-324128188.836489,-534676756.10861,398208177.955647,562545319.82271,71988379.6455285,462296806.003453,28260134.1737289,960753497.778357,426076741.669747,1997809303.86933,-3754727.06567178,2596655626.06636,25900.0750302766,2596681526.14139,3022758267.81114,4.5e+07,29100000,1200000,-129600000,-54300000,-23100000,1800000,-20600000,-7400000,79300000,8800000,2300000,8.3e+07,8100000,8100000,1200000,9300000,108900000,0,-2.3e+07,0.26002,0.05488,0.03074,-0.51454,5.80074728357789,0.206092988396552,0.0945115145905661,0.60861,0.6065,19.79833,35.4364709938141,-0.31316,0.10075,0.16555
"2","2010_Q3",30.505625,"Down",1620600000,-1203800000,416800000,-302200000,-272200000,-3e+07,114600000,-17900000,-15600000,-2300000,96700000,96700000,-33900000,62800000,62800000,-1300000,61500000,61500000,47403000,47403000,736404000,736404000,896660000,41866000,34836000,1722333000,982888000,1560411000,-577523000,1913299000,711864000,1081319000,104139000,2896187000,4618520000,451551000,291704000,159847000,86966000,538517000,923446000,431670000,69016000,334062000,28592000,1355116000,1893633000,2114688000,-2565000,2720774000,4113000,2724887000,4618520000,62800000,3e+07,4200000,-78200000,18800000,-16300000,2100000,-14200000,-7400000,-5199999.99999994,4100000,1e+05,-8400000,-3800000,-3800000,-1100000,-4900000,144600000,1010412000,8.4e+07,0.25719,0.07071,0.03795,1.36585,3.19829,0.69494,0.21877,0.82862,0.82531,21.83504,36.65815,1.13177,0.0997,0.12033
"3","2010_Q4",35.878125,"Up",1653800000,-1257600000,396200000,-3.08e+08,-278200000,-29800000,88200000,-14700000,-15300000,6e+05,73500000,73500000,-24200000,49300000,49300000,-6e+05,48700000,48700000,186463000,186463000,761955000,761955000,921225000,51514000,38181000,1921157000,985360000,1570943000,-585583000,1911006000,707664000,1082256000,105445000,2896366000,4817523000,508118000,326359000,181759000,150816000,658934000,944231000,432908000,71572000,333029000,28307000,1377139000,2036073000,2156322000,2966000,2775588000,5862000,2781450000,4817523000,49300000,29800000,2900000,1200000,83200000,-26400000,0,-2.6e+07,-7400000,8.4e+07,4500000,1e+05,81200000,138400000,138400000,7e+05,139100000,1.18e+08,1095047000,1.17e+08,0.23957,0.05333,0.02945,2.40246,2.91555,0.73202,0.2273,0.65552,0.65457,22.26076,37.36044,1.57486,0.09961,0.15195
"4","2011_Q1",42.5717741935484,"Up",1584300000,-1190500000,393800000,-315700000,-2.84e+08,-31700000,78100000,-17600000,-15200000,-2400000,60500000,60500000,-19700000,40800000,40800000,-1300000,39500000,39500000,72900000,72900000,6.97e+08,6.97e+08,860200000,70800000,42500000,1700900000,1025300000,1629500000,-604200000,1942700000,755800000,1109600000,5.9e+07,2.968e+09,4668900000,412800000,2.45e+08,167800000,86200000,508600000,855100000,475100000,74700000,372600000,27800000,1330200000,1838800000,2188700000,10300000,2823700000,6400000,2830100000,4668900000,40800000,31700000,52600000,41300000,166400000,-45600000,42800000,-1.01e+08,-7500000,-176500000,3800000,-1e+05,-180300000,-114900000,-114900000,1300000,-113600000,109800000,941300000,125200000,0.24856,0.0493,0.02493,3.16962,3.34428,0.64973,0.20161,0.53213,0.5304,21.34299,38.03964,1.68664,0.10104,0.18987
"5","2011_Q2",41.0230158730159,"Down",1912700000,-1406400000,506300000,-351500000,-318500000,-3.3e+07,154800000,-14400000,-14600000,2e+05,140400000,140400000,-46800000,93600000,93600000,-1300000,92300000,92300000,76800000,76800000,913500000,913500000,1089600000,36400000,36400000,2116300000,1036100000,1662200000,-626100000,1936100000,749400000,1111300000,57300000,2972200000,5088500000,589100000,405100000,165200000,96900000,695600000,990500000,473600000,74200000,3.72e+08,27400000,1464100000,2159700000,2271500000,1.7e+07,2921900000,6900000,2928800000,5088500000,93600000,3.3e+07,4800000,-232800000,-101400000,-35800000,1e+05,-34800000,-9e+06,1.45e+08,3900000,-8e+05,139100000,2900000,2900000,1e+06,3900000,187800000,1087400000,-3.4e+07,0.2647,0.08093,0.04826,-0.36836,3.04241,0.7374,0.2137,1.23694,1.23028,25.63261,39.15717,-0.45564,0.12061,0.09751
"6","2011_Q3",33.3528125,"Down",2049500000,-1538700000,510800000,-345200000,-313700000,-31500000,165600000,-11400000,-15500000,4100000,154200000,154200000,-5.4e+07,100200000,100200000,-1500000,98700000,98700000,9.2e+07,9.2e+07,958100000,958100000,1160400000,46100000,46100000,2256600000,1038700000,1.678e+09,-639300000,1923200000,741300000,1110800000,54600000,2961900000,5218500000,593400000,398800000,176300000,99600000,702600000,1012800000,472500000,74300000,3.71e+08,27200000,1485300000,2187900000,2360700000,16800000,3022400000,8200000,3030600000,5218500000,100200000,31500000,1199999.99999999,-118700000,14200000,-30500000,3900000,-20200000,-8900000,24700000,5500000,-5e+05,20800000,14800000,14800000,4e+05,15200000,197100000,1112400000,101900000,0.24923,0.0808,0.04816,1.03242,3.21178,0.72194,0.21316,1.31998,1.31336,27.40936,40.42062,1.36278,0.11903,0.09017
"7","2011_Q4",34.7930158730159,"Up",2138600000,-1644700000,493900000,-353800000,-319600000,-34200000,140100000,-21500000,-1.5e+07,-6500000,118600000,118600000,-32300000,86300000,86300000,-1400000,84900000,84900000,91100000,91100000,1019500000,1019500000,1276600000,42500000,42500000,2429700000,1087600000,1746300000,-658700000,2210700000,909800000,1231600000,52500000,3298300000,5.728e+09,620700000,412700000,203300000,14200000,644500000,1463900000,526900000,7.2e+07,425700000,29200000,1990800000,2635300000,2437300000,-3300000,3084700000,8e+06,3092700000,5.728e+09,86300000,34200000,5100000,-24900000,100700000,-46400000,3400000,-347700000,-9e+06,2.61e+08,2e+05,-8800000,243400000,-3600000,-3600000,2700000,-9e+05,174300000,1478100000,135300000,0.23095,0.06551,0.0397,1.59364,3.7699,0.8521,0.25805,1.13462,1.13256,28.5806,41.22444,1.80817,0.12028,0.10601
"8","2012_Q1",43.3761290322581,"Up",2033900000,-1558900000,4.75e+08,-362700000,-328300000,-34400000,112300000,-13900000,-14700000,799999.999999998,98400000,98400000,-29300000,69100000,69100000,-1200000,67900000,67900000,84600000,84600000,896200000,896200000,1212800000,81100000,47800000,2274700000,1105500000,1785500000,-6.8e+08,2225700000,895900000,1244300000,69300000,3331200000,5605900000,564200000,335200000,207100000,12200000,576400000,1.319e+09,558500000,88600000,439800000,30100000,1877500000,2453900000,2495600000,-8800000,3143900000,8100000,3.152e+09,5605900000,69100000,34400000,-12100000,129900000,221300000,-43700000,-21300000,-71900000,-9e+06,-1.47e+08,1500000,-1200000,-155700000,-6300000,-6300000,-2e+05,-6500000,146700000,1331200000,262200000,0.23354,0.05521,0.03338,3.86156,3.94639,0.77852,0.23746,0.90713,0.90498,27.17248,42.00185,3.50294,0.12024,0.13255
"9","2012_Q2",40.5220634920635,"Down",2288300000,-1710500000,577800000,-393200000,-357700000,-35500000,184600000,-8e+06,-14500000,6500000,176600000,176600000,-58700000,117900000,117900000,-1700000,116200000,116200000,7e+07,7e+07,1044200000,1044200000,1399400000,72300000,38900000,2585900000,1120600000,1822300000,-701700000,2225300000,890900000,1249600000,68400000,3345900000,5931800000,663600000,433700000,180300000,12100000,675700000,1.419e+09,562600000,91500000,442100000,2.9e+07,1981600000,2657300000,2599800000,-1e+06,3265400000,9100000,3274500000,5931800000,117900000,35500000,2300000,-218900000,-63200000,-34600000,2800000,-41600000,-11200000,98400000,4600000,-8e+05,9.1e+07,-13800000,-13800000,-8e+05,-14600000,220100000,1431100000,25300000,0.2525,0.08067,0.05078,0.21773,3.82699,0.81151,0.24126,1.55094,1.54057,30.54223,43.58371,0.33768,0.14949,0.09639
"10","2012_Q3",41.4512698412698,"Up",2209700000,-1640300000,569400000,-383200000,-346700000,-36500000,186200000,-18500000,-1.5e+07,-3500000,167700000,167700000,-57500000,110200000,110200000,-1400000,108800000,108800000,93600000,93600000,1013500000,1013500000,1.424e+09,77100000,39700000,2608200000,1151800000,1878500000,-726700000,2275300000,915600000,1277600000,65400000,3427100000,6035300000,563200000,375200000,1.88e+08,12200000,575400000,1.519e+09,565700000,88900000,449400000,27400000,2084700000,2660100000,2697500000,-10400000,3365400000,9800000,3375200000,6035300000,110200000,36500000,6800000,-69100000,84400000.0000001,-52200000,-3800000,-125700000,-11300000,70700000,5100000,-4e+05,64100000,22800000,22800000,8e+05,23600000,222700000,1531200000,158900000,0.25768,0.08426,0.04924,1.46048,4.53285,0.78813,0.25371,1.44898,1.44084,29.42845,44.81989,2.11621,0.15049,0.10386
