"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.0733333333333,"Down",412448000,-196003000,216445000,-143989000,-105789000,-24621000,-13579000,72456000,-30876000,-31619000,743000,41580000,-487000,41093000,-14998000,26095000,26095000,26095000,26095000,345042000,345042000,263226000,263226000,194337000,76237000,26357000,322397047.089605,878842000,263679000,4539703000,2364103000,2112714000,62886000,4803382000,5682224000,190752000,48818000,141934000,31226000,116254000,106754000,338232000,1482371000,1104054000,11390000,1033718000,58946000,2586425000,2924657000,5190436000,-2438162000,6811000,2757567000,2757567000,5682224000,26095000,73991000,23634000,8121000,-8108000,23621000,2307000,663000,-12959000,2142000,12461000,126027000,-5323000,-6073000,-5573000,-9878000,-15326000,-56486000,1906000,1906000,-4234000,-58814000,51887000,51887000,-31000,51856000,146447000,1513597000,158429000,0.52478,0.17567,0.06327,0.00946,0.00459,6.07124,2.59834,1.06059,0.26637,0.10113,0.10006,1.59849,10.68725,0.61401,23.0884933177044,0.00485,0.02947,7.97937,16.12779
"2","2010_Q3",14.89015625,"Down",418112000,-204473000,213639000,-139029000,-98713000,-26739000,-13577000,74610000,-31143000,-31920000,777000,43467000,-12709000,30758000,-10140000,20618000,20618000,20618000,20618000,431315000,431315000,266806000,266806000,195676000,107151000,31856000,145924523.544802,1000948000,256918000,4482008000,2307049000,2116483000,58476000,4738926000,5739874000,201727000,49690000,152037000,48293000,195870000,116370000,445890000,1410531000,1093479000,11545000,1023163000,58771000,2504010000,2949900000,5207327000,-2417544000,1709000,2789974000,2789974000,5739874000,20618000,73798000,-5896000,8454000,-36129000,21779000,6112000,-7750000,-2684000,985000,15561000,94632000,64031000,-6719000,-6719000,-5737000,55780000,-72889000,8317000,8317000,635000,-63937000,86475000,86475000,-202000,86273000,148408000,1458824000,228691000,0.51096,0.17845,0.04931,0.00739,0.00359,11.09181,2.24483,1.05732,0.25416,0.07971,0.07885,1.61649,10.78651,0.88416,14.0491629542802,0.00386,0.04281,6.92354,13.77173
"3","2010_Q4",16.91640625,"Up",420693000,-210804000,209889000,-131115000,-91851000,-25691000,-13573000,78774000,-33027000,-33332000,305000,45747000,0,45747000,-18299000,27448000,27448000,27448000,27448000,491368000,491368000,261518000,261518000,188202000,107483000,32954000,46134674.5149342,1048571000,254883000,4427416000,2249964000,2128411000,49041000,4682299000,5730870000,196925000,52249000,144676000,1346000,195668000,116168000,393939000,1428688000,1087888000,10070000,1018196000,59622000,2516576000,2910515000,5216040000,-2390096000,-4071000,2820355000,2820355000,5730870000,27448000,74536000,27564000,7949000,-4067000,23682000,-12266000,2374000,4421000,2937000,-21998000,117282000,-6644000,-7394000,-7394000,-3621000,-10511000,-47296000,1071000,1071000,222000,-46003000,60768000,60768000,-715000,60053000,153310000,1430034000,152699000,0.49891,0.18725,0.06524,0.00973,0.00479,5.56321,2.66176,1.03197,0.24953,0.10593,0.10472,1.62363,10.8849,0.58933,8.61966518171209,0.00514,0.0286,6.12267,11.91594
"4","2011_Q1",20.3059677419355,"Up",428299000,-331634000,96665000,-140744000,-99361000,-27254000,-14129000,-44079000,-29882000,-28958000,-924000,-73961000,-98628000,-172589000,35615000,-136974000,-136974000,-136974000,-136974000,515625000,515625000,283103000,283103000,192482000,107671000,29977000,3944000,1098881000,251698000,4275255000,2118948000,2108847000,47460000,4526953000,5625834000,240534000,57480000,183054000,1362000,200016000,120516000,441912000,1447053000,1038320000,10011000,955611000,72698000,2485373000,2927285000,5226994000,-2527070000,143000,2698549000,2698549000,5625834000,-136974000,72443000,180863000,9636000,-73422000,244649000,2439000,-15498000,5975000,1087000,10875000,118771000,-9574000,-10324000,-8324000,-4082000,-96923000,-333000,1300000,1300000,212000,1179000,23027000,23027000,1230000,24257000,28364000,1448415000,-14386000,0.2257,-0.10292,-0.31981,-0.05076,-0.02435,0.105029999999999,2.48665,1.08476,0.25746,-0.52848,-0.54662,1.65247,10.41159,-0.0555,6,-0.02642,-0.00277,32.88641,-21.16178
"5","2011_Q2",21.1688888888889,"Up",432571000,-207837000,224734000,-151417000,-108364000,-28557000,-14496000,73317000,-29300000,-28502000,-798000,44017000,-31488000,12529000,-1589000,10940000,10940000,10940000,10940000,608036000,608036000,274437000,274437000,203513000,99214000,26834000,269000.000000002,1185200000,246443000,4233936000,2063563000,2117485000,52888000,4480379000,5665579000,234929000,63976000,170953000,1027000,200259000,120759000,436215000,1434132000,1041216000,10752000,956627000,73837000,2475348000,2911563000,5271775000,-2516130000,-111000,2754016000,2754016000,5665579000,10940000,73470000,44209000,10698000,-19815000,53326000,6702000,6465000,-12696000,6628000,6305000,135321000,-6637000,-7387000,-7387000,-30674000,-36332000,-335000,2944000,2944000,-8688000,-6079000,92910000,92910000,-499000,92411000,146787000,1435159000,148441000,0.51953,0.16949,0.02529,0.00397,0.00193,13.56865,2.71701,1.05721,0.25331,0.04214,0.04157,1.66614,10.60771,0.57175,5.39016740914396,0.00209,0.02838,5.63485,11.28146
"6","2011_Q3",17.37828125,"Down",438651000,-217964000,220687000,-154068000,-109581000,-29935000,-14552000,66619000,-26561000,-27725000,1164000,40058000,88769000,128827000,-46382000,82445000,82445000,82445000,82445000,572918000,572918000,285917000,285917000,217227000,82859000,27877000,12792000,1158921000,246681000,4430641000,2162787000,2215417000,52437000,4677322000,5836243000,276795000,60720000,216075000,688999.999999999,129296000,129296000,406780000,1451882000,1122145000,10290000,998647000,113208000,2574027000,2980807000,5281838000,-2433685000,8801000,2855436000,2855436000,5836243000,82445000,75735000,-45976000,8768000,16377000,-71121000,-30334000,-6118000,-12025000,-4057000,-8134000,81870000,2210000,-10290000,-7269000,-6947000,-122414000,-338000,10464000,10464000,-5119000,5007000,-35537000,-35537000,419000,-35118000,142354000,1452571000,160612000,0.5031,0.15187,0.18795,0.02887,0.01413,1.94811,2.84901,1.04391,0.24889,0.31609,0.31226,1.68179,10.94775,0.61579,5.99016740914396,0.01518,0.02958,6.17933,13.20424
"7","2011_Q4",16.3896825396825,"Down",451082000,-216521000,234561000,-156855000,-112736000,-29325000,-14794000,77706000,-29492000,-28188000,-1304000,48214000,-3790000,44424000,-8228000,36196000,36196000,36196000,36196000,613801000,613801000,292324000,292324000,232835000,68836000,27703000,14748335.5270314,1207796000,247592000,4481835000,2145120000,2286695000,50020000,4729427000,5937223000,341977000,51794000,290183000,347000,124814000,124814000,467138000,1470110000,1089682000,9832000,971067000,108783000,2559792000,3026930000,5300046000,-2397489000,9254000,2910293000,2910293000,5937223000,36196000,77153000,-4018000,7779000,-31908000,20111000,10593000,11773000,-10010000,-10932000,19762000,119924000,-7238000,-7238000,-7238000,-7617000,-86927000,-342000,10670000,10670000,-2941000,7387000,40384000,40384000,499000,40883000,154859000,1470457000,166442000,0.52,0.17227,0.08024,0.01244,0.0061,4.59835,2.58552,1.04008,0.24767,0.13827,0.1365,1.72311,11.11715,0.6358,7,0.00662,0.03043,5.53185,11.02432
"8","2012_Q1",20.4167741935484,"Up",467045000,-223846000,243199000,-158983000,-115612000,-28879000,-14492000,84216000,-31815000,-28571000,-3244000,52401000,-10795000,41606000,-14037000,27569000,27569000,27569000,27569000,712332000,712332000,318712000,318712000,230544000,81312000,31070000,10098000,1342900000,238666000,4427214000,2090807000,2290330000,46077000,4665880000,6008780000,388794000,63467000,325327000,-184031295.551243,120656000,120656000,509450000,1488580000,1073855000,9467000,957426000,106962000,2562435000,3071885000,5306338000,-2369920000,1995000,2936895000,2936895000,6008780000,27569000,78378000,13160000,8227000,-12761000,17694000,-198000.000000007,-29251000,2573000,10950000,15530000,118909000,-5891000,-5891000,-5891000,-7217000,-20914000,-346999.99999997,1326000,1326000,380000,1359000,99354000,99354000,-823000,98531000,162594000,1488580000,170542000,0.52072,0.18032,0.05903,0.00939,0.00459,6.18601,2.63598,1.04596,0.24773,0.10516,0.10408,1.7815,11.20251,0.65052,8,0.00501,0.03101,4.77415,9.21735
"9","2012_Q2",18.4193650793651,"Down",472711000,-223341000,249370000,-167139000,-123955000,-28342000,-14842000,82231000,-26855000,-28847000,1992000,55376000,-15472000,39904000,-19092000,20812000,20812000,20812000,20812000,793082000,793082000,324222000,324222000,241333000,78660000,29909000,9758000,1437297000,236692000,4372095000,2035906000,2288167000,48022000,4608787000,6046084000,389267000,62850000,326417000,-455187665.354218,122478000,122478000,511745000,1507533000,1063018000,11024000,944561000,107433000,2570551000,3082296000,5312777000,-2349108000,1637000,2963788000,2963788000,6046084000,20812000,77123000,17456000,8657000,-13106000,21905000,-3660000,-6616000,-11474000,-499000,14929000,111731000,-6790000,-6790000,-6790000,-17661000,-24601000,1512841220.3632,1627000,1627000,-7941000,-6314000,80816000,80816000,-66000,80750000,159354000,1507533000,167996000,0.52753,0.17396,0.04403,0.00702,0.00344,8.07207,2.80862,1.03999,0.24934,0.07922,0.07855,1.79932,11.2813,0.63946,8,0.00376,0.03036,4.48342,8.68834
"10","2012_Q3",19.5279365079365,"Up",471165000,-245055000,226110000,-166308000,-120382000,-29297000,-16629000,59802000,-26395000,-27922000,1527000,33407000,-92015000,-58608000,18335000,-40273000,-40273000,-40273000,-40273000,854561000,854561000,326290000,326290000,234372000,75808000,31165000,9774000,1491031000,232023000,4325202000,1977346000,2297451000,50405000,4557225000,6048256000,470211000,65843000,404368000,-627746087.381572,123611000,123611000,593822000,1527027000,947924000,12128000,871606000,64190000,2474951000,3068773000,5363711000,-2389381000,6671000,2979483000,2979483000,6048256000,-40273000,77041000,24979000,8949000,-89982000,106012000,39357000,-957000,-415000.000000002,2838000,37891000,101104000,5058000,-7442000,-7442000,-11447000,-6488999.99999994,3672106612.3673,18762000,18762000,-52574000,-33812000,60803000,60803000,676000,61479000,136843000,1527027000,162923000,0.4799,0.12692,-0.08548,-0.01352,-0.00666,-4.04546,2.51091,1.02997,0.25247,-0.15261,-0.15391,1.78539,11.29015,0.61736,4,-0.00738,0.02987,4.91414,11.24487
