"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.5206451612903,"Up",1079235000,-971628000,107607000,-84434000,-79100000,-5334000,23173000,-1660000,-2407000,747000,21513000,21513000,-8887000,12626000,12577000,12577000,12577000,21650000,21650000,577898000,577898000,160566000,50726000,67045000,760114000,62753000,31691000,1032337000,750944000,133477000,1126781000,1886895000,377094000,124371000,5029000,247694000,82889000,82889000,459983000,2.52e+08,349420000,43996000,305424000,601420000,1061403000,229676000,597722000,-1906000,825492000,825492000,1886895000,12626000,12577000,12756000,2444000,-48000,28258000,-6498000,-12138000,-7846000,-13993000,1958000,0,-19881000,-3761000,-3761000,-3761000,35929000,2.52e+08,38270000,0.09971,0.02147,0.01165,0.01524,0.00667,3.04286,1.65248,1.28578,0.13355,0.23228,0.22867,19.93158,15.24539,0.70678,0.1449,0.01431,0.02682,0.62384,6.41126,9.94045
"12","2013_Q1",17.8221666666667,"Up",1090036000,-968436000,121600000,-84832000,-79516000,-5316000,36768000,-1298000,-2318000,1020000,35470000,35483000,-7796000,27687000,27681000,27681000,27681000,43459000,43459000,561317000,561317000,144558000,50289000,50213000,749334000,59909000,32643000,1009272000,751610000,130914000,1101824000,1851158000,375625000,130410000,8450000,236765000,80192000,80192000,455817000,2.15e+08,329943000,27773000,302170000,544943000,1000760000,235180000,617372000,-2154000,850398000,850398000,1851158000,27687000,27681000,12341000,13703000,13012000,66820000,-2220000,-2580000,-7875000,-37007000,2445000,14000,-42423000,21817000,21817000,21817000,49109000,2.15e+08,67697000,0.11156,0.03373,0.02539,0.03255,0.01495,2.44561,1.64394,1.17681,0.11614,0.50874,0.50199,20.03338,15.62916,1.24418,0.14473,0.02548,0.04852,0.28449,3.49307,4.6655
"13","2013_Q2",18.8434375,"Up",1182123000,-1067879000,114244000,-94938000,-87749000,-7189000,19306000,-2115000,-3310000,1195000,17191000,17191000,-3809000,13382000,13382000,13382000,13382000,36426000,36426000,642870000,642870000,141182000,58687000,45216000,820478000,74232000,33254000,1160184000,869766000,127176000,1267670000,2088148000,378965000,131114000,4227000,243624000,80189000,80189000,459154000,4.23e+08,346531000,29418000,317113000,769531000,1228685000,239416000,622227000,-2180000,859463000,859463000,2088148000,13382000,13382000,15889000,3183000,-44963000,-12509000,-3987000,-191824000,-16054000,212609000,745000,0,197300000,-7033000,-7033000,-7033000,35195000,4.23e+08,-9946000,0.09664,0.01633,0.01132,0.01557,0.00641,-0.74324,1.78693,1.4296,0.20257,0.24543,0.24113,21.68039,15.76273,-0.18241,0.29443,0.01807,-0.00611,1.19967,10.98378,20.02352
"14","2013_Q3",21.1934375,"Up",1173577000,-1048221000,125356000,-91762000,-84451000,-7311000,33594000,-1885000,-2990000,1105000,31709000,31709000,-12391000,19318000,19318000,19318000,19318000,37906000,37906000,638355000,638355000,145315000,57597000,47928000,821576000,70396000,28576000,1155842000,863246000,126073000,1254814000,2076390000,393609000,132423000,6434000,254752000,82848000,82848000,476457000,3.84e+08,341200000,31286000,309914000,725200000,1201657000,243848000,633320000,-2435000,874733000,874733000,2076390000,19318000,19318000,15811000,4417000,8863000,48409000,-5913000,-5076000.00000006,-46000.0000000019,-43109000,1255000,0,-41900000,1433000,1433000,1433000,49405000,3.84e+08,64746000,0.10682,0.02863,0.01646,0.02208,0.0093,3.35159,1.72434,1.37374,0.18494,0.35332,0.34556,21.4646,15.99877,1.1842,0.000840000000000007,0.0121,0.04047,0.00237999999999983,7.00524,10.30226
"15","2013_Q4",23.00953125,"Up",1216800000,-1095700000,121100000,-92400000,-85400000,-7e+06,28700000,-1800000,-3400000,1600000,26900000,26900000,-10900000,1.6e+07,1.6e+07,1.6e+07,1.6e+07,38688000,38688000,658118000,658118000,148489000,57606000,49944000,845295000,72704000,30070000,1155334000,867779000,130902000,1258108000,2103403000,417374000,146539000,6668000,264167000,83779000,83779000,501153000,348481000,359529000,43336000,316193000,708010000,1209163000,255214000,641039000,-2013000,894240000,894240000,2103403000,1.6e+07,1.6e+07,15100000,-1600000,1.6e+07,45500000,-10300000,-9700000,-8200000,-34600000,7800000,0,-3.5e+07,8e+05,8e+05,8e+05,43800000,348481000,60400000,0.09952,0.02359,0.01315,0.01789,0.00761,3.775,1.6867,1.35217,0.16567,0.29144,0.28419,22.16393,16.28852,1.10018,0.14936,0.0151,0.0377,0.5125,7.0729,10.79418
"16","2014_Q1",23.3052459016393,"Up",855300000,-752300000,1.03e+08,-79300000,-7.3e+07,-6300000,23700000,-8e+05,-3200000,2400000,22900000,22900000,-9e+06,13900000,24200000,24200000,24200000,32600000,32600000,690800000,690800000,141200000,64700000,29400000,864600000,77200000,32300000,1145100000,872400000,128300000,1254600000,2119200000,423900000,157300000,1e+05,266500000,84600000,84600000,508500000,314900000,378300000,63500000,314800000,693200000,1201700000,262400000,656800000,-1700000,917500000,917500000,2119200000,13900000,24200000,12600000,18900000,-1600000,53900000,-1.1e+07,-19300000,-8600000,-35600000,3500000,-2.91038304567337e-11,-40700000,-6100000,-6100000,-6100000,36300000,314900000,32700000,0.12043,0.02771,0.02829,0.02638,0.01142,1.35124,1.70029,1.30975,0.14859,0.43604,0.42681,15.41081,16.53153,0.58919,0.15495,0.02036,0.0203,0.35537,7.77686,11.91139
"17","2014_Q2",22.8114285714286,"Down",1226500000,-1108500000,1.18e+08,-94100000,-87400000,-6700000,23900000,-1200000,-2700000,1500000,22700000,22700000,-9600000,13100000,13100000,13100000,13100000,34214000,34214000,715170000,715170000,165088000,68531000,44974000,914472000,79671000,31605000,1139463000,872439000,129431000,1250739000,2165211000,404562000,160672000,196000,243694000,84787000,84787000,489349000,367028000,380879000,67612000,313267000,747907000,1237256000,268871000,660957000,-1873000,927955000,927955000,2165211000,13100000,13100000,14300000,4500000,-70800000,-38900000,-9700000,-9500000,-8600000,57500000,2300000,-1200000,5e+07,1600000,1600000,1600000,38200000,367028000,-32700000,0.09621,0.01949,0.01068,0.01412,0.00605,-2.49618,1.86875,1.33331,0.16951,0.23519,0.22942,22.01975,16.65987,-0.58707,0.1544,0.01295,-0.01951,0.65649,8.71241,13.92527
"18","2014_Q3",22.206875,"Down",1231300000,-1103400000,127900000,-1e+08,-93300000,-6700000,27900000,-1500000,-2700000,1200000,26400000,26400000,-11200000,15200000,15200000,15200000,15200000,37700000,37700000,7.03e+08,7.03e+08,171100000,65900000,49200000,911800000,81300000,31300000,1131100000,879200000,117800000,1243700000,2155500000,418700000,154400000,2e+05,264100000,85600000,85600000,504300000,327200000,383200000,71800000,311400000,710400000,1214700000,275500000,667300000,-2e+06,940800000,940800000,2155500000,15200000,15200000,14100000,6e+06,41300000,76600000,-8500000,-21300000,-8700000,-45600000,2500000,4.65661287307739e-10,-51800000,3500000,3500000,3500000,4.2e+07,327200000,8.6e+07,0.10387,0.02266,0.01234,0.01616,0.00705,5.65789,1.80805,1.29114,0.1518,0.27094,0.26667,21.94831,16.77005,1.53298,0.15508,0.01447,0.05208,0.57237,6.89286,10.37634
"19","2014_Q4",23.0396875,"Up",1276100000,-1144700000,131400000,-97700000,-91200000,-6500000,33700000,-1100000,-2700000,1600000,32600000,32600000,-13200000,19400000,19400000,19400000,19400000,24600000,24600000,726100000,726100000,175900000,68800000,51800000,926600000,82600000,32300000,1126700000,879100000,120400000,1241600000,2168200000,441900000,162800000,2e+05,278900000,79900000,79900000,521800000,311700000,3.81e+08,69900000,311100000,692700000,1214500000,277400000,677800000,-1500000,953700000,953700000,2168200000,19400000,19400000,1.4e+07,3e+06,-17100000,19300000,-8100000,-8400000,-8600000,-12900000,-7500000,5e+06,-2.4e+07,-13100000,-13100000,-13100000,47700000,311700000,35700000,0.10297,0.02641,0.0152,0.02034,0.00895,1.84021,1.77578,1.27346,0.14376,0.3452,0.34035,22.70641,16.96975,0.63523,0.15302,0.01701,0.02168,0.4433,6.01887,8.51929
"20","2015_Q1",25.7918032786885,"Up",915800000,-803900000,111900000,-82600000,-76300000,-6300000,29300000,-4e+05,-2600000,2200000,28900000,28900000,-9700000,19200000,27900000,27900000,27900000,36700000,36700000,687300000,687300000,203200000,63400000,29800000,927200000,8.3e+07,32900000,1149800000,854700000,1.15e+08,1265700000,2192900000,427300000,173700000,2e+06,251600000,99100000,8e+07,526400000,319800000,377900000,70100000,307800000,697700000,1224100000,274700000,696900000,-2800000,968800000,968800000,2192900000,19200000,27900000,1.4e+07,5700000,19700000,64200000,-7500000,-42800000,-8700000,7100000,-7300000,1e+05,-8800000.00000001,12600000,12600000,12100000,43300000,319800000,65200000,0.12219,0.03199,0.03047,0.0288,0.01272,2.33692,1.7614,1.26352,0.14583,0.49468,0.48691,16.23759,17.1773,1.15603,0.15426,0.02196,0.03912,0.31183,6.53811,9.66212
"21","2015_Q2",27.915873015873,"Up",1194500000,-1.073e+09,121500000,-104700000,-98700000,-6e+06,16800000,-1200000,-2700000,1500000,15600000,15600000,-1300000,14300000,17700000,17700000,17700000,38800000,38800000,781200000,781200000,157500000,76600000,30800000,977500000,79300000,31400000,1142700000,904600000,115800000,1253400000,2230900000,4.29e+08,163500000,6e+05,264900000,77100000,77100000,506100000,362500000,378700000,74400000,304300000,741200000,1247300000,283800000,705500000,-5700000,983600000,983600000,2230900000,14300000,17700000,13800000,5400000,-60200000,-32400000,-3800000,-3600000,-8900000,42100000,4900000,0,38100000,2100000,2100000,2100000,30600000,362500000,-32100000,0.10172,0.01406,0.01482,0.018,0.00793,-1.81356,1.93144,1.2681,0.16249,0.31383,0.30944,21.17908,17.43972,-0.56915,0.1578,0.01542,-0.01861,0.50282,10.57843,19.26786
"22","2015_Q3",27.31453125,"Down",1176400000,-1052600000,123800000,-96600000,-90600000,-6e+06,27200000,-3e+05,-2500000,2200000,26900000,26900000,-10900000,1.6e+07,18300000,18300000,18300000,30400000,30400000,764600000,764600000,156800000,75700000,30100000,951800000,79200000,31900000,1142700000,908800000,115200000,1253800000,2205600000,431400000,147900000,1e+05,283400000,80100000,80100000,511500000,3.07e+08,386900000,82800000,304100000,693900000,1205400000,290100000,714600000,-4500000,1000200000,1000200000,2205600000,1.6e+07,18300000,14100000,7200000,29300000,71400000,-5800000,-10300000,-9e+06,-62100000,7e+05,9e+05,-69500000,-8400000,-8400000,-8400000,41300000,3.07e+08,75700000,0.10524,0.02312,0.01556,0.0183,0.0083,4.13661,1.8608,1.20516,0.13919,0.32218,0.31771,20.71127,17.60915,1.33275,0.15845,0.01611,0.04468,0.4918,6.69734,10.16912
"23","2015_Q4",25.015625,"Down",1249900000,-1156300000,93600000,-101200000,-92800000,-8400000,-7600000,2e+05,-2400000,2600000,-7400000,-7400000,8600000,1200000,1500000,1500000,1500000,51200000,51200000,783200000,783200000,165200000,88500000,29600000,999600000,80400000,33900000,1150300000,916600000,114700000,1264600000,2264200000,464800000,1.67e+08,2e+05,297600000,90600000,90600000,555400000,305100000,417100000,71300000,345800000,722200000,1277600000,2.84e+08,706900000,-4300000,986600000,986600000,2264200000,1200000,1500000,14700000,-5200000,54300000,62400000,-6800000,-2.2e+07,-9100000,-1900000,-9100000,5e+05,-19600000,20800000,20800000,20800000,7100000,305100000,4.6e+07,0.07489,-0.00608,0.0012,0.00152,0.00066,30.66667,1.79978,1.29495,0.13475,0.02641,0.02609,22.00528,17.36972,0.80986,0.16021,0.0062,0.02692,6.06667,35.76056,-33.40789
"24","2016_Q1",26.3677049180328,"Up",1.277e+09,-1110400000,166600000,-129400000,-112900000,-16500000,37200000,1e+05,-2600000,2700000,37300000,37300000,-14700000,22600000,38800000,38800000,38800000,55500000,55500000,742900000,742900000,95600000,68600000,2.7e+07,8.94e+08,7.4e+07,35700000,1.127e+09,867500000,1.14e+08,1236700000,2130700000,478200000,179100000,8900000,290200000,9e+07,9e+07,568200000,1.58e+08,3.97e+08,53200000,343800000,5.55e+08,1123200000,276100000,736500000,-5100000,1007500000,1007500000,2130700000,22600000,38800000,14400000,15300000,-11700000,4.5e+07,-4800000,126300000,-9e+06,-149600000,-12500000,5200000,-165900000,5400000,5400000,4300000,51600000,1.58e+08,49800000,0.13046,0.02913,0.03038,0.03851,0.01821,1.28351,1.57339,1.11484,0.07415,0.6831,0.67714,22.48239,17.73768,0.87676,0.15845,0.03059,0.03187,0.23196,1.98643,2.75538000000001
"25","2016_Q2",29.6296875,"Up",1268400000,-1141300000,127100000,-113500000,-99900000,-13600000,13600000,-3e+05,-2700000,2400000,13300000,13300000,3e+05,13600000,1.4e+07,1.4e+07,1.4e+07,55900000,55900000,777700000,777700000,119400000,82200000,37200000,9.53e+08,73200000,30500000,1198500000,910700000,1.15e+08,1302200000,2255200000,474200000,176500000,7e+05,2.97e+08,9.1e+07,9.1e+07,565200000,286700000,407600000,54200000,353400000,694300000,1259500000,268100000,741100000,-13500000,995700000,995700000,2255200000,13600000,1.4e+07,14300000,-1800000,-32700000,-29800000,-6600000,-87600000,-9200000,136400000,-12700000,4900000,119400000,2e+06,2e+06,4e+05,27900000,286700000,-11700000,0.1002,0.01072,0.01104,0.01406,0.00621,-0.83571,1.68613,1.26494,0.12713,0.24735,0.24518,22.40989,17.59187,-0.20671,0.16254,0.01373,-0.00692,0.65714,8.2724,16.97059
"26","2016_Q3",33.5659375,"Up",1257100000,-1127600000,129500000,-117700000,-102300000,-15400000,11800000,-1500000,-2400000,9e+05,10300000,10300000,-3500000,6800000,4400000,4400000,4400000,45700000,45700000,736700000,736700000,1.21e+08,95900000,25100000,903400000,73400000,29500000,1178200000,912500000,114900000,1281100000,2184500000,477900000,178200000,600000.000000001,299100000,90300000,90300000,568200000,208900000,415200000,54700000,360500000,624100000,1192300000,265300000,736200000,-9300000,992200000,992200000,2184500000,6800000,4400000,14900000,28200000,35700000,86300000,-8700000,-6800000,-9300000,-81299999.9999999,-6200000,6e+06,-90800000,-11300000,-11300000,-10200000,26700000,208900000,57200000,0.10301,0.00939,0.00349999999999999,0.00443,0.00201,13,1.58993,1.20167,0.09563,0.07801,0.07733,22.28901,17.5922,1.01418,0.16489,0.00848,0.03539,2.11364,6.11236,13.83051
"27","2016_Q4",36.0646031746032,"Up",1296900000,-1161200000,135700000,-117100000,-1.08e+08,-9100000,18600000,-6e+05,-2600000,2e+06,1.8e+07,1.8e+07,14900000,32900000,3.1e+07,3.1e+07,3.1e+07,51600000,51600000,774100000,774100000,120300000,92700000,27600000,9.46e+08,76800000,29600000,1.187e+09,910600000,132200000,1293400000,2239400000,495100000,177500000,6e+05,3.17e+08,92900000,92900000,5.88e+08,224300000,429200000,34200000,3.95e+08,653500000,1241500000,262600000,757900000,-22600000,997900000,997900000,2239400000,32900000,3.1e+07,13900000,1e+05,-25200000,18600000,-11500000,-11500000,-9200000,1.2e+07,-6600000,4300000,5e+05,7600000,7600000,5900000,32500000,224300000,-19100000,0.10463,0.01434,0.0239,0.03107,0.01384,-0.61613,1.60884,1.24411,0.10016,0.5516,0.54577,23.07651,17.75623,-0.33986,0.1637,0.02434,-0.01157,0.29677,5.31385,9.28495
"28","2017_Q1",36.7988709677419,"Up",1322300000,-1173300000,1.49e+08,-115800000,-99900000,-15900000,33200000,-4e+05,-2700000,2300000,32800000,10300000,-1300000,9e+06,7800000,7800000,7800000,53500000,53500000,803700000,803700000,134100000,6.8e+07,3e+07,991300000,81800000,17400000,1188300000,912800000,134300000,1287500000,2278800000,487800000,174300000,6300000,307200000,1.09e+08,92200000,596800000,268300000,439700000,36900000,402800000,7.08e+08,1304800000,249200000,756400000,-31600000,9.74e+08,9.74e+08,2278800000,9e+06,7800000,14400000,19900000,-33500000,8400000,-13900000,-28900000,-9200000,42700000,-15800000,5800000,23500000,3e+06,3e+06,1900000,47600000,268300000,1500000,0.11268,0.02511,0.0059,0.00801,0.00342,0.192309999999999,1.66103,1.33963,0.11774,0.13929,0.13732,23.6125,17.39286,0.0267899999999999,0.16429,0.01011,0.000890000000000005,1.17949,4.51261,6.46988
"29","2017_Q2",37.9328571428571,"Up",1326700000,-1195100000,131600000,-107800000,-97300000,-10500000,23800000,-1800000,-3200000,1400000,2.2e+07,2.2e+07,-5900000,16100000,-56800000,-56800000,-56800000,42600000,42600000,855900000,855900000,1.61e+08,78400000,29300000,1059500000,87500000,18400000,1246500000,924700000,140700000,1352400000,2411900000,631600000,187300000,5e+05,443800000,109700000,92900000,741300000,3.06e+08,457200000,37200000,4.2e+08,763200000,1504500000,244200000,689900000,-26700000,907400000,907400000,2411900000,16100000,-56800000,1.4e+07,13300000,-53100000,-11100000,-10500000,-29100000,-9400000,42700000,-8900000,2600000,2.7e+07,-13200000,-13200000,-12700000,37800000,3.06e+08,-19900000,0.09919,0.01794,-0.04281,-0.0626,-0.02355,0.35035,1.42925,1.65803,0.12687,-1.01429,-1.00353,23.69107,16.20357,-0.35536,0.16786,-0.02837,-0.01191,-0.16549,6.96825,11.06723
"30","2017_Q3",38.238253968254,"Up",1310500000,-1164600000,145900000,-112300000,-100700000,-11600000,33600000,-2200000,-3100000,9e+05,31400000,48800000,-17300000,31500000,31200000,31200000,31200000,55700000,55700000,851800000,851800000,153800000,72100000,30600000,1061300000,96400000,1.9e+07,1217500000,924800000,114300000,1332900000,2394200000,507900000,191100000,10500000,306300000,232200000,214900000,740100000,277900000,438600000,37400000,401200000,716500000,1456600000,249800000,711500000,-23700000,937600000,937600000,2394200000,31600000,31300000,14500000,-13200000,26900000,59200000,-16900000,-16900000,-9500000,-1.6e+07,1e+06,-3e+06,-27500000,14800000,14800000,14900000,48100000,277900000,75400000,0.11133,0.02564,0.02381,0.03328,0.01303,2.41667,1.434,1.55354,0.11607,0.55714,0.55221,23.40179,16.74286,1.34643,0.16964,0.02461,0.04558,0.30449,4.61954,6.6131
"31","2017_Q4",37.2495238095238,"Down",1318400000,-1184400000,1.34e+08,-112500000,-101200000,-11300000,21500000,-1500000,-2800000,1300000,2e+07,21100000,11900000,3.3e+07,3.3e+07,3.3e+07,3.3e+07,47700000,47700000,875300000,875300000,1.26e+08,94700000,31300000,1.049e+09,100900000,16300000,1186900000,926900000,111600000,1304100000,2353100000,522700000,202500000,2100000,318100000,167400000,167400000,690100000,264700000,429500000,18800000,410700000,694200000,1384300000,254200000,734900000,-20400000,968700000,968700000,2.353e+09,32900000,32900000,14900000,3100000,-18500000,-22800000,-13400000,22100000,-9500000,-4100000,2e+06,3400000,-8200000,-8900000,-8900000,-8e+06,36400000,264700000,-7400000,0.10164,0.01631,0.02503,0.03407,0.01402,-0.22424,1.52007,1.42903,0.11249,0.58824,0.58304,23.50089,17.26738,-0.13191,0.16934,0.02556,-0.00445,0.28788,5.96154,10.09302
"32","2018_Q1",33.1265573770492,"Down",1.498e+09,-1337100000,160900000,-156500000,-137400000,-19100000,4400000,-9500000,-10100000,6e+05,-5100000,-5100000,2500000,-2600000,-3700000,-3700000,-3700000,62800000,62800000,1038100000,1038100000,134600000,101800000,32800000,1235500000,143100000,17600000,2416400000,1864200000,122100000,2577100000,3812600000,628400000,230800000,13400000,384200000,112500000,112500000,757800000,1161300000,517800000,73600000,444200000,1679100000,2436900000,675900000,720100000,-20300000,1375700000,1375700000,3812600000,-2500000,-3600000,26700000,-11400000,6400000,-19700000,-12400000,-847800000,-11100000,915200000,-2700000,-18700000,882700000,15200000,15200000,15200000,31100000,1178200000,22600000,0.10741,0.00294,-0.00247,-0.00269,-0.00097,-6.10811,1.63038,1.77139,0.30903,-0.0590099999999999,-0.05827,23.89155,21.94099,0.36045,0.17703,0.00241,0.00736,-3,35.86495,253.5
"33","2018_Q2",28.03515625,"Down",1588300000,-1429300000,1.59e+08,-139500000,-1.09e+08,-30500000,19500000,-13800000,-14300000,5e+05,5700000,5700000,22200000,27900000,27800000,27800000,27800000,68600000,68600000,1.02e+09,1.02e+09,129500000,97400000,32100000,1218100000,141600000,18800000,2418600000,1871200000,143100000,2.579e+09,3797100000,578500000,203500000,5e+06,3.7e+08,114100000,114100000,699600000,1173400000,507300000,56500000,450800000,1680700000,2380300000,677800000,736200000,2700000,1416700000,1416700000,3.797e+09,27900000,27800000,2.9e+07,-24300000,1100000,33600000,-10300000,-15200000,-11500000,-7e+05,-2e+06,-1e+05,-14300000,4100000,4100000,5800000,48500000,1180400000,17100000,0.10011,0.01228,0.0175,0.01962,0.00732,0.61511,1.74114,1.68017,0.31087,0.42185,0.41931,24.10167,21.49772,0.25948,0.17451,0.01266,0.00551,0.41367,22.92371,57.01538
"34","2018_Q3",28.965873015873,"Up",1580900000,-1405800000,175100000,-129800000,-107800000,-2.2e+07,45300000,-12700000,-13800000,1100000,32600000,32600000,-7100000,25500000,26700000,26700000,26700000,69700000,69700000,1005700000,1005700000,140300000,1.07e+08,33300000,1215700000,140700000,19400000,2.374e+09,1867500000,119400000,2534100000,3749800000,572500000,213900000,5300000,353300000,114700000,114700000,704200000,1090300000,518700000,64800000,453900000,1.609e+09,2313200000,683800000,751200000,1600000,1436600000,1436600000,3749800000,25400000,26600000,28500000,38400000,6100000,99600000,-11600000,-9100000,-11500000,-78300000,1300000,0,-88500000,2e+06,2e+06,1100000,73800000,1107300000,75400000,0.11076,0.02865,0.01689,0.01859,0.00712,2.82397,1.72636,1.61019,0.2953,0.40455,0.40332,23.95303,21.76667,1.14242,0.17424,0.01247,0.02462,0.43071,14.05962,22.90508
"35","2018_Q4",28.1714285714286,"Down",1624300000,-1446700000,177600000,-129500000,-1.1e+08,-19500000,48100000,-1.2e+07,-12900000,9e+05,36100000,36100000,-2400000,33700000,33600000,33600000,33600000,4.6e+07,4.6e+07,1.046e+09,1.046e+09,148600000,110400000,38200000,1240600000,142800000,17400000,2339700000,1864300000,105800000,2499900000,3740500000,627100000,224800000,5200000,397100000,115700000,115700000,769800000,998400000,515700000,61900000,453800000,1514100000,2283900000,6.89e+08,773200000,-5700000,1456500000,1456500000,3740400000,33800000,33700000,28600000,8600000,3300000,74200000,-14700000,-11900000,-11500000,-77300000,4e+05,3500000,-84900000,-22600000,-22600000,-23600000,76700000,1025400000,67700000,0.10934,0.02961,0.02069,0.02307,0.00898,2.01488,1.61159,1.56807,0.27413,0.50832,0.50679,24.57337,22.0348,1.02421,0.17398,0.01504,0.02258,0.34226,12.76923,20.36175
"36","2019_Q1",32.1967213114754,"Up",1648700000,-1465600000,183100000,-157400000,-111200000,-46200000,25700000,-12400000,-13100000,7e+05,13300000,13300000,-4500000,8800000,9700000,9700000,9700000,39100000,39100000,1014100000,1014100000,117800000,80800000,3.7e+07,1.171e+09,140100000,16300000,2300100000,1834800000,109600000,2456500000,3627500000,605900000,221900000,3200000,380800000,149500000,149500000,792400000,9.02e+08,478400000,54700000,423700000,1380400000,2172800000,692500000,771200000,-9e+06,1454700000,1454700000,3627500000,8900000,9700000.00000001,26400000,26900000,31100000,113500000,-1.2e+07,-11800000,-11500000,-89200000,3e+05,-7600000,-1.08e+08,-6300000,-6300000,-6800000,52100000,9.39e+08,75700000,0.11106,0.01559,0.00588,0.00667,0.00267,7.80412,1.47779,1.49364,0.25886,0.14608,0.14521,24.82982,21.90813,1.14006,0.17319,0.00738,0.02636,1.18557,17.27255,35.01556
"37","2019_Q2",35.3285714285714,"Up",1607900000,-1.446e+09,161900000,-131700000,-112700000,-1.9e+07,30200000,-12600000,-13500000,9e+05,17600000,17600000,-4700000,12900000,12800000,12800000,12800000,30600000,30600000,1039200000,1039200000,161300000,77400000,83900000,1231100000,1.4e+08,15500000,2299800000,1836400000,122700000,2455300000,3686400000,598800000,209100000,7100000,382600000,157200000,157200000,798100000,945800000,481600000,46700000,434900000,1427400000,2225500000,694800000,778600000,-12200000,1461200000,1461200000,3686700000,13100000,1.3e+07,26700000,-2e+05,-78800000,-39300000,-11400000,-11400000,-11900000,54400000,-2300000,1700000,41900000,-8800000,-8800000,-8500000,56900000,987900000,-28600000,0.10069,0.01878,0.00796,0.00876,0.00347,-2.23438,1.54254,1.52306,0.26799,0.19277,0.1919,24.21536,22.00602,-0.43072,0.17922,0.00843,-0.00976,0.92969,16.82425,31.69868
"38","2019_Q3",36.28703125,"Up",1594700000,-1414200000,180500000,-125900000,-108400000,-17500000,54600000,-1.2e+07,-12800000,8e+05,42600000,42600000,-12600000,3e+07,29900000,29900000,29900000,53700000,53700000,1.048e+09,1.048e+09,179200000,74500000,104700000,1280900000,143600000,14500000,2290900000,1.836e+09,129100000,2.449e+09,3729900000,645500000,232700000,7200000,405600000,158500000,158500000,851100000,905500000,491800000,50600000,441200000,1397300000,2248400000,701300000,795900000,-15700000,1481500000,1481500000,3729900000,29800000,29700000,27200000,9300000,29400000,95600000,-15700000,-15700000,-11900000,-48300000,1600000,1700000,-56900000,2.3e+07,2.3e+07,23100000,81800000,952600000,108100000,0.11319,0.03424,0.01875,0.02018,0.00802,3.61538,1.50499,1.51765,0.2554,0.4503,0.44828,24.01657,22.31175,1.62801,0.17922,0.01429,0.03695,0.39799,10.989,16.46337
"39","2019_Q4",35.06046875,"Down",1.648e+09,-1.454e+09,1.94e+08,-136700000,-119800000,-16900000,57300000,-12200000,-12900000,7e+05,45100000,45100000,-8500000,36600000,36800000,36800000,36800000,60500000,60500000,1061300000,1061300000,197400000,75500000,121900000,1319200000,147100000,15100000,2262600000,1.832e+09,120200000,2424800000,3.744e+09,674300000,2.49e+08,9600000,415700000,150900000,150900000,877400000,872200000,490800000,47200000,443600000,1.363e+09,2240400000,707600000,820500000,-24400000,1503700000,1503700000,3744100000,36500000,36700000,27500000,7400000,-13900000,57700000,-1.7e+07,-1.7e+07,-1.2e+07,-22300000,1400000,1500000,-31400000,9300000,9300000,6800000,84800000,924400000,62400000,0.11772,0.03477,0.02233,0.02447,0.00983,1.69565,1.50353,1.48992,0.2469,0.55172,0.54925,24.70765,22.54423,0.93553,0.17991,0.01672,0.02138,0.32609,10.1875,15.07679
