"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.3487301587302,"Up",491166000,-1.82e+08,309166000,-268502000,-194730000,-9363000,-64409000,40664000,-5122000,-6709000,1587000,35542000,35542000,-12656000,22886000,22886000,22886000,22886000,80029000,80029000,251469000,251469000,108015000,21405000,10171000,0,460918000,858970000,1288862000,-429892000,46321000,493819000,493819000,1399110000,1860028000,187116000,135108000,25148000,11715000,2.5e+07,195645000,10421000,183351000,407761000,364254000,556449000,201659000,259751000,95039000,920703000,1328464000,531564000,531564000,1860028000,22886000,9434000,10641000,-42990000,-29000,-11198000,-972000,-12170000,-8535000,26378000,338000,338000,-544000,17637000,5438000,5438000,5438000,50098000,389254000,8566000,0.62945,0.08279,0.0466,0.04305,0.0123,0.37429,1.13036,2.49916,0.20927,1.04231,1.04023,22.36945,24.20932,0.39013,0.38871,0.02127,0.0058,0.37294,6.1724,7.60439
"2","2010_Q3",21.69234375,"Up",635325000,-250238000,385087000,-334817000,-254161000,-9385000,-71271000,50270000,-6353000,-6671000,318000,43917000,43917000,-15897000,28020000,28020000,28020000,28020000,83765000,83765000,222207000,222207000,63720000,62017000,7836000,38955000,431709000,865808000,1301013000,-435205000,49193000,484195000,484195000,1399196000,1830905000,197394000,122844000,42830000,12893000,2.5e+07,140600000,0,140600000,362994000,364269000,550116000,201643000,252614000,95859000,914385000,1277379000,553526000,553526000,1830905000,28020000,9457000,51089000,-18688000,69878000,-13652000,-2588000,-16240000,-8762000,-41435000,703000,703000,-408000,-49902000,3736000,3736000,3736000,59727000,389269000,43284000,0.60613,0.07912,0.0441,0.05062,0.0153,1.54475,1.1893,2.30771,0.21261,1.2748,1.27208,28.90469,25.18317,1.96924,0.39864,0.02464,0.02899,0.31271,5.11501,6.07726
"3","2010_Q4",22.98171875,"Up",324507000,-57315000,267192000,-254325000,-192230000,-9396000,-52699000,12867000,-6968000,-6777000,-191000,5899000,5899000,-1168000,4731000,4731000,4731000,4731000,109287000,109287000,155444000,155444000,73875000,42827000,12828000,12535000,381433000,873446000,1311881000,-438435000,49112000,472929000,472929000,1395487000,1776920000,160410000,107288000,23758000,14310000,2.5e+07,100411000,0,100411000,285821000,364283000,580136000,199563000,278379000,102194000,944419000,1230240000,546680000,546680000,1776920000,4731000,9467000,1148000,72602000,87948000,-15409000,6000,-15403000,-8770000,-38568000,372000,372000,-57000,-47023000,25522000,25522000,25522000,22334000,389283000,80695000,0.82338,0.03965,0.01458,0.00865,0.00266,17.05665,1.33452,2.25038,0.21908,0.21507,0.21458,14.75233,24.85248,3.66845,0.39869,0.00891,0.05323,1.85373,12.53676,21.76078
"4","2011_Q1",24.8604838709677,"Up",284031000,-30352000,253679000,-252614000,-195566000,-9428000,-47620000,1065000,-5289000,-6695000,1406000,-4224000,-4224000,2627000,-1597000,-1597000,-1597000,-1597000,86919000,86919000,138881000,138881000,133068000,43656000,9653000,23718000,402524000,884084000,1326284000,-442200000,50226000,503362000,503362000,1437672000,1840196000,138087000,95595000,10501000,13410000,2.5e+07,170837000,16809000,153873000,333924000,364298000,606397000,207607000,295929000,102861000,970695000,1304619000,535577000,535577000,1840196000,-1597000,9550000,-47493000,-11342000,-50882000,-16738000,-222000,-16960000,-8784000,53833000,393000,393000,32000,45474000,-22368000,-22368000,-22368000,10615000,389298000,-20092000,0.89314,0.00374999999999999,-0.00562,-0.00298,-0.00087,12.58109,1.20544,2.43591,0.21155,-0.07256,-0.07233,12.90463,24.33335,-0.91286,0.39909,0.00469,-0.01312,-5.50031,28.48601,283.92394
"5","2011_Q2",24.6465079365079,"Down",444202000,-173365000,270837000,-230086000,-163353000,-9638000,-57095000,40751000,-4841000,-6686000,1845000,35910000,35910000,-12541000,23369000,23369000,23369000,23369000,25087000,25087000,232710000,232710000,130307000,38528000,6080000,18136000,426632000,890986000,1338568000,-447582000,50505000,476104000,476104000,1417595000,1844227000,170305000,125315000,17633000,12406000,0,145027000,9639000,135388000,315332000,364313000,616011000,210642000,301277000,104092000,980324000,1295656000,548571000,548571000,1844227000,23369000,9766000,12221000,-39559000,5797000,-15627000,1002000,-14625000,-8766000,-43890000,591000,591000,-939000,-53004000,-61832000,-61832000,-61832000,50517000,364313000,7872000,0.60972,0.09174,0.05261,0.0426,0.01267,0.33686,1.35296,2.36187,0.19754,1.06025,1.05646,20.15344,24.88866,0.35715,0.39771,0.02102,0.00515,0.37511,6.71509,8.32436
"6","2011_Q3",25.11875,"Up",543778000,-260706000,283072000,-233129000,-152302000,-9739000,-71088000,49943000,-5822000,-6289000,467000,44121000,44121000,-16228000,27893000,27893000,27893000,27893000,22982000,22982000,196988000,196988000,61554000,62106000,5437000,38868000,343630000,898022000,1351293000,-453271000,53485000,439280000,439280000,1390787000,1734417000,165088000,96808000,36509000,13504000,1.86264514923096e-09,24026000,0,24026000,189114000,364327000,611809000,208727000,296898000,106184000,976136000,1165250000,569167000,569167000,1734417000,27893000,9869000,78186000,18249000,134197000,-14119000,-2516000,-16635000,-9016000,-111051000,836000,836000,-436000,-119667000,-2104999.99999999,-2104999.99999999,-2104999.99999999,59812000,364327000,80170000,0.52057,0.09184,0.05129,0.04901,0.01608,2.8742,1.81705,2.04729,0.21006,1.26213,1.25803,24.60534,25.75416,3.6276,0.40796,0.02388,0.05188,0.323240000000001,5.70697,6.83469000000004
"7","2011_Q4",26.7968253968254,"Up",344281000,-76632000,267649000,-241895000,-168580000,-9856000,-63459000,25754000,-5990000,-6147000,157000,19764000,19764000,-4374000,15390000,15390000,15390000,15390000,60922000,60922000,163518000,163518000,70248000,43729000,9082000,15456000,338417000,907705000,1362780000,-455075000,52290000,443892000,443892000,1403887000,1742304000,160622000,101782000,29091000,14866000,0,24872000,0,24872000,185494000,364343000,612916000,196757000,308753000,107406000,977259000,1162753000,579551000,579551000,1742304000,15390000,9989000,-26716000,62649000,61312000,-17336000,1616000,-15720000,-9026000,765000,594000,594000,15000,-7652000,37940000,37940000,37940000,35743000,364343000,85430000,0.77741,0.07481,0.0447,0.02656,0.00883,5.55101,1.82441,2.0063,0.20912,0.69575,0.69362,15.56424,26.20032,3.86212,0.40805,0.01568,0.05488,0.58648,8.48896,11.78151
"8","2012_Q1",27.7691935483871,"Up",271046000,-39244000,231802000,-230003000,-168332000,-9981000,-51690000,1799000,-8587000,-6295000,-2292000,-6788000,-6788000,3961000,-2827000,-2827000,-2827000,-2827000,43277000,43277000,142600000,142600000,128360000,42325000,8847000,25719000,356562000,928683000,1386590000,-457907000,50785000,447052000,447052000,1426520000,1783082000,140283000,96561000,11901000,13650000,9.31322574615479e-10,91651000,15230000,68016000,231934000,364357000,613460000,185701000,318731000,109028000,977817000,1209751000,573331000,573331000,1783082000,-2827000,10140000,-37969000,-3463000,-34119000,-20556000,529000,-20027000,-9013000,44981000,528000,528000,5000,36501000,-17645000,-17645000,-17645000,11939000,364357000,-16041000,0.85521,0.00663999999999999,-0.01043,-0.00493,-0.00159,5.67421,1.53734,2.11004,0.20434,-0.12772,-0.12732,12.24513,25.90156,-0.72469,0.40718,0.00399,-0.01034,-3.18819,26.89337,178.47693
"9","2012_Q2",26.648253968254,"Down",410913000,-146751000,264162000,-221057000,-152559000,-10089000,-58409000,43105000,-4375000,-6314000,1939000,38730000,38730000,-13556000,25174000,25174000,25174000,25174000,44579000,44579000,194998000,194998000,127487000,30895000,8250000,19413000,397959000,936853000,1400001000,-463148000,52508000,487010000,487010000,1476371000,1874330000,133681000,94313000,11694000,12529000,2.5e+07,164498000,11600000,145382000,323179000,339372000,622109000,172791000,338527000,110791000,961481000,1284660000,589670000,589670000,1874330000,25174000,10239000,9191000,-94703000,-50099000,-18334000,-280000,-18614000,-9035000,78842000,1253000,1253000,-1045000,70015000,1302000,1302000,1302000,53344000,364372000,-46137000,0.64287,0.1049,0.06126,0.04269,0.01343,-1.83272,1.23139,2.17861,0.1944,1.13432,1.13076,18.51543,26.57009,-2.0789,0.40711,0.0217,-0.02927,0.3589,5.99492,7.41893
"10","2012_Q3",29.0152380952381,"Up",358175000,-171164000,187011000,-136428000,-61805000,-10175000,-64448000,50583000,-4898000,-6279000,1381000,45685000,45685000,-16001000,29684000,29684000,29684000,29684000,9302000,9302000,142523000,142523000,70522000,36797000,6795000,24705000,259144000,957713000,1425922000,-468209000,54688000,486586000,486586000,1498987000,1758131000,130466000,73045000,25062000,13873000,2.5e+07,32294000,0,25679000,187760000,339386000,615781000,163940000,338434000,113407000,955167000,1142927000,615204000,615204000,1758131000,29684000,10326000,53946000,27602000,121558000,-22324000,-1160000,-23484000,-9279000,-124485000,942000,942000,-529000,-133351000,-35277000,-35277000,-35277000,60909000,364386000,82188000,0.52212,0.14122,0.08288,0.04825,0.01688,2.76876,1.38019,1.8578,0.20726,1.33393,1.32904,16.09558,27.64589,3.69334,0.41698,0.02442,0.05152,0.31259,5.82975,7.01983
