"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2018_Q3",28.1414285714286,"Up",631700000,-314700000,3.17e+08,-245600000,-164300000,-81300000,71400000,-94200000,-93700000,-5e+05,-22800000,-58700000,-81500000,53400000,-28100000,43700000,43700000,15600000,15600000,15600000,235700000,235700000,337600000,337600000,184400000,1248100000,135600000,2005800000,430100000,12613900000,8.769e+09,168200000,1.3044e+10,15049800000,250700000,75800000,174900000,22200000,884500000,1355800000,65300000,938900000,351600000,7690900000,8575400000,5527400000,-1619100000,2587800000,-21700000,6474400000,6474400000,15049800000,15600000,15600000,198500000,-60900000,90800000,2.44e+08,-32800000,0,4100000,-28700000,-460200000,-20100000,-490500000,-275200000,-275200000,-9e+05,-276100000,269900000,6357300000,274500000,0.50182,0.11303,0.0247,0.00240999999999998,0.00103999999999999,17.59615,2.26772,1.32451,0.42242,0.1875,0.1875,7.59255,77.81731,3.29928,0.0011,0.01935,22.68099,85.7366900000001
"22","2018_Q4",24.9107936507937,"Down",6.4e+08,-326200000,313800000,-242500000,-1.64e+08,-78500000,71300000,-78200000,-91600000,13400000,-6900000.00000001,-15300000,-22200000,125200000,1.03e+08,10800000,10800000,113800000,113800000,113800000,290700000,290700000,349600000,349600000,143400000,1254500000,117700000,2038200000,439300000,12431100000,8585200000,170500000,12870400000,14908600000,2.86e+08,76600000,209400000,16700000,922600000,1208400000,65200000,796500000,346700000,7382400000,8.305e+09,5539800000,-1618500000,2.701e+09,-18700000,6603600000,6603600000,14908600000,113800000,113800000,199900000,-104300000,9900000,219300000,-26200000,14900000,16400000,5100000,-170600000,6e+05,-169600000,54800000,54800000.0000001,3e+05,55100000,271200000,6190700000,129700000,0.49031,0.11141,0.17781,0.01723,0.00763,1.13972,2.20919,1.25765,0.41524,1.36779,1.33882,7.69231,79.37019,1.55889,0.00813,0.00926,21.75516,82.74895
"23","2019_Q1",21.3204918032787,"Down",1371300000,-807700000,563600000,-450600000,-313400000,-137200000,1.13e+08,-83600001,-88500001,4900000,29399999,-3891300000,-3861900001,208100000,-3653800001,-64600000,-64600000,-3718400001,-3718400001,-3718400001,348900000,348900000,623300000,623300000,322300000,132700000,132700000,1427200000,9.82e+08,8468100000,8282800000,185300000,9450100000,10877300000,374100000,147500000,226600000,22400000,943700000,977100000,60500000,552300000,364300000,7046300000,7.99e+09,5546700000,-1617400000,-1017700000,-24300000,2887300000,2887300000,10877300000,-3718400000,-3718400000,255100000,3581900000,65800000,184400000,-33700000,-2e+05,4800000,-29100000,-97100000,1100000,-96100000,59200000,59200000,-9e+05,58300000,368100000,6091600000,192100000,0.411,0.0824,-2.71159,-1.28785,-0.34185,-0.05166,1.51235,2.76729,0.56003,-44.53174,-45.51285,16.42275,34.57844,2.3006,-0.37348,0.01929,15.60092,50.82035
"24","2019_Q2",14.4420634920635,"Down",790600000,-455500000,335100000,-315500000,-230200000,-85300000,19600000,-64900000,-81200000,16300000,-45300000,-4200000,-49500000.0000005,204700000,155199999.999999,-299999.999999985,-299999.999999985,154900000,154900000,154900000,225800000,225800000,575900000,575900000,319700000,120100000,120100000,1241500000,9.77e+08,8.337e+09,8060200000,276800000,9.314e+09,10555500000,273500000,132600000,140900000,19800000,8.54e+08,8.3e+08,59700000,343900000,426400000,6647600000,7501600000,5557100000,-1.617e+09,-863700000,-22500000,3053900000,3053900000,10555500000,154900000,154900000,247600000,-230600000,-7400000,164500000,-39800000,0,400000.000000002,-39400000,-248700000,499999.999999999,-248400000,-123300000,-123300000,3e+05,-1.23e+08,267200000,5837400000,15300000,0.42386,0.02479,0.19593,0.05072,0.01467,0.0987700000000036,1.45375,2.4564,0.55302,1.85508999999998,1.83097,9.46826,36.57365,0.18323,0.01593,0.00157,21.0015,286.30612
"25","2019_Q3",5.10875,"Down",823300000,-434400000,388900000,-305500000,-225900000,-79600000,83400000,5100000,-69300000,74400000,88500000,-113300000,-24800000,24300000,-5e+05,7300000,7300000,6800000,6800000,6800000,241100000,241100000,528400000,528400000,337400000,112500000,112500000,1219400000,994200000,8008100000,7721100000,2.87e+08,9002300000,10221700000,274300000,148600000,125700000,717900000,1557500000,7.66e+08,59500000,315900000,390600000,5.589e+09,7146500000,5570200000,-1617400000,-857500000,-20100000,3075200000,3075200000,10221700000,6800000,6800000,2.41e+08,19700000,35400000,302900000,-37800000,1.86264514923096e-09,7800000,-3e+07,-237200000,-1.9e+07,-2.58e+08,14900000,14900000,5e+05,15400000,324400000,5540900000,297700000,0.47237,0.1013,0.00826,0.00220999999999995,0.000669999999999988,43.77941,0.78292,2.32391,0.54207,0.08105,0.08095,9.81287,36.65316,3.54827,0.000719999999999998,0.03173,16.33724,63.54676
"26","2019_Q4",3.12078125,"Down",743700000,-419400000,324300000,-308800000,-205700000,-103100000,15500000,-36800000,-74700000,37900000,-21300000,-7199999.99999976,-28500000,27600000,-899999.999999881,-2e+05,-2e+05,-1100000.00000012,-1100000.00000012,-1100000.00000012,498800000,498800000,538800000,538800000,325500000,298100000,122200000,1661200000,894700000,7800200000,7496100000,304100000,8694900000,10356100000,275500000,100900000,174600000,716100000,1553900000,673100000,58600000,275500000,3.39e+08,5721800000,7275700000,5577900000,-1615600000,-859800000,-22100000,3080400000,3080400000,10356100000,-1100000,-1099999.99999976,234900000,-77199999.9999999,-89900000,66700000,-31100000,0,5500000,-25600000,240800000,900000.000000004,241200000,282300000,267200000,-3e+05,266900000,250400000,5764800000,101800000,0.43606,0.02084,-0.00147999999999992,-0.00036,-0.00011,-92.54545,1.06905,2.36193,0.55666,-0.0131000000000026,-0.0130999999999993,8.85357,36.67143,1.2119,-0.00012,0.0107,21.03035,339.74194
"27","2020_Q1",3.78935483870968,"Up",804900000,-431800000,373100000,-250600000,-169200000,-81400000,122500000,-139300000,-74300000,-6.5e+07,-16800000,-1471900000,-1488700000,327700000,-1.161e+09,3900000,3900000,-1157100000,-1157100000,-1157100000,790900000,790900000,577500000,577500000,312100000,150200000,150200000,1830700000,896500000,7611700000,7.018e+09,593700000,8508200000,10338900000,307900000,139800000,168100000,633600000,1426900000,2230100000,62400000,238100000,1929600000,6971300000,8398200000,5581200000,-1615700000,-2016900000,-7900000,1940700000,1940700000,10338900000,-1157100000,-1157100000,227600000,-375200000,1513500000,208800000,-24300000,95100000,15900000,86700000,-5e+06,-10400000,-14900000,280600000,295700000,1e+05,295800000,350100000,5374800000,1511600000,0.46354,0.15219,-1.43757,-0.59623,-0.11192,-1.30637,1.28299,4.32741,0.51986,-13.74228,-13.94096,9.55938,23.04869,17.95249,-0.12122,0.15836,13.09312,37.41959
"28","2020_Q2",3.00063492063492,"Down",665800000,-3.82e+08,283800000,-308500000,-231100000,-77400000,-24700000,-69300000,-7.1e+07,1699999.99999999,-9.4e+07,18400000,-75600000,18900000.0000001,-56700000,6500000,6500000,-50200000,-50200000,-50200000,8.08e+08,8.08e+08,527200000,527200000,327100000,2.11e+08,2.11e+08,1873300000,878200000,7419800000,6820400000,599400000,8.298e+09,10171300000,255500000,110200000,145300000,634200000,1284100000,2252300000,61500000,291300000,1899500000,6991400000,8275500000,5587800000,-1615700000,-2067100000,-9200000,1895800000,1895800000,10171300000,-50200000,-50200000,223100000,-7200000,-1.12e+08,53700000,-19900000,67361322.1525266,3200000,-16700000,-4899999.99999994,-4e+06,-8900000,28100000,28100000,-1500000,26600000,198400000,5373300000,47600000.0000002,0.42625,-0.0370999999999999,-0.0754000000000004,-0.02648,-0.00494,-0.948210000000002,1.45884,4.36518,0.52828,-0.596199999999998,-0.596199999999998,7.90736,22.51544,0.56532,-0.00527,0.005,23.01058,-184.82996
"29","2020_Q3",1.7703125,"Down",166500000,-386700000,-220200000,-314200000,-231300000,-82900000,-534400000,-63800000,-63200000,-6e+05,-598200000,-191100000,-789300000,-161300000,-950600000,17500000,17500000,-933100000,-933100000,-933100000,818300000,818300000,493300000,493300000,3.33e+08,310200000,310200000,1954800000,864700000,6870600000,6566500000,304100000,7735300000,9690100000,286200000,86500000,199700000,19500000,1320900000,2176300000,61400000,220900000,1.894e+09,7399700000,8720600000,5594500000,-1.616e+09,-3000200000,-8800000,969500000,969500000,9690100000,-933100000,-933100000,216300000,385200000,502500000,170900000,-11400000,-3500000.00000003,2800000,-12100000,-124700000,-24300000,-149300000,9500000,9500000,1e+06,10500000,-318100000,5242900000,334300000,-1.32252,-3.20961,-5.6042,-0.96245,-0.09629,-0.35827,1.4799,8.99495,0.54106,-11.05569,-11.05569,1.97275,11.48697,3.9609,-0.11123,0.03985,-13.90946,-8.27957000000004
"30","2020_Q4",0.29875,"Down",698300000,-4.03e+08,295300000,-286300000,-220800000,-65500000,9e+06,-61300000,-61300000,0,-52300000,32499999.9999999,-19800000.0000001,211600000,191800000,-199999.999999996,-199999.999999996,191600000,191600000,191600000,844200000,844200000,516100000,516100000,343300000,360900000,360900000,2064500000,851400000,6.789e+09,6355900000,433100000,7640400000,9704900000,241300000,79100000,162200000,5241300000,6503800000,2035400000,61400000,129566760.13871,1.974e+09,2035400000,8539200000,5598800000,-1616100000,-2808600000,-8400000,1165700000,1165700000,9704900000,191600000,191600000,236100000,-24600000,-3.33e+08,70100000,-11100000,2800000,7e+05,-7600000,-5e+06,-17300000,-22400000,40100000,40100000,7e+05,40800000,245100000,5241300000,-310600000,0.42288,0.0128900000000001,0.27438,0.16436,0.01974,-1.62109,0.31743,7.32538,0.54007,2.27284,2.27284,8.28351,13.828,-3.68446,0.02269,-0.03679,17.94002,488.56667
"31","2021_Q1",0.371967213114754,"Up",682800000,-372300000,310500000,-265900000,-200900000,-6.5e+07,44600000,-53400000,-59700000,6300000,-8800000,-67300000,-76100000,-78100000,-154200000,1300000,1300000,-152900000,-152900000,-152900000,1070599999,1070599999,538800000,538800000,344900000,3.5e+08,3.5e+08,2304299999,833100000,6.578e+09,6184500000,393500000,7411100000,9715399999,530800000,93300000,437500000,3587900000,4118700000,4577500000,34600000,80600000,4462300000,4577500000,8696200000,5606400000,-1616100000,-2961500000,-9600000,1019200000,1019200000,9715400000,-152900000,-152900000,209700000,92600000,54800000,204200000,-5300000,0,30500000,25200000,-4900000,-1e+05,-5e+06,224400000,224400000,2100000,226500000,254300000,3587900000,381900000,0.45475,0.06532,-0.22393,-0.15002,-0.01574,-2.49771,0.55947,8.53238,0.3693,-1.80733,-1.80733,8.07092,12.04728,4.51418,-0.01665,0.04158,9.89894,56.4417
"32","2021_Q2",0.330952380952381,"Down",5.58e+08,-307600000,250400000,-202200000,-1.36e+08,-66200000,48200000,-49600000,-57700000,8100000,-1399999.99999999,-159200000,-160600000,16399999,-144200001,299999.999999999,299999.999999999,-143900001,-143900001,-143900001,1077900000,1077900000,477400000,477400000,363400000,367900000,367900000,2286600000,794400000,6355200000,5974700000,380500000,7149600000,9436200000,563800000,98400000,465400000,1701700000,2265500000,6291800000,33600000,77200000,6.181e+09,6291800000,8557300000,5609900000,-1616100000,-3105400000,-9500000,878900000,878900000,9436200000,-143900000,-143900000,169600000,68500000,57200000,151400000,-20900000,9380969.159772,-7e+05,-21600000,-118900000,4804520.59312514,-118900000,10900000,10899999.9999999,-4e+05,10500000,217800000,1701700000,237700001,0.44875,0.0863800000000001,-0.25789,-0.16373,-0.01525,-1.65184,1.00931,9.73638,0.18034,-1.70095,-1.70095,6.59574,10.38889,2.80969,-0.01622,0.02679,2.8641,12.94191
"33","2021_Q3",0.249375,"Down",546400000,-331600000,214800000,-197800000,-1.45e+08,-52800000,1.7e+07,-41100000,-52400000,11300000,-24100000,-115600000,-139700000,33500000,-106200000,4e+05,4e+05,-105800000,-105800000,-105800000,1254900000,1254900000,449800000,449800000,354800000,280400000,280400000,2339900000,779400000,6217400000,5829400000,3.88e+08,6996800000,9336700000,604400000,101700000,502700000,1.703e+09,2307400000,6253300000,33400000,67300000,6152600000,6253300000,8560700000,5612500000,-1616100000,-3211200000,-9200000,7.76e+08,7.76e+08,9336700000,-369500000,-87516499.8859181,336500000,2600000,285400000,2.55e+08,-18300000,15700000,7e+05,-1900000,-9300000,1400000,-7900000,245200000,245200000,-5e+05,244700000,353500000,1.703e+09,587100000,0.39312,0.03111,-0.19363,-0.13634,-0.01133,-5.54915,1.01409,11.03183,0.1824,-1.25059,-1.25059,6.45863,9.17258,6.93972,-0.01212,0.06723,1.26761,26.35882
"34","2021_Q4",0.16890625,"Down",507200000,-319200000,1.88e+08,-174600000,-127300000,-47300000,13400000,-52200000,-48700000,-3500000,-38800000,-262200000,-3.01e+08,3.2e+07,-2.69e+08,5300000,5300000,-263700000,-263700000,-263700000,1322600000,1322600000,431700000,431700000,367600000,203700000,203700000,2325600000,767700000,6064700000,5684100000,380600000,6832400000,9.158e+09,597700000,122200000,475500000,1388100000,1985800000,6658800000,32600000,61500000,6564700000,6658800000,8644600000,5614900000,-1616100000,-3474900000,-10500000,513400000,513400000,9.158e+09,-5.96046447753906e-08,-162231899.931551,0,0,0,0,0,0,1400000,1400000,1,-1400000,-1399999,1.00000005960464,1,-5.82076609134674e-11,1.00000005960464,13400000,1388100000,-18600000,0.37066,0.02642,-0.51991,-0.51363,-0.02879,0.0705300000000006,1.17111,16.83794,0.15157,-3.11702,-3.11702,5.99527,6.06856,-0.21986,-0.0308,-0.00217,4.88806,4.88806
"35","2022_Q1",0.130806451612903,"Down",-1526600000,856200000,-670400000,538100000,3.78e+08,160100000,-132300000,127800000,137800000,-1e+07,-4500000,532400000,527900000,-72199999,455700001,-6e+06,-6e+06,449700001,449700001,449700001,1.345e+09,1.345e+09,439100000,439100000,347200000,178300000,178300000,2309600000,7.76e+08,5830700000,5448400000,382300000,6606700000,8916300000,553300000,1.23e+08,413300000,1388900000,1942200000,6660700000,30100000,20900000,6609700000,6660700000,8602900000,5616700000,-1616100000,-3678900000,-8300000,313400000,313400000,8916300000,-2.04e+08,-2.04e+08,169700000,55800000,27500000,4.9e+07,-16100000,1.86264514923096e-09,4e+05,-15700000,-9300001,3347232.94900023,-9300001,23999999,23999999,-1e+06,22999999,37400000,1388900000,120999999,0.43915,0.08666,-0.29458,1.43491,0.05044,0.26907,1.18917,27.45022,0.15577,5.30933,5.30933,-18.02361,3.70012,1.42857,0.05377,0.01447,1.1738,-0.33182
"36","2022_Q2",0.0746774193548387,"Down",490900000,-315200000,175700000,-189700000,-152500000,-37200000,-1.4e+07,-61899999,-57800000,-4099999,-75899999,-50199999.9999998,-126099999,5900000,-120199999,600000.000000002,600000.000000002,-119599999,-119599999,-119599999,1365300000,1365300000,364400000,364400000,371500000,179400000,179400000,2280600000,758500000,5665800000,5293400000,372400000,6424300000,8704900000,457800000,107500000,350300000,1389500000,1847300000,6662599999,29500000,20100000,6612999999,6662599999,8509899999,5617900000,-1616100000,-3798500000,-8300000,1.95e+08,1.95e+08,8704899999,-119600000,-119600000,177200000,15500000,-23900000,49200000,-23600000,20992466.5806975,2e+05,-23400000,-4600000,22091698.8470007,-4600000,21200000,21200000,-7e+05,20500000,163200000,1389500000,109800000,0.35791,-0.02852,-0.24363,-0.61333,-0.01374,-0.91806,1.23456,43.64051,0.15962,-9.06061,-9.06061,37.18939,14.77273,8.31818,-0.0145,0.01331,0.14828,-1.72857
"37","2022_Q3",0.02,"Down",383700000,-266800000,116900000,-151100000,-122800000,-28300000,-34200000,-60700000,-50200000,-10500000,-94900000,-590300000,-685200000,491400000,-193800000,3e+05,3e+05,-193500000,-193500000,-193500000,354700000,354700000,370400000,370400000,1201200000,344200000,344200000,2270500000,448200000,3767200000,3106700000,200700000,4215400000,6485900000,5.01e+08,89400000,411600000,44100000,828800000,493400000,54800000,1400000,437200000,3518900000,4347700000,2203600000,-1616100017.1637,-63700000,-1700000,2138200000,2138200000,6485900000,-63700000,-63700000,48400000,-4800000,4600001,-15499999,-3700000,6.5e+07,2246861.92695286,61300000,-1700000,61283397.6940014,-1700000,44100001,44100001,-2e+05,43900001,14200000,3069600000,-476299999,0.30467,-0.08913,-0.5043,-0.0905000000000001,-0.02983,2.4615,2.7395,2.03335,0.47327,-14.65909,-14.65909,29.06818,161.98485,-36.08333,-0.03394,-0.08354,191.19014,-79.38304
