"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",297.350793650794,"Up",283900000,-33700000,250200000,-28400000,-28400000,221800000,-30500000,-30500000,191300000,-31200000,160100000,-59400000,100700000,100700000,100700000,100700000,4900000,4900000,4451400000,4451400000,325200000,5500000,319700000,4781500000,20300000,25100000,25100000,45400000,4826900000,140700000,140500000,271200000,2870300000,333600000,333600000,3203900000,3475100000,138600000,1213200000,0,1351800000,1351800000,4826900000,100700000,3900000,43500000,5500000,153600000,-1800000,4e+05,-193500000,-194900000,-15500000,0,0,-5800000,-21300000,-62600000,-62600000,-62600000,225700000,2870300000,288800000,0.8813,0.78126,0.3547,0.07449,0.02086,2.86792,17.6309,2.57072,0.59465,5.18929,5.18769,14.62999,69.66124,14.8825,0.0221,0.06339,12.69561,12.91885
"30","2018_Q1",331.355901639344,"Up",287300000,-38200000,249100000,-28100000,-28100000,2.21e+08,-32200000,-32200000,188800000,-66400000,122400000,54700000,177100000,177100000,177100000,177100000,8200000,8200000,4619600000,4619600000,303900000,2200000,301700000,4931700000,20500000,33400000,33400000,53900000,4985600000,191600000,151700000,205500000,3056900000,187400000,187400000,3244300000,3449800000,145700000,1390300000,-2e+05,1535800000,1535800000,4985600000,177100000,4200000,-64600000,34700000,151400000,-1500000,-4e+05,-229500000,-231400000,67200000,0,0,-1900000,65300000,-14700000,-14700000,-14700000,225200000,3056900000,203700000,0.86704,0.76923,0.61643,0.11531,0.03552,1.1502,23.99854,2.24626,0.61315,9.12588,9.03907,14.80443,79.13904,10.49656,0.03705,0.04261,13.53774,13.79502
"31","2018_Q2",343.22609375,"Up",295600000,-42500000,253100000,-32300000,-32300000,220800000,-34500000,-34500000,186300000,-28600000,157700000,-37600000,120100000,120100000,120100000,120100000,11500000,11500000,5049700000,5049700000,422300000,2500000,419800000,5483500000,20400000,30100000,30100000,50500000,5.534e+09,224500000,168900000,247500000,3423400000,206400000,206400000,3629800000,3877300000,147900000,1509300000,-5e+05,1656700000,1656700000,5.534e+09,120100000,4200000,64700000,18400000,207400000,-1200000,-5600000,-453500000,-460300000,3.73e+08,-2e+06,-2e+06,-1900000,369100000,116200000,116200000,116200000,2.25e+08,3423400000,279800000,0.85622,0.74696,0.40629,0.07249,0.0217,2.32973,22.15556,2.34038,0.61861,6.1787,6.16734,15.20753,85.23112,14.39468,0.02272,0.05293,15.164,15.45245
"32","2018_Q3",419.513015873016,"Up",315400000,-39700000,275700000,-29900000,-29900000,245800000,-38700000,-38700000,207100000,-9100000,1.98e+08,-4.7e+07,1.51e+08,1.51e+08,1.51e+08,1.51e+08,55700000,55700000,5344400000,5344400000,4.18e+08,25600000,392400000,5818100000,23100000,33100000,33100000,56200000,5874300000,172700000,172500000,172700000,3665800000,226200000,226200000,3.892e+09,4064700000,149900000,1660300000,-6e+05,1809600000,1809600000,5874300000,1.51e+08,4700000,27200000,-80300000,102600000,-4e+06,-3400000,-296500000,-303900000,2.15e+08,9.31322574615479e-10,9.31322574615479e-10,-4.65661287307739e-10,2.15e+08,13700000,13700000,13700000,250500000,3665800000,213200000,0.87413,0.77933,0.47876,0.08344,0.02571,1.41192,33.68906,2.24619,0.62404,7.75723,7.75538,16.20285,92.96344,10.95259,0.02648,0.03739,14.41158,14.68714
"33","2018_Q4",402.77253968254,"Down",3.32e+08,-41100000,290900000,-30400000,-30400000,260500000,-41100000,-41100000,219400000,-2.1e+07,198400000,-47400000,1.51e+08,1.51e+08,1.51e+08,1.51e+08,195700000,195700000,5557600000,5557600000,424500000,20200000,404300000,6177800000,38700000,27600000,27600000,66300000,6244100000,168100000,167900000,168100000,3876900000,235800000,235800000,4112700000,4280800000,152600000,1811300000,-6e+05,1963300000,1963300000,6244100000,1.51e+08,5e+06,24400000,10600000,1.91e+08,-16900000,-2100000,-227200000,-246200000,207700000,0,0,-2900000,204800000,149600000,149600000,149600000,265500000,3876900000,306600000,0.8762,0.78464,0.45482,0.07691,0.02418,2.03046,36.75074,2.18041,0.62089,7.75723,7.75446,17.05563,100.85938,15.75077,0.02485,0.05046,13.86516,14.13129
"34","2019_Q1",430.380163934426,"Up",342800000,-44500000,298300000,-30800000,-30800000,267500000,-42300000,-42300000,225200000,-24200000,2.01e+08,-49100000,151900000,151900000,151900000,151900000,25700000,25700000,5763300000,5763300000,370100000,7900000,362200000,6159100000,40200000,38100000,38100000,78300000,6237400000,188900000,186400000,360800000,3.649e+09,236700000,236700000,3885700000,4246500000,155100000,1836100000,-3e+05,1990900000,1990900000,6237400000,151900000,5600000,7.45058059692383e-09,45400000,202900000,-3e+06,-1500000,-223400000,-227900000,-59700000,-127100000,-127100000,-2200000,-1.89e+08,-2.14e+08,-2.14e+08,-2.14e+08,273100000,3.649e+09,364600000,0.87019,0.78034,0.44312,0.0763,0.02435,2.40026,17.07068,2.13295,0.58502,7.82381,7.70571,17.65636,102.54389,18.7792,0.02585,0.06204,13.2673,13.54505
"35","2019_Q2",475.158412698413,"Up",353800000,-48700000,305100000,-32700000,-32700000,272400000,-4.5e+07,-4.5e+07,227400000,-21100000,206300000,-41900000,164400000,164400000,164400000,164400000,41300000,41300000,6143700000,6143700000,487400000,7500000,479900000,6672400000,43400000,34100000,34100000,77500000,6749900000,213400000,1.92e+08,213400000,4231300000,256300000,256300000,4487600000,4.701e+09,152400000,1896200000,3e+05,2048900000,2048900000,6749900000,164400000,5100000,33500000,26700000,229700000,-4700000,-2600000,-394900000,-402200000,407300000,-109200000,-109200000,4300000,302400000,129900000,129900000,129900000,277500000,4231300000,341400000,0.86235,0.76993,0.46467,0.08024,0.02436,2.07664,31.2671,2.2944,0.62687,8.67309,8.65058,18.66507,108.09176,18.0109,0.02515,0.05223,15.0991,15.38179
"36","2019_Q3",472.53046875,"Down",370600000,-47300000,323300000,-34500000,-34500000,288800000,-49800000,-49800000,2.39e+08,-23700000,215300000,-50900000,164400000,164400000,164400000,164400000,19700000,19700000,6.384e+09,6.384e+09,412100000,21800000,390300000,6815800000,53100000,39600000,39600000,92700000,6908500000,203600000,203400000,2.42e+08,4184200000,2.67e+08,2.67e+08,4451200000,4693200000,153900000,2060600000,8e+05,2215300000,2215300000,6908500000,164400000,5600000,4.1e+07,-40100000,170900000,-11600000,1100000,-255700000,-266200000,-13600000,0,0,-1800000,-15400000.0000001,-110700000,-110700000,-110700000,294400000,4184200000,293600000,0.87237,0.77928,0.4436,0.07421,0.0238,1.78589,28.16446,2.11854,0.60566,8.67793,8.67634,19.56229,116.93562,15.49781,0.02466,0.04404,14.14572,14.42001
"37","2019_Q4",440.55546875,"Down",378700000,-47900000,330800000,-33800000,-33800000,2.97e+08,-50400000,-50400000,246600000,-27500000,219100000,-53700000,165400000,165400000,165400000,165400000,24700000,24700000,6563700000,6563700000,400400000,10800000,389600000,6988800000,58500000,23700000,23700000,82200000,7.071e+09,184800000,184600000,2.37e+08,4.18e+09,271200000,271200000,4451200000,4688200000,155900000,2.226e+09,9e+05,2382800000,2382800000,7.071e+09,165400000,5900000,9800000,26300000,207400000,-7300000,1700001,-1.99e+08,-204599999,6100000,0,0,-2900000,3200000,6000001,6000001,6000001,302900000,4.18e+09,375600000,0.87351,0.78426,0.43676,0.06941,0.02339,2.27086,29.48861,1.96752,0.59115,8.73071,8.7282,19.98985,125.77716,19.82621,0.0242,0.05496,13.71839,13.99091
"38","2020_Q1",403.386774193548,"Down",385900000,-49400000,336500000,-110699999,-34299999,225800001,-5.1e+07,-5.1e+07,174800001,40400000,215200001,-53300000,161900001,161900001,161900001,161900001,187400000,187400000,6685200000,6685200000,455800000,66200000,389600000,7328400000,59700000,35100000,35100000,94800000,7423200000,206600000,206400000,206600000,4538800000,322500000,322500000,4861300000,5067900000,157900000,2196600000,8e+05,2355300000,2355300000,7423200000,161900000,5800000,86800000,-50200000,204300000,-3200000,699999,-148700000,-151200001,301500000,-191200000,-191200000,-2e+05,110100000,163199999,163199999,163199999,231600001,4538800000,231500001,0.87199,0.58513,0.41954,0.06874,0.02181,1.42989,35.47144,2.1517,0.61143,8.63163,8.51945,20.57409,125.57177,12.34232,0.02243,0.03208,18.78843,19.27104
"39","2020_Q2",348.108253968254,"Down",389100000,-4.5e+07,344100000,-34100000,-34100000,3.1e+08,-51900000,-51900000,258100000,-370900000,-112800000,2.9e+07,-83800000,-83800000,-83800000,-83800000,25700000,25700000,6618500000,6618500000,530900000,59600000,471300000,7175100000,62300000,22200000,22200000,84500000,7259600000,170800000,170600000,250700000,4757900000,284900000,284900000,5042800000,5293500000,157700000,1807700000,7e+05,1966100000,1966100000,7259600000,-83800000,5500000,326200000,-16600000,231300000,-4400000,-3900000,-2.88e+08,-296300000,288400000,-307100000,-307100000,-2e+05,-18900000,-83900000,-83900000,-83900000,315500000,4757900000,265500000,0.88435,0.79671,-0.21537,-0.04262,-0.01154,-3.16826,28.62026,2.69239,0.65539,-4.60808,-4.60808,21.39621,108.11382,14.59957,-0.01196,0.03788,14.99905,15.26516
"40","2020_Q3",420.715,"Up",406300000,-48800000,357500000,-32800000,-32800000,324700000,-48200000,-48200000,276500000,-148700000,127800000,-31400000,96400000,96400000,96400000,96400000,8500000,8500000,6749800000,6749800000,486900000,36300000,450600000,7245200000,6.2e+07,30400000,30400000,92400000,7337600000,181300000,181100000,341800000,4638600000,292100000,292100000,4930700000,5272500000,159100000,1904100000,1900000,2065100000,2065100000,7337600000,96400000,5800000,147500000,25300000,2.75e+08,-1900000,-3100000,-270700000,-275700000,-41700000,0,0,-2e+05,-41900000,-42600000,-42600000,-42600000,330500000,4638600000,385300000,0.87989,0.79916,0.23726,0.04668,0.01314,3.99689,21.19719,2.55315,0.63217,5.40214,5.39003,22.76856,115.72569,21.59174,0.01378,0.05508,14.00938,14.25962
"41","2020_Q4",326.624375,"Down",426500000,-46600000,379900000,-498100000,-33800000,-118200000,-46800000,-46800000,-1.65e+08,483400000,318400000,-76300000,242100000,242100000,242100000,242100000,8900000,8900000,6865200000,6865200000,467400000,8700000,458700000,7341500000,6.1e+07,1.9e+07,1.9e+07,8e+07,7421500000,187400000,187200000,313100000,4493600000,306300000,306300000,4799900000,5.113e+09,160600000,2146199999,1700000,2308499999,2308499999,7421499999,242100000,6200000,-14299999,42700000,276700001,-1400000,1e+06,-85600000,-8.6e+07,-1.83e+08,0,0,1900000,-181100000,9600001,9600001,9600001,-1.12e+08,4493600000,5600000,0.89074,-0.27714,0.56764,0.10487,0.03262,0.02313,23.44778,2.21486,0.60548,13.56793,13.56383,23.9022,129.37453,0.31384,0.03406,0.00079,-40.04196,-37.94162
"42","2021_Q1",362.562950819672,"Up",447400000,-46100000,401300000,-1.31e+08,-38400000,270300000,-45100000,-45100000,225200000,-9100000.00000006,216100000,-49800000,166300000,166300000,166300000,166300000,1.6e+07,1.6e+07,6787900000,6787900000,593299999,1.47e+08,446299999,7397199999,59400000,32400000,32400000,91800000,7488999999,186900000,186700000,186900000,4608600000,3.91e+08,3.91e+08,4999600000,5186500000,162100000,2138800000,1600000,2302500000,2302500000,7.489e+09,166300000,6300000,178699999,-149100000,202199999,-8e+05,6e+05,-15300000,-15500000,-15300000,-173700000,-173700000,-2300000,-191300000,-4600000.99999999,-4600000.99999999,-4600000.99999999,276600000,4608600000,176500000,0.89696,0.60416,0.3717,0.07223,0.02221,1.06133,39.57838,2.25255,0.61538,9.46934,9.3302,25.47554,131.10733,10.05014,0.02277,0.02417,16.60376,16.99075
"43","2021_Q2",410.168253968254,"Up",4.51e+08,-49300000,401700000,-84600000,-63300000,317100000,-43800000,-43800000,273300000,-9e+06,264300000,-62200000,202100000,202100000,202100000,202100000,45700000,45700000,6875300000,6875300000,704900000,98300000,606600000,7625900000,57800000,23200000,23200000,8.1e+07,7706900000,217400000,217200000,217400000,4.716e+09,403700000,403700000,5119700000,5337100000,161900000,2.207e+09,9e+05,2369800000,2369800000,7706900000,202100000,6499999,35200000,81400000,325199999,-8e+05,-3100000,-108700000,-112600000,111600001,-135200000,-135200000,-1e+06,-24599999,1.88e+08,1.88e+08,1.88e+08,323599999,4.716e+09,466399999,0.89069,0.7031,0.44812,0.08528,0.02622,2.30777,35.07774,2.25213,0.61192,11.84577,11.81936,26.43465,138.90204,27.33729,0.02698,0.06227,14.43232,14.72816
"44","2021_Q3",544.851875,"Up",471700000,-38400000,433300000,-1300000,-31800000,4.32e+08,-4.2e+07,-4.2e+07,3.9e+08,-10300000,379700000,-91100000,288600000,288600000,288600000,288600000,383500000,383500000,6768100000,6768100000,564600000,17900000,546700000,7716200000,57700000,27500000,27500000,85200000,7801400000,226500000,226300000,226500000,4780100000,401800000,401800000,5181900000,5408400000,1.51e+08,2241100000,9e+05,2.393e+09,2.393e+09,7801400000,288600000,6400001,-43400000,91700000,343300001,-2300000,-1200000,137700000,134200000,64299999,-254500000,-254500000,-10600000,-200800001,276700000,276700000,276700000,438400001,4780100000,618900001,0.91859,0.91584,0.61183,0.1206,0.03699,2.14449,34.06711,2.26009,0.61272,16.91583,16.87812,27.64794,140.26188,36.27584,0.0381,0.0817,10.02874,10.17731
"45","2021_Q4",643.40546875,"Up",470100000,-63200000,406900000,-24900000,-33200000,3.82e+08,-39800000,-39800000,342200000,-1e+07,332200000,-82200000,2.5e+08,2.5e+08,2.5e+08,2.5e+08,13300000,13300000,6582600000,6582600000,521099999,2.5e+07,496099999,7116999999,58300000,23700000,23700000,8.2e+07,7198999999,251500000,251300000,251500000,4607100000,386600000,386600000,4993700000,5245200000,166100000,1.787e+09,7e+05,1953800000,1953800000,7.199e+09,2.5e+08,6800000,-8300000,21300000,269800000,-3e+06,1800000,193800000,192600000,-175500000,-704200000,-704200000,-1300000,-8.81e+08,-418600000,-418600000,-418600000,388800000,4607100000,489300000,0.86556,0.81259,0.5318,0.12796,0.03473,1.9572,28.29821,2.68461,0.63996,15.82683,15.79363,29.76077,123.68983,30.97627,0.03598,0.07043,11.81533,12.02565
"46","2022_Q1",544.734193548387,"Down",463200000,-67200000,3.96e+08,-63200000,-37300000,332800000,-38600000,-38600000,294200000,-9500000,284700000,-67100000,217600000,217600000,217600000,217600000,23299999.9999999,23299999.9999999,6336300000,9349800000,582200000,109200000,4.73e+08,6941800000,57300000,51800000,51800000,109100000,7050900000,1.75e+08,1.75e+08,1.75e+08,4616300000,435400000,435200000,5051700000,5226700000,197300000,1626700000,2e+05,1824200000,1824200000,7050900000,217600000,6600000,9.4e+07,-187100000,131100000,-1500000,4200000,220400000,223100000,-8299999.99999997,-366100000,-377900000,12100000,-362300000,-8100000.00000012,-8100000.00000012,-8100000.00000012,339400000,4616300000,217900000,0.85492,0.71848,0.46978,0.11929,0.03086,1.00138,39.66743,2.8652,0.65471,13.77567,13.74678,29.32395,115.4852,13.79466,0.03165,0.03169,13.5327,13.80108
"47","2022_Q2",551.805161290323,"Up",455700000,-64400000,391300000,-61400000,-38100000,329900000,-36500000,-36500000,293400000,-8900000,284500000,-70200000,214300000,214300000,214300000,214300000,17600000,17600000,6327200000,6327200000,596400000,52900000,543500000,6941200000,56700000,40400000,40400000,97100000,7038300000,224700000,224500000,224700000,4.739e+09,445800000,445800000,5184800000,5409500000,211600000,1418700000,-1500000,1628800000,1628800000,7038300000,214300000,6600000,43500000,111700000,376100000,-1700000,-2600000,-14200000,-18500000,1.2e+08,-417100000,-4.23e+08,4e+06,-293100000,64500000,64500000,64500000,336500000,4.739e+09,516700000,0.85868,0.72394,0.47027,0.13157,0.03045,2.41111,30.89097,3.32116,0.67332,14.54871,14.37788,30.93722,110.57832,35.07847,0.03145,0.07583,14.03091,14.31161
"48","2022_Q3",527.64,"Down",457400000,-65400000,3.92e+08,-198800000,-51300000,193200000,-38900000,-38900000,154300000,-12200000,142100000,-34700000,107400000,107400000,107400000,107400000,4099999,4099999,6323700000,6323700000,544900000,52200000,492700000,6872699999,53700000,52100000,52100000,105800000,6978499999,225800000,225600000,225800000,4792200000,440400000,440400000,5232600000,5458400000,225900000,1296400000,-2200000,1520100000,1520100000,6978500000,107400000,6500000,151300000,-15700000,249500000,7e+05,-4600000,-1.44e+08,-147900000,5.4e+07,-224500000,-229700000,999999.999999998,-169500000,-67900000,-67900000,-67900000,199700000,4792200000,219400000,0.85702,0.42239,0.23481,0.07065,0.01539,2.04283,30.43711,3.59082,0.68671,7.99374,7.94497,34.04412,113.1405,16.32986,0.0159,0.03249,23.97646,24.78313
