"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",15.5160317460317,"Up",219300000,-121300000,9.8e+07,-66700000,-63500000,-3200000,0,31300000,-12400000,-1.3e+07,6e+05,18900000,18900000,-6100000,12800000,12800000,12800000,12800000,12900000,12900000,52900000,52900000,79300000,5900000,2100000,1.51e+08,4.11e+08,4.11e+08,2113300000,1366400000,745500000,1400000,2584700000,2735700000,30700000,30700000,5e+07,5e+07,148700000,716500000,436100000,328900000,107200000,1152600000,1301300000,1434400000,1434400000,1434400000,2735700000,12800000,14900000,-3500000,2e+06,26200000,-9100000,-9100000,7800000,-201570010.202713,-13800000,-6e+06,11100000,11100000,1e+05,11200000,46200000,784500000,45200000,0.44688,0.14273,0.05837,0.00892,0.00468,3.53125,1.01547,0.90721,0.28676,0.24352,0.24352,4.17212,27.28905,0.85992,0.00482,0.01702,16.7013,24.65176
"2","2012_Q3",15.241746031746,"Down",250500000,-139500000,1.11e+08,-77800000,-74200000,-3100000,-5e+05,33200000,-14100000,-15100000,1e+06,19100000,19100000,-8600000,10500000,10500000,10500000,10500000,64100000,64100000,61600000,61600000,71100000,13800000,6300000,210600000,417400000,417400000,2124700000,1366500000,742300000,15900000,2542100000,2752700000,43200000,43200000,51200000,51200000,105300000,939100000,439700000,333300000,106400000,1378800000,1484100000,-11999999.9999998,1268600000,1268600000,2752700000,10500000,1.6e+07,12200000,12200000,50900000,-6700000,-6700000,5e+07,0,-43300000,6700000,50900000,50900000,3e+05,51200000,49200000,9.5e+08,63300000,0.44311,0.13253,0.04192,0.00828,0.00381,6.02857,2,1.16987,0.34512,0.20093,0.1986,4.79356,24.27589,1.21131,0.00395,0.02381,18.0061,26.68373
"3","2012_Q4",16.5591935483871,"Up",241900000,-132100000,109800000,-68300000,-65100000,-3100000,-1e+05,41500000,-16100000,-16100000,0,25400000,25400000,-9600000,15800000,15800000,15800000,15800000,83500000,83500000,58200000,58200000,77700000,14200000,6600000,233600000,409400000,409400000,2120500000,1366400000,739200000,14900000,2529900000,2763500000,34700000,34700000,63300000,63300000,111100000,934700000,433700000,328500000,105200000,1368400000,1479500000,-13400000,1.284e+09,1.284e+09,2763500000,15800000,1.6e+07,-2800000,-8e+05,28200000,-6500000,-6500000,-2200000,0,0,-2200000,19500000,19500000,-1e+05,19400000,57500000,947800000,59800000,0.45391,0.17156,0.06532,0.01231,0.00572,3.78481,2.10261,1.15226,0.34297,0.30147,0.29972,4.6155,24.49895,1.14099,0.00593,0.02243,15.0313,20.82651
"4","2013_Q1",19.2171666666667,"Up",247200000,-137100000,110100000,-76500000,-71200000,-3200000,-2100000,33600000,-16100000,-16100000,0,17500000,1.7e+07,-6200000,10800000,10800000,10800000,10800000,58200000,58200000,56500000,56500000,78600000,16400000,15300000,209700000,405100000,405100000,2117500000,1366600000,7.36e+08,14900000,2522600000,2732300000,5e+07,5e+07,61100000,61100000,126400000,930300000,444100000,314900000,129200000,1374400000,1500800000,-24600000,1231500000,1231500000,2732300000,10800000,16300000,1e+05,11500000,38700000,-8600000,-8600000,-2200000.00000001,-53400000,-3.72529029846191e-09,-55600000,-25500000,-25500000,2e+05,-25300000,49900000,945600000,5.9e+07,0.44539,0.13592,0.04369,0.00877,0.00395,5.46296,1.65902,1.21868,0.34608,0.20607,0.20487,4.71662,23.49724,1.12573,0.00412,0.02251,17.78357,26.41071
"5","2013_Q2",22.03390625,"Up",236900000,-131200000,105700000,-75400000,-72100000,-3200000,-1e+05,30300000,-19200000,-19200000,96284.5520091056,11100000,11100000,-3500000,7600000,7600000,7600000,7600000,310900000,310900000,66700000,66700000,100100000,12100000,9600000,489800000,396300000,396300000,2128700000,1370100000,736600000,2.2e+07,2.525e+09,3014800000,42200000,42200000,79700000,79700000,139400000,1190700000,443500000,3.14e+08,129500000,1634200000,1773600000,-25100000,1241200000,1241200000,3014800000,7600000,16200000,13900000,-14100000,23600000,-5e+06,-14200000,247800000,0,-4400000,243400000,252800000,252800000,-1e+05,252700000,46500000,1208200000,30900000,0.44618,0.1279,0.03208,0.00612,0.00252,4.06579,3.51363,1.42894,0.40076,0.15257,0.1521,4.75581,24.91729,0.62032,0.00263,0.01068,19.29677,29.61386
"6","2013_Q3",22.34953125,"Up",248200000,-145700000,102500000,-73500000,-7e+07,-3200000,-3e+05,2.9e+07,-21600000,-21600000,42297.9137578104,7400000,7300000,-2200000,5100000,5100000,5100000,4300000,365400000,365400000,74300000,74300000,97300000,20600000,20600000,557600000,3.88e+08,3.88e+08,2.129e+09,1.37e+09,733400000,25600000,2.517e+09,3074600000,57600000,57600000,53200000,53200000,110800000,1039500000,4.42e+08,310100000,131900000,1481500000,1592300000,-26100000,1482300000,1482300000,3074600000,5100000,16200000,-4900000,-21400000,-5e+06,-6e+06,-6e+06,-168400000,234100000,0,65700000,54700000,54700000,-2e+05,54500000,45200000,1039500000,2e+07,0.41297,0.11684,0.01732,0.0029,0.0014,4.65116,5.03249,1.07421,0.33809,0.08606,0.08554,4.96742,29.66641,0.40028,0.00145,0.00675,14.91372,23.24483
"7","2013_Q4",22.54,"Up",257300000,-153100000,104200000,-76800000,-72800000,-3500000,-5e+05,27400000,-19200000,-19200000,0,8200000,5e+06,-1600000,3400000,3400000,3400000,1100000,243600000,243600000,72800000,72800000,99800000,14900000,14900000,431100000,390200000,390200000,2259900000,1441300000,793400000,25200000,2650100000,3081200000,45900000,45900000,72400000,72400000,118300000,1039200000,439200000,303500000,135700000,1478400000,1596700000,-27700000,1484500000,1484500000,3081200000,3400000,21800000,-4200000,26600000,47600000,-6800000,-166800000,0,-1e+05,-2e+05,-2300000,-121500000,-121500000,-3e+05,-121800000,49200000,1039200000,70600000,0.40497,0.10649,0.00428,0.00074,0.00036,64.18182,3.64413,1.07558,0.33727,0.02202,0.02168,5.14954,29.71044,1.41297,0.00105,0.02383,16.17073,29.0365
"8","2014_Q1",27.4837704918033,"Up",291700000,-179200000,112500000,-88500000,-83300000,-4700000,-5e+05,2.4e+07,-25500000,-25500000,0,-1500000,-1100000,2e+05,-9e+05,-900000.000000001,-9e+05,-3200000,4.02e+08,4.02e+08,83200000,83200000,121900000,6.1e+07,1.1e+07,668100000,388500000,388500000,2417200000,1489700000,898400000,26700000,2805700000,3473800000,77100000,77100000,68900000,68900000,1.46e+08,1408600000,420600000,304300000,116300000,1829200000,1975200000,-13100000,1498600000,1498600000,3473800000,-9e+05,22600000,15500000,15800000,5.3e+07,-1.5e+07,-236800000,3.5e+08,0,-5800000,3.42e+08,158200000,158200000,2e+05,158400000,46600000,1408600000,47200000,0.38567,0.08228,-0.01097,-0.00214,-0.00092,-14.75,4.57603,1.31803,0.40549,-0.06385,-0.06308,5.82022,29.90119,0.94177,-3e-04,0.01418,21.60086,41.94167
"9","2014_Q2",25.6107936507936,"Down",2.97e+08,-182500000,114500000,-87700000,-81900000,-5700000,-1e+05,26800000,-2.9e+07,-2.9e+07,2.91038304567337e-11,-2200000,-3800000,1400000,-2400000,-2400000,-2400000,-5e+06,884900000,884900000,84900000,84900000,120800000,2.4e+07,10800000,1114600000,387700000,387700000,2786800000,1489600000,892700000,402300000,3174500000,4289100000,56800000,56800000,94300000,94300000,151100000,1932900000,419400000,302400000,1.17e+08,2352300000,2503400000,-15400000,1785700000,1785700000,4289100000,-2400000,21100000,-3e+05,-359700000,-341300000,-16500000,20500000,5.25e+08,290800000,-8900000,804600000,483800000,483800000,-9e+05,482900000,47900000,1932900000,-329700000,0.38552,0.09024,-0.01684,-0.0028,-0.00117,65.94,7.37657,1.40192,0.45065,-0.10007,-0.10007,5.94409,35.73659,-6.59854,-0.00065,-0.07968,21.87891,39.10448
"10","2014_Q3",20.4340625,"Down",4.38e+08,-308600000,129400000,-117800000,-1.05e+08,-12700000,-99999.9999999999,11600000,-37300000,-37300000,0,-25700000,-37600000,19300000,-18300000,-18300000,-18300000,-22600000,825900000,825900000,185500000,185500000,224500000,79700000,53200000,1315600000,491100000,491100000,3377400000,1910800000,1420700000,43800000,3868500000,5184100000,112600000,112600000,117100000,117100000,229700000,2302100000,560900000,440200000,120700000,2.863e+09,3092700000,-4767745.95649797,2091400000,2091400000,5184100000,-18300000,30100000,16700000,306300000,334800000,-10200000,-1046100000,3.5e+08,322900000,-10700000,658600000,-52700000,-52700000,-6300000,-5.9e+07,41700000,2302100000,318500000,0.29543,0.02648,-0.0516,-0.01081,-0.00436,-14.09292,5.72747,1.47877,0.44407,-0.4402,-0.4402,8.53123,40.73563,6.20364,-0.00383,0.06429,35.40048,127.25862
