"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",3.74047619047619,"Up",2082700000,-1511900000,570800000,-446300000,-403800000,124500000,-9600000,-9600000,-10400000,114900000,114900000,-40100000,74800000,74800000,75200000,75200000,431900000,431900000,3.6e+07,3.6e+07,1152100000,116400000,69200000,1736400000,575300000,2223700000,36700000,2.799e+09,4535400000,1285400000,767500000,485800000,1285400000,122600000,102700000,570100000,1855500000,1092100000,1472900000,115400000,2680400000,2679900000,4535400000,74800000,4.3e+07,14600000,-390200000,-257800000,-35300000,-35300000,-35300000,-8e+05,-36100000,-2700000,-190600000,-484500000,-484500000,1.1e+07,-473500000,167500000,447500000,-217900000,0.27407,0.05978,0.03611,0.02806,0.01658,-2.89761,1.35086,0.69238,0.09867,0.12242,0.12014,3.39056,4.3636,-0.35473,6,0.02314,-0.06705,0.09313,0.1253
"2","2010_Q3",3.26234375,"Down",1799100000,-1282300000,516800000,-447200000,-4.05e+08,69600000,-1e+07,-1e+07,-10300000,59600000,59600000,-19700000,39900000,39900000,40300000,40300000,289300000,289300000,44300000,44300000,1129500000,122700000,83600000,1585800000,575300000,2201900000,38100000,2777200000,4.363e+09,1154400000,6.25e+08,529400000,1154400000,118800000,1.02e+08,566600000,1.721e+09,1046900000,1513300000,82800000,2.643e+09,2.642e+09,4.363e+09,39900000,42700000,4400000,-120400000,-33400000,-4.5e+07,-4.5e+07,-4.5e+07,-8400000,-53400000,0,-52499999.9999999,-139300000,-139300000,-3300000,-142600000,112300000,447800000,-33400000,0.28725,0.03869,0.0224,0.01525,0.00924,-0.82878,1.3737,0.6514,0.10264,0.06661,0.06536,2.97372,4.3686,-0.05521,6,0.01256,-0.01041,1.4114,2.2773
"3","2010_Q4",3.44421875,"Up",1899100000,-1352800000,546300000,-453500000,-408800000,92800000,-9700000,-9700000,-9900000,83100000,77100000,-22800000,54300000,54300000,54700000,54700000,181100000,181100000,58800000,58800000,1942400000,117800000,82200000,2300100000,606100000,2308900000,41100000,2.915e+09,5215100000,2078900000,1514600000,564300000,2078900000,118100000,100100000,3.67e+08,2445900000,1.035e+09,1.568e+09,167600000,2770600000,2769200000,5215100000,54300000,45200000,-15100000,122500000,206900000,-61300000,-61300000,-61300000,5300000,-94100000,21100000,-215200000,-102400000,-102400000,-5800000,-108200000,1.38e+08,248900000,2.22e+08,0.28766,0.04887,0.0288,0.01975,0.01049,4.0585,1.1064,0.88325,0.04773,0.09081,0.08928,3.15289,4.59976,0.36857,7,0.01744,0.07079,0.4913,0.7306
"4","2011_Q1",3.45951612903226,"Up",3692800000,-2789100000,903700000,-526500000,-481200000,377200000,-5900000,-5900000,-6400000,371300000,369800000,-1.32e+08,237800000,237800000,237800000,237800000,710800000,710800000,65500000,65500000,1257500000,1.21e+08,75700000,2154800000,613800000,2295200000,44300000,2.909e+09,5063800000,1747800000,1028100000,6.57e+08,1747800000,171100000,96200000,420100000,2167900000,9.29e+08,1805800000,162500000,2897300000,2895900000,5063800000,237800000,45900000,85400000,306400000,675500000,-5.6e+07,-5.6e+07,-5.6e+07,-500000.000000002,-56500000,-3600000,-97300000,521700000,521700000,8e+06,529700000,423100000,2.49e+08,805500000,0.24472,0.10214,0.0644,0.08212,0.04696,3.3873,1.23286,0.74861,0.04917,0.39371,0.3906,6.11391,4.79685,1.33361,6,0.07171,0.24291,-1.09147,-1.22428
"5","2011_Q2",4.38539682539683,"Up",2281400000,-1661200000,620200000,-489100000,-442700000,131100000,-6100000,-6100000,-6300000,1.25e+08,1.25e+08,-4.5e+07,8e+07,8e+07,80400000,80400000,395800000,395800000,50600000,50600000,1306100000,130300000,83300000,1882800000,619400000,2425200000,65400000,3044600000,4927400000,1501300000,872200000,594400000,1501300000,177200000,103800000,426400000,1927700000,823200000,1886200000,292300000,3001700000,2999700000,4927400000,8e+07,46900000,11100000,-270500000,-132500000,-42400000,-42400000,-42400000,-6300000,-60100000,-4e+05,-1.33e+08,-325600000,-325600000,10600000,-3.15e+08,1.78e+08,249200000,-89900000,0.27185,0.05746,0.03524,0.0268,0.01632,-1.11816,1.25411,0.64263,0.05057,0.14085,0.13987,3.99685,5.25876,-0.1575,4,0.02347,-0.02624,-0.8236,-1.11823
"6","2011_Q3",3.91515625,"Down",1743700000,-1200500000,543200000,-489500000,-442500000,53700000,-6400000,-6400000,-6700000,47300000,47300000,-16800000,30500000,30500000,30900000,30900000,224800000,224800000,44200000,44200000,1059900000,1.81e+08,136700000,1509900000,614900000,2414600000,63300000,3029500000,4539400000,1131700000,469700000,6.62e+08,1141700000,168300000,9.9e+07,417600000,1559300000,799500000,1917100000,265900000,2982500000,2980100000,4539400000,30500000,47600000,4700000,-1.76e+08,-93199999.9999999,-45500000,-45500000,-45500000,6e+05,-60900000,9.31322574615479e-10,-18600000,-172700000,-172700000,1700000,-1.71e+08,101300000,259300000,-103400000,0.31152,0.0308,0.01772,0.01037,0.00681,-3.34628,1.3225,0.52324,0.05712,0.05475,0.05436,3.08948,5.28437,-0.1832,4,0.00907,-0.03034,0.34057,0.64246
"7","2011_Q4",4.05396825396825,"Up",1946800000,-1373900000,572900000,-490300000,-443300000,82600000,-5300000,-5300000,-5500000,77300000,76700000,-2.3e+07,53700000,53700000,53900000,53900000,442600000,442600000,58100000,58100000,1778300000,157100000,112800000,2436100000,602900000,2393600000,63100000,2996500000,5432600000,2174100000,1464300000,709800000,2298800000,172300000,105300000,172300000,2471100000,762100000,1.971e+09,2.3e+08,2963100000,2961500000,5432600000,53700000,47600000,2e+05,335200000,436700000,-39400000,-39400000,-39400000,-1900000,-41800000,2e+05,-1.76e+08,218900000,218900000,-1100000,217800000,130200000,124700000,4.49e+08,0.29428,0.04243,0.02769,0.0182,0.00992,8.33024,1.05973,0.83441,0.02295,0.09722,0.09632,3.51154,5.3447,0.80988,6,0.01654,0.13779,-2.44163,-3.84867
"8","2012_Q1",3.99935483870968,"Down",3578600000,-2635400000,943200000,-559500000,-513600000,383700000,-2e+06,-2e+06,-2200000,381700000,300100000,-125800000,174300000,174300000,174700000,174700000,6.55e+08,6.55e+08,64400000,64400000,1137500000,140400000,79900000,1997300000,573300000,2276800000,48700000,2850100000,4847400000,1633900000,804300000,749800000,1633900000,173300000,106200000,173300000,1807200000,726700000,2145700000,169700000,3042100000,3040200000,4847400000,174300000,46500000,102700000,107300000,430800000,-37800000,-37800000,-37800000,1200000,-38800000,1600000,-1.65e+08,2.27e+08,2.27e+08,2500000,229500000,430200000,1.49011611938477e-08,625500000,0.26357,0.10722,0.04882,0.05746,0.03604,3.58042,1.22241,0.59443,0,0.31833,0.3158,6.52077,5.54319,1.13976,6,0.05436,0.19465,-1.52255,-1.70706
"9","2012_Q2",3.43031746031746,"Down",2002200000,-1402300000,599900000,-484900000,-440400000,1.15e+08,-4e+05,-4e+05,-6e+05,114600000,114600000,-42200000,72400000,72400000,72500000,72500000,395800000,395800000,50600000,50600000,1306100000,130300000,83300000,1882800000,619400000,2425200000,65400000,3044600000,4927400000,1501300000,872200000,594400000,1501300000,177200000,103800000,426400000,1927700000,823200000,1886200000,292300000,3001700000,2999700000,4927400000,72400000,45100000,6800000,-286500000,-162200000,-22300000,-22300000,-22300000,1700000,-22100000,2e+05,-140900000,-325200000,-325200000,-7e+05,-325900000,160100000,249200000,-106500000,0.29962,0.05744,0.03621,0.02417,0.01471,-1.46897,1.25411,0.64263,0.05057,0.13526,0.13446,3.73545,5.60019,-0.19869,3,0.02714,-0.03108,-0.91568,-1.27478
"10","2012_Q3",3.19936507936508,"Down",1550200000,-1030900000,519300000,-484800000,-440900000,34500000,-9e+05,-9e+05,-1100000,33600000,33599999.9999999,-12600000,2.1e+07,2.1e+07,2.1e+07,2.1e+07,138700000,138700000,40200000,40200000,980200000,220300000,149900000,1379400000,529400000,2.223e+09,51700000,2752400000,4131800000,1183300000,462100000,721200000,1183300000,159200000,98300000,159200000,1342500000,479200000,2198700000,111400000,2789300000,2789300000,4131800000,2.1e+07,44500000,2399999.99999997,-79500000,-11599999.9999999,-31300000,-31300000,-31300000,-3800000,-35100000,2e+05,-1.44e+08,-190700000,-190700000,3e+05,-190400000,7.9e+07,2.98023223876953e-08,-19199999.9999999,0.33499,0.02226,0.01355,0.00753,0.00507999999999999,-0.91429,1.16572,0.4813,-6.93889390390723e-18,0.04082,0.0406300000000001,3.01361,5.42243,-0.0373300000000001,4,0.01384,-0.00650999999999996,-1.7557,-4.02029
