"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2016_Q1",11.6768852459016,"Down",733200000,-451800000,281400000,-184500000,-128500000,-5.6e+07,96900000,-21700000,-24200000,2500000,75200000,75200000,-26900000,48300000,48300000,48300000,48300000,1.55e+08,1.55e+08,511900000,511900000,1779200000,1779200000,2446100000,766900000,2558500000,417700000,1795900000,310800000,34100000,3325400000,5771500000,8.71e+08,608400000,5300000,3.8e+07,219300000,153900000,1.189e+09,1.189e+09,2213900000,1711200000,460300000,300800000,159500000,2171500000,4385400000,0,1.409e+09,17300000,-40200000,1386100000,1386100000,5771500000,48300000,5.6e+07,35700000,26700000,166700000,-42200000,-118800000,-1200000,-165100000,-7e+05,3900000,3900000,67700000,33799999.9999999,35400000,35400000,-5700000,29700000,152900000,1865100000,164300000,0.3838,0.13216,0.06588,0.03485,0.00837,3.40166,1.10488,3.16384,0.32316,0.13286,0.13114,2.01684,3.81279,0.45195,0.02301,0.04427,11.18443,17.64809
"23","2016_Q2",13.28390625,"Up",758300000,-4.32e+08,326300000,-197500000,-141100000,-56400000,128800000,-27400000,-28700000,1300000,101400000,97400000,-36700000,60700000,60700000,60700000,60700000,676300000,676300000,662900000,662900000,1840700000,1840700000,3179900000,770600000,2539600000,400500000,1795700000,309500000,33900000,3310200000,6490100000,1002300000,768200000,6e+05,40700000,192800000,24700000,1202900000,1202900000,2229900000,2385500000,4.51e+08,297900000,153100000,2836500000,5066400000,0,1417100000,38100000,-31500000,1423700000,1423700000,6490100000,60700000,56400000,16700000,-63700000,70100000,-3.6e+07,-65600000,1300000,-100300000,552700000,3100000,3100000,27400000,5.46e+08,515800000,515800000,5500000,521300000,185200000,2410200000,122200000,0.4303,0.16985,0.08005,0.04264,0.00935,2.01318,1.42603,3.55861,0.37137,0.16746,0.16529,2.09196,3.92764,0.33712,0.02285,0.02852,9.36231,13.46196
"24","2016_Q3",14.2715625,"Up",788500000,-447600000,340900000,-205900000,-146900000,-5.9e+07,1.35e+08,-35500000,-35800000,3e+05,99500000,99500000,-37700000,61800000,61800000,61800000,61800000,314700000,314700000,721400000,721400000,1875600000,1875600000,2911700000,808300000,2848400000,487800000,2.006e+09,319400000,35200000,3656700000,6568400000,1019800000,749200000,2300000,4.1e+07,227300000,24700000,1231200000,1231200000,2275700000,2378300000,455100000,294200000,160900000,2833400000,5109100000,0,1435300000,59900000,-35900000,1459300000,1459300000,6568400000,61800000,5.9e+07,11400000,-37600000,94600000,-39500000,-37900000,-1e+05,-430800000,-14300000.0000001,8500000,8500000,20200000,-25400000.0000001,-361600000,-361600000,-1.86264514923096e-09,-361600000,1.94e+08,2.403e+09,154600000,0.43234,0.17121,0.07838,0.04235,0.00941,2.50162,1.27947,3.50106,0.36584,0.17,0.16792,2.16895,4.01415,0.42526,0.02353,0.03581,10.76443,15.46889
"25","2016_Q4",14.3734920634921,"Up",789600000,-459500000,330100000,-206800000,-146300000,-60500000,123300000,-37100000,-36300000,-8e+05,86200000,86200000,-31800000,54400000,54400000,54400000,54400000,323100000,323100000,681800000,681800000,1929400000,1929400000,2934300000,827700000,2824400000,461800000,2008300000,317500000,36800000,3652100000,6586400000,984100000,700300000,3900000,41300000,238600000,24700000,1275100000,1275100000,2283900000,2371800000,452900000,289400000,163500000,2824700000,5108600000,0,1444200000,74200000,-40600000,1477800000,1477800000,6586400000,54400000,60500000,14800000,-3500000,126200000,-4.3e+07,-55200000,-4e+05,-99800000,-15100000,3200000,3200000,36700000,-15200000,11200000,11200000,-2800000,8400000,183800000,2396500000,169100000,0.41806,0.15616,0.0689,0.03681,0.00826,3.10846,1.28478,3.4569,0.36386,0.14921,0.14739,2.16568,4.05325,0.4638,0.02182,0.03908,11.28074,16.8159
"26","2017_Q1",15.4798387096774,"Up",813700000,-488300000,325400000,-213500000,-148800000,-64700000,111900000,-38300000,-3.8e+07,-3e+05,73600000,72200000,-26700000,45500000,45500000,45500000,45500000,201800000,201800000,682900000,682900000,1956500000,1956500000,2841200000,842500000,2873900000,4.61e+08,2.057e+09,320100000,35800000,3716400000,6557600000,949500000,648500000,5e+06,45900000,250100000,105200000,1280300000,1280300000,2.335e+09,2365100000,460200000,291700000,168500000,2825300000,5160300000,1.77635683940025e-15,1372500000,74100000,-49300000,1397300000,1397300000,6557600000,45500000,64700000,35300000,-58400000,87100000,-36600000,-17700000,-2500000,-134400000,65500000,-78100000,2300000,-16700000,-69400000,-116700000,-116700000,-4600000,-121300000,176600000,2470300000,108300000,0.3999,0.13752,0.05592,0.03256,0.00694,2.38022,1.21679,3.69305,0.37671,0.12516,0.12443,2.23827,3.8436,0.2979,0.01978,0.02502,12.84541,20.27256
"27","2017_Q2",14.8844444444444,"Down",866600000,-501200000,365400000,-221900000,-157400000,-64500000,143500000,-40200000,-40300000,1e+05,103300000,103300000,-34100000,69200000,69200000,69200000,69200000,1.88e+08,1.88e+08,7.73e+08,7.73e+08,1926600000,1926600000,2887600000,837500000,2855100000,438600000,2058300000,317300000,40900000,3692600000,6580200000,1053800000,786500000,2e+06,45400000,219900000,3.8e+07,1241800000,1241800000,2333600000,2360500000,455700000,288700000,1.67e+08,2816200000,5149800000,0,1377700000,98600000,-45900000,1430400000,1430400000,6580200000,69200000,64500000,19400000,-11100000,1.42e+08,-37100000,21400000,-5e+06,-20700000,-80700000,4300000,4300000,-16300000,-136400000,-15100000,-15100000,1800000,-13300000,2.08e+08,2398500000,193900000,0.42165,0.16559,0.07985,0.04838,0.01052,2.80202,1.2374,3.60025,0.3645,0.19146,0.18939,2.39773,3.95766,0.53649,0.02635,0.04526,10.6274,15.40418
"28","2017_Q3",15.1936507936508,"Up",8.58e+08,-481700000,376300000,-219100000,-154600000,-64500000,157200000,-38600000,-40100000,1500000,118600000,91100000,-33900000,57200000,57200000,57200000,57200000,530400000,530400000,7.11e+08,7.11e+08,1894700000,1894700000,3136100000,841300000,2879300000,417100000,2095500000,325200000,41500000,3720600000,6856700000,1020300000,735500000,4600000,49500000,230700000,17700000,1224900000,1224900000,2262900000,2675200000,456800000,294700000,162100000,3.132e+09,5394900000,0,1385600000,111800000,-35600000,1461800000,1461800000,6856700000,57200000,64500000,59400000,50800000,231900000,-3.8e+07,1.5e+07,0,-7e+07,279700000,2600000,2600000,-64200000,174200000,336100000,336100000,6200000,342300000,221700000,2692900000,268400000,0.43858,0.18322,0.06667,0.03913,0.00834,4.69231,1.38588,3.69059,0.39274,0.1578,0.15643,2.36701,4.03275,0.74045,0.02192,0.0582,9.75417,13.75636
"29","2017_Q4",17.1711111111111,"Up",8.43e+08,-479200000,363800000,-221900000,-155700000,-66200000,141900000,-41400000,-41500000,1e+05,100500000,100500000,-37700000,62800000,62800000,62800000,62800000,432100000,432100000,761900000,761900000,1980100000,1980100000,3174100000,870500000,2.861e+09,395900000,2096800000,325700000,42600000,3731500000,6905600000,1071500000,754600000,5400000,61800000,249700000,16800000,1259300000,1259300000,2347600000,2.671e+09,484300000,296200000,188100000,3155300000,5502900000,0,1294300000,131300000,-22900000,1402700000,1402700000,6905600000,62800000,66200000,18900000,-33900000,1.14e+08,-34700000,-74900000,0,-109600000,-12100000,-97100000,2900000,42200000,-110900000,-106500000,-106500000,8500000,-9.8e+07,208100000,2687800000,177200000,0.43155,0.16833,0.0745,0.04477,0.00909,2.82166,1.35206,3.92308,0.38922,0.17427,0.17262,2.33927,3.8924,0.49172,0.02332,0.03873,10.8395,15.89641
"30","2018_Q1",18.8259016393443,"Up",890400000,-525100000,365300000,-241900000,-172500000,-69400000,123400000,-41900000,-42100000,2e+05,81500000,103100000,69700000,172800000,172800000,172800000,172800000,317200000,317200000,725500000,725500000,2094700000,2094700000,3137400000,908200000,2938700000,375600000,2191700000,350600000,20800000,3846900000,6984300000,1018700000,682700000,5800000,54300000,275900000,12400000,1358100000,1358100000,2389200000,2667700000,442500000,192700000,249800000,3110200000,5499400000,-4.54747350886464e-13,1253100000,2.57e+08,-25200000,1484900000,1484900000,6984300000,172800000,69400000,-104900000,-36400000,100900000,-41700000,-1.1e+08,-1500000,-179500000,-17200000,-48400000,1600000,74400000,-34500000,-113100000,-113100000,-2500000,-115600000,192800000,2680100000,4.5e+07,0.41027,0.13859,0.19407,0.11637,0.02474,0.260419999999999,1.31316,3.70355,0.38373,0.4852,0.47533,2.50013,4.16941,0.12635,0.0469,0.00977,12.25571,19.1483
"31","2018_Q2",19.13921875,"Up",950500000,-5.35e+08,415500000,-257700000,-187400000,-70300000,157800000,-41400000,-41500000,1e+05,116400000,116400000,-26400000,9e+07,9e+07,9e+07,9e+07,330800000,330800000,963600000,963600000,2116700000,2116700000,3411100000,909600000,2945500000,3.53e+08,2.212e+09,344200000,36300000,3855100000,7266200000,1256900000,942700000,1300000,67900000,2.45e+08,16800000,1354200000,1354200000,2627900000,2664300000,453900000,194500000,259400000,3118200000,5746100000,0,1257200000,2.95e+08,-32100000,1520100000,1520100000,7266200000,9e+07,70300000,16600000,-24600000,152300000,-38600000,-29600000,0,-91500000,-7800000,5600000,5600000,7400000,-41800000,1.9e+07,1.9e+07,-4200000,14800000,228100000,2681100000,191300000,0.43714,0.16602,0.09469,0.05921,0.01239,2.12556,1.29803,3.78008,0.36898,0.25308,0.25085,2.67285,4.27459,0.53794,0.02943,0.04109,10.30381,14.89417
"32","2018_Q3",21.818253968254,"Up",956600000,-531300000,425300000,-249700000,-182800000,-66900000,175600000,-47200000,-48500000,1300000,128400000,128400000,-35200000,93200000,93200000,93200000,93200000,369800000,369800000,840100000,840100000,2151400000,2151400000,3361300000,904500000,2928300000,332500000,2208500000,348400000,38900000,3832800000,7194100000,1188500000,874400000,2700000,55700000,255700000,17700000,1.358e+09,1.358e+09,2564200000,2660900000,456500000,1.92e+08,264500000,3117400000,5681600000,-7.27595761418343e-12,1214900000,341100000,-43500000,1512500000,1512500000,7194100000,93200000,66900000,15100000,59200000,234400000,-40600000,-33400000,4.65661287307739e-10,-7.4e+07,-11200000,-47200000,2800000,-10100000,-115700000,44700000,44700000,-5600000,39100000,242500000,2678600000,296300000,0.4446,0.18357,0.09743,0.06162,0.01296,3.17918,1.31086,3.75643,0.37233,0.26208,0.26015,2.69,4.25322,0.83321,0.03021,0.06375,9.52082,13.14806
"33","2018_Q4",19.7144444444444,"Down",933500000,-533200000,400300000,-251600000,-1.86e+08,-65600000,148700000,-46100000,-49200000,3100000,102600000,102600000,-25100000,77500000,77500000,77500000,77500000,455100000,455100000,851200000,851200000,2165300000,2165300000,3471600000,9.12e+08,2.917e+09,315600000,2209700000,353600000,38100000,3.829e+09,7300600000,1240900000,870300000,3400000,68800000,298400000,17700000,1366300000,1366300000,2624900000,2657600000,456600000,189600000,2.67e+08,3114200000,5739100000,0,1227200000,371500000,-37200000,1561500000,1561500000,7300600000,77500000,65600000,18500000,37500000,199100000,-41400000,-27200000,0,-68600000,-12500000,5800000,5800000,5500000,-48200000,82300000,82300000,4900000,87200000,214300000,2675300000,235500000,0.42882,0.15929,0.08302,0.04963,0.01062,3.03871,1.32256,3.67538,0.36645,0.2181,0.21633,2.62699,4.39427,0.66273,0.02653,0.05018,10.36024,14.93073
"34","2019_Q1",18.0534426229508,"Down",-397800000,2.78e+08,-119800000,-22200000,-52600000,30400000,-1.42e+08,-53500000,-5.2e+07,-1500000,-195500000,-195500000,52400000,-143100000,67300000,67300000,67300000,337100000,337100000,765600000,765600000,2211500000,2211500000,3314200000,976200000,2915800000,302300000,2213700000,358500000,41300000,3.892e+09,7206200000,1166400000,820300000,2900000,54400000,288800000,13100000,1445300000,1445300000,2624800000,2654300000,462900000,188400000,274500000,3117200000,5.742e+09,-5.82076609134674e-11,1133200000,392300000,-61300000,1464200000,1464200000,7206200000,-143100000,-30400000,19500000,6800000.00000001,137100000,-10700000,-48400000,-3.72529029846191e-09,-147099999,-9e+05,-99200000,799999.999999999,37100000,-114400000,-124399999,-124399999,-15500000,-139899999,-172400000,2667400000,-228700000,0.30116,0.35696,-0.16918,0.04596,0.00934,-3.39822,1.26265,3.9216,0.37015,0.19081,0.18758,-1.12785,4.15132,-0.64841,0.0249,-0.04978,-13.51682,-16.41056
"35","2019_Q2",20.8001587301587,"Up",1046800000,-612300000,434500000,-273700000,-207600000,-66100000,160800000,-54900000,-56900000,2e+06,105900000,105900000,-28100000,77800000,77800000,77800000,77800000,265600000,265600000,962500000,962500000,2232100000,2232100000,3460200000,828300000,4035600000,311700000,2.374e+09,366400000,983500000,4863900000,8324100000,1458700000,997800000,2100000,69600000,389200000,126300000,1360600000,1360600000,2945600000,2650900000,1225100000,193200000,1031900000,3.876e+09,6821600000,0,1132800000,422900000,-53200000,1502500000,1502500000,8324100000,77800000,66100000,2.8e+07,-78200000,93700000,-53900000,18600000,-150051025.621334,-1.56e+08,87800000,7e+05,7e+05,-60300000,-18300000,-80600000,-80600000,5800000,-74800000,226900000,2777200000,122900000,0.41507,0.15361,0.07432,0.05178,0.00935,1.57969,1.1747,4.54017,0.33363,0.22124,0.22009,2.97682,4.27271,0.3495,0.02258,0.02233,11.06919,15.6194
"36","2019_Q3",24.8528125,"Up",361900000,-1.99e+08,162900000,-156900000,-130800000,-26100000,5999999.99999994,-5.4e+07,-55200000,1200000,-4.8e+07,-48000000.0000001,12900000,-35100000,55600000,55600000,55600000,2.33e+08,2.33e+08,592800000,592800000,2223100000,2223100000,3048900000,5.95e+08,2733900000,231100000,1817600000,287800000,397400000,3328900000,6377800000,1152600000,847100000,1100000,9600000,294800000,93500000,1422300000,1422300000,2668400000,1390800000,5.66e+08,130300000,435700000,1956800000,4625200000,0,1142100000,644900000,-34400000,1752600000,1752600000,6377800000,-35100000,26100000,17100000,59900000,223800000,-24500000,-88400000,-345005279.415222,-150300000,-1343200000,4700000,4700000,62500000,-51700000,21800000,21800000,5e+06,26800000,32100000,1484300000,54600000.0000001,0.45012,0.01658,0.15363,0.03172,0.00872,0.98201,1.14259,2.63905,0.23273,0.41742,0.41524,2.71697,13.15766,0.40991,0.03915,0.01436,38.98131,208.55
"37","2019_Q4",22.291875,"Down",701900000,-410900000,2.91e+08,-205300000,-158900000,-46400000,85700000,-35900000,-37900000,2e+06,49800000,47600000,-13200000,34400000,35300000,35300000,35300000,508600000,508600000,510200000,510200000,2238900000,2238900000,3257700000,603100000,2718900000,218300000,1810300000,295600000,394700000,3.322e+09,6579700000,1060800000,718500000,1200000,46300000,294800000,2.7e+07,1428400000,1428400000,2516200000,1.863e+09,564700000,130400000,434300000,2427700000,4943900000,0,1025300000,655700000,-45200000,1635800000,1635800000,6579700000,34400000,46400000,20600000,2.8e+07,130300000,-49200000,-49200000,-400631893.251499,-98400000,410800000,-121000001,-1300001,-42700000,247099999,278999999,278999999,-3800000,275199999,132100000,1.89e+09,124100000,0.41459,0.1221,0.05029,0.02158,0.00536,3.51558,1.29469,3.02231,0.28725,0.26926,0.26422,5.35393,12.4775,0.94661,0.00863,0.03034,10.45723,16.11902
"38","2020_Q1",19.2727419354839,"Down",671300000,-394900000,276400000,-214800000,-164700000,-50100000,61600000,-3.7e+07,-39500000,2500000,24600000,24600000,-9300000,15300000,19800000,19800000,19800000,507600000,507600000,457500000,457500000,2279399999,2279399999,3244499999,6.09e+08,2727700000,207900000,1821700000,298500000,399600000,3336700000,6581199999,1027700000,704600000,1100000,32400000,289600000,28800000,1461200000,1461200000,2517700000,1861300000,5.52e+08,134500000,417500000,2413300000,4.931e+09,-129284386.668744,1030200000,6.51e+08,-3.1e+07,1650200000,1650200000,6581200000,15300000,50100000,17200000,7099999.99999999,94200000,-3.4e+07,1.19e+08,-132699999,-47699999,-4300000.00000024,200001,200001.000000007,5300000.00000001,-23299999,23200002,23200002,5800000,29000001.9999999,111700000,1890100000,94100000,0.41174,0.09176,0.0295,0.012,0.00301,4.75253,1.28868,2.98812,0.2872,0.15361,0.15207,5.20791,12.80217,0.73002,0.01083,0.02299,12.3769,22.44318
"39","2020_Q2",13.7260317460317,"Down",645500000,-394600000,250900000,-210100000,-162400000,-47700000,40800000,-3.6e+07,-3.8e+07,2e+06,4800000,4800000,-2e+06,2800000,2800000,2800000,2800000,293100000,293100000,244100000,244100000,2175700000,2175700000,2712900000,5.94e+08,2692800000,194500000,1810700000,295200000,392400000,3286800000,5999700000,641900000,354300000,9e+05,43500000,243200000,2.7e+07,1349900000,1349900000,2018800000,1860100000,5.49e+08,116900000,432100000,2409100000,4427900000,0,1032900000,624800000,-85900000,1571800000,1571800000,5999700000,2800000,47700000,23100000,-122800000,-49200000,-29600000,146300000,445750923.183566,116700000,-8600000,4e+05,4e+05,-164500000,-197200000,-129700000,-129700000,-23700000,-153400000,88500000,1887100000,-61900000,0.38869,0.06321,0.00434,0.00178,0.00047,-22.10714,1.34382,2.81709,0.31453,0.02171,0.02154,5.00388,12.1845,-0.47984,0.00681,-0.01544,18.0113,39.06863
"40","2020_Q3",15.6228125,"Up",4.19e+08,-235100000,183900000,-158800000,-112300000,-46500000,25100000,-32200000,-30900000,-1300000,-7100000,-36900000,4600000,-32300000,-32300000,-32300000,-32300000,968500000,968500000,582300000,582300000,1700300000,1700300000,3251100000,583700000,2659200000,179300000,1790900000,290900000,398100000,3242900000,6.494e+09,1246500000,983800000,6100000,7100000,249500000,26900000,735900000,735900000,2009300000,1856900000,545100000,115800000,429300000,2.402e+09,4411300000,528200000,1035500000,592500000,-73500000,2082700000,2082700000,6.494e+09,-32300000,46500000,53300000,250600000,318100000,-17100000,-146300000,532600000,369200000,-27700000,550400000,550400000,-580900000,-82700000,604600000,604600000,6400000,6.11e+08,71600000,1883800000,300500000,0.4389,0.0599,-0.07709,-0.01551,-0.00497,-9.30341,1.61803,2.11807,0.29008,-0.24961,-0.25156,3.23802,12.01314,2.32226,-0.00173,0.06661,12.78352,36.46614
"41","2020_Q4",17.25921875,"Up",593600000,-329700000,263900000,-177500000,-1.31e+08,-46500000,86400000,-28400000,-29500000,1100000,5.8e+07,5.8e+07,-10900000,47100000,47100000,47100000,47100000,1276700000,1276700000,494100000,494100000,1903800000,1903800000,3674600000,585200000,2650100000,168600000,1798200000,284400000,398900000,3235300000,6909900000,1227100000,938100000,5600000,19500000,263900000,26400000,1.101e+09,1.101e+09,2354500000,1854800000,553600000,125100000,428500000,2408400000,4762900000,5.4e+08,1039100000,627800000,-59900000,2.147e+09,2.147e+09,6909900000,47100000,46500000,17800000,51600000,1.63e+08,-26800000,-227131590.867402,-195500000,-222300000,14200000,3e+05,3e+05,354300000,368800000,309500000,309500000,3400000,312900000,132900000,1881200000,168600000,0.44458,0.14555,0.07935,0.02194,0.00682,3.57962,1.56067,2.2184,0.27225,0.36455,0.3579,4.59443,12.43808,1.30495,0.01028,0.0368,4.54853,6.99653
"42","2021_Q1",17.0319672131148,"Down",529600000,-325400000,204200000,-190300000,-139700000,-50600000,13900000,-34400000,-30500000,-3900000,-20500000,-20500000,3400000,-17100000,-17100000,-17100000,-17100000,752100000,752100000,367200000,367200000,2055900000,2055900000,3175200000,589900000,3033099999,211300000,2140199999,290200000,391400000,3622999999,6798199999,965100000,688900000,3200000,6500000,266500000,24300000,1261200000,1261200000,2250600000,1853800000,528200000,128600000,399600000,2.382e+09,4632600000,549800000,1047800000,600700000,-32700000,2165600000,2165600000,6798200000,-17100000,50600000,7600000,-88600000,-47500000,-2700000,-107805328.380368,-166500000,-590200000,-17500000,5900000,16100000,117500000,105900000,-531800000,-531800000,12700000,-519100000,64500000,1878100000,-30200000,0.38557,0.02625,-0.03229,-0.0079,-0.00252,1.76608,1.41082,2.13918,0.27626,-0.13194,-0.13443,4.08642,12.46759,-0.23302,-0.00374,-0.00661,17.45736,81.00719
"43","2021_Q2",16.9401587301587,"Down",369800000,-203800000,1.66e+08,-134200000,-107300000,-26900000,31800000,18900000,-30800000,49700000,50700000,50700000,-24500000,26200000,50900000,50900000,50900000,7.59e+08,7.59e+08,659300000,659300000,2107200000,2107200000,3525500000,578200000,3056500000,198900000,2135900000,2.83e+08,438700000,3634700000,7160200000,1386500000,1118100000,2700000,18900000,246800000,30400000,1239100000,1239100000,2.656e+09,1852800000,504100000,136100000,3.68e+08,2356900000,5012900000,559800000,970700000,641200000,-24400000,2147300000,2147300000,7160200000,26200000,26900000,-14500000,111600000,148600000,-1.1e+07,5800000,-73300000,-79200000,2200000,-80500000,3e+05,-43500000,-88700000,-19300000,-19300000,2600000,-16700000,58700000,1883200000,183800000,0.44889,0.08599,0.13764,0.0237,0.00711,3.611,1.32737,2.33451,0.26301,0.39457,0.39244,2.86667,12.3062,1.42481,0.01122,0.04053,19.15162,35.3522
"44","2021_Q3",16.86828125,"Down",3.76e+08,-208800000,167200000,-133800000,-106400000,-27400000,33400000,-46300000,-3.1e+07,-15300000,-12900000,-12900000,-2400000,-15300000,11500000,11500000,11500000,621600000,621600000,549200000,549200000,2243800000,2243800000,3414600000,579600000,3124100000,199800000,2212500000,284300000,427500000,3703700000,7118300000,1336400000,1074500000,2800000,6800000,252300000,22700000,1324200000,1324200000,2683300000,1851800000,511900000,137100000,374800000,2363700000,5.047e+09,5.7e+08,875800000,642500000,-1.7e+07,2071300000,2071300000,7118300000,-15300000,27400000,25500000,9e+05,1.37e+08,-21600000,-5e+06,-126700000,-246500000,-11500000,-99400000,7e+05,79100000,-24600000,-134100000,-134100000,3800000,-130300000,60800000,1874500000,42500000,0.44468,0.08883,0.03059,0.00555,0.00162,3.69565,1.27254,2.43663,0.26334,0.0891500000000001,0.08867,2.91473,11.63798,0.32946,0.00258,0.00953,20.60691,37.51198
"45","2021_Q4",15.31140625,"Down",347100000,-185700000,161400000,-132200000,-104800000,-27400000,29200000,-45800000,-31900000,-13900000,-16600000,-16600000,-10300000,-26900000,-1e+06,-1e+06,-1e+06,631900000,631900000,565300000,565300000,2.331e+09,2.331e+09,3528200000,571100000,3070900000,190800000,2.207e+09,275900000,397200000,3.642e+09,7170200000,1351900000,1070200000,5e+06,19200000,257500000,19100000,1385700000,1385700000,2756700000,1850700000,499700000,138700000,3.61e+08,2350400000,5107100000,580400000,8.8e+08,631100000,-28400000,2063100000,2063100000,7170200000,-26900000,27400000,33100000,-9200000,69900000,-1.5e+07,9900000.00000001,-81400000,-89300000,-7400000,2e+05,2e+05,57800000,50500000,31100000,31100000,-9400000,21700000,56600000,1869800000,42700000,0.465,0.08413,-0.00288,-0.00048,-0.00014,-42.7,1.27986,2.47545,0.26077,-0.00808,-0.00805,2.80598,11.98626,0.34519,-0.00023,0.00963,21.87102,42.39384
"46","2022_Q1",16.0316129032258,"Up",1158700000,-701600000,457100000,-340900000,-239600000,-101300000,116200000,-35900000,-32900000,-3e+06,80300000,80300000,2200000,82500000,5100000,5100000,5100000,177600000,177600000,381300000,381300000,2832900000,2619700000,3391800000,143500000,3915400000,159100000,1.598e+09,243300000,148400000,4058900000,7450700000,9.39e+08,785300000,7900000,6100000,139700000,16300000,2.054e+09,1692300000,3009300000,1849700000,487800000,55900000,118100000,2337500000,5346800000,590900000,9.12e+08,625700000,-24700000,2103900000,2103900000,7450700000,82500000,101300000,21200000,-4900000,57700000,-46600000,5300000,-337200000,-803599999,-11300000,30300000,30300000,294400000,273200000,-472699999,-472699999,1500000,-471199999,217500000,1.866e+09,163800000,0.39449,0.10028,0.0044,0.00242,0.00068,32.11765,1.12711,2.54138,0.25045,0.04807,0.0489,10.92083,14.26013,1.54383,0.00114,0.03675,7.76276,14.53012
"47","2022_Q2",15.6745161290323,"Down",369400000,-210800000,158600000,-144900000,-118900000,-2.6e+07,13700000,-26800000,-25600000,-1200000,-13100000,-13100000,4700000,-8400000,-3e+05,-3e+05,-3e+05,134199999,134199999,433300000,433300000,4937500000,2878900000,5504999999,142200000,2145199999,153400000,1595400000,236600000,159799999,2287399999,7792399998,959700000,833500000,3400000,18600000,104200000,1.034e+09,2571900000,1866600000,4565600000,939800000,169500000,60500000,1.09e+08,1109300000,5674900000,601600000,915800000,614600000,-14500000,2117500000,2117500000,7792400000,-8400000,2.6e+07,8e+06,-35100000,-6e+07,-13500000,-3799999,-229400000,-258499999,105100000,6e+05,6e+05,144900000,272600000,-45899999,-45899999,3e+06,-42899999,39700000,1973800000,-13600000,0.42934,0.03709,-0.00081,-0.00014,-4e-05,45.33333,1.20576,2.68,0.2533,-0.00235,-0.00235,2.89725,11.88941,-0.10667,-7e-05,-0.00319,46.33753,134.27737
"48","2022_Q3",15.0184375,"Down",384200000,-211900000,172300000,-1.5e+08,-124100000,-25900000,22300000,-29900000,-25900000,-4e+06,-7600000.00000001,-15300000,9900000,-5400000,210200000,210200000,210200000,804400000,804400000,425700000,425700000,2766400000,2766400000,3996500000,138500000,1.991e+09,147300000,1466700000,236400000,140600000,2129500000,6.126e+09,1005700000,736100000,137800000,6500000,125300000,760900000,1781300000,1781300000,3547900000,190700000,1.46e+08,52900000,93100000,336700000,3884600000,612500000,848400000,813800000,-33299999,2241400001,2241400001,6126000001,-5400000,25900000,34200000,83300000,-240800000,-1.8e+07,-1500001,7.3e+07,2131699999,-1032000001,-81800000,299999.999999993,-84800000,-1209800001,681099998,681099998,-9100000,671999998,48200000,951600000,103600000,0.44846,0.05804,0.54711,0.09378,0.03431,0.49286,1.12644,1.73311,0.15534,1.73147,1.73147,3.16474,13.41763,0.85338,0.06295,0.03103,3.05394,6.6009
