"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.1163492063492,"Up",2765900000,-2009200000,756700000,-617200000,-617200000,139500000,-65200000,-7.1e+07,5800000,74300000,74300000,-54100000,20200000,-14200000,-14200000,6e+06,-4600000,1400000,1400000,599100000,599100000,2172900000,1.364e+09,6.84e+08,6.84e+08,4.82e+09,1855800000,13040900000,4987300000,6.544e+09,1509600000,14896700000,19716700000,3198800000,1193900000,2004900000,1007600000,4206400000,2923700000,5462300000,1.924e+09,1.848e+09,1690300000,8.386e+09,12592400000,2701300000,4816900000,-500800000,7017400000,106900000,7124300000,19716700000,20200000,105100000,63400000,-228100000,-2.3e+07,-62400000,-33800000,-3300000,-35900000,-22500000,-169500000,-1600000,-183200000,-281500000,-281500000,3900000,-277600000,244600000,3931300000,36800000,0.27358,0.05044,0.00051,2e-04,7e-05,26.28571,1.14587,1.76753,0.19939,0.00434,0.00416,8.57112,21.74589,0.11404,0.06972,-59.3743439769471,0.00145,0.00223,16.07143,13.62306,23.88674
"2","2010_Q3",22.7859375,"Down",3481800000,-2472700000,1009100000,-645700000,-645700000,363400000,-62700000,-71100000,8400000,300700000,300700000,-54900000,245800000,-43800000,-43800000,2.02e+08,-5500000,196500000,196500000,821600000,821600000,2821500000,1429500000,709100000,6.78e+08,5781700000,1783900000,12791700000,4925600000,6446700000,1419400000,14575600000,20357300000,3873200000,1421900000,2451300000,975200000,4877500000,2909900000,5413700000,1923600000,1809400000,1680700000,8323600000,13201100000,2746400000,4990700000,-685700000,7051400000,104800000,7156200000,20357300000,245800000,104700000,-11900000,-25400000,8e+06,321200000,-33300000,-2200000,-36900000,-22500000,-49099999.9999999,-12300000,-57200000,227100000,227100000,-4600000,222500000,468100000,3885100000,464300000,0.28982,0.10437,0.05644,0.02746,0.00965,2.36285,1.18538,1.84471,0.19085,0.60686,0.57948,10.75293,21.77702,1.43391,0.06949,-25.7329834543718,0.01331,0.02822,0.114500000000003,6.54454,8.4301
"3","2010_Q4",26.97453125,"Up",4119700000,-2954200000,1165500000,-725700000,-725700000,439800000,-62100000,-70200000,8100000,377700000,377700000,-80400000,297300000,-59700000,-59700000,237600000,-5400000,232200000,232200000,810700000,810700000,2466500000,1.539e+09,698700000,666500000,5514900000,1.786e+09,12934400000,4916100000,6560500000,1457800000,14720400000,20235300000,3570100000,1401300000,2168800000,738400000,4338100000,2922800000,5300900000,1705500000,1929500000,1665900000,8223700000,12561800000,2767200000,5200300000,-393700000,7573800000,99700000,7673500000,20235300000,297300000,119600000,75400000,-183600000,-50600000,258100000,-3.8e+07,0,-37400000,-22700000,-2.29e+08,-9e+06,-250300000,-29600000,-29600000,18700000,-10900000,559400000,3661200000,418200000,0.28291,0.10676,0.05636,0.03026,0.01147,1.80103,1.27127,1.63704,0.18093,0.71534,0.68496,12.69162,23.33272,1.28835,0.06993,-5.27486879538943,0.01532,0.02514,0.09776,5.09564,6.48136
"4","2011_Q1",30.2390322580645,"Up",3633700000,-2623800000,1009900000,-691200000,-691200000,318700000,-60700000,-70900000,10200000,2.58e+08,2.58e+08,-38700000,219300000,199999.999999993,199999.999999993,219500000,-7400000,212100000,212100000,1014300000,1014300000,2224200000,1288500000,1760400000,643971414.888918,6287400000,1.669e+09,12034500000,4479100000,6150300000,1405100000,13703500000,19990900000,3348100000,1255900000,2092200000,761600000,4285900000,2922300000,4723600000,1439100000,1675200000,1609300000,7645900000,11931800000,2899900000,5389400000,-3.25e+08,7964300000,94800000,8059100000,19990900000,219300000,107400000,135800000,-288600000,4600000.00000001,178500000,-59900000,-8500000,-68400000,-2.3e+07,18799999.9999999,-6600000,8.7e+07,197100000,197100000,6500000,203600000,426100000,3683900000,116300000,0.27793,0.08771,0.05837,0.02632,0.01061,0.54833,1.467,1.48054,0.18428,0.64724,0.61567,11.0885,24.30363,0.3549,0.07019,5,0.01428,0.00706,0.10844,6.2652,8.37653
"5","2011_Q2",30.8455555555556,"Up",3273800000,-2368600000,905200000,-677100000,-677100000,228100000,-63400000,-68300000,4900000,164700000,-21600000,-40800000,-62400000,-9100000,-9100000,-71500000,-6100000,-77600000,-77600000,918100000,918100000,2332600000,1578300000,1526900000,612500000,6355900000,1661900000,12106700000,4465100000,6236200000,1405400000,13768600000,20124500000,3395600000,1382900000,2012700000,791100000,4346600000,2888300000,4683900000,1425800000,1671100000,1.587e+09,7572200000,11918800000,2953700000,5288700000,-133900000,8108500000,97200000,8205700000,20124500000,-62400000,98300000,258100000,-347200000,-9300000,-62500000,-38500000,-2500000,-4.1e+07,-23100000,-8200000,-4100000,6e+05,-102900000,-102900000,6700000,-96200000,326400000,3679400000,-18500000,0.2765,0.06967,-0.0237,-0.00946,-0.00386,0.2384,1.46227,1.4525,0.18283,-0.23437,-0.23437,9.88765,24.48958,-0.05587,0.06977,8.09162293179648,-0.00329,-0.00112,-0.29768,8.45987,12.10566
"6","2011_Q3",22.99890625,"Down",4091400000,-2.863e+09,1228400000,-729200000,-729200000,499200000,-69300000,-71700000,2400000,429900000,229400000,-99800000,129600000,-30300000,-30300000,99300000,-7e+06,92299999.9999999,92299999.9999999,1259800000,1259800000,2.605e+09,1590900000,1356500000,6.08e+08,6812200000,1640300000,1.2088e+10,4440400000,6259100000,1388500000,13728300000,20540500000,3656400000,1490100000,2166300000,753300000,4607300000,2881300000,4686900000,1429500000,1701600000,1555800000,7568200000,12175500000,2976700000,5.341e+09,-39500000,8278200000,86800000,8.365e+09,20540500000,129600000,106700000,247200000,-77599999.9999999,-10900000,3.95e+08,-7e+06,500000.000000015,37900000,-4e+07,-48200000,-18100000,-96400000,336500000,336500000,5200000,341700000,605900000,3634600000,621100000,0.30024,0.12201,0.02256,0.01103,0.00449,6.72914,1.47857,1.45553,0.17695,0.27651,0.25034,12.25704,24.79988,1.8607,0.11983,7,0.00793,0.03722,0.43337,3.91946,4.75721
"7","2011_Q4",20.0547619047619,"Down",3910100000,-2756100000,1.154e+09,-708700000,-708700000,445300000,-48400000,-69700000,21300000,396900000,132100000,-28400000,103700000,-10300000,-10300000,93400000,-7200000,86200000,86200000,1403800000,1403800000,2366100000,1512900000,653300000,608800000,5936100000,1601200000,11965100000,4386300000,6159800000,1.419e+09,13566300000,19502400000,3529300000,1.345e+09,2184300000,7.6e+08,4333300000,2.881e+09,4609400000,1416200000,1657800000,1535400000,7490400000,11823700000,2470700000,5388800000,-270200000,7589300000,89400000,7678700000,19502400000,103700000,96800000,215100000,5e+05,-7800000,408300000,-34300000,336900000,302600000,-38400000,3900000,-5900000,-554500000,156400000,156400000,-12400000,1.44e+08,542100000,3.641e+09,536700000,0.29513,0.11388,0.02205,0.01123,0.00442,6.22622,1.36988,1.5398,0.18669,0.26272,0.25338,11.9174,23.13106,1.63578,0.11704,5,0.00782,0.03369,0.44548,4.12691,5.02403
"8","2012_Q1",24.7966129032258,"Up",1485500000,-1292300000,193200000,-280200000,-280200000,-8.7e+07,-6.9e+07,-68800000,-2e+05,-1.56e+08,-151300000,123600000,-27700000,275800000,275800000,248100000,-5800000,242300000,242300000,1160700000,1160700000,2135600000,1278300000,704600000,354700000,5279200000,1639400000,11925500000,4333600000,6.104e+09,1487900000,13564900000,18844100000,3362300000,1224200000,2138100000,763300000,4125600000,2879300000,4826800000,1709900000,1619100000,1497800000,7706100000,11831700000,1930100000,5547800000,-553600000,6924300000,88100000,7012400000,18844100000,-27700000,56700000,-205700000,194200000,428500000,4.46e+08,-88800000,63500000.0000001,-92000000.0000001,-35800000,-300000.000000007,26900000,-596100000,-242100000,-242100000,-1e+06,-243100000,-30300000,3642600000,-48500000,0.13006,-0.05857,0.16311,0.03455,0.01286,-0.20017,1.27962,1.68725,0.1933,0.79131,0.76387,4.8514,22.61365,-0.15839,0.11692,5,0.01796,-0.00313000000000001,0.14775,-81.91089,-28.52759
"9","2012_Q2",27.0092063492063,"Up",3150700000,-2249400000,901300000,-689600000,-689600000,211700000,-69600000,-69400000,-2e+05,142100000,142400000,-3.8e+07,104400000,-2200000,-2200000,102200000,-6600000,95600000,95600000,1089500000,1089500000,2230500000,1432600000,615200000,615200000,5367800000,1640100000,11902600000,4309300000,6147200000,1446100000,13542700000,18910500000,3334800000,1344200000,1990600000,765600000,4100400000,2879300000,4632300000,1680100000,1497300000,1454900000,7511600000,1.1612e+10,1952700000,5643200000,-388600000,7207300000,91200000,7298500000,18910500000,104400000,9.8e+07,98700000,-218900000,-65800000,16400000,-49700000,-49524781.9443167,-49700000,-46600000,-1300000,-6900000,-41900000,-75200000,-75200000,4e+06,-71200000,309700000,3644900000,79100000,0.28606,0.06719,0.03034,0.0131,0.00506,0.82741,1.30909,1.59101,0.19274,0.31952,0.30602,10.53041,24.08857,0.26437,0.15575,5,0.00913,0.00508,0.48745,8.25121,12.07085
"10","2012_Q3",29.101746031746,"Up",3821300000,-2.644e+09,1177300000,-703600000,-703600000,473700000,-5.8e+07,-62100000,4100000,415700000,419900000,-54800000,365100000,7800000,7800000,372900000,-7100000,365800000,365800000,903400000,903400000,2427900000,1.475e+09,564800000,564800000,5371100000,1609100000,11758500000,4258700000,6051100000,1448700000,13367600000,18738700000,3487200000,1489800000,1997400000,4.22e+08,3909200000,2871500000,4571300000,1641200000,1483100000,1.447e+09,7442800000,1.1352e+10,1938100000,5959400000,-601900000,7295600000,91100000,7386700000,18738700000,365100000,95100000,-76199999.9999999,-86699999.9999999,-8100000.00000006,289200000,-52100000,1.19209289550781e-07,-16100000,-49800000,-351600000,-1.4e+07,-438400000,-165300000,-165300000,-20800000,-186100000,568800000,3293500000,484800000,0.30809,0.12396,0.09573,0.04952,0.01952,1.32531,1.37396,1.53682,0.17576,1.18305,1.16275,12.35867,23.59508,1.56792,0.16106,5,0.02725,0.03179,0.13614,4.20199999999998,5.0456
