"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.0269841269841,"Up",3.62e+08,-312500000,49500000,-29800000,-32100000,2300000,19700000,-4500000,-6700000,15200000,0,15200000,-1100000,14100000,14100000,14100000,14100000,4.11e+08,4.11e+08,197100000,197100000,156400000,91700000,19300000,22300000,856200000,688500000,386600000,300300000,86300000,1075100000,1931300000,313500000,121100000,192400000,0,313500000,397100000,398700000,55700000,55700000,26600000,316400000,795800000,1109300000,905700000,1.67e+08,-250700000,8.22e+08,8.22e+08,1931300000,14100000,21600000,-2600000,-47500000,-14400000,-18900000,-19500000,-15800000,-1344898743.80792,2200000,2200000,-13600000,-47500000,-47500000,-47500000,41300000,397100000,-2.4e+07,0.13674,0.05442,0.03895,0.01715,0.0073,-1.70213,2.7311,1.34951,0.20561,0.18077,0.17848,4.64103,10.53846,-0.30769,0.20256,176.03091717964,0.01848,-0.01483,1.12057,-0.33656,-0.70558
"2","2010_Q3",12.71515625,"Down",405700000,-347700000,5.8e+07,-35900000,-35900000,0,22100000,3100000,-6e+06,25200000,0,25200000,-8300000,16900000,16900000,16900000,16900000,388400000,388400000,211800000,211800000,1.63e+08,76900000,15700000,10800000,840100000,683900000,409700000,300300000,109400000,1093600000,1933700000,300900000,111700000,189200000,-3.72529029846191e-09,300900000,402300000,406800000,54300000,54300000,26700000,325800000,809100000,1.11e+09,913600000,168200000,-258100000,823700000,823700000,1933700000,16900000,21600000,-5300000,-25100000,8100000,-19900000,-20400000,-15700000,-464049581.269308,5300000,5300000,-10300000,-22600000,-22600000,-22600000,43700000,402300000,7e+06,0.14296,0.05447,0.04166,0.02052,0.00874,0.414200000000001,2.79196,1.34758,0.20805,0.21392,0.21392,5.13544,10.42658,0.0886099999999999,0.19873,106.020611453094,0.01997,0.00429,0.92899,0.31808,0.62896
"3","2010_Q4",13.32421875,"Up",432800000,-366500000,66300000,-3.3e+07,-33300000,3e+05,33300000,5500000,-6100000,38800000,0,38800000,-7e+06,31800000,31800000,31800000,31800000,393400000,393400000,231100000,231100000,157300000,7.1e+07,12500000,17600000,852800000,683800000,426200000,300300000,125900000,1.11e+09,1962800000,297400000,107900000,189500000,1800000,299200000,385100000,421100000,50400000,50400000,39800000,330900000,806200000,1105400000,919700000,1.84e+08,-246300000,857400000,857400000,1962800000,31800000,21600000,3500000,-9500000,47400000,-21700000,-11600000,-1.6e+07,-18900000,4e+06,4e+06,-30800000,5e+06,5e+06,5e+06,54900000,386900000,30700000,0.15319,0.07694,0.07348,0.03709,0.0162,0.96541,2.85027,1.28925,0.19712,0.4005,0.39651,5.45088,10.79849,0.38665,0.20151,58.0123668718562,0.0287,0.01843,0.50314,-0.1184,-0.1952
"4","2011_Q1",13.3622580645161,"Up",385400000,-323200000,62200000,-33200000,-33100000,-99999.9999999999,2.9e+07,2900000,-5600000,31900000,-34200000,-2300000,4300000,1999999.99999999,1999999.99999999,1999999.99999999,1999999.99999999,458600000,458600000,167900000,167900000,155600000,100700000,6100000,48600000,882800000,6.75e+08,490900000,300300000,190600000,1165900000,2048700000,313200000,115500000,197700000,77800000,3.91e+08,418200000,409200000,58600000,58600000,23500000,327100000,827400000,1218400000,921900000,170200000,-261800000,830300000,830300000,2048700000,1999999.99999999,22100000,-1e+06,51300000,74400000,-21700000,-108200000,-15800000,114200000,6e+05,6e+05,9.9e+07,65200000,65200000,65200000,51100000,4.96e+08,76400000,0.16139,0.07525,0.00518999999999997,0.00240999999999999,0.000980000000000002,38.2,2.2578,1.46742,0.2421,0.0248799999999999,0.02457,4.79353,10.32711,0.95025,0.19652,28.0061834359281,0.01026,0.04402,7.9,0.7319,1.28966
"5","2011_Q2",16.0247619047619,"Up",4.36e+08,-359200000,76800000,-38100000,-39500000,1400000,38700000,181200000,-7e+06,219900000,-1e+05,219800000,-86100000,133700000,133700000,133700000,133700000,280400000,280400000,256700000,256700000,179700000,80600000,5500000,28800000,797400000,763200000,830700000,628200000,202500000,1593900000,2391300000,338500000,118500000,2.2e+08,89300000,427800000,491900000,521700000,58400000,58400000,107700000,355600000,1013600000,1441400000,922700000,2.88e+08,-260800000,949900000,949900000,2391300000,133700000,23200000,-103700000,-73400000,-20200000,-23800000,-142400000,-15900000,66544011.7066825,3e+05,3e+05,-15600000,-178200000,-178200000,-178200000,61900000,581200000,50800000,0.17615,0.08876,0.30665,0.14075,0.05591,0.37996,1.86396,1.51742,0.24305,1.67965,1.66294,5.47739,11.93342,0.63819,0.19975,12.0020611453094,0.07288,0.02475,0.11892,4.85945,7.77261
"6","2011_Q3",13.83078125,"Down",529100000,-413700000,115400000,-42300000,-42500000,2e+05,73100000,-7e+06,-7100000,66100000,-2400000,63700000,-21600000,42100000,42100000,42100000,42100000,276500000,276500000,306400000,306400000,1.82e+08,77400000,4100000,25700000,842300000,780600000,841600000,627400000,214200000,1622200000,2464500000,365700000,142900000,222800000,88500000,454200000,494300000,528200000,57200000,57200000,113300000,357700000,1022500000,1476700000,933400000,3.14e+08,-259600000,987800000,987800000,2464500000,42100000,25400000,4900000,-34700000,37700000,-37400000,-34500000,-16100000,0,7e+06,7e+06,-7100000.00000001,-3900000,-3900000,-3900000,98500000,582800000,4.8e+07,0.21811,0.13816,0.07957,0.04262,0.01708,1.14014,1.85447,1.49494,0.23648,0.526250000000001,0.51975,6.61375,12.3475,0.6,0.20125,6,0.02773,0.02287,0.38242,3.10964,4.19015
"7","2011_Q4",13.3731746031746,"Down",550200000,-432700000,117500000,-34700000,-3.9e+07,4300000,82800000,-8500000,-7700000,74300000,-4900000,69400000,-22200000,47200000,47200000,47200000,47200000,318300000,318300000,290500000,290500000,166300000,63700000,2200000,11100000,838800000,821300000,831900000,627400000,204500000,1653200000,2.492e+09,367200000,129600000,237600000,87800000,4.55e+08,501800000,5.28e+08,55200000,55200000,113500000,359300000,1029800000,1484800000,932600000,345200000,-270600000,1007200000,1007200000,2.492e+09,47200000,25500000,8e+05,21400000,94900000,-6.1e+07,-34900000,-1.6e+07,0,-2200000,0,-18200000,41800000,41800000,41800000,108300000,589600000,90900000,0.21356,0.15049,0.08579,0.04686,0.01894,1.92585,1.84352,1.47419,0.2366,0.58853,0.58272,6.86035,12.5586,1.13342,0.1995,6,0.02974,0.04278,0.33898,2.50508,3.27657
"8","2012_Q1",15.1490322580645,"Up",445800000,-368300000,77500000,-36700000,-39600000,2900000,40800000,-10200000,-7400000,30600000,-4100000,26500000,-7800000,18700000,18700000,18700000,18700000,304800000,304800000,220600000,220600000,176600000,78300000,7e+05,26700000,780300000,885400000,783900000,627400000,156500000,1669300000,2449600000,386900000,149700000,237200000,12200000,399100000,524200000,540500000,59100000,59100000,99600000,381800000,1064700000,1463800000,932100000,347900000,-294200000,985800000,985800000,2449600000,18700000,25200000,-1700000,61300000,103500000,-70800000,-47800000,-1.6e+07,-51200000,-1e+06,999999.999999999,-69200000,-13500000,-13500000,-13500000,6.6e+07,536400000,64300000,0.17384,0.09152,0.04195,0.01897,0.00763,3.4385,1.95515,1.48489,0.21897,0.23317,0.23144,5.5586,12.29177,0.80175,0.1995,7,0.01682,0.03117,0.85561,3.50909,5.67647
"9","2012_Q2",14.3987301587302,"Down",507200000,-392900000,114300000,-43200000,-43700000,5e+05,71100000,-8700000,-6300000,62400000,-1900000,60500000,-21800000,38700000,38700000,38700000,38700000,220600000,220600000,279900000,279900000,1.86e+08,65400000,0,14100000,751900000,914700000,773300000,627400000,145900000,1.688e+09,2439900000,3.46e+08,125900000,219600000,23600000,369600000,5.12e+08,5.42e+08,58400000,58400000,117200000,366400000,1.054e+09,1423600000,932100000,370600000,-286400000,1016300000,1016300000,2439900000,38700000,25500000,13500000,-73300000,4400000,-75700000,-56800000,-1.6e+07,0,-9e+05,3e+05,-31800000,-84200000,-84200000,-84200000,96600000,535600000,-30600000,0.22535,0.14018,0.0763,0.03808,0.01586,-0.7907,2.03436,1.40077,0.21952,0.48315,0.47837,6.33208,12.68789,-0.38202,0.19975,5,0.02612,-0.01461,0.41344,3.26087,4.43038
"10","2012_Q3",15.208253968254,"Up",508700000,-391400000,117300000,-45200000,-45100000,-1e+05,72100000,-7e+06,-5500000,65100000,-1800000,63300000,-15700000,47600000,47600000,47600000,47600000,198600000,198600000,279400000,279400000,197600000,73700000,6300000,11400000,749300000,961400000,775200000,627400000,147800000,1736600000,2485900000,364800000,1.3e+08,234800000,23600000,388400000,503900000,545900000,57600000,57600000,128700000,359600000,1049800000,1438200000,931400000,402200000,-285900000,1047700000,1047700000,2485900000,47600000,26600000,6500000,-16700000,6.4e+07,-69200000,-58800000,-1.6e+07,-9500000,-1700000,2e+05,-27200000,-2.2e+07,-2.2e+07,-2.2e+07,98700000,527500000,28500000,0.23059,0.14173,0.09357,0.04543,0.01915,0.59874,1.9292,1.37272,0.2122,0.59426,0.58984,6.35081,13.0799,0.35581,0.19975,7,0.02998,0.01344,0.33613,3.33232,4.56172
