"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.4173015873016,"Up",1352600000,-876100000,476500000,-347600000,-347600000,128900000,-5e+05,-1400000,9e+05,128400000,102100000,-38500000,63600000,63600000,63600000,63600000,390100000,338600000,707700000,4.7e+07,4.7e+07,1144800000,719400000,278500000,133300000,101700000,997900000,2142700000,296300000,258600000,37700000,154400000,154400000,468200000,2.5e+08,2.5e+08,131500000,1.5e+07,116500000,381500000,849700000,1.293e+09,2142700000,63600000,39300000,26300000,-93400000,35800000,-45100000,-45100000,-68700000,-207500000,13300000,7400000,-200100000,-2.33e+08,-2.33e+08,0,-2.33e+08,168200000,267500000,68200000,0.35228,0.0953,0.04702,0.04919,0.02968,1.07233,2.44511,0.65715,0.12484,0.24651,0.24462,5.24264,0.26434,267.468962634859,0.03759,0.04031,-0.72889,-0.95112
"2","2010_Q3",22.26859375,"Up",1377900000,-894400000,483500000,-355700000,-355700000,127800000,-2800000,-1600000,-1200000,1.25e+08,1.25e+08,-4.7e+07,7.8e+07,7.8e+07,7.8e+07,7.8e+07,480300000,429300000,751600000,29800000,29800000,1261700000,724100000,271500000,133300000,85500000,995600000,2257300000,316400000,288600000,27800000,1.59e+08,1.59e+08,491900000,2.5e+08,2.5e+08,133900000,15200000,118700000,383900000,875800000,1381500000,2257300000,7.8e+07,39400000,1.49011611938477e-08,6e+05,1.18e+08,-4.5e+07,-4.5e+07,-29100000,2700000,2700000,-9e+05,1800000,90700000,90700000,1.16415321826935e-10,90700000.0000001,167200000,266500000,169800000,0.3509,0.09275,0.05661,0.05646,0.03455,2.17692,2.56495,0.63395,0.11806,0.30709,0.30469,5.4248,0.6685,166.645975089906,0.04377,0.09529,-1.27871,-1.67293
"3","2010_Q4",26.76515625,"Up",1426600000,-920600000,5.06e+08,-365100000,-365100000,140900000,3800000,-1600000,5400000,144700000,144700000,-51500000,93200000,93200000,93200000,93200000,3.92e+08,309500000,934900000,39500000,39500000,1366400000,741400000,254300000,133300000,8.1e+07,995700000,2362100000,322700000,303200000,19500000,227300000,227300000,566500000,2.5e+08,2.5e+08,133400000,14800000,118600000,383400000,949900000,1412200000,2362100000,93200000,38900000,14200000,-125300000,2.1e+07,-56600000,-56600000,-88200000,-52800000,2300000,2e+05,-52600000,-119800000,-119800000,0,-119800000,179800000,266500000,49400000,0.35469,0.09877,0.06533,0.066,0.03946,0.53004,2.412,0.67264,0.11282,0.36984,0.36693,5.66111,0.19603,95.3875850539435,0.05143,0.02726,-0.698,-0.8907
"4","2011_Q1",26.0091935483871,"Down",1725300000,-1077400000,647900000,-389200000,-389200000,258700000,-600000.000000001,-1e+06,4e+05,258100000,258100000,-95600000,162500000,162500000,162500000,162500000,4.86e+08,311200000,803100000,44200000,27900000,1333300000,741100000,306100000,173100000,9.5e+07,1047200000,2380500000,325800000,261400000,64400000,190500000,190500000,532800000,2.5e+08,2.5e+08,138700000,15200000,123500000,388700000,921500000,1.459e+09,2380500000,162500000,42100000,4700000,134600000,343900000,-3.2e+07,-3.2e+07,-188100000,-139400000,1800000,1100000,-153400000,2399999.99999997,2399999.99999997,-7e+05,1699999.99999997,300800000,266500000,4.99e+08,0.37553,0.14994,0.09419,0.11138,0.06826,3.07077,2.50244,0.6316,0.11195,0.64382,0.63976,6.83558,1.97702,48.6937925269718,0.08717,0.26768,-0.72972,-0.84847
"5","2011_Q2",30.2787301587302,"Up",1545900000,-1005100000,540800000,-379100000,-379100000,161700000,-2e+05,-9e+05,7e+05,161500000,161500000,-60500000,1.01e+08,1.01e+08,1.01e+08,1.01e+08,510300000,371300000,771200000,4.4e+07,4.4e+07,1325500000,760200000,295600000,1.75e+08,95500000,1055800000,2381300000,317600000,2.76e+08,41600000,170600000,170600000,504700000,2.5e+08,2.5e+08,139900000,15400000,124500000,389900000,894600000,1486700000,2381300000,1.01e+08,39200000,23800000,-7700000,156300000,-58300000,-58300000,-22100000,-84700000,3900000,9700000,-7.5e+07,59200000,59200000,9e+05,60100000,200900000,266500000,195400000,0.34983,0.1046,0.06533,0.06794,0.04241,1.93465,2.62631,0.60174,0.11191,0.41191,0.40891,6.30465,0.7969,21.5645975089906,0.05335,0.10322,-1.21354,-1.50773
"6","2011_Q3",34.85734375,"Up",1542400000,-1e+09,542400000,-388900000,-388900000,153500000,-1200000,-7e+05,-5e+05,152300000,152300000,-57400000,94900000,94900000,94900000,94900000,545400000,421600000,813900000,4.9e+07,4.9e+07,1408300000,783100000,287500000,1.75e+08,94700000,1070600000,2478900000,311200000,302700000,8500000,169100000,169100000,495800000,2.5e+08,2.5e+08,145400000,15500000,129900000,395400000,891200000,1587700000,2478900000,94900000,39600000,16700000,-48300000,102900000,-6.3e+07,-6.3e+07,-48200000,-3700000,4100000,-700000.000000002,-4399999.99999999,50300000,50300000,0,50300000,193100000,265500000,139200000,0.35166,0.09952,0.06153,0.05977,0.03828,1.46681,2.84046,0.56132,0.1071,0.38798,0.38577,6.30581,0.56909,9,0.04748,0.06965,-1.44951,-1.82345
"7","2011_Q4",39.9574603174603,"Up",1596600000,-1.036e+09,560600000,-395700000,-395700000,164900000,-7e+05,-6e+05,-1e+05,164200000,164200000,-59700000,104500000,104500000,104500000,104500000,280200000,280200000,1005400000,46900000,46900000,1332500000,816500000,282200000,173500000,93700000,1098700000,2431200000,362600000,351900000,10700000,2.09e+08,2.09e+08,587100000,2.5e+08,2.5e+08,147200000,15200000,1.32e+08,397200000,984300000,1446900000,2431200000,104500000,41100000,8800000,-94900000,59500000,-75500000,-75500000,48300000,-248200000,1300000,0,-248200000,-140400000,-140400000,-1e+06,-141400000,2.06e+08,265500000,95300000,0.35112,0.10328,0.06545,0.07222,0.04298,0.91196,2.26963,0.68028,0.10921,0.43614,0.43271,6.66361,0.39775,6,0.05619,0.05125,-0.07136,-0.08914
"8","2012_Q1",44.215,"Up",1945600000,-1211100000,734500000,-432500000,-432500000,3.02e+08,-5e+05,-7e+05,2e+05,301500000,301500000,-113600000,187900000,187900000,187900000,187900000,288300000,288300000,867400000,53700000,27500000,1209400000,825300000,293900000,173100000,1.04e+08,1119200000,2328600000,3.5e+08,286700000,63300000,215500000,215500000,5.81e+08,2.5e+08,2.5e+08,1.53e+08,15500000,137500000,4.03e+08,9.84e+08,1344600000,2328600000,187900000,4.4e+07,-2400000,138300000,367800000,-53300000,-53300000,-64100000,-298400000,1600000,4800000,-295600000,8100000,8100000,-1.16415321826935e-10,8099999.99999997,3.46e+08,265500000,544600000,0.37752,0.15522,0.09658,0.13974,0.08069,2.89835,2.08158,0.73182,0.11402,0.80644,0.79923,8.35021,2.33734,7,0.10657,0.30889,-0.0659,-0.0754999999999997
"9","2012_Q2",50.9438095238095,"Up",1723600000,-1120900000,602700000,-414700000,-414700000,1.88e+08,6e+05,-5e+05,1100000,188600000,188600000,-72500000,116100000,116100000,116100000,116100000,382300000,382300000,8.75e+08,47100000,29200000,1304400000,848800000,297900000,1.74e+08,104700000,1146700000,2451100000,363500000,319100000,44400000,1.87e+08,1.87e+08,8.16e+08,0,0,154500000,15700000,138800000,154500000,970500000,1480600000,2451100000,116100000,41800000,20900000,-44300000,134500000,-65400000,-65400000,-65400000,1400000,5900000,23600000,2.5e+07,94100000,94100000,-1e+05,9.4e+07,229800000,265500000,192600000,0.34968,0.10907,0.06736,0.07841,0.04737,1.65891,1.59853,0.65548,0.10832,0.50151,0.49871,7.44536,0.83197,7,0.06109,0.10134,-0.50827,-0.62128
"10","2012_Q3",49.9177777777778,"Down",1704600000,-1.105e+09,599600000,-415200000,-415200000,184400000,-1100000,-1100000,1.86264514923096e-09,183300000,183300000,-64100000,119200000,119200000,119200000,119200000,379800000,379800000,891700000,50100000,31400000,1321600000,879800000,298300000,173100000,101400000,1178100000,2499700000,374200000,352400000,21800000,192300000,192300000,580800000,2.5e+08,2.5e+08,145900000,4200000,141700000,395900000,976700000,1.523e+09,2499700000,119200000,4.3e+07,3100000,-20000000.0000001,145300000,-74700000,-74700000,-7.5e+07,-70600000,1400000,499999.999999996,-71300000,-1e+06,-1e+06,-1500000,-2499999.99999999,227400000,264300000,196800000,0.35175,0.10818,0.06993,0.07827,0.04769,1.65101,2.27548,0.6413,0.10573,0.51535,0.51247,7.36965,0.85084,8,0.06166,0.1018,-0.50792,-0.62636
