"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","total_consumer_loans","other_assets","total_assets","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",15.8219672131148,"Down",5.83e+08,4.75e+08,6.9e+08,-2.15e+08,1.08e+08,1.08e+08,-4.83e+08,1e+08,-3.69e+08,-3.69e+08,-2.69e+08,-2.69e+08,-3.02e+08,1.34e+08,-1.68e+08,-1.68e+08,-1.97e+08,-1.97e+08,9.39e+08,2.543e+09,1.4305e+10,-1.254e+09,1.5559e+10,1.5559e+10,1.404e+09,2.119e+10,1.73e+10,1.131e+09,1.846e+10,1.534e+09,1.308e+09,-3.3e+07,2.809e+09,2.73e+09,2.119e+10,-1.68e+08,1.23e+08,-1.84e+08,8.9e+07,3.43e+08,-3.576e+09,7.95e+08,-2.779e+09,-3.1e+07,0,-3.1e+07,-2.467e+09,-2.467e+09,-2.468e+09,-1.46e+08,1.7329e+10,-0.46141,-0.33791,-0.07216,-0.0093,6.7619,0.81779,-1.46195,-1.46195,4.32649,20.84581,-0.0093,-112.26027,-60.92937
"2","2016_Q2",16.5378125,"Up",9.08e+08,6.05e+08,8.31e+08,-2.26e+08,3.03e+08,3.03e+08,-1.97e+08,7.11e+08,-4.26e+08,-4.26e+08,2.85e+08,2.85e+08,2.52e+08,-87000000.0000001,1.65e+08,1.65e+08,1.37e+08,1.37e+08,7.16e+08,2.46e+09,1.2488e+10,-1.243e+09,1.3731e+10,1.3731e+10,1.43e+09,1.9055e+10,1.487e+10,1.204e+09,1.6127e+10,1.538e+09,1.403e+09,-1.3e+07,2.928e+09,2.928e+09,1.9055e+10,1.65e+08,1.51e+08,-2.04e+08,1.07e+08,4.16e+08,2e+07,-9.1e+07,-45000000.0000005,-6.8e+08,-3e+06,-6.83e+08,-3.12e+08,-3.12e+08,-3.11e+08,4.36e+08,1.4923e+10,0.31388,0.15088,0.04679,0.00719,5.50786,0.78315,1.01711,1.01551,6.74117,21.73804,0.00719,32.58486,49.84912
"3","2016_Q3",16.833125,"Up",6.92e+08,5.27e+08,7.41e+08,-2.14e+08,1.65e+08,1.65e+08,-2.14e+08,4.78e+08,-4.15e+08,-4.15e+08,6.3e+07,6.3e+07,4.2e+07,-1.6e+07,2.6e+07,2.6e+07,2.6e+07,2.6e+07,7.42e+08,2.294e+09,1.2531e+10,-1.226e+09,1.3757e+10,1.3757e+10,1.032e+09,1.8544e+10,1.4362e+10,1.151e+09,1.5524e+10,1.544e+09,1.471e+09,5e+06,3.02e+09,3.02e+09,1.8544e+10,2.6e+07,1.5e+08,5.9e+07,-2.06e+08,2.43e+08,7.85e+08,-4.92e+08,2.93e+08,-5.49e+08,1e+06,-5.48e+08,-1.2e+07,-1.2e+07,-1.2e+07,2.13e+08,1.4373e+10,0.09104,0.03757,0.00861,0.0014,5.1404,0.77508,0.19298,0.19266,5.13626,22.41546,0.0014,63.99531,216.36508
"4","2016_Q4",14.3628571428571,"Down",7.13e+08,5.55e+08,7.7e+08,-2.15e+08,1.58e+08,1.58e+08,-2.63e+08,4.5e+08,-3.96e+08,-3.96e+08,5.4e+07,5.4e+07,3.3e+07,-7999999.99999999,2.5e+07,2.5e+07,2.5e+07,2.5e+07,6.58e+08,2.346e+09,1.259e+10,-1.28e+09,1.387e+10,1.387e+10,8.3e+08,1.8353e+10,1.3994e+10,1.241e+09,1.5307e+10,1.546e+09,1.496e+09,4e+06,3.046e+09,3.046e+09,1.8353e+10,2.5e+07,1.15e+08,-1.19e+08,1.93e+08,4.77e+08,2e+08,-3.66e+08,-1.59e+08,-3.92e+08,-2e+06,-3.94e+08,-7.6e+07,-7.6e+07,-7.6e+07,1.69e+08,1.4066e+10,0.07574,0.03506,0.00821,0.00136,5.02528,0.76641,0.18556,0.1852,5.29206,22.60814,0.00136,79.33728,248.2963
"5","2017_Q1",14.6862903225806,"Up",7.14e+08,5.67e+08,7.68e+08,-2.01e+08,1.47e+08,1.47e+08,-2.58e+08,4.56e+08,-3.94e+08,-3.94e+08,6.2e+07,6.2e+07,2.9e+07,-2e+06,2.7e+07,2.7e+07,2.7e+07,2.7e+07,5.79e+08,2.332e+09,1.2457e+10,-1.275e+09,1.3732e+10,1.3732e+10,8.41e+08,1.8123e+10,1.3959e+10,1.089e+09,1.5057e+10,1.549e+09,1.523e+09,-6e+06,3.066e+09,3.066e+09,1.8123e+10,2.7e+07,1.05e+08,9e+06,-2.13e+08,1.86e+08,-1e+06,-1.87e+08,-1.95e+08,-5.7e+07,-3e+06,-6e+07,-6.9e+07,-6.9e+07,-6.9e+07,1.67e+08,1.3968e+10,0.08683,0.03782,0.00881,0.00149,4.91096,0.77073,0.20041,0.19897,5.29985,22.75817,0.00149,80.17365,215.95161
"6","2017_Q2",13.7480952380952,"Down",6.98e+08,5.57e+08,7.59e+08,-2.02e+08,1.41e+08,1.41e+08,-2.45e+08,4.53e+08,-3.73e+08,-3.73e+08,8e+07,8e+07,5.7e+07,-2.4e+07,3.3e+07,3.3e+07,3.3e+07,3.3e+07,7.87e+08,2.313e+09,1.2164e+10,-1.224e+09,1.3388e+10,1.3388e+10,8.1e+08,1.7973e+10,1.3679e+10,1.181e+09,1.4868e+10,1.551e+09,1.556e+09,-2e+06,3.105e+09,3.105e+09,1.7973e+10,3.3e+07,9.8e+07,3e+07,3.8e+07,4.44e+08,3e+07,28999999.9999999,5.9e+07,-3e+08,-5e+06,-3.05e+08,1.98e+08,1.98e+08,1.98e+08,1.78e+08,1.3687e+10,0.11461,0.04728,0.01063,0.00184,4.78841,0.76153,0.24405,0.24341,5.16201,22.96282,0.00184,72.47191,161.25
"7","2017_Q3",15.667619047619,"Up",6.9e+08,5.69e+08,7.72e+08,-2.03e+08,1.21e+08,1.21e+08,-2.36e+08,4.54e+08,-3.74e+08,-3.74e+08,8e+07,8e+07,6.6e+07,-2.4e+07,4.2e+07,4.2e+07,4.2e+07,4.2e+07,8.62e+08,2.295e+09,1.2802e+10,-1.248e+09,1.405e+10,1.405e+10,8.53e+08,1.8698e+10,1.4409e+10,1.13e+09,1.5544e+10,1.553e+09,1.598e+09,3e+06,3.154e+09,3.154e+09,1.8698e+10,4.2e+07,8.4e+07,-4e+06,-6.2e+07,2.96e+08,1e+06,-9.14e+08,-9.13e+08,6.79e+08,0,6.79e+08,6.2e+07,6.2e+07,6.2e+07,1.64e+08,1.4414e+10,0.11594,0.06087,0.01332,0.00225,4.92834,0.77088,0.31054,0.30993,5.10168,23.31985,0.00225,82.63415,169.4
"8","2017_Q4",16.1531746031746,"Up",7.53e+08,6.01e+08,8.08e+08,-2.07e+08,1.52e+08,1.52e+08,-2.43e+08,5.1e+08,-3.67e+08,-3.67e+08,1.43e+08,1.43e+08,1.21e+08,-5.2e+07,6.9e+07,6.9e+07,6.9e+07,6.9e+07,9.16e+08,2.239e+09,1.3224e+10,-1.272e+09,1.4496e+10,1.4496e+10,7.97e+08,1.905e+10,1.4619e+10,1.185e+09,1.582e+10,1.558e+09,1.667e+09,5e+06,3.23e+09,3.23e+09,1.905e+10,6.9e+07,8.3e+07,-2.7e+07,1.32e+08,5e+08,8e+07,-6.89e+08,-6.09e+08,1.88e+08,-4.65661287307739e-10,1.88e+08,7.9e+07,7.9e+07,8e+07,2.26e+08,1.4635e+10,0.18991,0.09163,0.02136,0.00362,4.89783,0.76824,0.51015,0.50843,5.56732,23.88108,0.00362,60.70354,95.93706
"9","2018_Q1",18.5831147540984,"Up",7.99e+08,6.53e+08,8.57e+08,-2.04e+08,1.46e+08,1.46e+08,-2.31e+08,5.68e+08,-3.71e+08,-3.71e+08,1.97e+08,1.97e+08,1.87e+08,-1.48e+08,3.9e+07,3.9e+07,3.9e+07,3.9e+07,9.87e+08,2.195e+09,1.367e+10,-1.287e+09,1.4957e+10,1.4957e+10,7.19e+08,1.9433e+10,1.505e+10,1.06e+09,1.6155e+10,1.561e+09,1.706e+09,1.1e+07,3.278e+09,3.278e+09,1.9433e+10,3.9e+07,6.3e+07,7.3e+07,-9.1e+07,3.15e+08,-4.3e+07,-6.86e+08,-7.29e+08,4.13e+08,0,4.13e+08,-1e+06,-1e+06,-2e+06,2.6e+08,1.5095e+10,0.24656,0.04881,0.0119,0.00201,4.92831,0.77677,0.2883,0.28694,5.90646,24.23202,0.00201,54.26154,71.61421
"10","2018_Q2",18.918125,"Up",7.99e+08,6.62e+08,8.62e+08,-2e+08,1.37e+08,1.37e+08,-2.54e+08,5.45e+08,-3.67e+08,-3.67e+08,1.78e+08,1.78e+08,1.68e+08,-4.4e+07,1.24e+08,1.24e+08,1.24e+08,1.24e+08,1.807e+09,2.385e+09,1.3713e+10,-1.274e+09,1.4987e+10,1.4987e+10,7.12e+08,2.0467e+10,1.5898e+10,1.115e+09,1.7085e+10,1.564e+09,1.83e+09,-1.2e+07,3.382e+09,3.382e+09,2.0467e+10,1.24e+08,6.7e+07,2.7e+07,8.3e+07,5.55e+08,-4.1e+07,-3.4e+08,-3.81e+08,8.33e+08,-6e+06,8.27e+08,1.001e+09,1.001e+09,1.001e+09,2.45e+08,1.597e+10,0.22278,0.15519,0.03666,0.00606,5.05174,0.78028,0.91448,0.91245,5.89249,24.94169,0.00606,57.80816,79.56742
