"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"23","2015_Q4",24.7153125,"Up",1248600000,-451200000,797400000,-539400000,-292400000,-2.47e+08,2.58e+08,-8400000,-8400000,249600000,0,249600000,-51900000,197700000,197700000,197700000,197700000,1983400000,1453500000,529900000,577500000,577500000,337200000,138800000,2898100000,959900000,1263600000,3384300000,39200000,2981300000,363800000,5607800000,8505900000,402800000,209100000,193700000,1032200000,814400000,1734900000,1648700000,694200000,310500000,383700000,2342900000,4077800000,8334300000,-3886800000,-19400000,4428100000,4428100000,8505900000,197700000,42500000,29900000,22900000,2.93e+08,-71100000,-4.3e+07,-3500000,-1.06e+08,-18100000,3.4e+07,-52100000,-54300000,132700000,132700000,123200000,300500000,1948600000,304200000,0.63864,0.20663,0.15834,0.04465,0.02324,1.53869,1.67047,0.92089,0.22909,0.51646,0.50797,3.26176,11.56766,0.79467,7,0.0334,0.04302,-0.11581,-0.13488
"24","2016_Q1",20.9590163934426,"Down",1319600000,-477200000,842400000,-563400000,-316200000,-247200000,2.79e+08,-18500000,-18500000,260500000,1e+05,260600000,-62800000,197800000,197800000,197800000,197800000,1.948e+09,1420900000,527100000,780700000,780700000,183700000,183700000,2912400000,1.021e+09,1244200000,3430300000,33900000,2981300000,415100000,5695500000,8607900000,428800000,159300000,269500000,1073200000,822900000,1801900000,1637500000,594100000,345200000,248900000,2231600000,4033500000,8334800000,-3741200000,-19200000,4574400000,4574400000,8607900000,197800000,4.5e+07,2.7e+07,-152800000,1.17e+08,-55400000,1.9e+07,9.31322574615479e-10,-38700000,-71800000.0000001,24200000,-96000000.0000001,-105200000,-26899999.9999999,-26899999.9999999,-32599999.9999999,3.24e+08,1937400000,178600000,0.63838,0.21143,0.14989,0.04324,0.02298,0.90293,1.61629,0.88175,0.22507,0.51699,0.49824,3.44903,11.95609,0.46681,6,0.03323,0.02513,-0.0327199999999999,-0.0379899999999999
"25","2016_Q2",19.58296875,"Down",1097900000,-4.07e+08,690900000,-542200000,-291200000,-2.51e+08,148700000,-22200000,-22200000,126500000,0,126500000,-35100000,91400000,91400000,91400000,91400000,2245400000,1.646e+09,599400000,783900000,783900000,244900000,244900000,3274200000,1047300000,1171400000,3424800000,30600000,2981300000,412900000,5643500000,8917700000,413500000,2.33e+08,180500000,1101800000,893300000,1515300000,2131800000,632500000,366700000,265800000,2764300000,4279600000,8330700000,-3685100000,-7500000,4638100000,4638100000,8917700000,91400000,4.7e+07,78300000,-44300000,172400000,-49300000,-7900000,2148786.2897861,-57200000,-51400000,3.2e+07,-83400000,104300000,219500000,219500000,225100000,195700000,2131800000,137200000,0.62929,0.13544,0.08325,0.01971,0.01025,1.50109,2.16076,0.92271,0.23905,0.23852,0.23478,2.86508,12.1036,0.35804,8,0.01752,0.01853,-0.58048,-0.76395
"26","2016_Q3",19.56609375,"Down",1221300000,-464900000,756400000,-550200000,-302300000,-247900000,206200000,-11600000,-11600000,194600000,-2400000,192200000,-52200000,1.4e+08,1.4e+08,1.4e+08,1.4e+08,2.344e+09,1756900000,587100000,750300000,750300000,359500000,359500000,3453800000,1066600000,1147100000,3395300000,69100000,3001600000,324600000,5.609e+09,9062800000,427600000,228400000,199200000,1154200000,9.33e+08,1581800000,2132500000,672300000,362600000,309700000,2804800000,4386600000,8.277e+09,-3596400000,-4400000,4676200000,4676200000,9062800000,1.4e+08,51600000,30900000,137500000,3.6e+08,-67600000,20700000,-22800000,-69200000,-126500000,2e+05,-126700000,-1.81e+08,109800000,109800000,110900000,257800000,2132500000,379900000,0.61934,0.16884,0.11463,0.02994,0.01545,2.71357,2.18346,0.93807,0.2353,0.36573,0.36241,3.19044,12.21578,0.99242,6,0.02381,0.05078,-0.8204,-1.0257
"27","2016_Q4",22.1207936507937,"Up",1285300000,-485800000,799500000,-548700000,-296900000,-251800000,250800000,-13400000,-13400000,237400000,-8e+05,236600000,-64200000,172400000,172400000,172400000,172400000,2321700000,1.689e+09,632700000,753600000,753600000,354100000,354100000,3429400000,1.067e+09,1158400000,3490400000,113200000,3048400000,328800000,5715800000,9145200000,382700000,208400000,174300000,1125700000,918500000,1508400000,2133100000,731200000,385600000,345600000,2864300000,4372700000,8256300000,-3470400000,-13400000,4772500000,4772500000,9145200000,172400000,53300000,54500000,-36300000,243900000,-4.6e+07,-59100000,-73900000,-181900000,-86300000,27500000,-113800000,-123400000,-61400000,-61400000,-67900000,304100000,2133100000,2.86e+08,0.62203,0.19513,0.13413,0.03612,0.01885,1.65893,2.27353,0.91623,0.23325,0.45249,0.44837,3.37349,12.52625,0.75066,6,0.02755,0.03745,-0.62019,-0.75199
"28","2017_Q1",23.7620967741935,"Up",1385600000,-527900000,857700000,-570400000,-307400000,-2.63e+08,287300000,-15100000,-15100000,272200000,-1e+05,272100000,-83200000,188900000,188900000,188900000,188900000,2585500000,1833200000,752300000,1054100000,1054100000,332300000,332300000,3971900000,1063800000,1071800000,3.549e+09,130200000,3081700000,337100000,5684600000,9656500000,454600000,2.21e+08,233600000,1281300000,1.032e+09,1735900000,2133700000,824400000,449100000,375300000,2958100000,4.694e+09,8281600000,-3281800000,-37300000,4962500000,4962500000,9656500000,188900000,54800000,113600000,-27600000,329700000,-51800000,-4.3e+07,-47900000,-141800000,1900000,2600000,-7e+05,-29500000,158400000,158400000,144200000,342100000,2133700000,345900000,0.61901,0.20735,0.13633,0.03807,0.01956,1.83113,2.28809,0.94589,0.22096,0.49737,0.483,3.64824,13.06609,0.91074,5,0.02866,0.04367,-1.32067,-1.57257
"29","2017_Q2",24.8471428571429,"Up",1.221e+09,-474400000,746600000,-570900000,-294700000,-276200000,175700000,-15700000,-15700000,1.6e+08,-19400000,140600000,-31800000,108800000,108800000,108800000,108800000,2984300000,2.242e+09,742300000,670900000,670900000,338600000,338600000,3993800000,1050400000,1059400000,3534400000,125900000,3079400000,329100000,5644200000,9.638e+09,379300000,201900000,177400000,1203300000,992500000,1582600000,2134400000,902600000,500500000,402100000,3.037e+09,4619600000,8288700000,-3248700000,-21600000,5018400000,5018400000,9.638e+09,108800000,55800000,76300000,304400000,545300000,-32100000,22400000,-6316962.84915913,-9700000,-9.6e+07,33700000,-129700000,-1.34e+08,401600000,401600000,408800000,231500000,2134400000,535600000,0.61147,0.1439,0.08911,0.02168,0.01129,4.92279,2.52357,0.92053,0.22146,0.28564,0.28041,3.20557,13.17511,1.40614,8,0.01822,0.06649,-3.67127,-4.83722
"30","2017_Q3",24.0088888888889,"Down",1308900000,-507100000,801800000,-535700000,-295500000,-240200000,266100000,-1.3e+07,-1.3e+07,253100000,-8e+06,245100000,-65400000,179700000,179700000,179700000,179700000,3145200000,2392500000,752700000,750400000,750400000,249500000,249500000,4145100000,1026200000,1069400000,3512200000,121700000,3079400000,311100000,5607800000,9752900000,416700000,210700000,2.06e+08,1256100000,9.98e+08,1672800000,2.135e+09,858900000,5.03e+08,355900000,2993900000,4666700000,8241700000,-3.139e+09,-16500000,5086200000,5086200000,9752900000,179800000,56300000,2.8e+07,35900000.0000001,3e+08,-32200000,-31600000,0,11200000,-123800000,1799999.99999999,-125600000,-161600000,149600000,149600000,151800000,322400000,2.135e+09,391500000,0.61258,0.2033,0.13729,0.03533,0.01843,2.17863,2.47794,0.91752,0.21891,0.4724,0.46603,3.44085,13.37066,1.02918,7,0.02692,0.04845,-3.13337,-3.79632
"31","2017_Q4",23.2484126984127,"Down",1257800000,-485300000,772500000,-539500000,-303100000,-236400000,2.33e+08,-5100000,-5100000,227900000,-2e+06,225900000,-60100000,165800000,165800000,165800000,165800000,3285700000,2363700000,9.22e+08,724300000,724300000,273300000,273300000,4283300000,1007500000,913600000,3539900000,1.33e+08,3096200000,310700000,5.461e+09,9744300000,371600000,205400000,166200000,1213700000,977400000,1585300000,2135700000,865200000,485500000,379700000,3000900000,4586200000,8.211e+09,-3046500000,-6400000,5158100000,5158100000,9744300000,165700000,57600000,40100000,-6.2e+07,201400000,-33300000,-19300000,-2.7e+07,-79600000,-111300000,28900000,-140200000,-1.49e+08,-27200000,-27200000,-23300000,290600000,2135700000,255400000,0.61417,0.18524,0.13182,0.03214,0.01702,1.54041,2.70189,0.88913,0.21917,0.43828,0.43324,3.32487,13.63495,0.67513,6,0.02494,0.0313,-3.95733,-4.93562
"32","2018_Q1",22.9867213114754,"Down",1239500000,-488300000,751200000,-512300000,-284400000,-227900000,238900000,-2500000,-2500000,236400000,-36200000,200200000,-348300000,-148100000,-148100000,-148100000,-148100000,3032600000,2006500000,1026100000,8.52e+08,8.52e+08,299900000,299900000,4184500000,1021100000,988400000,3639800000,128100000,3096200000,415500000,5649300000,9833800000,403600000,217600000,1.86e+08,1334600000,1030300000,1738200000,2136300000,1278400000,5.09e+08,769400000,3414700000,5152900000,8042100000,-3355800000,-5400000,4680900000,4680900000,9833800000,-148100000,55900000,-1.11e+08,416600000,213400000,-53600000,-171300000,-6e+06,-230900000,-330200000,99999.9999999925,-330300000,-350200000,-367700000,-367700000,-3.64e+08,294800000,2136300000,1006100000,0.60605,0.19274,-0.11948,-0.03164,-0.01506,-6.79338,2.40738,1.10084,0.21724,-0.39898,-0.38922,3.33917,12.61018,2.7104,5,-0.01374,0.12428,-3.04037,-3.75178
"33","2018_Q2",22.68171875,"Down",1082600000,-464200000,618400000,-564800000,-295400000,-269400000,53600000,-14100000,-14100000,39500000,1900000,41400000,-7e+06,34400000,34400000,34400000,34400000,2931900000,2614200000,317700000,679900000,679900000,308900000,308900000,3920700000,1013800000,516500000,3627500000,123800000,3096200000,407500000,5157800000,9078500000,3.62e+08,189200000,172800000,1118700000,888200000,1.83e+09,1787700000,1136100000,368700000,767400000,2923800000,4753800000,7615500000,-3303300000,12500000,4324700000,4324700000,9078500000,34400000,55700000,72100000,108900000,271100000,-42200000,1176600000,-22200000,1112200000,-724900000,29300000,-754200000,-803600000,579700000,579700000,585900000,109300000,2.137e+09,1.83e+08,0.57122,0.04951,0.03178,0.00795,0.00379,5.31977,2.14246,1.09922,0.23539,0.09682,0.0954,3.047,12.17197,0.51506,5,0.0127,0.02409,-7.27264,-14.83022
"34","2018_Q3",24.4825396825397,"Up",1204100000,-503200000,700900000,-541300000,-292500000,-248800000,159600000,-8900000,-8900000,150700000,2e+05,150900000,-34400000,116500000,116500000,116500000,116500000,3122700000,2690400000,432300000,702200000,702200000,279700000,279700000,4104600000,987100000,407800000,3621500000,119400000,3096100000,4.06e+08,5016400000,9.121e+09,382800000,183200000,199600000,1076200000,872100000,1808500000,1788200000,1106600000,365100000,741500000,2894800000,4703300000,7609800000,-3175700000,-16400000,4417700000,4417700000,9.121e+09,116500000,55200000,56400000,-57800000,170300000,-37100000,17500000,-9300000,-28900000.0000002,2e+05,199999.999999993,0,-62800000,78600000.0000001,78600000.0000001,66999999.9999998,214800000,2137700000,154300000,0.58209,0.13255,0.09675,0.02637,0.01277,1.32446,2.26962,1.06465,0.23437,0.33381,0.33163,3.45014,12.65817,0.44212,5,0.0234,0.02014,-4.58566,-6.17168
"35","2018_Q4",24.9487301587302,"Up",1179800000,-468800000,7.11e+08,-546500000,-292700000,-253800000,164500000,-8100000,-8100000,156400000,-4400000,1.52e+08,71800000,223800000,223800000,223800000,223800000,3.389e+09,2501700000,887300000,648300000,648300000,253400000,253400000,4290700000,967600000,2.59e+08,3.583e+09,1.15e+08,3094300000,373700000,4809600000,9100300000,361900000,184700000,177200000,1028900000,814100000,1740500000,1788600000,920300000,351200000,569100000,2708900000,4449400000,7698400000,-3.023e+09,-24500000,4650900000,4650900000,9100300000,223800000,48300000,55200000,-1.2e+08,207300000,-31600000,-321700000,31500000,-353300000,2.6e+07,27300000,-1300000,-37700000,-183700000,-183700000,-189200000,212800000,2138300000,-10600000,0.60264,0.13943,0.18969,0.04812,0.02459,-0.04736,2.46521,0.95668,0.23497,0.64645,0.63852,3.40786,13.43414,-0.03062,5,0.03708,-0.00137,-5.87735,-7.60304
"36","2019_Q1",23.9090163934426,"Down",1.181e+09,-470100000,710900000,-509100000,-277900000,-231200000,201800000,-8400000,-8400000,193400000,-5e+06,188400000,3800000,192200000,192200000,192200000,192200000,3559100000,2.489e+09,1070100000,754600000,754600000,268100000,268100000,4581800000,951700000,1.99e+08,3630800000,118500000,3108800000,403500000,4781500000,9363300000,429800000,208800000,2.21e+08,1062800000,829300000,1842500000,1789100000,908500000,384300000,524200000,2697600000,4540100000,7672800000,-2831400000,-18200000,4823200000,4823200000,9363300000,192200000,51300000,85600000,-116700000,212400000,-36500000,-101100000,-16399999,-165199999,-1000000.00000003,1e+05,-1100000,-64500000,-17299999,-17299999,-16999999,253100000,2.139e+09,96100000,0.60195,0.17087,0.16274,0.03985,0.02053,0.5,2.48673,0.9413,0.22845,0.5563,0.5411,3.41823,13.96006,0.27815,7,0.03234,0.01221,-5.61083,-7.03717
"37","2019_Q2",23.9074603174603,"Down",1001700000,-419400000,582300000,-524300000,-296700000,-227600000,5.8e+07,1800000,1800000,59800000,-15300000,44500000,-13400000,31100000,31100000,31100000,31100000,3.383e+09,2155600000,1227400000,645400000,645400000,281200000,281200000,4309600000,892400000,119700000,3816200000,113500000,3109300000,593400000,4828300000,9137900000,385900000,219100000,166800000,1103200000,860100000,1489100000,1789600000,1.008e+09,370800000,637200000,2797600000,4286700000,7668600000,-2806500000,-10900000,4851200000,4851200000,9137900000,31100000,48700000,31700000,47900000,159400000,-27900000,-76200000,-224581594.005777,-104100000,26600000,29500000,-2900000,-389600000,-334300000,-334300000,-332700000,106700000,1789600000,140100000,0.58131,0.0579,0.03105,0.00641,0.0034,4.50482,2.8941,0.88364,0.19584,0.08934,0.08818,2.87762,13.93623,0.40247,7,0.01272,0.01832,-14.93346,-27.47241
"38","2019_Q3",22.6575,"Down",1102500000,-465700000,636800000,-5.33e+08,-2.89e+08,-2.44e+08,103800000,-4600000,-4600000,99200000,-21400000,77800000,-31600000,46200000,46200000,46200000,46200000,2800200000,1381300000,1418900000,659400000,659400000,2.99e+08,2.99e+08,3758600000,8.7e+08,74800000,4199900000,205600000,3338300000,6.56e+08,5144700000,8903300000,390800000,183300000,207500000,1075900000,8.2e+08,1766200000,1490500000,1055400000,381400000,6.74e+08,2545900000,4312100000,7491200000,-2888700000,-11300000,4591200000,4591200000,8903300000,46200000,5.3e+07,79600000,-9e+07,88800000,-27300000,-154600000,-270900000,-452800000,-300700000,199999.999999996,-300900000,-366200000,-730200000,-730200000,-729700000,156800000,1.79e+09,71100000,0.5776,0.09415,0.0419,0.01006,0.00519,1.53896,2.12807,0.93921,0.20105,0.13341,0.13174,3.18366,13.25787,0.20531,5,0.01502,0.00956,-6.4426,-9.73218
"39","2019_Q4",22.356875,"Down",1133100000,-454700000,678400000,-5.41e+08,-296500000,-244500000,137400000,-20400000,-20400000,1.17e+08,1100000,118100000,-18800000,99300000,99300000,99300000,99300000,2245600000,1204800000,1040800000,635800000,635800000,306100000,306100000,3187500000,848700000,581100000,4136300000,195700000,3338300000,602300000,5566100000,8753600000,405900000,2.29e+08,176900000,1.017e+09,741600000,1422900000,1687600000,1000700000,377100000,623600000,2688300000,4111200000,7501900000,-2832700000,-26800000,4642400000,4642400000,8753600000,99300000,53800000,86700000,-54800000,1.85e+08,-28300000,-118900000,0,-147200000,-25400000,25700000,-51100000,-209500000,-171700000,-171700000,-177400000,191200000,1687600000,126900000,0.59871,0.12126,0.08764,0.02139,0.01134,1.27795,2.24014,0.88558,0.19279,0.29027,0.28625,3.31219,13.5703,0.37094,6,0.02237,0.01731,-2.91841,-4.06114
"40","2020_Q1",20.563064516129,"Down",1208100000,-488800000,719300000,-5.41e+08,-301400000,-239600000,178300000,10700000,10700000,1.89e+08,-1.5e+07,1.74e+08,-5600000,168400000,168400000,168400000,168400000,1953800000,1215800000,7.38e+08,879700000,879700000,376300000,376300000,3209800000,830900000,589800000,4207200000,185800000,3337100000,684300000,5627900000,8837700000,7.31e+08,219500000,511500000,812900000,812900000,1543900000,1683900000,999300000,410500000,588800000,2683200000,4227100000,7370500000,-2741400000,-18500000,4610600000,4610600000,8837700000,168400000,54800000,67900000,-195400000,95700000,-26100000,209300000,-2.98023223876953e-08,175900000,-199800000,199999.999999996,-2e+08,-263500000,8100000,8100000,10500000,233100000,1683900000,17200000,0.5954,0.14759,0.13939,0.03652,0.01905,0.10214,2.07902,0.91682,0.19054,0.50074,0.49168,3.59233,13.70978,0.05114,5,0.03182,0.00236,-1.15787,-1.51374
"41","2020_Q2",21.2749206349206,"Up",9.98e+08,-418700000,579300000,-5.31e+08,-298500000,-232500000,48300000,-11100000,-11100000,37200000,-8900000,28300000,-7900000,20400000,20400000,20400000,20400000,1921600000,1398600000,5.23e+08,675100000,675100000,3.76e+08,3.76e+08,2972700000,802900000,608300000,4225600000,170700000,3337100000,717800000,5636800000,8609500000,402300000,236400000,165900000,1134200000,854700000,1536500000,1712900000,969400000,400100000,569300000,2682300000,4218800000,7281300000,-2831400000,-59200000,4390700000,4390700000,8609500000,20400000,5.4e+07,62800000,134999999,272199999,-21800000,190900000,-2e+05,168900000,-176100000,27100000,-203200000,-241600000,199499999,199499999,183299999,102300000,1712900000,223399999,0.58046,0.0484,0.02044,0.00465,0.00237,10.95098,1.93472,0.96085,0.19895,0.06167,0.06088,3.01693,13.27297,0.67533,5,0.01214,0.03158,-2.04008,-4.32091
"42","2020_Q3",22.09890625,"Up",1086300000,-466700000,619600000,-524300000,-283300000,-2.41e+08,95300000,-4400000,-4400000,90900000,-4800000,86100000,-24899999,61200001,61200001,61200001,61200001,1857900000,1460300000,397600000,754700000,754700000,388600000,388600000,3001200000,781600000,712400000,4246300000,161300000,3337100000,747900000,5740300000,8741500000,453700000,2.38e+08,215700000,1142600000,834500000,1596300000,1720100000,960800000,377100000,583700000,2680900000,4277200000,7255700000,-2768500000,-22900000,4464300000,4464300000,8741500000,61200000,5.2e+07,4.8e+07,-63599998.9999999,97600001,-2.2e+07,42600000,0,20600000,-1600000,499999.999999996,-2100000.00000003,-63100000,55100001,55100001,61400001,147300000,1720100000,86600000,0.57038,0.08773,0.05634,0.01371,0.007,1.41503,1.8801,0.95809,0.19677,0.18489,0.18307,3.28187,13.48731,0.26163,6,0.01784,0.01212,-0.93551,-1.44596
"43","2020_Q4",20.5103125,"Down",1138200000,-480400000,657800000,-531500000,-289100000,-242400000,126300000,-13500000,-13500000,112800000,-1200000,111600000,33799999,145399999,145399999,145399999,145399999,1840800000,1341500000,499300000,7.54e+08,7.54e+08,443700000,443700000,3038500000,768600000,720400000,4167200000,151900000,3337100000,678200000,5656200000,8694700000,466600000,269600000,1.97e+08,1.035e+09,750200000,1501600000,1714100000,918199999,383800000,534399999,2632299999,4133899999,7214800000,-2669200000,15200000,4560800000,4560800000,8694699999,145400000,5.2e+07,6.2e+07,-1.43e+08,116400000,-24100000,-124900000,2e+05,-103500000,-73500000,26900000,-100400000,-139700000,-126800000,-126800000,-119400000,178300000,1714100000,-22599999,0.57793,0.11096,0.12775,0.03188,0.01672,-0.15543,2.02351,0.9064,0.19714,0.43941,0.43248,3.43971,13.78302,-0.0683,5,0.02942,-0.00314,-0.7106,-1.00317
"44","2021_Q1",23.3629508196721,"Up",1222600000,-505600000,7.17e+08,-565800000,-323300000,-242500000,151200000,-3900000,-3900000,147300000,-108100000,39200000,-8399999.99999999,30800000,30800000,30800000,30800000,1.774e+09,1361900000,412100000,964100000,964100000,322900000,322900000,3271200000,762300000,656600000,4688200000,266700000,3669600000,751900000,6107100000,9378300000,872300000,2.77e+08,595300000,867300000,867300000,2161100000,1705800000,967900000,418500000,549400000,2673700000,4834800000,7156900000,-2.669e+09,55600000,4543500000,4543500000,9378300000,30800000,54400000,59500000,-18900000,125800000,-32500000,142100000,-438100000,-374900000,-75200000,200000.000000004,-75400000,2.22e+08,-27100000,-27100000,-24600000,205600000,2127300000,162600000,0.58646,0.12367,0.02519,0.00678,0.00328,5.27922,1.51367,1.06411,0.22683,0.09365,0.09189,3.71724,13.81423,0.49438,6,0.01269,0.02129,1.71839,2.33664
"45","2021_Q2",25.4520634920635,"Up",1074400000,-458800000,615600000,-568500000,-313800000,-254700000,47100000,-5e+06,-5e+06,42100000,-79900000,-37800000,6700000,-31100000,-31100000,-31100000,-31100000,1283200000,989100000,294100000,758900000,758900000,558200000,558200000,2600300000,743600000,481400000,4885800000,335100000,3753300000,797400000,6110800000,8711100000,710499999,244800000,465699999,897200000,897200000,1607699999,1685200000,988600000,434500000,554100000,2673800000,4281499999,7110900000,-2762600000,81300000,4429600000,4429600000,8711099999,-31100000,60400000,125900000,24600000,179800000,-19700000,298400000,-1.75e+08,102400000,-103700000,28200000,-131900000,-6.51e+08,-368800000,-368800000,-370800000,107500000,1685200000,105700000,0.57297,0.04384,-0.02895,-0.00702,-0.00357,-3.39871,1.6174,0.96657,0.19345,-0.09531,-0.09531,3.29268,13.57524,0.32394,5,0.0048,0.01488,3.73953,8.53503
"46","2021_Q3",27.121875,"Up",1172300000,-490400000,681900000,-574600000,-328800000,-245800000,107300000,-10900000,-10900000,96400000,-21600000,74800000,-12800000,6.2e+07,6.2e+07,6.2e+07,6.2e+07,1322200000,986700000,335500000,768300000,768300000,344100000,344100000,2646100000,725100000,493200000,4.859e+09,315300000,3754100000,789600000,6077300000,8723400000,799700000,259800000,539900000,891200000,891200000,1690900000,1694400000,997200000,440100000,557100000,2691600000,4382500000,7042800000,-2757800000,55900000,4340900000,4340900000,8723400000,6.2e+07,60500000,72200000,62500000,257200000,-21400000,-61100000,0,-81800000,-110500000,7e+05,-111200000,-178600000,-3199999.99999994,-3199999.99999994,-2800000.00000006,167800000,1694400000,221700000,0.58168,0.09153,0.05289,0.01428,0.00711,3.57581,1.56491,1.00958,0.19424,0.19001,0.19001,3.59271,13.3034,0.67944,8,0.01802,0.03153,2.21812,3.46878
"47","2021_Q4",30.3240625,"Up",1188800000,-496600000,692200000,-570200000,-318400000,-251800000,1.22e+08,-8300000,-8300000,113700000,-1900000,111800000,-22900000,88900000,88900000,88900000,88900000,1331800000,1010700000,321100000,774300000,774300000,410300000,410300000,2739600000,715400000,5.04e+08,4762400000,295100000,3754100000,713200000,5981800000,8721400000,809300000,269700000,539600000,829800000,829800000,1639100000,1.692e+09,1006500000,451300000,555200000,2698500000,4337600000,7036800000,-2.697e+09,4.4e+07,4383800000,4383800000,8721400000,88900000,58400000,66400000,-7.7e+07,136700000,-28400000,5400000,0,-22400000,-23800000,27100000,-50900000,-88800000,25500000,25500000,23400000,180400000,1.692e+09,97900000,0.58227,0.10262,0.07478,0.02028,0.01019,1.10124,1.67141,0.98946,0.19401,0.27354,0.26826,3.65785,13.48862,0.30123,7,0.02173,0.01382,1.99667,2.95246
"48","2022_Q1",33.54,"Up",1299900000,-549500000,750400000,-596400000,-341500000,-254900000,1.54e+08,7400000,7400000,161400000,-100000.000000001,161300000,-28400000,132900000,132900000,132900000,132900000,1.238e+09,922500000,315500000,994400000,994400000,451600000,451600000,2956600000,7.03e+08,455500000,4771900000,284300000,3762100000,725500000,5930400000,8.887e+09,938600000,273700000,664900000,937900000,937900000,1876500000,1686800000,1006800000,475700000,531100000,2693600000,4570100000,6972600000,-2653600000,-2100000,4316900000,4316900000,8.887e+09,132900000,58100000,134200000,-209200000,1.16e+08,-30500000,63100000,-7600000,15600000,-149100000,399999.999999993,-149500000,-213300000,-81700000,-81700000,-7.8e+07,212100000,1686800000,799999.999999985,0.57728,0.11847,0.10224,0.03079,0.01495,0.00602000000000014,1.57559,1.05865,0.18981,0.41402,0.40248,4.04953,13.44829,0.00248999999999999,6,0.02811,0.000110000000000001,2.11598,2.91429
"49","2022_Q2",30.9745161290323,"Down",1168200000,-518800000,649400000,-582100000,-333500000,-248600000,67300000,-12900000,-12900000,54400000,-8800000,45600000,10100000,55700000,55700000,55700000,55700000,1306700000,1013300000,293400000,848800000,848800000,565800000,480300000,3038300000,689400000,362200000,4.738e+09,215600000,3733900000,788500000,5789600000,8827900000,891400000,318300000,573100000,9.67e+08,9.67e+08,1858400000,1648400000,1054199999,499600000,554599999,2702599999,4560999999,6933100000,-2677900000,11700000,4266900000,4266900000,8827899999,55700000,56300000,62100000,1.9e+07,193100000,-2.5e+07,91699999,-3300000,63899999,-97700000,28600000,-126300000,-165200000,91799999,91799999,90099999,123600000,1648400000,107500000,0.5559,0.05761,0.04768,0.01305,0.00631,1.92998,1.6349,1.06893,0.18673,0.17266,0.16767,3.6212,13.2266,0.33323,7,0.01768,0.01542,2.76456,5.07727
"50","2022_Q3",27.88859375,"Down",1269600000,-575500000,694100000,-585800000,-341500000,-244300000,108300000,-8100000,-8100000,100200000,45300000,145500000,-31600000,113400000,113400000,113400000,113400000,1016100000,721800000,294300000,1048400000,1048400000,612600000,612600000,3.072e+09,675700000,269500000,4843800000,196200000,3733800000,913800000,5.789e+09,8.861e+09,1009500000,360600000,648900000,940400000,940400000,1949900000,1625800000,1036600000,522200000,514400000,2662400000,4612300000,6874200000,-2625400000,-1e+05,4248700000,4248700000,8.861e+09,113400000,55200000,13200000,-448700000,-266900000,-24500000,88900001,-6e+05,153800001,-99500000,499999.999999993,-1e+08,-166800000,-279899999,-279899999,-292199999,163500000,1625800000,-278100000,0.54671,0.0853,0.08932,0.02669,0.0128,-2.45238,1.57547,1.08558,0.18348,0.35327,0.34563,3.95514,13.23583,-0.86636,5,0.02615,-0.04024,3.72905,5.62973
