"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.5468253968254,"Down",603516000,-320226000,283290000,-193281000,-126276000,-9229000,90009000,-7115000,-7276000,161000,82894000,-80000,82814000,-30831000,51983000,53936000,53936000,53936000,60001532.9348868,60001532.9348868,159016882.151669,159016882.151669,444799549.270769,107757333.231659,22811691.594,771575297.588983,319426773.798868,1051764293.77143,935489602.823464,83237587.0852172,33037103.8627496,1371191067.57032,2142766365.15931,49678562.9216091,18987177.1016942,33223909.8342036,75855163.6257868,-1098103.83420536,28386009.8500593,124435622.713191,575696389.794785,132440155.281448,90926932.048154,41513223.2332944,708136545.076234,832572167.789424,884016127.702251,1474360.02878192,882541767.673469,416431591.054494,9746478.6131395,1310194197.36988,1310194197.36988,2142766365.15931,53936000,9980000,-2517000,26666000,88065000,-10810000,8246000,-2564000,-7827000,3185000,3500000,-1142000,84359000,84359000,271000,84630000,99989000,0,146676000,0.4694,0.14914,0.08937,0.0315264619950781,0.0189231239547398,2.71945,5.27325615072804,0.633347187062416,0.303126794762883,0.18966,0.18583,2.12216,4.50031487213005,0.51576,0.0194814670530835,-0.126435322618805,6.77745647527086,7.60329588549607
"2","2010_Q3",9.7059375,"Up",584681000,-323415000,261266000,-191367000,-126847000,-9162000,69899000,-7017000,-7155000,138000,62882000,-290000,62592000,-24686000,37906000,37906000,37906000,37906000,190477000,190477000,155339000,155339000,412507000,42210000,12183000,800533000,293493000,1036716000,950621000,65168000,20927000,1330209000,2130742000,122184000,52405000,60963000,27080000,46386000,33770000,195650000,567324000,77870000,52830000,25040000,645194000,840844000,833573000,1431000,832142000,461301000,-4976000,1289898000,1289898000,2130742000,37906000,10031000,-789000,-34022000,13126000,-9801000,-9996000,-19797000,-754000,1951000,2453000,3650000,-3020999.99999997,-3020999.99999997,-37999.9999999999,-3059000,79930000,594404000,60793000,0.44685,0.11955,0.06483,0.02939,0.01779,1.60378,4.09166,0.65187,0.27897,0.13268,0.13027,2.04654,4.515,0.21279,0.01932,0.03098,5.05351,5.77872
"3","2010_Q4",10.77984375,"Up",607621000,-346197000,261424000,-195994000,-129454000,-9549000,65430000,-6912000,-7186000,274000,58518000,-223000,58295000,-22394000,35901000,35901000,35901000,35901000,168678000,168678000,167181000,167181000,444617000,41024000,11100000,821500000,306820000,1077129000,990589000,64708000,21832000,1383949000,2205449000,140370000,70413000,68244000,39880000,45042000,32513000,225292000,557589000,85657000,53179000,32478000,643246000,868538000,843185000,1438000,841747000,497202000,-3476000,1336911000,1336911000,2205449000,35901000,10378000,-1097000,-1810000,43372000,-15394000,-56539000,-71933000,-243000,3589000,3422000,6768000,-21793000,-21793000,-6000,-21799000,75808000,597469000,80998000,0.43024,0.10768,0.05908,0.02685,0.01628,2.25615,3.64638,0.64966,0.27091,0.12529,0.12312,2.12059,4.6658,0.28268,0.01777,0.0401,5.65628,6.55343
"4","2011_Q1",11.6854838709677,"Up",674063000,-386563000,287500000,-214293000,-140369000,-10056000,73207000,-6708000,-8148000,1440000,66499000,-75000.0000000002,66424000,-25096000,41328000,41328000,41328000,41328000,95689000,95689000,191085000,191085000,492688000,57414000,13985000,836876000,331312000,1131321000,1032973000,69302000,29046000,1462633000,2299509000,143645000,76437000,67208000,52888000,28788000,26044000,225321000,548066000,111961000,66059000,45902000,660027000,885348000,871253000,1455000,869798000,538530000,4378000,1414161000,1414161000,2299509000,41328000,11039000,8293000,-46040000,14620000,-23992000,-73297000,-97289000,-756999.999999998,5237000,5206000,9686000,-72983000,-72983000,-5999.99999999999,-72989000,84246000,600954000,39310000,0.42652,0.10861,0.06131,0.02922,0.01797,0.95117,3.71415,0.62606,0.26134,0.14273,0.14055,2.32794,4.88393,0.13576,0.01943,0.01848,5.9975,6.90187
"5","2011_Q2",12.2384126984127,"Up",786648000,-443002000,343646000,-236229000,-155572000,-10839000,107417000,-6303000,-6409000,106000,101114000,-5391000,95723000,-37541000,58182000,58182000,58182000,58182000,64517000,64517000,222581000,222581000,514894000,50125000,15990000,852117000,342181000,1161081000,1057406000,67872000,35803000,1503262000,2355379000,164843000,75377000,68712000,14817000,28612000,16806000,208272000,544451000,117286000,67582000,49704000,661737000,870009000,879665000,1459000,878206000,596712000,8993000,1485370000,1485370000,2355379000,58182000,11926000,7431000,-224000,77315000,-18002000,-43517000,-61519000,-44316000,2610000,-5281000,-46987000,-31191000,-31191000,19000,-31172000,119343000,559268000,138658000,0.43685,0.13655,0.07396,0.03917,0.0247,2.38318,4.09137,0.58572,0.23744,0.19979,0.19667,2.7012,5.10047,0.47612,0.02691,0.06414,4.14562,4.60589
"6","2011_Q3",12.16890625,"Down",759684000,-437448000,322236000,-241373000,-160443000,-11747000,80863000,-4289000,-4671000,382000,76574000,-762000.000000001,75812000,-29106000,46706000,46706000,46706000,46706000,42256000,42256000,236628000,236628000,556541000,54951000,19912000,890376000,358443000,1168895000,1063507000,68216000,37172000,1527338000,2417714000,148830000,77951000,70189000,15520000,29119000,17886000,193469000,570841000,117702000,64827000,52875000,688543000,882012000,887017000,1462000,885555000,643418000,5267000,1535702000,1535702000,2417714000,46706000,12871000,-41000,-35771000,23765000,-24376000,-52074000,-76450000,26811000,2499000,1144000,30454000,-22231000,-22231000,-30000,-22261000,93734000,586361000,62693000,0.42417,0.10644,0.06148,0.03041,0.01932,1.34229,4.60216,0.57434,0.24253,0.16004,0.15769,2.6031,5.26217,0.21482,0.02085,0.02799,5.80478,6.72873
"7","2011_Q4",14.0406349206349,"Up",783898000,-449576000,334322000,-245924000,-161427000,-12314000,88398000,-5470000,-4847000,-623000,82928000,-2910000,80018000,-30787000,49231000,49231000,49231000,49231000,45112000,45112000,231147000,231147000,605665000,54666000,16351000,936590000,371160000,1230262000,1121754000,70484000,38024000,1601422000,2538012000,181068000,84496000,96572000,18915000,27543000,16554000,227526000,613691000,117072000,61832000,55240000,730763000,958289000,894413000,1465000,892948000,692649000,-7339000,1579723000,1579723000,2538012000,49231000,13511000,2683000,-7323000,58102000,-17438000,-84921000,-102359000,45911000,2397000,-1053000,47255000,2998000,2998000,-142000,2856000,101909000,632606000,107935000,0.42649,0.11277,0.0628,0.03116,0.0194,2.19242,4.11641,0.60662,0.24925,0.16822,0.16587,2.67862,5.39799,0.36882,0.02113,0.04634,5.76489,6.64601
"8","2012_Q1",15.5829032258065,"Up",939632000,-547843000,391789000,-299394000,-202126000,-15029000,92395000,-5713000,-8380000,2667000,86682000,-2464000,84218000,-28073000,56145000,56145000,56145000,56145000,48247000,48247000,281764000,281764000,736846000,82878000,19591000,1149735000,424098000,1625871000,1476063000,108910000,40898000,2049969000,3199704000,349162000,210875000,131025000,29524000,19007000,19007000,397693000,926552000,231374000,88796000,142578000,1157926000,1555619000,904252000,2939000,901313000,748794000,-8961000,1644085000,1644085000,3199704000,56145000,16197000,10919000,-30671000,52590000,-24857000,-306422000,-331279000,274161000,4413000,2115000,280689000,2e+06,2e+06,1135000,3135000,108592000,956076000,81137000,0.41696,0.09833,0.05975,0.03415,0.01755,1.44513,2.89101,0.94619,0.2988,0.19143,0.1883,3.20368,5.60551,0.27664,0.01983,0.02865,8.36,9.82552
"9","2012_Q2",16.4857142857143,"Up",1031777000,-584394000,447383000,-313528000,-213527000,-14893000,133855000,-6856000,-7367000,511000,126999000,1098000,128097000,-47106000,80991000,80991000,80991000,80991000,55169000,55169000,310552000,310552000,736641000,71916000,26659000,1174278000,430777000,1654946000,1499382000,108206000,47358000,2085723000,3260001000,364576000,212538000,123186000,40498000,5.2e+07,5.2e+07,457074000,856068000,201774000,89160000,112614000,1057842000,1514916000,915404000,1474000,913930000,829785000,-104000,1745085000,1745085000,3260001000,80991000,16257000,747000,12160000,110155000,-21096000,-24930000,-46026000,-64889000,4581000,2561000,-57747000,6382000,6382000,540000,6922000,150112000,896566000,188282000,0.4336,0.12973,0.0785,0.04641,0.02484,2.32473,2.56912,0.8681,0.27502,0.27522,0.27056,3.50613,5.93006,0.63981,0.02848,0.06622,5.60513,6.28588
"10","2012_Q3",17.9836507936508,"Up",1006531000,-584600000,421931000,-311169000,-213624000,-15353000,110762000,-6128000,-7356000,1228000,104634000,-3435000,101199000,-37201000,63998000,63998000,63998000,63998000,59353000,59353000,309454000,309454000,798807000,85393000,27331000,1253007000,443565000,1728837000,1578605000,105577000,44655000,2172402000,3425409000,347630000,224276000,115599000,46379000,51313000,51313000,445322000,954067000,212292000,88777000,123515000,1166359000,1611681000,929561000,1480000,928081000,893783000,-9616000,1813728000,1813728000,3425409000,63998000,17189000,1381000,-71711000,10857000,-20047000,-95385000,-115432000,99018999.9999999,5531000,4658000,109208000,4633000,4633000,-449000,4184000,127951000,1000446000,73394000,0.41919,0.11004,0.06358,0.03529,0.01868,1.14682,2.81371,0.8886,0.29207,0.21673,0.21322,3.40862,6.14219,0.24855,0.02115,0.02425,7.3551,8.49653
