"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.3111111111111,"Down",550732000,-463933000,86799000,-53183000,-44277000,-8906000,33616000,-8723000,-8723000,24893000,24893000,-5699000,19194000,19194000,19194000,19194000,310058383.824494,310058383.824494,82505820.1768281,82505820.1768281,203576028.841817,401998508.659329,43429640.2133296,998138741.502469,1276013880.93349,97721437.6138259,40662503.8873471,45093567.9542096,1373735318.54731,2371874060.04978,156460284.74804,93508001.6698845,8984350.3820468,53967932.6961092,109157969.682539,265618254.43058,898234788.151259,301753386.483445,260406470.524946,-91632081.1358913,1199988174.6347,1465606429.06528,444253345.327555,443601894.180342,11135224.5124443,906267630.9845,906267630.9845,2371874060.04978,19194000,38641000,1395000,-50828000,8402000,-63137000,-1125000,-64262000,-15451000,-153000,6432000,-7266000,-63126000,-63126000,-63126000,72257000,0,-36009000,0.15761,0.06104,0.03485,-0.240223184987466,-0.107839248564393,-1.87606,3.13770223552266,1.62478329959972,0.431837353495136,0.18831,0.18657,5.40315,9.03467156911218,-0.35328,0.15159,-0.121449440336923,0.730081244108418,0.80499,-87.8000960427104,302.305118481919
"2","2010_Q3",16.491875,"Up",615459000,-483794000,131665000,-63919000,-44653000,-19266000,67746000,-8093000,-8093000,59653000,59653000,-21623000,38030000,38030000,38030000,38030000,181511000,181511000,308665000,308665000,207867000,162753000,29960000,860796000,1256927000,85796000,38854000,35560000,1342723000,2203519000,287379000,165835000,15455000,106089000,109648000,397027000,571097000,314242000,190756000,39332000,885339000,1282366000,392669000,572672000,-44188000,921153000,921153000,2203519000,38030000,39087000,34517000,-19651000,91983000,-92212000,-493000,-92705000,-15460000,-154000,2502000,-15368000,-16090000,-16090000,-16090000,106833000,680745000,16593000,0.21393,0.11007,0.06179,0.04129,0.01726,0.43631,2.1681,1.39213,0.30894,0.37271,0.3696,6.03178,9.02773,0.16262,0.15152,0.02792,0.00866,0.40652,4.67303,7.3692
"3","2010_Q4",17.88375,"Up",642764000,-476312000,166452000,-178794000,-47219000,-131575000,-12342000,-7903000,-7903000,-20245000,-20245000,113565000,93320000,93320000,93320000,93320000,172820000,172820000,3.35e+08,3.35e+08,226731000,78466000,21049000,813017000,1291555000,85460000,38854000,35427000,1377015000,2190032000,316404000,169944000,15432000,131028000,109659000,426063000,571015000,226642000,86953000,56795000,797657000,1223720000,371220000,650565000,-54307000,966312000,966312000,2190032000,93320000,39042000,-43299000,12325000,101388000,-75577000,852000,-74725000,-15455000,-158000,1202000,-35354000,-8691000,-8691000,-8691000,26700000,680674000,-150117000,0.25896,-0.0192,0.14519,0.09657,0.04261,-1.60863,1.90821,1.26638,0.31081,0.91695,0.9087,6.31573,9.49487,-1.47503,0.15186,0.05806,-0.08012,0.16561,19.02075,-41.14844
"4","2011_Q1",20.226935483871,"Up",626651000,-479367000,147284000,-50922000,-46340000,-4582000.00000001,96362000,-7559000,-7559000,88803000,88803000,-33912000,54891000,54891000,54891000,54891000,196556000,196556000,294192000,294192000,241142000,67787000,17555000,799677000,1337986000,88247000,38854000,38418000,1426233000,2225910000,294940000,155163000,15351000,124426000,109670000,404610000,672982000,139317000,9190000,32213000,812299000,1216909000,363271000,690111000,-44381000,1009001000,1009001000,2225910000,54891000,39528000,41486000,13294000,149199000,-89274000,-348000,-89622000,-15432000,-161000,-10136000,-35841000,23736000,23736000,23736000,135890000,782652000,93822000,0.23503,0.15377,0.08759,0.0544,0.02466,1.70924,1.97641,1.20605,0.35161,0.5436,0.53833,6.20594,9.99248,0.92915,0.15283,0.03642,0.04859,0.28114,4.31302,6.08223
"5","2011_Q2",20.3225396825397,"Up",629500000,-496359000,133141000,-67238000,-47952000,-19286000,65903000,-6903000,-6903000,5.9e+07,5.9e+07,-21583000,37417000,37417000,37417000,37417000,173014000,173014000,308816000,308816000,233916000,56358000,20754000,772104000,1360140000,88703000,38854000,39078000,1448843000,2220947000,277629000,167822000,20477000,89330000,109682000,387311000,672894000,140246000,9178999.99999999,30163000,813140000,1200451000,351466000,707059000,-38029000,1020496000,1020496000,2220947000,37417000,39296000,16030000,-28304000,64439000,-64731000,-1756000,-66487000,-15351000,-163000,9910000,-21494000,-23542000,-23542000,-23542000,105199000,782576000,33747000,0.2115,0.10469,0.05944,0.03667,0.01685,0.90192,1.9935,1.17634,0.35236,0.37142,0.36716,6.2487,10.1299,0.33499,0.15238,0.02715,0.01737,0.41027,5.79437,9.24938
"6","2011_Q3",18.55671875,"Down",665481000,-528580000,136901000,-69042000,-48192000,-20850000,67859000,-6321000,-6321000,61538000,61538000,-22170000,39368000,39368000,39368000,39368000,119181000,119181000,331249000,331249000,226521000,65337000,30005000,742288000,1401516000,115377000,53603000,44842000,1516893000,2259181000,316041000,189778000,20258000,106005000,109694000,425735000,672803000,139438000,8988000,28462000,812241000,1237976000,332317000,726208000,-37320000,1021205000,1021205000,2259181000,39368000,40638000,8512000,13143000,101661000,-80419000,-4355000,-111716000,-20444000,-167000.000000002,0,-43778000,-53833000,-53833000,-53833000,108497000,782497000,63391000,0.20572,0.10197,0.05916,0.03855,0.01743,1.61022,1.74354,1.21227,0.34636,0.39332,0.38929,6.64876,10.20277,0.63333,0.20425,0.03078,0.03262,0.51931,6.11368,9.77492
"7","2011_Q4",18.4365079365079,"Down",670824000,-533077000,137747000,-66567000,-48914000,-17653000,71180000,-6727000,-6727000,64453000,64453000,-22676000,41777000,41777000,41777000,41777000,40117000,40117000,338516000,338516000,244375000,46903000,22287000,669911000,1434362000,128470000,51106000,50515000,1562832000,2232743000,312274000,176677000,19990000,115607000,109706000,421980000,672710000,164502000,0,69545000,837212000,1259192000,357660000,678011000,-62120000,973551000,973551000,2232743000,41777000,41099000,13678000,-24750000,71804000,-69808000,-4435000,-82944000,-20258000,-168000,0,-67924000,-79064000,-79064000,-79064000,112279000,782416000,40397000,0.20534,0.10611,0.06228,0.04291,0.01871,0.96697,1.58754,1.2934,0.35043,0.42198,0.41754,6.77579,9.83355,0.40804,0.20462,0.0323,0.02103,0.48491,6.6112,10.42848
"8","2012_Q1",21.0775806451613,"Up",654306000,-520072000,134234000,-66427000,-113493000,47066000,67807000,-9294000,-9294000,58513000,58513000,-19048000,39465000,39465000,39465000,39465000,156313000,156313000,319988000,319988000,254675000,81087000,18298000,812063000,1476654000,123782000,58214000,40526000,1600436000,2412499000,360782000,154855000,19680000,186247000,15718000,376500000,916613000,190476000,11924000,29866000,1107089000,1483589000,352787000,673960000,-97778000,928910000,928910000,2412499000,39465000,41806000,12958000,14613000,108842000,-65255000,-2066000,-89018000,-19959000,149828000,-2041000,96372000,116196000,116196000,116196000,109613000,932331000,78019000,0.20515,0.10363,0.06032,0.04249,0.01636,1.97692,2.15687,1.59713,0.38646,0.40565,0.40101,6.72539,9.54794,0.80193,0.20515,0.02896,0.03803,0.50574,7.07962,11.44451
"9","2012_Q2",20.8484126984127,"Down",671357000,-526338000,145019000,24091000,-51942000,76033000,169110000,-9683000,-9683000,159427000,159427000,-141583000,17844000,17844000,17844000,17844000,84017000,84017000,348272000,348272000,263283000,169624000,26100000,865196000,1477130000,150033000,71682000,41861000,1627163000,2492359000,304828000,153028000,24631000,127169000,15918000,320746000,917469000,332200000,150830000,27942000,1249669000,1570415000,362116000,648693000,-88865000,921944000,921944000,2492359000,17844000,42638000,38804000,-63214000,36072000,-34813000,-1395000,-71739000,-19665000,-3955000,-51300745.3582716,-36629000,-72296000,-72296000,-72296000,211748000,933387000,255304000,0.21601,0.25189,0.02658,0.01935,0.00716,14.30755,2.69745,1.70337,0.3745,0.18472,0.18259,6.95001,9.54413,2.64295,0.20358,0.01715,0.11671,1.10205,4.01123,5.02259
"10","2012_Q3",23.5792063492063,"Up",712468000,-554360000,158108000,-74250000,-52868000,-21382000,83858000,-13256000,-13256000,70602000,70602000,-25448000,45154000,45154000,45154000,45154000,515121000,515121000,353527000,353527000,258620000,158418000,33929000,1285686000,1393730000,152075000,71555000,44926000,1545805000,2831491000,274358000,134113000,24480000,115765000,415590000,689948000,913555000,305268000,125056000,28393000,1218823000,1908771000,364155000,661600000,-103035000,922720000,922720000,2831491000,45154000,42444000,53086000,-25357000,115327000,-34509000,57213000,22842000,-24631000,393070000,-66392000,292935000,431104000,431104000,431104000,126302000,1329145000,91884000,0.22192,0.1177,0.06338,0.04894,0.01595,2.0349,1.86345,2.06864,0.46942,0.46905,0.46329,7.40103,9.58511,0.95448,0.25586,0.02729,0.03593,0.54549,6.44506,9.70717
