"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"23","2020_Q2",37.4188888888889,"Down",494600000,-247300000,247300000,-107900000,-107900000,139400000,-35400000,-37700000,-37700000,2300000,1.04e+08,1.04e+08,-25600000,78400000,84100000,-2100000,8.2e+07,8.2e+07,313100000,313100000,410400000,410400000,279300000,175500000,1002800000,131400000,1924700000,2.28e+08,1344100000,352600000,2056100000,3058900000,351300000,45900000,305400000,271300000,183300000,111200000,805900000,2655200000,269400000,74200000,82300000,112900000,2924600000,3730500000,679300000,975300000,-26600000,-684400000,-671600000,3058900000,78400000,23500000,9300000,-46800000,72200000,-13400000,-1.2e+07,-27900000,-18200000,-5200000,2700000,2700000,-13200000,-33900000,10400000,10400000,-7400000,3e+06,162900000,2926500000,128300000,0.5,0.28184,0.16579,-0.1221,0.02681,1.56463,1.24432,-5.55465,0.95672,0.67545,0.67213,4.07414,-5.63756,1.05684,0.14992,0.03969,0.05083,0.22195,16.04297,18.74749
"24","2020_Q3",43.37609375,"Up",341300000,-152800000,188500000,-69600000,-69600000,118900000,-34100000,-36200000,-36200000,2100000,84800000,84800000,-38200000,46600000,24100000,-1800000,22300000,22300000,222400000,222400000,320900000,320900000,308500000,162300000,851800000,126600000,1957500000,232700000,1364300000,360500000,2084100000,2935900000,2.9e+08,23900000,266100000,21100000,226700000,119700000,537800000,2741200000,283900000,72500000,97100000,114300000,3025100000,3562900000,684600000,979100000,5400000,-639400000,-6.27e+08,2935900000,46600000,20900000,27200000,-18900000,106500000,-22100000,7300000,-20200000,-18300000,-165199999,2200000,2200000,-3800000,-186199999,-99899999,-93299999,8700000,-84599999,139800000,2762300000,1.37e+08,0.5523,0.34837,0.06534,-0.03557,0.0076,6.1435,1.58386,-5.68246,0.94087,0.18339,0.18249,2.80674,-5.25822,1.12664,0.15049,0.01678,0.05663,0.82063,18.1681,21.36165
"25","2020_Q4",46.43125,"Up",426400000,-198800000,227600000,-81600000,-81600000,1.46e+08,-36900000,-35200000,-35200000,-1700000,109100000,109100000,-31700000,77400000,59500000,-1900000,57600000,57600000,284500000,284500000,339600000,339600000,245700000,165500000,869800000,116900000,1978100000,236300000,1345500000,396300000,2.095e+09,2964800000,321800000,45300000,276500000,20900000,211900000,1.19e+08,554600000,2747300000,284100000,63600000,96700000,123800000,3031400000,3.586e+09,6.87e+08,1018300000,-34300000,-635500000,-621200000,2964800000,77400000,22300000,4700000,-3800000,1.33e+08,21600000,-25800000,-40600000,-18200000,4599999,1200000,1200000,-6e+05,-13000001,79399999,130799999,-16900000,113899999,168300000,2768200000,217800000,0.53377,0.3424,0.13508,-0.09272,0.01943,3.78125,1.56834,-5.7727,0.93369,0.47407,0.47174,3.50947,-5.23045,1.79259,0.14979,0.03118,0.08959,0.31597,14.75758,17.01164
"26","2021_Q1",50.9311475409836,"Up",376700000,-201700000,1.75e+08,-79600000,-79600000,95400000,-19300000,-3.5e+07,-3.5e+07,18400000,76100000,76100000,-13300000,62800000,46800000,-1200000,45600000,45600000,80800000,80800000,2.42e+08,2.42e+08,362800000,148400000,685600000,96700000,2071800000,229500000,999500000,842800000,2168500000,2854100000,275100000,34300000,240800000,20700000,2.31e+08,44600000,526800000,2655100000,252900000,39400000,76400000,137100000,2.908e+09,3434800000,689500000,1045500000,-25900000,-596100000,-580700000,2854100000,62800000,2.5e+07,8700000,-9700000,63400000,-3200000,-14500000,-19600000,-18200000,-90400000,100000.000000001,1e+05,-4300000,-112800000,-6.9e+07,-84900000,5800000,-79100000.0000001,120400000,2675800000,120800000,0.46456,0.25325,0.12105,-0.07853,0.01598,2.64912,1.30144,-5.91493,0.93753,0.37408,0.37346,3.09024,-4.89007,0.99098,0.1493,0.02717,0.05145,0.39912,21.55316,27.20126
"27","2021_Q2",52.1007936507936,"Up",413700000,-224700000,1.89e+08,-88600000,-88600000,100400000,-13400000,-34700000,-34700000,24700000,8.7e+07,7.5e+07,-2.7e+07,4.8e+07,5.8e+07,-2300000,55700000,55700000,281100000,281100000,288700000,288700000,176400000,176400000,746200000,105200000,2064300000,2.37e+08,1362900000,464400000,2169500000,2915700000,340700000,39400000,301300000,320500000,173200000,104200000,834400000,2356900000,238900000,4.7e+07,79500000,112400000,2595800000,3430200000,691300000,1074600000,1300000,-5.31e+08,-514500000,2915700000,4.8e+07,23100000,21400000,-2700000,99700000,-5700000,-14700000,-2.2e+07,-18200000,-3e+05,3e+05,3e+05,-4900000,-23100000,54600000,54600000,27775904.8628718,54600000,123500000,2677400000,142100000,0.45685,0.24269,0.13464,-0.10826,0.0191,2.55117,0.8943,-6.66706,0.91827,0.45768,0.45544,3.39934,-4.36319,1.16763,0.14955,0.03077,0.05916,0.32675,19.40324,23.86753
"28","2021_Q3",44.50515625,"Down",406300000,-207700000,198600000,-8.5e+07,-8.5e+07,113600000,-32100000,-34300000,-34300000,4e+06,81500000,81500000,-22700000,58800000,70100000,-1799999,68300001,68300001,62800000,62800000,228400000,228400000,908300000,146100000,1199500000,85800000,1650100000,235700000,1.001e+09,413400000,1735900000,2935400000,252800000,24600000,228200000,320300000,234300000,42100000,807400000,2333500000,219700000,40400000,78400000,100900000,2553200000,3360600000,697900000,1124400000,34500000,-438500000,-425200000,2935400000,58800000,23400000,11600000,-36300000,73500000,-4400000,-17200000,-24600000,-18300000,-25600000,1700000,1700000,-5500000,-47700000,1200000.00000006,1200000,31424666.7309184,1199999.99999994,1.37e+08,2653800000,1.19e+08,0.4888,0.2796,0.1681,-0.16063,0.02327,1.74231,1.48563,-7.90357,0.90407,0.5603,0.55846,3.33306,-3.59721,0.97621,0.15012,0.03537,0.04861,0.26794,18.91241,22.8081
"29","2021_Q4",41.60796875,"Down",433100000,-221300000,211800000,-90200000,-90200000,121600000,-23400001,-32200000,-32200000,3599999,98199999,71199999,-24100000,47099999,862899999,-2000001,860899998,860899998,1131800000,1131800000,248700000,248700000,1.82e+08,1.82e+08,1562500000,79400000,1679900000,252900000,1013600000,413400000,1759300000,3321800000,467599999,29200000,273399999,500300000,73600000,39600000,1041499999,1589400000,225200000,41700000,8e+07,103500000,1814600000,2856099999,706600000,1966600000,72100000,450400000,465700000,3321799999,47100000,24600000,33400000,1500000,87600000,-5100000,-19100000,1343200000,-18300000,-567100000,1e+05,1e+05,-3e+05,-585600000,845200000,980100000,21100000,1001200000,146200000,2089700000,166700000,0.48903,0.28077,1.98776,1.84861,0.25917,0.19363,1.50024,6.13292,0.62909,7.05078,7.00488,3.54709,3.68878,1.36527,0.14988,0.31619,0.05995,0.02126,6.55198,7.87747
"30","2022_Q1",44.5162903225806,"Up",420100000,-221300000,198800000,-97100000,-97100000,101700000,-46099999,-23400000,-23400000,4600001,55600001,57000001,-20700000,36300001,52000001,-2600000,49400001.0000002,49400001.0000002,1.57e+08,1.57e+08,236400000,236400000,168900000,168900000,562300000,71800000,2078500000,332700000,1297100000,448700000,2150300000,2712600000,298600000,2.9e+07,269600000,7100000,62600000,28600000,368300000,1586500000,262900000,40400000,111400000,111100000,1849400000,2217700000,716700000,1997400000,72700000,480800000,494900000,2712600000,36300000,27600000,71299999,-47600000,-44100001,-5400000,-23800000,-375600000,-18200000,-520500000,-11700000,4e+05,-7e+06,-557400000,-977100001,-977100001,0,-977100001,129300000,1593600000,9.7e+07,0.47322,0.24209,0.11759,0.09982,0.01821,1.96356,1.52674,4.48111,0.58748,0.405250000000001,0.40327,3.44627,3.94422,0.79573,0.1493,0.02875,0.04125,0.36842,11.1106,14.12586
"31","2022_Q2",53.9290322580645,"Up",4.4e+08,-226700000,213300000,-97600000,-97600000,115700000,-19500000,-21400000,-21400000,3100000,96200000,98300000,-25100000,73200000,73700000,-2e+06,71700000,71700000,80799999.9999999,80799999.9999999,234800000,234800000,161100000,161100000,476700000,66400000,2.092e+09,337100000,1296600000,458300000,2158400000,2635100000,266700000,23600000,243100000,4799999.99999994,63600000,29600000,335100000,1586100000,252600000,39100000,112200000,101300000,1838700000,2173800000,705700000,2050600000,70600000,447400000,461300000,2635100000,73200000,27600000,11300000,-41100000,71500000,-3400000,-2.6e+07,-31500000,-18100000,-1400000,-88300000,8069978.06568306,-9900000,-117700000,-77700000,-77700000,-33299714.2031049,-77700000,143300000,1590900000,123900000,0.48477,0.26295,0.16295,0.15543,0.02721,1.72803,1.42256,4.71233,0.60373,0.59158,0.58722,3.63036,3.69142,1.02228,0.14934,0.03896,0.05376,0.25244,10.53803,13.05186
"32","2022_Q3",54.7647058823529,"Up",436700000,-229900000,206800000,-99100000,-99100000,107700000,-19800000,-22300000,-22300000,3900000,87900000,87900000,-24100000,63800000,65400000,-1700000,63700000,63700000,108600000,108600000,239800000,239800000,1.32e+08,1.32e+08,480400000,70200000,2285900000,378200000,1437800000,469900000,2356100000,2836500000,278800000,25700000,253100000,5800000,64300000,30300000,348900000,1.817e+09,254200000,37500000,1.17e+08,99700000,2071200000,2420100000,721400000,2096100000,70900000,402400000,416400000,2836500000,63800000,31300000,20400000,-9600000,105600000,-4900000,-2.6e+07,-180700000,-17700000,223700000,-107300000,28009934.1970492,-2e+06,96700000,21600000,21600000.0000002,-81379142.6093146,21600000,1.39e+08,1822800000,148600000,0.47355,0.24662,0.14587,0.15298,0.02246,2.33281,1.3769,5.81196,0.64262,0.52558,0.5217,3.60314,3.32013,1.22607,0.14604,0.03265,0.0596,0.27786,12.33237,15.91643
