"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"1","2010_Q2",12.0380952380952,"Up",4.44e+08,-250800000,193200000,-161300000,-93900000,-49700000,-17700000,31900000,-22300000,-24200000,-24200000,1900000,9600000,2300000,11900000,-10700000,1200000,1200000,1200000,1200000,-150371505.03618,-150371505.03618,359531003.432119,431156068.982581,458290002.877155,640315567.404581,4288593015.57732,6700484019.92104,-2411891004.34372,707338780.778829,707338780.778829,4995931796.35615,5636247363.76073,1191292197.42892,286364621.095972,904927576.332944,225601961.141256,-37684128.7416442,263286089.8829,1416893535.80366,1818563400.79726,644914675.622351,473839128.055671,660101754.243914,-489026205.225865,2463478076.41961,3880371612.22327,963018910.668657,791300789.109834,1755875791.96736,1755875791.96736,5636247404.19063,1200000,49700000,9200000,18300000,78400000,-99600000,-99600000,-99600000,-99400000,832217521.578902,2.1e+07,2.1e+07,0,0,0,81600000,0,1.1e+07,0.43514,0.07185,0.0027,-0.267462576691038,-0.0999740935879264,9.16667,-1.23020424655348,2.13552604574865,0.322130323756742,0.00601,0.00599,2.22334,8.79259371210302,0.05508,-0.0569685318601302,0.0562321298091242
"2","2010_Q3",12.5334375,"Up",512800000,-230800000,2.82e+08,-1.69e+08,-101200000,-50600000,-17200000,1.13e+08,-24800000,-25200000,-25200000,4e+05,88200000,2300000,90500000,-30500000,6e+07,6e+07,6e+07,6e+07,191900000,191900000,197200000,336300000,305800000,725400000,4569100000,7035400000,-2466300000,481400000,481400000,5050500000,5775900000,391900000,148600000,243300000,259500000,30800000,228700000,651400000,1790300000,1280100000,225600000,1007500000,4.7e+07,3070400000,3721800000,958400000,1097300000,2054100000,2054100000,5775900000,6e+07,50600000,34200000,-34700000,110100000,-105900000,-106700000,-106700000,-96500000,246200000,-229500000,-13600000,0,0,0,163600000,1790300000,53500000,0.54992,0.22036,0.117,0.02921,0.01039,0.89167,1.1136,1.81189,0.30996,0.30045,0.29925,2.56785,10.28593,0.2679,0.01762,0.01044
"3","2010_Q4",14.2496875,"Up",7.23e+08,-311200000,411800000,-180800000,-110800000,-53100000,-16900000,2.31e+08,-28800000,-27300000,-27400000,-1500000,202200000,2600000,204800000,-62700000,142100000,142100000,142100000,142100000,222400000,222400000,179300000,249500000,219900000,651200000,4757100000,7241700000,-2484600000,474400000,474400000,5231500000,5882700000,179200000,129400000,49800000,215500000,44600000,170900000,394700000,1790400000,1532300000,217200000,1092700000,222400000,3322700000,3717400000,958400000,1209300000,2165300000,2165300000,5882700000,142100000,53100000,79600000,-118200000,156600000,-240400000,-240600000,-240600000,-228800000,0,72200000,72200000,0,0,0,284100000,1790400000,-11800000,0.56957,0.3195,0.19654,0.06563,0.02416,-0.08304,1.64986,1.71681,0.30435,0.71157,0.70873,3.62043,10.84276,-0.05909,0.02589,-0.00215
"4","2011_Q1",15.2803225806452,"Up",430100000,-207400000,222700000,-184900000,-112200000,-55300000,-17400000,37800000,-22500000,-26600000,-26600000,4100000,15300000,4200000,19500000,-7099999.99999999,12400000,12400000,12400000,12400000,142300000,142300000,2.12e+08,157900000,147200000,512200000,4877300000,7371700000,-2494400000,508600000,508600000,5385900000,5898100000,212300000,148500000,63800000,165900000,31200000,134700000,378200000,1790400000,1551400000,259800000,1064700000,226900000,3341800000,3.72e+09,958400000,1221800000,2178100000,2178100000,5898100000,12400000,55300000,-15600000,68500000,120600000,-184400000,-184700000,-184700000,-177400000,0,86700000,56800000,0,0,0,93100000,1790400000,-15700000,0.51779,0.08789,0.02883,0.00569,0.0021,-1.26613,1.35431,1.70791,0.30356,0.0620900000000001,0.0618500000000001,2.15373,10.90686,-0.07862,0.00766,-0.00284
"5","2011_Q2",16.474126984127,"Up",422100000,-219400000,202700000,-176700000,-105800000,-51800000,-19100000,2.6e+07,-21600000,-2.6e+07,-26100000,4400000,4400000,4400000,8800000,-2400000,6400000,6400000,6400000,6400000,139100000,139100000,207600000,76300000,65500000,4.23e+08,4972100000,7492900000,-2520800000,431100000,431100000,5403200000,5826200000,186900000,141300000,45600000,173300000,18700000,154600000,360200000,1790500000,1489800000,185700000,1064900000,239200000,3280300000,3640500000,959400000,1228200000,2185700000,2185700000,5826200000,6400000,51800000,-1100000,-22700000,34400000,-126600000,-1.27e+08,-1.27e+08,-115300000,193086511.250108,80900000,80900000,0,0,0,77800000,1790500000,-69100000,0.48022,0.0616,0.01516,0.00293,0.0011,-10.79688,1.17435,1.6656,0.30732,0.03205,0.03192,2.11367,10.94492,-0.34602,0.00117,-0.01264
"6","2011_Q3",15.98109375,"Down",568700000,-254300000,314400000,-181100000,-110200000,-52100000,-18800000,133300000,-26800000,-27200000,-27300000,4e+05,106500000,5800000,112300000,-33700000,78600000,78600000,78600000,78600000,182500000,182500000,182700000,2.59e+08,247600000,624200000,5.23e+09,7776200000,-2546200000,436300000,436300000,5666300000,6290500000,273300000,202600000,70700000,167300000,33300000,1.34e+08,440600000,2039100000,1495800000,148700000,1098700000,248400000,3534900000,3975500000,1010100000,1306800000,2.315e+09,2.315e+09,6290500000,78600000,52100000,28600000,-77700000,81600000,-2.66e+08,-2.66e+08,-2.66e+08,-255700000,246300000,-72200000,174100000,-2.77555756156289e-17,-2.77555756156289e-17,-2.77555756156289e-17,185400000,2039100000,-124600000,0.55284,0.23439,0.13821,0.03395,0.0125,-1.58524,1.4167,1.71728,0.32416,0.39359,0.39202,2.84777,11.59239,-0.62394,0.01344,-0.0213
"7","2011_Q4",17.1492063492063,"Up",774800000,-334700000,440100000,-181400000,-108300000,-54900000,-18200000,258700000,-35100000,-28600000,-28800000,-6500000,223600000,5900000,229500000,-70900000,158600000,158600000,158600000,158600000,257300000,257300000,152100000,233800000,219400000,643200000,5364400000,7929600000,-2565200000,444200000,444200000,5808600000,6451800000,202500000,143200000,59300000,184200000,48300000,135900000,386700000,2039200000,1551800000,145400000,1146900000,259500000,3.591e+09,3977700000,1010700000,1465400000,2474100000,2474100000,6451800000,158600000,54900000,42200000,-26900000,228800000,-227300000,-227400000,-227400000,-211700000,0,-17100000,-17100000,0,0,0,313600000,2039200000,130300000,0.56802,0.33389,0.2047,0.0641,0.02458,0.82156,1.6633,1.60774,0.31607,0.79419,0.79102,3.87982,12.38908,0.65248,0.02615,0.02148
"8","2012_Q1",17.8335483870968,"Up",445900000,-205100000,240800000,-186500000,-111700000,-57300000,-17500000,54300000,-2.8e+07,-29800000,-29400000,1800000,26300000,4300000,30600000,-10900000,19700000,19700000,19700000,19700000,182400000,182400000,1.58e+08,196600000,186300000,5.37e+08,5550900000,8143200000,-2592300000,5.33e+08,5.33e+08,6083900000,6620900000,264500000,194700000,69800000,165600000,33500000,132100000,430100000,2039200000,1657600000,230800000,1152100000,274700000,3696800000,4126900000,1011400000,1485100000,2.494e+09,2.494e+09,6620900000,19700000,57300000,7900000,119600000,204500000,-2.24e+08,-224100000,-224100000,-211600000,-2.98023223876953e-08,7100000.00000001,7100000,-4.44089209850063e-16,-4.44089209850063e-16,-4.44089209850063e-16,111600000,2039200000,18100000,0.54003,0.12178,0.04418,0.0079,0.00298,0.91878,1.24855,1.65473,0.30799,0.0986499999999999,0.09825,2.23285,12.48873,0.09064,0.00318,0.00292
"9","2012_Q2",17.8034920634921,"Down",426700000,-195500000,231200000,-191400000,-110600000,-59700000,-21100000,39800000,-26400000,-30900000,-30900000,4500000,13400000,1900000,15300000,-3200000,12100000,12100000,12100000,12100000,144100000,144100000,167800000,108100000,91300000,4.2e+08,5686700000,8316100000,-2629400000,526100000,526100000,6212800000,6632800000,1.95e+08,142900000,52100000,190300000,20400000,169900000,385300000,2039300000,1701500000,231900000,1161100000,308500000,3740800000,4126100000,1.012e+09,1497200000,2506700000,2506700000,6632800000,12100000,59700000,1900000,14400000,88100000,-189900000,-190100000,-190100000,-180200000,0,92100000,92100000,0,0,0,99500000,2039300000,-72800000,0.54183,0.09327,0.02836,0.00483,0.00182,-6.01653,1.09006,1.64603,0.30746,0.06059,0.06035,2.13671,12.55233,-0.36455,0.00194,-0.01165
"10","2012_Q3",18.231746031746,"Up",5.28e+08,-204600000,323400000,-195600000,-114700000,-62700000,-18200000,127800000,-30900000,-31100000,-31100000,2e+05,96900000,1700000,98600000,-25200000,73400000,73400000,73400000,73400000,195800000,195800000,167100000,171800000,126500000,534700000,5778400000,8444300000,-2665900000,520100000,520100000,6298500000,6833200000,211100000,145400000,65700000,265600000,35400000,230200000,476700000,2039400000,1735900000,199600000,1223300000,3.13e+08,3775300000,4.252e+09,1012600000,1570600000,2581200000,2581200000,6833200000,73400000,62700000,3.3e+07,-66100000,1.03e+08,-1.53e+08,-153200000,-153200000,-139300000,1.86264514923096e-09,36300000,36300000,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,190500000,2039400000,-3400000,0.6125,0.24205,0.13902,0.02844,0.01074,-0.0463199999999997,1.12167,1.6473,0.29845,0.36755,0.36608,2.64397,12.92539,-0.01703,0.01155,-0.00053
"11","2012_Q4",19.2367741935484,"Up",7.21e+08,-271800000,449200000,-191200000,-108600000,-63500000,-19100000,2.58e+08,-33700000,-31200000,-31200000,-2500000,224300000,1300000,225600000,-58400000,167200000,167200000,167200000,167200000,267600000,267600000,154100000,268200000,143400000,689900000,5879200000,8554800000,-2675600000,513300000,513300000,6392500000,7082400000,180600000,119900000,60700000,303300000,50900000,252400000,483900000,2050200000,1873600000,200700000,1360200000,312700000,3923800000,4407700000,1013200000,1662800000,2674500000,2674500000,7082200000,167200000,63500000,57100000,-4e+05,287400000,-152400000,-152500000,-152500000,-147600000,0,-139800000,-139800000,0,0,0,321500000,2050200000,227100000,0.62302,0.35784,0.2319,0.06252,0.02361,1.35825,1.42571,1.64805,0.28948,0.83726,0.83392,3.61042,13.39259,1.13721,0.02534,0.03442
"12","2013_Q1",20.653,"Up",465500000,-207200000,258300000,-194500000,-112400000,-62800000,-19300000,63800000,-29700000,-31400000,-31400000,1700000,34100000,1300000,35400000,-7799999.99999999,27600000,27600000,27600000,27600000,161500000,161500000,151500000,3.21e+08,182300000,6.34e+08,6044100000,8749700000,-2705600000,544300000,544300000,6588400000,7222400000,263800000,187400000,76400000,268700000,3.5e+07,233700000,532500000,2050300000,1936500000,240900000,1381700000,313900000,3986800000,4519300000,1.014e+09,1690400000,2703100000,2703100000,7222400000,27600000,62800000,7699999.99999999,160800000,258900000,-208500000,-208600000,-208600000,-209200000,-99999.9999999991,25400000,-49700000,0,0,0,126600000,2050300000,86700000,0.55489,0.13706,0.05929,0.01021,0.00382,3.1413,1.19061,1.6719,0.28388,0.13821,0.13766,2.331,13.5358,0.43415,0.01534,0.01296
