"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",27.2628571428571,"Up",1720800000,-1337300000,383500000,-188100000,-81100000,-91600000,-4300000,195400000,-16200000,-13700000,-1200000,-1300000,179200000,179200000,-5.1e+07,128200000,128200000,-1700000,126500000,126500000,666764340.590181,666764340.590181,484224504.789815,484224504.789815,262788386.800117,22232552.7792821,-305006343.452923,1436009784.9594,769269658.892785,1658082650.36195,117810614.544323,1540272035.81762,2662121738.41938,4098131523.37878,1189569012.21204,763954777.849671,20607682.6730588,-22149602.8197506,-231896560.467548,-231896560.467549,935522848.924742,640914065.185521,243457533.792808,150938454.008627,150938454.008627,92519079.7841806,884371598.978329,1819894447.90307,2282614131.18399,-4377055.70828973,2278237075.4757,4098131523.37878,128200000,73400000,24300000,-7.7e+07,148900000,-36100000,-95700000,-24837868.2347119,-211200000,3500000,3500000,-2.21e+08,-167800000,-167800000,-2600000,-170400000,268800000,0,206700000,0.22286,0.11355,0.07351,0.108641688648221,0.0567530593201557,1.63399,1.4769287059956,0.858574936380317,0.151542186972713,1.0697,1.00373,14.55128,20.4938810812887,1.74788,0.195262630749158,0.0606778260666507,0.297322731155498,0.262058163875204,-0.964552689543848,-1.53456743420704
"2","2010_Q3",30.3109375,"Up",1801500000,-1389500000,4.12e+08,-182900000,-81800000,-93700000,-4600000,229100000,-11100000,-12500000,3200000,-1800000,2.18e+08,205900000,-58500000,147400000,147400000,-9e+05,146500000,146500000,459400000,459400000,1358900000,1358900000,505700000,131500000,131500000,2455500000,962100000,1718500000,117300000,1601200000,2908200000,5363700000,1405300000,948400000,456900000,169600000,218800000,218800000,1793700000,708800000,239700000,113400000,113400000,126300000,948500000,2742200000,2617600000,3900000,2621500000,5363700000,147400000,71300000,9400000,22800000,250900000,-46900000,-55500000,-23945956.0782373,39100000,2900000,2900000,-16700000,178700000,178700000,-21600000,157100000,300400000,878400000,334800000,0.2287,0.12717,0.08132,0.05588,0.02731,2.28532,1.36896,1.04604,0.16377,1.21879,1.15227,14.98742,21.77689,2.78534,0.193140876916386,0.03918,0.08953,0.222869387958401,1.39481,1.8289
"3","2010_Q4",40.05671875,"Up",1740900000,-1367100000,373800000,-171700000,-7.6e+07,-88600000,-4900000,202100000,-12500000,-12600000,1700000,-1600000,189600000,189600000,-48500000,141100000,141100000,-1e+06,140100000,140100000,487200000,487200000,1453100000,1453100000,564300000,166900000,166900000,2671500000,1016800000,1729100000,1.14e+08,1615100000,2972100000,5643600000,1511600000,981100000,530500000,156200000,243600000,243600000,1911400000,6.8e+08,245100000,118300000,118300000,126800000,925100000,2836500000,2.798e+09,9100000,2807100000,5643600000,141100000,6.9e+07,5e+06,-16800000,198300000,-59100000,-64400000,-26600000,-124200000,6800000,6800000,-1.44e+08,-10100000,-10100000,37900000,27800000,271100000,836200000,243700000,0.21472,0.11609,0.08048,0.04991,0.02482,1.73947,1.39767,1.01047,0.14817,1.13924,1.08534,14.15633,22.75226,1.98167,0.2163,0.04287,0.06267,0.18986,1.28735,1.72687
"4","2011_Q1",41.3117741935484,"Up",1907400000,-1484600000,422800000,-180200000,-88300000,-87400000,-4200000,242600000,-11600000,-12100000,1800000,-1300000,2.31e+08,230800000,-5.2e+07,178800000,178800000,-1300000,177500000,177500000,587700000,587700000,1367600000,1367600000,561700000,171600000,97500000,2688600000,1025800000,1.722e+09,109700000,1612300000,2975900000,5664500000,1579400000,1003100000,484500000,87100000,1.68e+08,1.68e+08,1834500000,637700000,253100000,1.36e+08,1.36e+08,117100000,890800000,2725300000,2927300000,11900000,2939200000,5664500000,178800000,6.8e+07,1.9e+07,60500000,326300000,-82300000,-81600000,-31100000,-141600000,1.6e+07,1.6e+07,-147200000,97500000,97500000,2999999.99999999,100500000,310600000,724800000,340800000,0.22166,0.12719,0.09306,0.06039,0.03134,1.92,1.46558,0.92723,0.12795,1.44011,1.35756,15.47531,23.75006,2.76501,0.25232,0.05325,0.087,0.17521,0.4414,0.56513
"5","2011_Q2",40.7839682539683,"Down",2108600000,-1642600000,4.66e+08,-211200000,-90900000,-114500000,-3700000,254800000,-1.5e+07,-14500000,1300000,-1800000,239800000,239800000,-57300000,182500000,182500000,-1e+06,181500000,181500000,605200000,605200000,1625200000,1625200000,609100000,185100000,185100000,3024600000,1075600000,1727500000,106800000,1620700000,3034700000,6059300000,1664800000,1130900000,533900000,107100000,275900000,275900000,2047800000,639900000,2.58e+08,140200000,140200000,117800000,897900000,2945700000,3100600000,1.3e+07,3113600000,6059300000,182500000,65400000,2400000,-108900000,141400000,-80100000,-78200000,-35600000,9800000,7100000,7100000,-18700000,44500000,44500000,-2.7e+07,17500000,320200000,7.47e+08,188500000,0.221,0.12084,0.08608,0.05829,0.02995,1.03857,1.477,0.94608,0.12328,1.46761,1.39258,17.0501,25.0714,1.52421,0.28786,0.05271,0.04577,0.19614,0.44285,0.55651
"6","2011_Q3",32.1278125,"Down",2061500000,-1639900000,421600000,-216200000,-95100000,-117500000,-5600000,205400000,-14100000,-14400000,1900000,-1600000,191300000,1.85e+08,-39300000,145700000,145700000,-7e+05,1.45e+08,1.45e+08,559700000,559700000,1610100000,1610100000,626800000,1.83e+08,1.83e+08,2979600000,1124900000,1736800000,112600000,1624200000,3105100000,6084700000,1622500000,1.123e+09,499500000,205900000,246300000,246300000,2074700000,487900000,261300000,146200000,146200000,115100000,749200000,2823900000,3247300000,13500000,3260800000,6084700000,145700000,6.6e+07,14300000,-94100000,131900000,-90500000,-91900000,-38400000,-52600000,4900000,4900000,-91200000,-51200000,-51200000,5700000,-45500000,271400000,693800000,126100000,0.20451,0.09964,0.07034,0.04447,0.02383,0.86966,1.43616,0.86601,0.11402,1.17247,1.11017,16.66925,26.25761,1.01964,0.3105,0.0435,0.02991,0.26483,0.4941,0.65287
"7","2011_Q4",29.6522222222222,"Down",2017600000,-1606400000,411200000,-206300000,-91500000,-103700000,-4200000,204900000,-12400000,-14800000,2e+06,4e+05,192500000,192600000,-53500000,139100000,139100000,-7e+05,138400000,138400000,630700000,630700000,1527800000,1527800000,619400000,165400000,165400000,2943300000,1102700000,1726400000,114300000,1612100000,3.086e+09,6029300000,1557500000,1058100000,499400000,221800000,204200000,204200000,1983500000,480200000,263500000,141300000,141300000,122200000,743700000,2727200000,3287800000,14300000,3302100000,6029300000,139100000,66500000,20100000,-33900000,191800000,-8.6e+07,-87900000,-40100000,-14500000,1e+05,1e+05,-55100000,48800000,48800000,22200000,7.1e+07,271400000,7.02e+08,2.05e+08,0.20381,0.10156,0.0686,0.04191,0.02295,1.48121,1.48389,0.8259,0.11643,1.11534,1.06758,16.25953,26.49588,1.65206,0.32316,0.04183,0.04804,0.28974,0.26271,0.34797
"8","2012_Q1",36.0353225806452,"Up",2044700000,-1615600000,429100000,-2.05e+08,-91200000,-105800000,-5100000,224100000,-13200000,-13400000,1600000,-1400000,210900000,210900000,-51200000,159700000,159700000,-1200000,158500000,158500000,739200000,739200000,1457800000,1457800000,623300000,1.8e+08,98100000,3000300000,1121200000,1716200000,109200000,1.607e+09,3.117e+09,6117300000,1613600000,1083900000,465900000,302800000,169500000,169500000,2085900000,363500000,318900000,193100000,193100000,125800000,682400000,2768300000,3333400000,15600000,3.349e+09,6117300000,159700000,70400000,1300000,61700000,293100000,-100400000,-114700000,-40200000,-18500000,800000.000000002,8e+05,-57900000,120500000,120500000,-1.2e+07,108500000,294500000,666300000,3.07e+08,0.20986,0.1096,0.07752,0.04733,0.02591,1.93691,1.43837,0.8266,0.10892,1.28019,1.22262,16.51487,26.9236,2.47961,0.32469,0.04584,0.07083,0.25363,-0.24754,-0.3253
"9","2012_Q2",33.3792063492063,"Down",2178900000,-1737800000,441100000,-287800000,-93600000,-126300000,-4600000,153300000,-12200000,-11700000,2100000,-2600000,141100000,141100000,-39700000,101400000,101400000,-9e+05,100500000,100500000,7.32e+08,7.32e+08,1660800000,1660800000,620800000,182100000,182100000,3195700000,1156400000,1.717e+09,105500000,1611500000,3162800000,6358500000,1696400000,1092800000,603600000,209300000,222700000,222700000,2128400000,468700000,324100000,198200000,198200000,125900000,792800000,2921200000,3420700000,16600000,3437300000,6358500000,101400000,66700000,5600000,-75700000,9.8e+07,-78400000,-78800000,-40200000,14600000,5700000,5700000,-20300000,-1100000,-1100000,-6100000,-7200000,2.2e+08,6.78e+08,105600000,0.20244,0.07036,0.04612,0.02924,0.01581,1.05075,1.50146,0.84985,0.10663,0.80991,0.77192,17.55943,27.5669,0.85101,0.32397,0.03169,0.02379,0.4,-0.24545,-0.35225
"10","2012_Q3",33.3820634920635,"Up",2088800000,-1666700000,422100000,-231700000,-93900000,-126900000,-5100000,190400000,-8e+06,-8500000,1400000,-9e+05,182400000,182400000,-56200000,126200000,126200000,2e+05,126400000,126400000,917300000,917300000,1.57e+09,1.57e+09,595700000,199600000,199600000,3282600000,1133400000,1709300000,105200000,1604100000,3124600000,6407200000,1647300000,1074800000,572500000,171300000,214800000,214800000,2033400000,472900000,3.2e+08,195700000,195700000,124300000,792900000,2826300000,3565600000,15300000,3580900000,6407200000,126200000,6.9e+07,18800000,4600000.00000003,218600000,-85200000,-80600000,-44800000,-23300000,110400000,110400000,4.1e+07,1.79e+08,1.79e+08,6300000,185300000,259400000,644200000,2.35e+08,0.20208,0.09115,0.06051,0.0353,0.01973,1.85918,1.61434,0.78927,0.10054,0.97501,0.95859,16.11241,27.50403,1.81272,0.34557,0.03767,0.0517,0.35443,-1.05281,-1.43435
