"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2018_Q4",8.94634920634921,"Down",364500000,-283300000,81200000,-51100000,-15700000,-35400000,30100000,-15400000,-15400000,14700000,14700000,2400000,17100000,17100000,-5600000,11500000,11500000,168400000,168400000,75500000,75500000,1.18e+08,8e+06,369900000,1488800000,239500000,3e+06,1728300000,2098200000,217300000,154900000,45700000,223800000,834700000,357100000,253500000,103600000,1191800000,1415600000,488700000,125600000,-1.4e+07,459600000,2.23e+08,682600000,2098200000,17100000,35400000,-4400000,37200000,85300000,-27100000,-27100000,-27100000,-27100000,-25800000,-7e+06,-32800000,25400000,25400000,25400000,65500000,838600000,73200000,0.22277,0.08258,0.03155,0.01685,0.00548,6.36522,1.65282,2.07384,0.39968,0.1772,0.17557,5.61633,7.08166,1.12789,0.00612,0.03897,10.23206,22.26578
"30","2019_Q1",8.48360655737705,"Down",368900000,-287900000,8.1e+07,-58200000,-16900000,-41300000,22800000,-14500000,-14500000,8300000,8300000,-2800000,5500000,5500000,-3700000,1800000,1800000,145700000,145700000,75400000,75400000,110400000,3500000,3.35e+08,1471100000,239200000,5500000,1710300000,2045300000,164200000,1.15e+08,45600000,171100000,834500000,3.57e+08,254700000,102300000,1191500000,1362600000,489500000,127400000,-13100000,463100000,219600000,682700000,2045300000,5500000,41300000,9e+05,-32500000,15200000,-29600000,-29600000,-29600000,-29400000,-1e+06,-7500000,-8500000,-22700000,-22700000,-22700000,64100000,838400000,4800000,0.21957,0.06181,0.00488,0.00264,0.00088,2.66667,1.95792,1.9959,0.40992,0.02782,0.02748,5.7017,7.15765,0.07419,0.00096,0.00255999999999999,10.80655,30.38158
"31","2019_Q2",7.19619047619048,"Down",391300000,-307400000,83900000,-53900000,-16700000,-37200000,3e+07,-14800000,-14800000,15200000,15200000,-3e+06,12200000,12200000,-2400000,9800000,9800000,143900000,143900000,86300000,86300000,150700000,6200000,387100000,1.459e+09,251200000,20200000,1710200000,2097300000,2.06e+08,145700000,42300000,2.18e+08,828800000,363500000,254300000,109200000,1192300000,1410300000,488700000,137200000,-13100000,472100000,214900000,6.87e+08,2097300000,12200000,37200000,-1e+05,-1.4e+07,35300000,-20900000,-20900000,-20900000,-20900000,-6e+06,-10200000,-16200000,-1800000,-1800000,-1800000,67200000,833300000,35300000,0.21441,0.07667,0.02504,0.01426,0.00467,3.60204,1.77569,2.05284,0.39732,0.151,0.15008,6.02928,7.27427,0.54391,0.0052,0.01874,10.25893,22.98
"32","2019_Q3",6.29015625,"Down",407500000,-3.27e+08,80500000,-58900000,-21900000,-3.7e+07,21600000,-15100000,-15100000,6500000,6500000.00000001,-3200000,3300000.00000001,3300000,-1e+06,2300000,2300000,102200000,102200000,98900000,98900000,175700000,8100000,384900000,1454800000,242700000,14400000,1697500000,2082400000,1.91e+08,137200000,49900000,209600000,8.28e+08,3.22e+08,212800000,109200000,1.15e+09,1359600000,710700000,139500000,-1.3e+07,696500000,26300000,722800000,2082400000,3300000.00000001,3.7e+07,2900000.00000001,-42900000,300000.000000015,-32200000,-32200000,-32200000,-3.2e+07,-1e+06,-9e+06,-1e+07,-41700000,-41700000,-41700000,58600000,833100000,-13300000,0.19755,0.05301,0.00564000000000001,0.00318000000000002,0.0011,-5.78261,1.83635,1.88102,0.40007,0.0348999999999999,0.0348,6.18361,10.56904,-0.20182,0.00122,-0.00708,12.4727,33.83796
"33","2019_Q4",4.878125,"Down",404300000,-319400000,84900000,-49900000,-14300000,-35600000,3.5e+07,-15700000,-15700000,19300000,-226600000,63500000,-163100000,-163100000,1e+05,-1.63e+08,-1.63e+08,93700000,93700000,62700000,62700000,1.57e+08,7300000,320700000,1389500000,5.6e+07,17200000,1445500000,1766200000,180300000,119800000,46100000,185300000,7.8e+08,254100000,146900000,107200000,1034100000,1219400000,711900000,-23500000,-13900000,520600000,26200000,546800000,1766200000,-163100000,35600000,180700000,31700000,84900000,-28400000,-28400000,-28400000,-28400000,-47300000,-4500000,-6.5e+07,-8500000,-8500000,-8500000,70600000,782900000,10400000,0.20999,0.08657,-0.40317,-0.2981,-0.09229,-0.0638,1.73071,2.23007,0.44327,-1.80509,-1.81717,4.4773,5.76523,0.11517,-0.10292,0.00657,9.76204,19.69143
"34","2020_Q1",4.49983870967742,"Down",397200000,-323800000,73400000,-56900000,-22900000,-3.4e+07,16500000,-14700000,-14700000,1800000,1800000,-2600000,-800000.00000006,-8e+05,-6e+05,-1399999.99999997,-1399999.99999997,97100000,97100000,59500000,59500000,1.47e+08,4700000,308300000,1390200000,55300000,17200000,1445500000,1753800000,191900000,142400000,47300000,194800000,7.8e+08,260600000,147600000,1.13e+08,1040600000,1235400000,713100000,-30100000,-14400000,491600000,26800000,518400000,1753800000,-800000.00000003,3.4e+07,3800000.00000003,24400000,61400000,-28600000,-28600000,-28600000,-28500000,-8e+05,-5e+05,-29500000,3399999.99999999,3400000,3400000,50500000,782900000,48900000,0.18479,0.04154,-0.00352000000000002,-0.00269999999999992,-0.000799999999999995,-34.92857,1.58265,2.3831,0.4464,-0.0162599999999999,-0.0162599999999999,4.61324,5.70964,0.56794,0.00237,0.03131,13.5802,41.56364
"35","2020_Q2",2.87777777777778,"Down",382700000,-304400000,78300000,-50300000,-16200000,-34100000,2.8e+07,-14600000,-14600000,13400000,16300000,-10400000,5900000,5900000,-1e+06,4900000,4900000,235800000,235800000,55400000,55400000,150100000,10800000,452100000,1.37e+09,53800000,16400000,1423800000,1875900000,1.66e+08,1.1e+08,41900000,1.69e+08,924800000,270100000,158700000,111400000,1194900000,1363900000,713900000,-30200000,-15500000,484200000,27800000,5.12e+08,1875900000,5900000,34100000,8800000,-22000001,26799999,-22800000,-22800000,-22800000,-22800000,147100000,-4e+05,134700000,138699999,138699999,138699999,62100000,927800000,27699999,0.2046,0.07316,0.0128,0.00957,0.00261,5.65306,2.67515,2.66387,0.49459,0.05854,0.0584,4.57228,5.78495,0.33094,0.00579,0.0162,11.14332,24.71429
"36","2020_Q3",2.9953125,"Up",3.38e+08,-262500000,75500000,-50600000,-16500000,-34100000,24900000,-14900000,-14900000,1e+07,1e+07,-2200000,7800000,7800000,-1300000,6500000,6500000,81100000,81100000,49500000,49500000,135200000,11300000,277100000,1347600000,53700000,16900000,1401300000,1678400000,116700000,72900000,41700000,119700000,768100000,275100000,162600000,112500000,1043200000,1162900000,715100000,-28800000,-15900000,486400000,29100000,515500000,1678400000,7800000.00000001,34100000,4600000,-24699999,21800001,-14100000,-14100000,-14100000,-14100000,-157400000,0,-162400000,-154699999,-154699999,-154699999,5.9e+07,771100000,22400001,0.22337,0.07367,0.01923,0.01261,0.00387,3.44615,2.31495,2.25587,0.45943,0.0786,0.07841,4.08706,5.8815,0.27086,0.00736,0.01434,11.69492,27.71084
"37","2020_Q4",3.90390625,"Up",302200000,-238300000,63900000,-51900000,-18400000,-33500000,1.2e+07,-13700000,-13700000,-1700000,-1200000,-2e+05,-1400000,-1400000,-1300000,-2700000,-2700000,8.6e+07,8.6e+07,46800000,46800000,129700000,12300000,274800000,1332500000,54500000,16800000,1.387e+09,1661800000,150500000,92700000,43900000,155600000,719700000,277200000,1.63e+08,114200000,996900000,1152500000,715700000,-36600000,-16200000,478900000,30400000,509300000,1661800000,-1400000,33500000,1e+05,42300000,74500000,-16500000,-16500000,-16500000,-17900000,-46600000,-1e+05,-51700000,4900000,4900000,4900000,45500000,724800000,71500000,0.21145,0.03971,-0.00893,-0.0053,-0.00162,-26.48148,1.76607,2.26291,0.43615,-0.03257,-0.03261,3.64536,5.77684,0.86248,0.00152,0.04731,14.03956,53.23333
"38","2021_Q1",5.82770491803279,"Up",310100000,-2.43e+08,67100000,-62299999,-30300000,-31999999,4800001,-13100000,-13100000,-8299999,-5999999,2500000,-3499999,-3499999,-1500000,-4999999,-4999999,48400000,48400000,46300000,46300000,126600000,8400000,229700000,1.328e+09,55700000,18500000,1383700000,1613400000,155900000,104100000,49800000,158900000,673900000,279700000,159300000,120400000,953600000,1112500000,716700000,-46600000,-17100000,4.69e+08,31900000,500900000,1613400000,-3500000,31999999,-3300000,9500000,34699999,-20500000,-20500000,-20500000,-20500000,-4.7e+07,1e+05,-51800000,-37600001,-37600001,-37600001,36800000,676900000,23300000,0.21638,0.01548,-0.01612,-0.00998,-0.0031,-4.66,1.44556,2.221,0.41955,-0.06046,-0.0601,3.7497,5.6711,0.28174,-6.99999999999993e-05,0.01599,17.0788,130.93747
"39","2021_Q2",6.77968253968254,"Up",359900000,-2.74e+08,85900000,-47700000,-15300000,-32400000,38200000,-12700000,-12700000,25500000,25500000,-7300000,18200000,18200000,-1700000,16500000,16500000,5.4e+07,5.4e+07,45800000,45800000,136100000,8400000,244300000,1304900000,55900000,19200000,1360800000,1605100000,165200000,106200000,4.6e+07,168200000,641600000,282200000,162400000,95600000,923800000,1.092e+09,716300000,-35100000,-17700000,479500000,33600000,513100000,1605100000,18200000,32400000,3600000,10600000,64800000,-20100000,-20100000,-20100000,-20100000,-3.3e+07,-1e+06,-39100000,5600000,5600000,5600000,70600000,644600000,68400000,0.23868,0.10614,0.04585,0.03216,0.01028,4.14545,1.45244,2.12824,0.40159,0.19928,0.1976,4.34662,5.79106,0.82609,0.015,0.0475,8.36544,15.46073
"40","2021_Q3",6.59515625,"Down",364300000,-278600000,85700000,-51800000,-17700000,-34100000,33900000,-14200000,-14200000,19700000,-12200000,4700000,-7500000,-7500000,-1300000,-8800000,-8800000,51700000,51700000,49500000,49500000,143800000,8700000,253700000,1289800000,54500000,18300000,1344300000,1.598e+09,159400000,111700000,47100000,162500000,650200000,2.82e+08,159900000,98500000,932200000,1094700000,718100000,-4.9e+07,-16700000,468400000,34900000,503300000,1.598e+09,-7500000,34100000,31200000,-1.8e+07,39800000,-13600000,-13600000,-13600000,-13600000,-1.3e+07,-10500000,-28500000,-2300000,-2300000.00000001,-2300000.00000001,6.8e+07,653300000,31700000,0.23525,0.09306,-0.02416,-0.01748,-0.00551,-3.60227,1.56123,2.17504,0.40882,-0.10628,-0.10539,4.39976,5.657,0.38285,-0.00264,0.02204,8.84706,17.74631
"41","2021_Q4",6.42140625,"Down",366500000,-277300000,89200000,-47800000,-15300000,-32500000,41400000,-7900000,-7900000,33500000,33500000,-9400000,24100000,24100000,-1099999,23000001,23000001,54600000,54600000,60100000,60100000,129300000,6600000,250600000,1288100000,54500000,18800000,1342600000,1593200000,179400000,122100000,50600000,182500000,597800000,289200000,165100000,124100000,8.87e+08,1069500000,720400000,-31100000,-17600000,487700000,3.6e+07,523700000,1593200000,24100000,32500000,6e+06,16800000,79400000,-18400000,-18400000,-18400000,-18400000,-51800000,-1300000,-58100000,2900000,2900000,2900000,73900000,600900000,81700000,0.24338,0.11296,0.06276,0.04392,0.01444,3.55217,1.37315,2.0422,0.37717,0.27711,0.27446,4.41566,5.8759,0.98434,0.0198,0.05779,7.39242,13.19565
"42","2022_Q1",7.69758064516129,"Up",365300000,-288900000,76400000,-48400000,-13500000,-34900000,2.8e+07,-7700000,-7700000,20300000,20300000,-6300000,1.4e+07,1.4e+07,-1300001,12699999,12699999,63800000,63800000,77600000,77600000,1.27e+08,3500000,271900000,1287900000,55600000,20400000,1343500000,1615400000,1.79e+08,1.26e+08,52400000,182200000,610400000,287400000,1.69e+08,118400000,897800000,1.08e+09,722200000,-23400000,-16700000,498100000,37300000,535400000,1615400000,1.4e+07,34900000,6500000,-6300000.00000001,49100000,-46500000,-46500000,-46500000,-47200000,12300000,9.31322574615479e-10,7300000,9200000,9200000,9200000,62900000,613600000,16400000,0.20914,0.07665,0.03477,0.02372,0.00786,1.29134,1.49232,2.01718,0.37984,0.15301,0.15155,4.4012,6.0012,0.19759,0.01232,0.01142,8.74086,19.63571
"43","2022_Q2",7.93774193548387,"Up",439800000,-3.38e+08,101800000,-53200000,-1.8e+07,-35200000,48600000,-8e+06,-8e+06,40600000,40600000,-1e+07,30600000,30600000,-1100000,29500000,29500000,79700000,79700000,99500000,99500000,194100000,1e+07,383300000,1279503353.68489,1322400000,1287700000,1322400000,1705700000,2.27e+08,168100000,48900000,230200000,6.25e+08,288600000,174300000,114300000,913600000,1143800000,723300000,1e+06,-15300000,5.25e+08,36900000,561900000,1705700000,30600000,35200000,6400000,-49500000,22700000,-12900000,-12900000,-12900000,-1.3e+07,14200000,-3e+06,6200000,15900000,15900000,15900000,83800000,628200000,31400000,0.23147,0.1105,0.06708,0.0525,0.01729,1.06441,1.66507,2.03559,0.36829,0.35499,0.35119,5.29242,6.31769,0.37786,0.02333,0.02123,6.54535,11.28601
"44","2022_Q3",6.896,"Down",501900000,-411800000,90100000,-55600000,-19800000,-35800000,34500000,-8300000,-8300000,26200000,26200000,-7200000,1.9e+07,1.9e+07,-1e+06,1.8e+07,1.8e+07,63400000,63400000,108100000,108100000,193100000,6600000,371200000,1253500000,52700000,18500000.0000002,1306200000,1677400000,212400000,159400000,51600000,215600000,594600000,293100000,178200000,114900000,887700000,1103300000,725400000,13900000,-16200000,539100000,3.5e+07,574100000,1677400000,1.9e+07,35800000,5800000,-17099999,43500001,-21100000,-21100000,-21100000,-2.1e+07,-30800000,-2700000,-38800000,-16299999,-16299999,-16299999,70300000,597800000,39300001,0.17952,0.06874,0.03586,0.03135,0.01073,2.18333,1.72171,1.92179,0.35638,0.21454,0.21277,5.98212,6.42551,0.46841,0.0159,0.02683,7.60171,15.48986
