"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",33.1885483870968,"Down",2159800000,-1627300000,532500000,-287100000,-198100000,-198100000,-8.9e+07,245400000,-27600000,-27600000,217800000,217800000,-53600000,164200000,-2e+05,-2e+05,1.64e+08,1.64e+08,1.64e+08,88500000,88500000,55500000,55500000,453600000,207700000,6.9e+07,13200000,805300000,3882900000,1239200000,464800000,539200000,235200000,5122100000,5927400000,526100000,294100000,73400000,158600000,734600000,267300000,467300000,1898300000,1507600000,1452800000,745200000,329100000,416100000,2252800000,4151100000,2483700000,3077200000,-105400000,1776300000,1776300000,5927400000,164200000,1.64e+08,2e+05,8.9e+07,11700000,16600000,9700000,-14600000,205300000,205300000,470200000,-143800000,1200000,1200000,-1.45e+08,-1.45e+08,-4400000,-151700000,-5.5e+07,-167300000,-1.67e+08,-61100000,16800000,-77900000,3e+06,-280400000,38100000,2e+05,38300000,38300000,334400000,2145200000,449500000,0.24655,0.11362,0.07593,0.09233,0.02767,2.74085,0.42422,2.33694,0.36191,1.28025,1.25286,16.86027,13.86651,3.50898,0.42935,0.04693,0.09632,0.33537,6.15042,8.38101
"12","2013_Q1",30.7266666666667,"Down",-606100000,5.06e+08,-100100000,45700000,28200000,28200000,17500000,-54399999.9999999,-27600000,-27600000,-8.2e+07,-82200000,36400000,-45800000,1.97e+08,1.97e+08,151200000,151200000,151200000,70500000,70500000,71400000,71400000,404100000,211600000,74900000,12200000,757600000,3951300000,1235300000,464900000,538600000,231800000,5186600000,5944200000,475400000,260700000,60400000,154300000,686100000,231700000,454400000,1774100000,1508100000,1453700000,8.2e+08,312900000,507100000,2328100000,4102200000,2518800000,3172800000,-153800000,1.842e+09,1.842e+09,5944200000,-45800000,151200000,-1.97e+08,-17500000,26800000,5400000,14400000,7e+06,-5e+05,-5e+05,-37000000.0000001,25600000,-2e+05,-2e+05,25800000,25800000,-5e+06,20700000,-55300000,-25000000.0000001,-24400000,7e+06,25100000,-18100000,5500000,-67799999.9999999,-84100000,66100000,-1.8e+07,-1.8e+07,-71899999.9999999,2120700000,-83200000,0.16515,0.08975,-0.24946,0.08208,0.02544,-0.55026,0.42703,2.22704,0.35677,1.17849,1.14981,-4.72408,14.35698,-0.64848,0.43102,0.04318,-0.0174,0.36574,-28.5146,-37.6875
"13","2013_Q2",34.28046875,"Up",2034800000,-1549800000,4.85e+08,-310800000,-218200000,-218200000,-92600000,174200000,-27900000,-27900000,146300000,146300000,-35300000,1.11e+08,-2e+05,-2e+05,110800000,110800000,110800000,51500000,51500000,5.9e+07,5.9e+07,4.04e+08,212300000,77800000,4e+06,726800000,4036400000,1257200000,464900000,538600000,253700000,5293600000,6020400000,567800000,331300000,103900000,132600000,697400000,204100000,493300000,1860900000,1507800000,1453900000,791700000,304100000,487600000,2299500000,4160400000,2542500000,3219100000,-154400000,1.86e+09,1.86e+09,6020400000,1.11e+08,110800000,2e+05,92600000,-3200000,14400000,-16400000,-1200000,52800000,52800000,253200000,-149300000,0,0,-149300000,-149300000,-13500000,-158800000,-6.4e+07,-16900000,-16400000,-37500000,14700000,-52200000,2300000,-116100000,-21700000,2700000,-1.9e+07,-1.9e+07,266800000,2103500000,205600000,0.23835,0.08561,0.05445,0.05957,0.0184,1.8556,0.39056,2.23677,0.3494,0.86495,0.8458,15.88447,14.51991,1.605,0.49961,0.03676,0.04324,0.57762,7.69115,11.77956
"14","2013_Q3",32.5578125,"Down",1.96e+09,-1568700000,391300000,-315200000,-2.16e+08,-2.16e+08,-99200000,76100000,-32900000,-32900000,43200000,43200000,-9399999.99999999,33800000,-2e+05,-2e+05,33600000,33600000,33600000,61400000,61400000,66700000,66700000,425300000,247200000,83600000,11300000,800600000,4285700000,1746400000,574200000,904900000,267300000,6032100000,6832700000,510900000,315600000,60500000,134800000,656700000,220700000,4.36e+08,1543600000,2.557e+09,2503500000,868700000,343300000,525400000,3425700000,4969300000,1164300000,861800000,-1.54e+08,1863400000,1863400000,6832700000,33800000,33600000,2e+05,99200000,2.6e+07,14300000,4900000,6800000,-144600000,-144600000,14399999.9999999,-205900000,-5.82076609134674e-11,-5.82076609134674e-11,-205900000,-205900000,-6200000,-790600000,-64500000,830300000,130700000,22600000,22700000,-99999.9999999925,-2100000,786300000,10100000,-199999.999999993,9900000,9900000,175300000,2.933e+09,-165800000,0.19964,0.03883,0.0171399999999999,0.01803,0.00492,-4.93452,0.51866,2.66679,0.42926,0.26067,0.25513,15.20559,14.45617,-1.28627,0.50039,0.01732,-0.02927,1.91964,16.38106,37.73456
"15","2013_Q4",35.0925,"Up",2258200000,-1752300000,505900000,-300900000,-199900000,-199900000,-1.01e+08,2.05e+08,-31900000,-31900000,173100000,173100000,-38600000,134500000,-1e+05,-1e+05,134400000,134400000,134400000,103900000,103900000,68100000,68100000,432600000,248800000,82500000,12700000,853400000,4.335e+09,1769400000,574200000,904500000,290700000,6104400000,6957800000,542900000,324800000,82600000,135500000,775600000,315400000,460200000,1535400000,2555400000,2502400000,916700000,369900000,546800000,3472100000,5007500000,1184500000,930900000,-156600000,1950300000,1950300000,6957800000,134500000,134400000,1e+05,1.01e+08,35700000,7300000,25800000,2600000,151200000,151200000,422400000,-163300000,0,0,-163300000,-163300000,-12100000,-169500000,-64700000,-159100000,-159100000,11900000,1.2e+07,-1e+05,1600000,-210300000,42600000,-1e+05,42500000,42500000,3.06e+08,2772300000,332500000,0.22403,0.09078,0.05952,0.06891,0.01932,2.47396,0.55582,2.56755,0.39844,1.04105,1.02205,17.49187,15.10689,2.57552,0.50116,0.03531,0.05896,0.4814,8.72026,13.01659
"16","2014_Q1",34.2790163934426,"Down",-3.32e+08,254200000,-77800000,23399999.9999999,8900000.00000003,2.5e+08,14500000,-54400000,-33300000,-33300000,-87700000,-88600000,46600000,-4.2e+07,175100000,175100000,133100000,133100000,133100000,88200000,88200000,85400000,85400000,356900000,234400000,83400000,6400000,764900000,4391100000,1780900000,573800000,908300000,298800000,6.172e+09,6936900000,531100000,296500000,84100000,150500000,720800000,270500000,450300000,1416400000,2548700000,2496200000,912300000,356400000,555900000,3.461e+09,4877400000,1207600000,998900000,-138900000,2059500000,2059500000,6936900000,-4.2e+07,133100000,-175100000,-14500000,-11300000,4e+06,-14700000,-6e+05,-27800000.0000001,-27800000.0000001,-95600000,8699999.99999997,3e+05,3e+05,8400000,8400000,-8700000,4300000,-6.5e+07,-57199999.9999999,-52199999.9999999,1.5e+07,1.5e+07,-1.86264514923096e-09,2700000,-104500000,-195800000,180100000,-15700000,-15700000,-68900000,2713200000,-134600000,0.23434,0.16386,-0.4009,0.06463,0.01919,-1.01127,0.54003,2.36824,0.39113,1.02463,1.00681,-2.55581,15.8545,-1.03618,0.50038,0.03485,-0.02368,0.48835,-38.09869,-48.25368
"17","2014_Q2",34.3165079365079,"Up",1531500000,-1208100000,323400000,-239800000,-165600000,-165600000,-74200000,83600000,-32800000,-32800000,50800000,49800000,-7600000,42200000,2.8e+07,2.8e+07,70200000,70200000,70200000,108900000,108900000,80300000,80300000,373300000,247200000,88300000,8700000,809700000,4469600000,1784700000,574600000,907700000,302400000,6254300000,7.064e+09,621500000,384700000,95800000,1.41e+08,714600000,242300000,472300000,1563100000,2530100000,2476400000,899300000,353200000,546100000,3429400000,4992500000,1222800000,996800000,-140200000,2071500000,2071500000,7.064e+09,42200000,70200000,-2.8e+07,74200000,8400000,8700000,-5700000,5400000,-2400000,-2400000,122400000,-118800000,1600000,1600000,-120400000,-120400000,-8600000,-127400000,-71700000,47800000,47800000,7800000,8200000,-4e+05,1100000,-1.5e+07,-2e+07,40700000,20700000,20700000,157800000,2757100000,44200000,0.21117,0.05459,0.04584,0.03389,0.00994,0.62963,0.51801,2.41009,0.3903,0.53917,0.52941,11.76267,15.91014,0.33948,0.55069,0.02477,0.00772,1.02137,16.782,31.67703
"18","2014_Q3",33.13515625,"Down",1485500000,-1200500000,2.85e+08,-2.5e+08,-174500000,-174500000,-75500000,3.5e+07,-32900000,-32900000,2099999.99999997,1900000.00000003,4200000.00000001,6100000,13700000,13700000,19800000,19800000,19800000,84600000,84600000,8.3e+07,8.3e+07,4.18e+08,248700000,80600000,12400000,834300000,4521800000,1801200000,574600000,907700000,318900000,6.323e+09,7157300000,592100000,365100000,81400000,145600000,715200000,248400000,466800000,1646500000,2533300000,2480100000,918300000,345600000,572700000,3451600000,5098100000,1255700000,944700000,-133400000,2059200000,2059200000,7157300000,6100000,19800000,-13700000,75500000,8200000,18200000,-9400000,-599999.999999999,5700000,5700000.00000001,95499999.9999999,-114600000,-2.3283064365387e-10,-2.3283064365387e-10,-114600000,-114600000,-5500000,-116800000,-71600000,112500000,112500000,18900000,1.9e+07,-1e+05,1900000,61700000,40400000,-64700000,-24300000,-24300000,110500000,2872500000,-2600000.00000006,0.19185,0.02356,0.01333,0.00962,0.00277,-0.13131,0.50671,2.47577,0.40134,0.15161,0.1491,11.37443,15.76723,-0.0199100000000003,0.54824,0.01562,-0.00044,3.61616,25.22986,79.65429
"19","2014_Q4",38.42703125,"Up",1618500000,-1265800000,352700000,-230500000,-154200000,-154200000,-76300000,122200000,-33100000,-33100000,89100000,89100000,-2500000,86600000,23100000,23100000,109700000,109700000,109700000,1.27e+08,1.27e+08,6.9e+07,6.9e+07,4.61e+08,252200000,75400000,11700000,909200000,4512200000,1803400000,574600000,907600000,321200000,6315600000,7224800000,586500000,358300000,78300000,149900000,858500000,347400000,511100000,1641500000,2533600000,2.481e+09,9.28e+08,344200000,583800000,3461600000,5103100000,1280900000,9.82e+08,-133400000,2121700000,2121700000,7224800000,86600000,109700000,-23100000,76300000,3600000,6300000,-6600000,3900000,1.22e+08,1.22e+08,288500000,-102500000,0,0,-102500000,-102500000,-5600000,-105700000,-72400000,-142600000,-142600000,16600000,16600000,0,3600000,-194800000,-1.2e+07,54400000,42400000,42400000,198500000,2730100000,220500000,0.21792,0.0755,0.06778,0.0517,0.01518,2.01003,0.55388,2.40519,0.37788,0.83549,0.82234,12.32673,16.15918,1.67936,0.55141,0.03151,0.03815,0.65998,13.11385,21.30196
"20","2015_Q1",44.8091803278689,"Up",1650100000,-1316100000,3.34e+08,-249500000,-171100000,81200000,-78400000,84500000,-35500000,-35500000,4.9e+07,33800000,14500000,48300000,38200000,38200000,86500000,86500000,86500000,98300000,98300000,83800000,83800000,196800000,1596900000,71700000,10900000,1975800000,3.381e+09,1725900000,574600000,872500000,278800000,5106900000,7082700000,423300000,233100000,64500000,125700000,972600000,299700000,672900000,1618500000,2463400000,2463400000,843900000,286100000,557800000,3307300000,4925800000,1302200000,995800000,-133300000,2156900000,2156900000,7082700000,48300000,86500000,-38200000,78400000,-1400000,5500000,-23200000,16300000,-76300000,-76300000,4.9e+07,-74500000,2800000,2800000,-77300000,-77300000,-11900000,-86400000,-72600000,26300000,26300000,14300000,14300000,0,899999.999999985,-31099999.9999999,-68500000,39800000,-28700000,-28700000,162900000,2.686e+09,-2400000,0.20241,0.05121,0.05242,0.0401,0.01221,-0.0277499999999997,1.22076,2.28374,0.37923,0.6558,0.64552,12.51024,16.35254,-0.0182,0.55042,0.02798,-0.000420000000000004,0.83931,15.88521,30.62367
"21","2015_Q2",47.7430158730159,"Up",1595800000,-1282600000,313200000,-238600000,-159900000,-95400000,-78700000,74600000,-111300000,-111300000,-36700000,-43700000,24400000,-19300000,522500000,522500000,503200000,503200000,503200000,413700000,413700000,86200000,86200000,201600000,302400000,75100000,0,1003900000,3.38e+09,1740200000,574600000,872500000,293100000,5120200000,6124100000,716400000,212500000,402900000,1.01e+08,770400000,266400000,5.04e+08,1601800000,1519900000,1468500000,874500000,285400000,589100000,2394400000,3996200000,8.17e+08,1426100000,-107400000,2127900000,2127900000,6124100000,-19300000,503200000,-522500000,78700000,74600000,6200000,-22600000,9.1e+07,-5.7e+07,-5.7e+07,7.7e+07,-81700000,0,0,-81700000,-81700000,-3900000,-80500000,-72800000,-1157200000,-207300000,8700000,9300000,-6e+05,-406400000,-1627700000,-1631200000,1946600000,315400000,315400000,153300000,1634900000,-9800000,0.19627,0.04675,0.31533,0.23648,0.08217,-0.01948,0.62673,1.878,0.26696,3.80635,3.80635,12.0711,16.09607,-0.07413,0.55068,0.12421,-0.00211,0.14467,7.96608,16.36997
"22","2015_Q3",51.60015625,"Up",1.559e+09,-1269700000,289300000,-270900000,-190800000,-128900000,-80100000,18400000,-33700000,-33700000,-15300000,-54600000,23800000,-30800000,-2000000.00000012,-2000000.00000012,-32800000,-32800000,-32800000,157500000,157500000,66700000,66700000,193500000,301700000,74900000,9200000,719400000,3338300000,1730200000,574600000,872500000,283100000,5068500000,5787900000,507800000,201800000,201400000,104600000,763200000,265700000,497500000,1.306e+09,1519200000,1468400000,857200000,279800000,577400000,2376400000,3682400000,1200700000,997300000,-84700000,2105500000,2105500000,5787900000,-30800000,-32800000,2000000.00000012,80100000,60600000,23700000,-11300000,48200000,1.1e+07,1.1e+07,120900000,-7.5e+07,10700000,10700000,-85700000,-85700000,-3500000,-75900000,-68100000,-89499999.9999998,19999999.9999999,40200000,41600000,-1400000,2299999.99999994,-115100000,-70100000,-186100000,-256200000,-256200000,98500000,1554200000,10700000,0.18557,0.0118,-0.0210400000000001,-0.01558,-0.00567,-0.32622,0.55084,1.74894,0.26853,-0.256849999999999,-0.25685,12.2083,16.48786,0.08379,0.53328,0.00781999999999999,0.00237,-2.07622,14.1797,75.90761
"23","2015_Q4",47.66765625,"Down",1730900000,-1342300000,388600000,-217400000,-137800000,-86400000,-79600000,171200000,-23300000,-23300000,147900000,147100000,-18700000,128400000,5400000,5400000,133800000,133800000,133800000,436200000,436200000,6.4e+07,6.4e+07,172800000,308900000,73500000,15500000,981900000,3288500000,1732500000,574600000,872400000,285500000,5.021e+09,6002900000,477100000,1.86e+08,165400000,125700000,858700000,379800000,478900000,1350800000,1511800000,1461700000,902500000,3.21e+08,581500000,2414300000,3765100000,1338800000,9.89e+08,-82200000,2237800000,2237800000,6002900000,128400000,133800000,-5400000,79600000,46600000,11400000,33500000,1700000,103500000,103500000,358100000,-48600000,14100000,14100000,-62700000,-62700000,-5800000,-52400000,-68400000,-2.6e+07,-19500000,-444100000,56200000,-500300000,504600000,-33900000,271800000,6900000,278700000,278700000,250800000,1526800000,324400000,0.22451,0.09891,0.0773,0.05979,0.02229,2.42451,0.7269,1.6825,0.25434,1.07384,1.05437,13.89165,17.95987,2.60353,0.54896,0.04332,0.06951,0.51121,4.34848,6.37033
"24","2016_Q1",52.3734426229508,"Up",1878300000,-1446900000,431400000,-265900000,-1.85e+08,-119500000,-80900000,165500000,-2.4e+07,-2.4e+07,141500000,126500000,-8400000,118100000,-12800000,-12800000,105300000,105300000,105300000,535900000,535900000,7.8e+07,7.8e+07,163900000,278600000,69400000,18900000,1056400000,3215800000,1722500000,574600000,872400000,275500000,4938300000,5994700000,4.04e+08,198800000,64100000,141100000,777700000,328600000,449100000,1196700000,1452300000,1452300000,1012200000,341800000,670400000,2464500000,3661200000,1405900000,1.026e+09,-90600000,2333500000,2333500000,5994700000,118100000,105300000,12800000,80900000,74700000,12400000,42400000,19900000,44600000,44600000,318300000,-23300000,43100000,43100000,-66400000,-66400000,-3e+06,-26300000,-69600000,4e+05,400000.000000015,52600000.0000001,52600000,0,8799999.99999994,-7800000.00000006,284200000,-184500000,99700000,99700000,246400000,1467300000,276100000,0.22968,0.08811,0.05606,0.04513,0.01757,2.62203,0.88276,1.56897,0.24477,0.83373,0.79773,14.87173,18.47585,2.18606,0.55107,0.03634,0.05737,0.66097,3.78003,5.62779
"25","2016_Q2",54.54140625,"Up",1.687e+09,-1310700000,376300000,-243800000,-162700000,-97100000,-81100000,132500000,-22400000,-22400000,110100000,111800000,-30800000,8.1e+07,5400000,5400000,86400000,86400000,86400000,690100000,690100000,60800000,60800000,162600000,291100000,74300000,26400000,1204600000,3104200000,1717700000,574600000,872400000,270700000,4821900000,6026500000,402600000,210200000,85900000,106500000,7.25e+08,298800000,426200000,1142600000,1437600000,1437600000,1022200000,331600000,690600000,2459800000,3602400000,1478500000,1042300000,-88900000,2424100000,2424100000,6026500000,8.1e+07,86400000,-5400000,81100000,-6e+06,10200000,-2.4e+07,7800000,-18100000,-18100000,1.38e+08,65300000,130200000,130200000,-64900000,-64900000,-3700000,61600000,-7e+07,-14700000,3e+05,56900000,56900000,0,10800000,-1.7e+07,182600000,-28400000,154200000,154200000,213600000,1452600000,291600000,0.22306,0.07854,0.05122,0.03564,0.01434,3.375,1.05426,1.48608,0.24104,0.67818,0.66821,13.24176,19.02747,2.28885,0.54945,0.03193,0.05952,0.81019,3.56976,5.75472
"26","2016_Q3",52.1784375,"Down",1608800000,-1283900000,324900000,-235500000,-160200000,-101900000,-75300000,89400000,-57300000,-57300000,32100000,24400000,5700000,30100000,13100000,13100000,43200000,43200000,43200000,857600000,857600000,63300000,63300000,1.7e+08,292600000,76800000,36300000,1383500000,2074600000,1724200000,574600000,872400000,277200000,3798800000,5182300000,351300000,191400000,49900000,1.1e+08,704700000,307800000,396900000,1815400000,439500000,439500000,937600000,226200000,711400000,1377100000,3192500000,1488300000,577900000,-68600000,1989800000,1989800000,5182300000,30100000,43200000,-13100000,75300000,14400000,7100000,-34800000,42100000,-67200000,-67200000,52600000,123900000,181200000,181200000,-57300000,-57300000,-6800000,117900000,-70600000,-254900000,1e+05,4800000,5200000,-4e+05,314600000,-6100000,164400000,3100000,167500000,167500000,164700000,1198900000,215700000,0.20195,0.05557,0.02685,0.02171,0.00834,4.99306,0.76209,1.60443,0.23135,0.33724,0.33256,12.55894,15.53318,1.68384,0.55113,0.02758,0.05227,1.63426,2.07225,3.81767
"27","2016_Q4",59.0198412698413,"Up",1847500000,-1415500000,4.32e+08,-212900000,-145900000,-95200000,-6.7e+07,219100000,-83100000,-83100000,1.36e+08,138100000,-29900000,108200000,-2400000,-2400000,105800000,105800000,105800000,215800000,215800000,53800000,53800000,178900000,281400000,7.3e+07,24700000,729900000,2058100000,1713900000,574600000,872300000,2.67e+08,3.772e+09,4501900000,400900000,190600000,71100000,139200000,792200000,401300000,390900000,1201100000,439700000,439700000,942900000,220800000,722100000,1382600000,2583700000,1485100000,507500000,-66600000,1918200000,1918200000,4501900000,108200000,105800000,2400000,6.7e+07,82600000,11900000,-6800000,77500000,148800000,148800000,406600000,-40600000,1e+07,1e+07,-50600000,-50600000,-2300000,-42900000,-64200000,-818600000,2e+05,-122700000,17100000,-139800000,1600000,-1003900000,-640200000,-1600000,-641800000,-641800000,286100000,447700000,424200000,0.23383,0.11859,0.05727,0.05516,0.0235,4.00945,0.60769,1.34694,0.09945,0.82915,0.81762,14.47884,15.03292,3.32445,0.50313,0.05138,0.1282,0.60681,0.81056,1.05842
"28","2017_Q1",64.0879032258065,"Up",1790200000,-1382300000,407900000,-220900000,-154100000,-90700000,-66800000,1.87e+08,-9700000,-9700000,177300000,175400000,-3.5e+07,140400000,-8e+05,-8e+05,139600000,139600000,139600000,274800000,274800000,6.4e+07,6.4e+07,175400000,306100000,76400000,46100000,820300000,2041600000,1720700000,574600000,872300000,273800000,3762300000,4582600000,426100000,241900000,49100000,135100000,7.61e+08,360400000,400600000,1187100000,4.4e+08,4.4e+08,1003500000,255200000,748300000,1443500000,2630600000,1502600000,547500000,-90300000,1.952e+09,1.952e+09,4582600000,140400000,139600000,8e+05,66800000,36700000,8100000,54800000,-26200000,-20700000,-20700000,223200000,-51700000,3800000,3800000,-55500000,-55500000,-8700000,-61200000,-63400000,-8600000,-6e+05,-24500000,20100000,-44600000,2700000,-93800000.0000001,68200000,-9200000,5.9e+07,5.9e+07,253800000,4.4e+08,216400000,0.22785,0.10446,0.07798,0.07152,0.03046,1.55014,0.69101,1.34764,0.09602,1.10356,1.08554,14.15178,15.43083,1.71067,0.50119,0.05979,0.06373,0.45415,0.65091,0.88342
"29","2017_Q2",75.2931746031746,"Up",1714400000,-1342700000,371700000,-218200000,-151400000,-87700000,-66800000,153500000,-9900000,-9900000,143600000,151400000,-40300000,111100000,-9e+05,-9e+05,110200000,110200000,110200000,114700000,114700000,56300000,56300000,161800000,2.78e+08,82300000,10200000,610800000,2035900000,1723600000,574600000,872300000,276700000,3759500000,4370300000,385900000,214100000,60800000,1.11e+08,746200000,327600000,418600000,1132100000,440200000,440200000,996700000,257600000,739100000,1436900000,2.569e+09,1472400000,429300000,-92600000,1801300000,1801300000,4370300000,111100000,110200000,9e+05,66800000,2700000,6200000,-3500000,0,-7500000,-7500000,173100000,-56300000,3800000,3800000,-60100000,-60100000,-6800000,-63100000,-70500000,1e+05,1e+05,-192300000,3300000,-195600000,-4e+05,-263100000,-153100000,-7e+06,-160100000,-160100000,220300000,440200000,196800000,0.21681,0.08954,0.06428,0.06118,0.02522,1.78584,0.53953,1.42619,0.10073,0.88231,0.86977,13.72618,14.42194,1.57566,0.56445,0.0558,0.06077,0.63975,1.47753,2.12052
"30","2017_Q3",73.092380952381,"Down",1642500000,-1321500000,3.21e+08,-204400000,-136600000,-79500000,-67800000,116600000,-9500000,-9500000,107100000,1.07e+08,-27300000,79700000,-2e+05,-2e+05,79500000,79500000,79500000,116800000,116800000,69800000,69800000,183600000,313200000,82200000,44600000,683400000,2056900000,1721600000,575200000,872300000,274100000,3778500000,4461900000,407500000,249600000,48900000,1.09e+08,743800000,336200000,407600000,1151300000,440500000,440500000,1016700000,260800000,755900000,1457200000,2608500000,1522900000,424400000,-86100000,1853400000,1853400000,4461900000,79700000,79500000,2e+05,67800000,7800000,11800000,-2300000.00000001,-1700000,-34100000,-34100000,121200000,-72100000,3100000,3100000,-75200000,-75200000,-6600000,-77600000,-6.9e+07,-99999.9999999702,-1e+05,23600000.0000001,42700000,-19100000,7400000,-38100000,5500000,-3400000,2100000,2100000,184400000,440500000,105500000,0.19543,0.07099,0.0484,0.04289,0.01782,1.32704,0.59359,1.40741,0.09872,0.64582,0.63651,13.34281,15.05605,0.85703,0.56052,0.04486,0.03187,0.86792,1.75542,2.77616
"31","2017_Q4",73.8442857142857,"Up",1878700000,-1440200000,438500000,-209700000,-141800000,-87200000,-67900000,228800000,-9300000,-9300000,219500000,220200000,-53900000,166300000,-7e+05,-7e+05,165600000,165600000,165600000,391400000,391400000,43600000,43600000,1.68e+08,281900000,77500000,8400000,884900000,2069100000,1725800000,575200000,872300000,278300000,3794900000,4679800000,3.95e+08,205500000,62100000,127400000,837100000,426200000,410900000,1232100000,440700000,440700000,1034200000,263800000,770400000,1474900000,2.707e+09,1.547e+09,5.2e+08,-86400000,1972800000,1972800000,4679800000,166300000,165600000,7e+05,67900000,-4500000,9300000,-7100000,-6700000,177300000,177300000,4.07e+08,-77400000,1300000,1300000,-78700000,-78700000,-1100000,-79600000,-69400000,0,0,16300000,16500000,-2e+05,2900000,-50200000,277200000,-2600000,274600000,274600000,296700000,440700000,450500000,0.23341,0.12179,0.08815,0.08394,0.03539,2.72041,0.7182,1.37216,0.09417,1.33441,1.31533,15.1386,15.89686,3.63014,0.55923,0.06816,0.13067,0.41908,0.16616,0.21547
"32","2018_Q1",83.3060655737705,"Up",1934600000,-1496400000,438200000,-2.68e+08,-197600000,-133300000,-70400000,170200000,-11500000,-11500000,158700000,158700000,-33300000,125400000,-1600000,-1600000,123800000,123800000,123800000,233100000,233100000,75900000,75900000,178900000,1e+08,80600000,6200000,587900000,2272300000,2432100000,950200000,1201700000,280200000,4704400000,5292300000,454700000,249500000,56100000,149100000,834500000,388600000,445900000,1289200000,936600000,936600000,964800000,145600000,819200000,1901400000,3190600000,1614600000,560100000,-65200000,2101700000,2101700000,5292300000,125400000,123800000,1600000,70400000,14400000,13400000,-1e+07,1.1e+07,4800000.00000003,4800000.00000003,2.15e+08,-78900000,1e+05,1e+05,-7.9e+07,-7.9e+07,-6100000,-849400000,-70200000,5e+08,-3.72529029846191e-09,35300000,50600000,-15300000,15500000,480600000,-153800000,-4500000,-158300000,-158300000,240600000,936600000,199800000,0.22651,0.08798,0.06399,0.0589,0.02339,1.61389,0.45602,1.5181,0.17697,0.98961,0.97866,15.46443,16.80016,1.59712,0.56115,0.04846,0.04991,0.56704,2.92394,4.13337
